epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7241,2.45346,3.0942,1.65926,0.46284,0.33935,0.30112,0.14482,1.94415,2.00348,1.39872,0.000301748,0.000301748,0.000301748
2,66.0099,1.92363,1.91582,1.27282,0.42858,0.38518,0.38259,0.20126,1.72206,1.73207,1.30642,0.000600757,0.000600757,0.000600757
3,95.3024,1.84206,1.71262,1.23223,0.43737,0.41795,0.40363,0.22891,1.68732,1.52595,1.28804,0.000895766,0.000895766,0.000895766
4,124.44,1.78913,1.5388,1.21586,0.44617,0.44888,0.42747,0.25723,1.54291,1.45901,1.21922,0.000891002,0.000891002,0.000891002
5,153.182,1.72594,1.42895,1.18437,0.54063,0.49402,0.47904,0.28534,1.51566,1.29115,1.1987,0.000885002,0.000885002,0.000885002
6,182.091,1.70103,1.37459,1.17572,0.51454,0.46878,0.46999,0.28531,1.51912,1.31657,1.18988,0.000879003,0.000879003,0.000879003
7,210.946,1.67477,1.31779,1.1641,0.47933,0.48356,0.47974,0.28206,1.53026,1.43681,1.20243,0.000873004,0.000873004,0.000873004
8,239.808,1.63651,1.2758,1.15256,0.54344,0.49644,0.51357,0.30503,1.49497,1.18715,1.17859,0.000867004,0.000867004,0.000867004
9,268.644,1.62814,1.23677,1.14764,0.57317,0.54096,0.53407,0.32286,1.47491,1.14578,1.16073,0.000861005,0.000861005,0.000861005
10,297.434,1.60928,1.20805,1.13852,0.52728,0.54338,0.51725,0.31365,1.50787,1.13758,1.18281,0.000855005,0.000855005,0.000855005
11,326.415,1.60188,1.18644,1.13298,0.50643,0.55787,0.5137,0.308,1.50528,1.12473,1.17343,0.000849006,0.000849006,0.000849006
12,355.169,1.57039,1.14667,1.11903,0.54679,0.58878,0.56439,0.34667,1.44693,1.04658,1.1465,0.000843007,0.000843007,0.000843007
13,384.569,1.55591,1.12024,1.11246,0.54335,0.59724,0.56387,0.33803,1.49807,1.0783,1.17357,0.000837007,0.000837007,0.000837007
