epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1178,1.99106,2.78488,1.31897,0.35239,0.38588,0.35185,0.19872,1.70688,1.79441,1.262,0.000301748,0.000301748,0.000301748
2,58.9651,1.82511,1.80388,1.21282,0.41675,0.41325,0.40872,0.22235,1.68955,1.58569,1.28122,0.000600757,0.000600757,0.000600757
3,84.8787,1.77175,1.61936,1.19047,0.4468,0.43027,0.40989,0.23488,1.65056,1.52353,1.26062,0.000895766,0.000895766,0.000895766
4,110.642,1.75033,1.4959,1.18878,0.46209,0.48999,0.45706,0.2742,1.53076,1.34686,1.21081,0.000891002,0.000891002,0.000891002
5,136.024,1.69017,1.4022,1.16067,0.52693,0.48944,0.48634,0.27953,1.52068,1.34038,1.19797,0.000885002,0.000885002,0.000885002
6,161.394,1.6543,1.33067,1.14993,0.50135,0.52167,0.48563,0.30047,1.51053,1.25172,1.18519,0.000879003,0.000879003,0.000879003
7,186.95,1.64542,1.27947,1.1453,0.50483,0.49557,0.48141,0.29137,1.54501,1.34933,1.20585,0.000873004,0.000873004,0.000873004
8,212.376,1.60996,1.24724,1.13254,0.54446,0.53506,0.52305,0.30592,1.50575,1.16575,1.16879,0.000867004,0.000867004,0.000867004
9,237.979,1.60516,1.21883,1.12713,0.56848,0.55098,0.53137,0.32102,1.50621,1.16742,1.15472,0.000861005,0.000861005,0.000861005
10,263.295,1.58983,1.18752,1.1215,0.56696,0.55943,0.54399,0.33056,1.51544,1.14208,1.1887,0.000855005,0.000855005,0.000855005
11,288.977,1.57853,1.16139,1.11473,0.54947,0.56116,0.5393,0.32171,1.50766,1.09009,1.16504,0.000849006,0.000849006,0.000849006
12,314.384,1.55095,1.13541,1.10247,0.54944,0.60514,0.56483,0.35308,1.42112,1.05902,1.12549,0.000843007,0.000843007,0.000843007
13,340.418,1.54409,1.10543,1.09607,0.58548,0.58777,0.56958,0.34345,1.46665,1.07432,1.1546,0.000837007,0.000837007,0.000837007
14,365.987,1.53969,1.087,1.09243,0.58773,0.58931,0.56388,0.35081,1.43386,1.04855,1.13404,0.000831008,0.000831008,0.000831008
15,391.482,1.52379,1.08661,1.09137,0.56767,0.60689,0.57831,0.35179,1.43528,1.05623,1.13063,0.000825008,0.000825008,0.000825008
16,416.896,1.51501,1.0725,1.08877,0.59253,0.61505,0.5964,0.37158,1.4236,1.01413,1.12267,0.000819009,0.000819009,0.000819009
17,442.11,1.50346,1.05791,1.08854,0.57364,0.59834,0.58389,0.36371,1.43903,1.01473,1.13456,0.00081301,0.00081301,0.00081301
18,468.162,1.487,1.03773,1.07558,0.61986,0.62048,0.59389,0.37231,1.41109,1.00381,1.11776,0.00080701,0.00080701,0.00080701
19,493.682,1.48383,1.01659,1.07052,0.61791,0.58792,0.59505,0.37557,1.39143,1.01392,1.10996,0.000801011,0.000801011,0.000801011
20,519.151,1.47116,1.02179,1.07084,0.62112,0.60277,0.60163,0.38229,1.37332,0.97282,1.10065,0.000795011,0.000795011,0.000795011
21,544.792,1.46619,1.0069,1.06588,0.59577,0.62277,0.60706,0.38687,1.40028,0.96792,1.10519,0.000789012,0.000789012,0.000789012
22,570.321,1.44297,0.97877,1.06352,0.62925,0.61678,0.61466,0.38683,1.37802,0.98337,1.10202,0.000783013,0.000783013,0.000783013
23,595.699,1.4519,0.98286,1.06316,0.59467,0.64378,0.6125,0.3876,1.38085,0.96941,1.09856,0.000777013,0.000777013,0.000777013
24,620.769,1.43861,0.97216,1.05828,0.65069,0.62729,0.63464,0.41,1.37634,0.92723,1.10061,0.000771014,0.000771014,0.000771014
25,646.336,1.42233,0.95536,1.05403,0.66977,0.62423,0.63159,0.39955,1.41827,0.94978,1.11588,0.000765014,0.000765014,0.000765014
26,671.741,1.42734,0.94262,1.05225,0.62159,0.63679,0.62351,0.39845,1.41529,0.96322,1.12221,0.000759015,0.000759015,0.000759015
27,697.396,1.43897,0.9475,1.05209,0.64876,0.62077,0.63089,0.40836,1.37484,0.9321,1.09743,0.000753016,0.000753016,0.000753016
28,722.754,1.40498,0.93873,1.04694,0.6474,0.66437,0.65235,0.41987,1.36174,0.90906,1.09733,0.000747016,0.000747016,0.000747016
29,748.292,1.41171,0.92314,1.04615,0.65566,0.63113,0.63956,0.40671,1.41148,0.92231,1.11275,0.000741017,0.000741017,0.000741017
30,773.797,1.39765,0.91545,1.04303,0.64904,0.61924,0.63815,0.41034,1.36235,0.92617,1.09431,0.000735017,0.000735017,0.000735017
31,799.157,1.38976,0.92393,1.03933,0.66303,0.64439,0.63998,0.41451,1.36299,0.89214,1.09123,0.000729018,0.000729018,0.000729018
32,824.967,1.38951,0.89398,1.03369,0.67806,0.63966,0.65887,0.43628,1.37621,0.88996,1.09882,0.000723019,0.000723019,0.000723019
33,850.736,1.37289,0.90142,1.03596,0.6758,0.61218,0.63646,0.41591,1.35421,0.91898,1.0931,0.000717019,0.000717019,0.000717019
34,876.806,1.38206,0.88542,1.03385,0.64287,0.64685,0.63439,0.41167,1.36943,0.91843,1.09003,0.00071102,0.00071102,0.00071102
35,902.315,1.37502,0.88712,1.0346,0.67633,0.65817,0.66616,0.42916,1.37864,0.88128,1.09809,0.00070502,0.00070502,0.00070502
36,927.774,1.36614,0.88479,1.03326,0.66134,0.6472,0.65427,0.42133,1.38952,0.90316,1.1006,0.000699021,0.000699021,0.000699021
37,953.35,1.35512,0.86887,1.02659,0.64073,0.66197,0.64898,0.42691,1.37476,0.89913,1.09815,0.000693022,0.000693022,0.000693022
38,979.244,1.35269,0.85906,1.02195,0.67167,0.66239,0.67222,0.44287,1.35752,0.87293,1.08795,0.000687022,0.000687022,0.000687022
39,1004.46,1.34837,0.86303,1.02661,0.68747,0.64812,0.67206,0.44102,1.37878,0.87161,1.09663,0.000681023,0.000681023,0.000681023
40,1030.12,1.34634,0.85301,1.02337,0.70868,0.63548,0.66871,0.44355,1.33616,0.87813,1.08098,0.000675023,0.000675023,0.000675023
41,1056.07,1.33922,0.84541,1.01816,0.71314,0.63469,0.66939,0.44221,1.35252,0.87201,1.09222,0.000669024,0.000669024,0.000669024
42,1081.83,1.33713,0.83883,1.01549,0.68303,0.63439,0.66,0.43335,1.35167,0.87217,1.08321,0.000663025,0.000663025,0.000663025
43,1107.48,1.32474,0.82445,1.01359,0.69041,0.65245,0.6658,0.44256,1.35915,0.85932,1.08987,0.000657025,0.000657025,0.000657025
44,1133.22,1.32814,0.83329,1.01242,0.70325,0.62518,0.66697,0.44315,1.33866,0.86254,1.0804,0.000651026,0.000651026,0.000651026
45,1158.87,1.32945,0.82007,1.00999,0.67993,0.65168,0.66875,0.449,1.34585,0.85148,1.0816,0.000645026,0.000645026,0.000645026
46,1184.75,1.31453,0.81181,1.0068,0.6688,0.6503,0.66859,0.44175,1.35701,0.8564,1.08881,0.000639027,0.000639027,0.000639027
47,1210.6,1.32621,0.82623,1.00876,0.67331,0.66209,0.67137,0.44537,1.34977,0.86535,1.07769,0.000633028,0.000633028,0.000633028
48,1235.97,1.3109,0.81418,1.01006,0.70999,0.65008,0.68176,0.45681,1.33586,0.8451,1.0803,0.000627028,0.000627028,0.000627028
49,1261.36,1.29121,0.81191,1.00917,0.6902,0.64094,0.67004,0.44321,1.35172,0.86052,1.08769,0.000621029,0.000621029,0.000621029
50,1286.84,1.29589,0.80704,1.00739,0.71022,0.6477,0.67636,0.45669,1.31734,0.84939,1.06814,0.000615029,0.000615029,0.000615029
51,1312.25,1.28087,0.79312,1.00454,0.70867,0.65451,0.68156,0.46137,1.33647,0.84633,1.07683,0.00060903,0.00060903,0.00060903
52,1338.06,1.29221,0.79451,1.00382,0.6919,0.67414,0.68577,0.45851,1.35076,0.83941,1.08645,0.000603031,0.000603031,0.000603031
53,1363.72,1.29328,0.7947,1.00352,0.6898,0.65852,0.67926,0.45586,1.3519,0.85925,1.08377,0.000597031,0.000597031,0.000597031
54,1389.2,1.25232,0.77406,0.99815,0.66978,0.66917,0.67032,0.44835,1.33032,0.84264,1.07506,0.000591032,0.000591032,0.000591032
55,1414.81,1.26616,0.78108,0.99447,0.71434,0.65844,0.68374,0.46066,1.33162,0.83384,1.07367,0.000585032,0.000585032,0.000585032
56,1440.7,1.26774,0.77656,0.99165,0.69928,0.66514,0.6855,0.46442,1.34266,0.83002,1.08253,0.000579033,0.000579033,0.000579033
57,1466.4,1.26687,0.77416,0.99218,0.7257,0.65604,0.69075,0.46103,1.32471,0.82246,1.07272,0.000573034,0.000573034,0.000573034
58,1492.05,1.24781,0.7615,0.99389,0.7126,0.66071,0.68591,0.46331,1.32835,0.83056,1.0731,0.000567034,0.000567034,0.000567034
59,1517.6,1.25712,0.76145,0.9905,0.70716,0.6789,0.6888,0.47197,1.31759,0.82177,1.06997,0.000561035,0.000561035,0.000561035
60,1543.36,1.25152,0.74892,0.98721,0.72253,0.68134,0.70071,0.47519,1.32598,0.8255,1.07099,0.000555035,0.000555035,0.000555035
61,1568.76,1.24563,0.75653,0.98993,0.72011,0.64796,0.6834,0.46406,1.31284,0.83415,1.06833,0.000549036,0.000549036,0.000549036
62,1594.21,1.22845,0.7518,0.98504,0.71561,0.66505,0.69157,0.47267,1.30947,0.82295,1.06621,0.000543037,0.000543037,0.000543037
63,1619.85,1.25379,0.75202,0.98334,0.71172,0.68809,0.69876,0.477,1.31428,0.82134,1.07269,0.000537037,0.000537037,0.000537037
64,1645.48,1.22102,0.74059,0.9793,0.71607,0.68348,0.69995,0.47908,1.29232,0.81338,1.05842,0.000531038,0.000531038,0.000531038
65,1670.96,1.22895,0.74389,0.98118,0.68769,0.66743,0.68242,0.46487,1.31845,0.82648,1.07359,0.000525038,0.000525038,0.000525038
66,1696.58,1.23257,0.74134,0.98372,0.73196,0.67618,0.70155,0.47879,1.31003,0.81095,1.06913,0.000519039,0.000519039,0.000519039
67,1721.97,1.22444,0.73225,0.98228,0.71923,0.66199,0.68611,0.46697,1.30629,0.82568,1.06688,0.00051304,0.00051304,0.00051304
68,1747.41,1.22236,0.73622,0.98004,0.73672,0.67194,0.69577,0.47618,1.31205,0.82594,1.06822,0.00050704,0.00050704,0.00050704
69,1773.08,1.22134,0.72561,0.98035,0.70735,0.67107,0.69,0.47306,1.31299,0.81938,1.06917,0.000501041,0.000501041,0.000501041
70,1798.61,1.2041,0.72371,0.97553,0.72863,0.65903,0.6923,0.47316,1.30318,0.81309,1.06543,0.000495041,0.000495041,0.000495041
71,1824.37,1.2074,0.72041,0.97204,0.70869,0.68275,0.69304,0.4771,1.31232,0.82092,1.0706,0.000489042,0.000489042,0.000489042
72,1849.99,1.20819,0.71866,0.9768,0.73049,0.66973,0.70225,0.48662,1.30402,0.80299,1.06507,0.000483043,0.000483043,0.000483043
73,1875.74,1.1994,0.70775,0.97047,0.74542,0.6786,0.70507,0.48531,1.29619,0.80208,1.06506,0.000477043,0.000477043,0.000477043
74,1901.53,1.19656,0.72167,0.97136,0.73817,0.66948,0.70518,0.4842,1.31426,0.80554,1.06885,0.000471044,0.000471044,0.000471044
75,1927.17,1.19086,0.70525,0.97195,0.72173,0.68319,0.70321,0.48363,1.3019,0.80377,1.06818,0.000465044,0.000465044,0.000465044
76,1952.6,1.193,0.70913,0.97464,0.71331,0.66358,0.69465,0.47972,1.30127,0.80961,1.06116,0.000459045,0.000459045,0.000459045
77,1978.19,1.19232,0.70445,0.97121,0.72169,0.67747,0.70694,0.48676,1.31161,0.80405,1.0698,0.000453046,0.000453046,0.000453046
78,2003.74,1.18683,0.6979,0.97089,0.72835,0.66984,0.69985,0.48215,1.29588,0.80422,1.06099,0.000447046,0.000447046,0.000447046
79,2029.55,1.18566,0.69392,0.96635,0.74405,0.67433,0.708,0.49237,1.28873,0.79987,1.05913,0.000441047,0.000441047,0.000441047
80,2055.05,1.17042,0.69102,0.96547,0.71475,0.67874,0.69936,0.48653,1.29231,0.80418,1.06104,0.000435047,0.000435047,0.000435047
81,2080.57,1.15987,0.68071,0.96445,0.74358,0.66959,0.70518,0.48854,1.28567,0.80431,1.05933,0.000429048,0.000429048,0.000429048
82,2106.18,1.16483,0.68911,0.96456,0.74561,0.68002,0.70631,0.48851,1.29404,0.79266,1.0622,0.000423049,0.000423049,0.000423049
83,2131.82,1.18141,0.6933,0.96614,0.74933,0.66323,0.7055,0.48862,1.28834,0.79843,1.05866,0.000417049,0.000417049,0.000417049
84,2157.14,1.16044,0.68211,0.96473,0.75458,0.66571,0.71144,0.49415,1.28402,0.79037,1.05608,0.00041105,0.00041105,0.00041105
85,2182.81,1.17266,0.68539,0.9611,0.72376,0.6745,0.69996,0.48741,1.29736,0.80875,1.06296,0.00040505,0.00040505,0.00040505
86,2208.3,1.15496,0.67334,0.96295,0.74341,0.66881,0.70096,0.48716,1.28566,0.80463,1.05853,0.000399051,0.000399051,0.000399051
87,2233.89,1.16085,0.67619,0.96358,0.72159,0.67353,0.696,0.4847,1.30185,0.81322,1.0631,0.000393052,0.000393052,0.000393052
88,2259.78,1.15233,0.66954,0.95524,0.74207,0.65968,0.70382,0.48922,1.2999,0.8022,1.06118,0.000387052,0.000387052,0.000387052
89,2285.31,1.14824,0.66856,0.95562,0.72666,0.67447,0.706,0.49413,1.28497,0.79822,1.05715,0.000381053,0.000381053,0.000381053
