epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3508,1.57413,3.23309,1.5858,0.47153,0.2487,0.20319,0.11805,1.47656,2.5916,1.49532,0.000413647,0.000413647,0.000413647
2,27.8419,1.43692,2.32993,1.45909,0.35875,0.295,0.24643,0.13719,1.50465,2.36708,1.54709,0.000824834,0.000824834,0.000824834
3,39.6224,1.40995,2.09148,1.45857,0.31214,0.32308,0.28646,0.16863,1.44691,1.93185,1.50049,0.00123052,0.00123052,0.00123052
4,51.3854,1.38622,1.84357,1.41568,0.27909,0.34726,0.29072,0.17136,1.39018,1.83917,1.46492,0.00122525,0.00122525,0.00122525
5,63.0406,1.34177,1.76095,1.40597,0.38394,0.36117,0.35617,0.21134,1.31002,1.55161,1.37408,0.001217,0.001217,0.001217
6,74.7597,1.31598,1.63794,1.3709,0.32002,0.37911,0.33926,0.21004,1.23525,1.5518,1.34211,0.00120875,0.00120875,0.00120875
7,86.3541,1.25424,1.54869,1.34012,0.33802,0.41972,0.39168,0.24526,1.21981,1.54091,1.31029,0.0012005,0.0012005,0.0012005
8,97.9626,1.2408,1.48973,1.32494,0.41182,0.47157,0.41122,0.25749,1.21143,1.42413,1.31584,0.00119225,0.00119225,0.00119225
9,109.606,1.19495,1.42236,1.30665,0.43526,0.41693,0.41539,0.2701,1.15779,1.35613,1.27684,0.001184,0.001184,0.001184
10,121.223,1.19058,1.37877,1.28217,0.43974,0.47475,0.44804,0.29368,1.14852,1.25533,1.25648,0.00117575,0.00117575,0.00117575
11,132.867,1.18,1.36282,1.28525,0.45992,0.46943,0.45352,0.28457,1.13493,1.33277,1.2601,0.0011675,0.0011675,0.0011675
12,144.454,1.175,1.35863,1.2807,0.40886,0.47542,0.41969,0.26385,1.155,1.37574,1.27313,0.00115925,0.00115925,0.00115925
13,156.034,1.14987,1.341,1.27499,0.46238,0.48253,0.47531,0.30577,1.1223,1.19807,1.24338,0.001151,0.001151,0.001151
14,167.577,1.12925,1.27574,1.25554,0.48532,0.52161,0.49823,0.31524,1.13323,1.22623,1.24656,0.00114275,0.00114275,0.00114275
