epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7191,2.14364,3.46371,1.98039,0.44752,0.20602,0.17689,0.09502,1.67696,2.77608,1.63107,0.000413647,0.000413647,0.000413647
2,31.0775,1.53469,2.42258,1.51838,0.47748,0.20861,0.19698,0.10536,1.61544,2.83508,1.61605,0.000824834,0.000824834,0.000824834
3,44.8215,1.45597,2.13652,1.47857,0.25539,0.35657,0.26129,0.15092,1.4373,2.54336,1.47961,0.00123052,0.00123052,0.00123052
4,58.5266,1.42997,1.87983,1.43611,0.28665,0.32788,0.28581,0.17451,1.34868,1.87228,1.40892,0.00122525,0.00122525,0.00122525
5,71.8838,1.35917,1.76219,1.40952,0.363,0.36882,0.33818,0.20061,1.32921,1.6804,1.37377,0.001217,0.001217,0.001217
6,85.1712,1.31035,1.62895,1.36605,0.36445,0.39985,0.35137,0.22196,1.28725,1.52415,1.36182,0.00120875,0.00120875,0.00120875
7,98.4387,1.25882,1.55851,1.34528,0.40844,0.44919,0.38756,0.24405,1.21178,1.47317,1.31885,0.0012005,0.0012005,0.0012005
8,111.757,1.24496,1.49733,1.33406,0.37478,0.45787,0.39479,0.25457,1.18705,1.3996,1.29038,0.00119225,0.00119225,0.00119225
9,125.05,1.19887,1.43251,1.31003,0.38721,0.45452,0.40656,0.25391,1.18742,1.37343,1.30551,0.001184,0.001184,0.001184
10,138.314,1.20076,1.40726,1.30701,0.4614,0.46966,0.44088,0.28429,1.16429,1.26324,1.30163,0.00117575,0.00117575,0.00117575
11,151.611,1.18932,1.36514,1.30147,0.43399,0.52005,0.44158,0.29289,1.12357,1.30144,1.24946,0.0011675,0.0011675,0.0011675
12,164.907,1.1649,1.36343,1.28601,0.45037,0.43378,0.43185,0.27374,1.14061,1.32094,1.26289,0.00115925,0.00115925,0.00115925
13,178.185,1.16106,1.36639,1.29004,0.46883,0.48396,0.46639,0.29183,1.09518,1.25091,1.24199,0.001151,0.001151,0.001151
14,191.417,1.12827,1.30035,1.26755,0.48317,0.51253,0.48584,0.32491,1.06754,1.1503,1.22016,0.00114275,0.00114275,0.00114275
15,204.72,1.13435,1.26952,1.2628,0.50094,0.50762,0.48302,0.31678,1.06263,1.16526,1.21759,0.0011345,0.0011345,0.0011345
