epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6092,1.92803,2.61171,1.81648,0.51299,0.37246,0.37824,0.22491,1.50619,2.3299,1.4872,0.000661836,0.000661836,0.000661836
2,30.2111,1.46801,1.76968,1.4346,0.45472,0.35941,0.33363,0.18814,1.57057,4.15954,1.57032,0.00131973,0.00131973,0.00131973
3,43.3932,1.43827,1.59152,1.41868,0.62304,0.43925,0.47501,0.27997,1.43663,2.24512,1.45408,0.00196883,0.00196883,0.00196883
4,56.3481,1.40667,1.43675,1.38455,0.67358,0.52572,0.57759,0.3625,1.29667,1.27304,1.32966,0.0019604,0.0019604,0.0019604
5,69.334,1.34778,1.37575,1.367,0.70078,0.56838,0.62102,0.37686,1.26336,1.26358,1.29843,0.0019472,0.0019472,0.0019472
6,82.2674,1.2963,1.26309,1.32584,0.73739,0.55439,0.61581,0.39779,1.20882,1.18726,1.26621,0.001934,0.001934,0.001934
7,95.2159,1.25322,1.23277,1.31125,0.6744,0.55216,0.5939,0.35972,1.22692,1.57345,1.2881,0.0019208,0.0019208,0.0019208
8,108.139,1.22851,1.1722,1.28927,0.75936,0.59097,0.65797,0.44995,1.13635,1.07469,1.24006,0.0019076,0.0019076,0.0019076
9,121.045,1.17755,1.11329,1.27262,0.77502,0.58333,0.67201,0.45033,1.15045,1.02454,1.23437,0.0018944,0.0018944,0.0018944
10,133.973,1.1807,1.09177,1.25138,0.79774,0.63295,0.72317,0.48783,1.10822,0.91747,1.19726,0.0018812,0.0018812,0.0018812
11,146.902,1.16324,1.07468,1.25295,0.7628,0.60528,0.67756,0.47309,1.09237,0.94918,1.19481,0.001868,0.001868,0.001868
12,159.788,1.14953,1.06677,1.24822,0.79579,0.62221,0.69952,0.47528,1.09895,0.98257,1.19808,0.0018548,0.0018548,0.0018548
13,172.7,1.14531,1.05927,1.25704,0.79139,0.65036,0.73446,0.49856,1.05601,0.88415,1.16532,0.0018416,0.0018416,0.0018416
14,185.621,1.11403,1.00614,1.23286,0.79233,0.61323,0.68879,0.4856,1.04142,0.94475,1.18025,0.0018284,0.0018284,0.0018284
15,198.747,1.11711,0.99847,1.23011,0.79725,0.63285,0.71754,0.4995,1.0559,0.87204,1.17418,0.0018152,0.0018152,0.0018152
16,211.943,1.09834,0.9743,1.22742,0.83334,0.65363,0.74428,0.52881,1.00485,0.83148,1.14029,0.001802,0.001802,0.001802
17,224.899,1.09047,0.96475,1.21572,0.83252,0.66667,0.7637,0.54615,0.98224,0.7904,1.12741,0.0017888,0.0017888,0.0017888
18,237.791,1.08773,0.94232,1.21251,0.81459,0.63995,0.73613,0.51218,1.01614,0.84177,1.14887,0.0017756,0.0017756,0.0017756
19,250.682,1.05697,0.92275,1.19958,0.81238,0.63645,0.74012,0.51309,1.01741,0.84244,1.13885,0.0017624,0.0017624,0.0017624
20,263.737,1.05121,0.91273,1.19057,0.78488,0.68122,0.76115,0.53049,1.00054,0.79797,1.1356,0.0017492,0.0017492,0.0017492
21,276.72,1.05179,0.89307,1.18511,0.80684,0.67557,0.76245,0.52984,0.99193,0.79659,1.14146,0.001736,0.001736,0.001736
22,289.699,1.06368,0.90327,1.18791,0.81011,0.69497,0.78324,0.54612,0.99989,0.76237,1.14286,0.0017228,0.0017228,0.0017228
23,302.602,1.02817,0.89319,1.18237,0.82171,0.67144,0.7549,0.53206,0.98025,0.76109,1.12094,0.0017096,0.0017096,0.0017096
24,315.577,1.02809,0.87685,1.1775,0.84876,0.64154,0.74018,0.53402,0.96876,0.78309,1.11676,0.0016964,0.0016964,0.0016964
25,328.461,1.00154,0.85422,1.16733,0.81733,0.69447,0.78669,0.55279,0.95502,0.74642,1.1145,0.0016832,0.0016832,0.0016832
26,341.417,1.01136,0.86105,1.1659,0.857,0.66158,0.77458,0.54853,0.97528,0.75811,1.12366,0.00167,0.00167,0.00167
27,354.316,0.99426,0.84177,1.16893,0.84549,0.67684,0.77664,0.56359,0.93887,0.71409,1.09321,0.0016568,0.0016568,0.0016568
28,367.214,0.99789,0.84315,1.16546,0.812,0.702,0.78968,0.56078,0.95519,0.72308,1.10311,0.0016436,0.0016436,0.0016436
29,380.118,0.99933,0.8252,1.16513,0.85224,0.68034,0.78364,0.56955,0.92668,0.69927,1.10071,0.0016304,0.0016304,0.0016304
30,393.023,0.98545,0.80262,1.15254,0.85662,0.68925,0.78046,0.57284,0.90242,0.70955,1.0802,0.0016172,0.0016172,0.0016172
31,406.013,0.99636,0.81956,1.16045,0.83652,0.73696,0.8264,0.58442,0.92186,0.6711,1.09406,0.001604,0.001604,0.001604
