epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7561,2.07876,3.40639,1.95807,0.47042,0.21415,0.1818,0.10439,1.53491,2.64443,1.50194,0.000413647,0.000413647,0.000413647
2,31.1309,1.49333,2.39641,1.4471,0.50608,0.22065,0.19931,0.12068,1.48154,2.47426,1.4557,0.000824834,0.000824834,0.000824834
3,44.8364,1.4354,2.10096,1.41449,0.32448,0.29794,0.2804,0.16378,1.3598,2.03475,1.35662,0.00123052,0.00123052,0.00123052
4,58.5317,1.39394,1.82885,1.37004,0.27648,0.34815,0.27805,0.16752,1.35799,1.77518,1.39608,0.00122525,0.00122525,0.00122525
5,72.2949,1.33874,1.75093,1.35581,0.3695,0.40542,0.3445,0.21657,1.24381,1.53565,1.28099,0.001217,0.001217,0.001217
6,85.2869,1.2957,1.61885,1.31965,0.36628,0.43946,0.37413,0.23742,1.23786,1.43007,1.29359,0.00120875,0.00120875,0.00120875
7,98.2636,1.22993,1.53971,1.2935,0.37922,0.44435,0.38286,0.24295,1.15794,1.42554,1.24642,0.0012005,0.0012005,0.0012005
8,111.24,1.22942,1.50441,1.2956,0.38945,0.49313,0.39276,0.25931,1.14211,1.34211,1.22282,0.00119225,0.00119225,0.00119225
9,124.462,1.16782,1.41084,1.26642,0.40849,0.48062,0.41249,0.27429,1.08856,1.30047,1.19472,0.001184,0.001184,0.001184
10,137.729,1.16908,1.3724,1.25098,0.43683,0.478,0.42854,0.27708,1.08958,1.30635,1.19266,0.00117575,0.00117575,0.00117575
11,150.721,1.15341,1.3475,1.24961,0.43398,0.5072,0.45258,0.29612,1.09763,1.2095,1.19995,0.0011675,0.0011675,0.0011675
12,163.716,1.14916,1.34384,1.24785,0.48115,0.45445,0.43395,0.28008,1.10191,1.30791,1.19676,0.00115925,0.00115925,0.00115925
13,176.653,1.13968,1.3342,1.25265,0.45021,0.55846,0.47266,0.31301,1.04126,1.13709,1.1555,0.001151,0.001151,0.001151
14,189.568,1.10219,1.2798,1.22375,0.52687,0.50847,0.49851,0.33726,1.03119,1.13329,1.15777,0.00114275,0.00114275,0.00114275
15,202.852,1.11077,1.25178,1.22718,0.50031,0.48743,0.46938,0.31724,1.04914,1.20094,1.16846,0.0011345,0.0011345,0.0011345
16,216.04,1.0916,1.25232,1.22452,0.49102,0.49985,0.48714,0.32709,1.01182,1.15406,1.15542,0.00112625,0.00112625,0.00112625
17,229.573,1.08958,1.22158,1.2124,0.46574,0.48815,0.48021,0.32761,1.01601,1.15922,1.14627,0.001118,0.001118,0.001118
18,242.516,1.07542,1.2145,1.20847,0.51761,0.5403,0.50629,0.34681,0.98926,1.087,1.13854,0.00110975,0.00110975,0.00110975
19,255.833,1.05444,1.15394,1.19691,0.53056,0.55034,0.52901,0.35971,1.01759,1.06347,1.14802,0.0011015,0.0011015,0.0011015
20,269.163,1.04466,1.14631,1.1885,0.51475,0.54752,0.52688,0.36297,0.99106,1.04198,1.13621,0.00109325,0.00109325,0.00109325
21,283.103,1.04304,1.1281,1.17706,0.56804,0.52931,0.54931,0.38124,0.97842,1.0362,1.13357,0.001085,0.001085,0.001085
22,296.154,1.0471,1.10776,1.17695,0.61481,0.52014,0.56075,0.38978,0.97233,1.01123,1.13411,0.00107675,0.00107675,0.00107675
23,309.804,1.02457,1.10948,1.17559,0.59712,0.54197,0.54679,0.38877,0.96698,1.01315,1.1154,0.0010685,0.0010685,0.0010685
24,323.437,1.0167,1.07532,1.16774,0.58306,0.57765,0.56825,0.39965,0.94417,1.00264,1.11649,0.00106025,0.00106025,0.00106025
25,336.384,0.99564,1.07473,1.16348,0.58094,0.56172,0.58015,0.39904,0.95454,0.9707,1.11392,0.001052,0.001052,0.001052
26,349.367,1.01236,1.07427,1.16421,0.62113,0.54752,0.57515,0.41057,0.93492,0.97302,1.10447,0.00104375,0.00104375,0.00104375
27,362.626,0.98936,1.03834,1.15927,0.59037,0.57824,0.60459,0.4253,0.93955,0.93095,1.10821,0.0010355,0.0010355,0.0010355
28,375.575,0.99384,1.04915,1.15818,0.59967,0.5678,0.57121,0.40987,0.9388,1.00928,1.10108,0.00102725,0.00102725,0.00102725
29,388.682,0.98853,1.03428,1.15762,0.59214,0.54436,0.57263,0.4023,0.96262,0.96157,1.11417,0.001019,0.001019,0.001019
30,402.354,0.98502,1.00517,1.14794,0.64697,0.55796,0.59844,0.42778,0.92515,0.98015,1.10151,0.00101075,0.00101075,0.00101075
31,415.357,0.97815,1.01074,1.15665,0.59593,0.594,0.60352,0.42901,0.91882,0.94843,1.10201,0.0010025,0.0010025,0.0010025
32,428.682,0.97344,0.99673,1.14798,0.66475,0.54677,0.59703,0.43349,0.90431,0.95079,1.08324,0.00099425,0.00099425,0.00099425
33,441.622,0.9699,1.00006,1.14164,0.63147,0.57932,0.61553,0.44828,0.89635,0.92596,1.07412,0.000986,0.000986,0.000986
