epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.849,1.41028,2.2488,1.37888,0.61582,0.44211,0.48617,0.29797,1.32866,2.09486,1.32005,0.000661836,0.000661836,0.000661836
2,26.4957,1.36569,1.67895,1.34615,0.58346,0.40649,0.43284,0.25962,1.49548,1.94104,1.55567,0.00131973,0.00131973,0.00131973
3,37.8856,1.381,1.51895,1.37156,0.64453,0.507,0.55298,0.33567,1.36082,1.57685,1.37375,0.00196883,0.00196883,0.00196883
4,49.2285,1.38061,1.39057,1.35284,0.62515,0.50254,0.54121,0.34212,1.30227,1.31385,1.31189,0.0019604,0.0019604,0.0019604
5,60.5289,1.30689,1.32908,1.32185,0.74101,0.56605,0.63032,0.39832,1.18948,1.23323,1.23733,0.0019472,0.0019472,0.0019472
6,71.7722,1.26526,1.22499,1.28143,0.6992,0.57595,0.63392,0.40928,1.18269,1.1347,1.23053,0.001934,0.001934,0.001934
7,83.0305,1.21505,1.18474,1.26126,0.67103,0.55926,0.60789,0.38441,1.17441,1.45979,1.22898,0.0019208,0.0019208,0.0019208
8,94.269,1.21283,1.14564,1.24464,0.75821,0.60242,0.67095,0.44992,1.13431,1.0278,1.19678,0.0019076,0.0019076,0.0019076
9,105.482,1.16544,1.08082,1.22939,0.77742,0.60401,0.67903,0.46614,1.10501,0.99145,1.18442,0.0018944,0.0018944,0.0018944
10,116.732,1.16447,1.06181,1.21657,0.79756,0.64695,0.71799,0.48359,1.07875,0.90569,1.16231,0.0018812,0.0018812,0.0018812
11,128.008,1.14879,1.05026,1.21361,0.7462,0.6409,0.70815,0.48512,1.07623,0.94376,1.1586,0.001868,0.001868,0.001868
12,139.203,1.14575,1.04766,1.2176,0.80297,0.6549,0.7419,0.49864,1.07013,0.87552,1.15237,0.0018548,0.0018548,0.0018548
13,150.388,1.13027,1.02893,1.21719,0.81558,0.66111,0.75687,0.51063,1.04354,0.85018,1.13224,0.0018416,0.0018416,0.0018416
14,161.615,1.10185,0.98625,1.19347,0.79318,0.62456,0.69932,0.49618,1.02106,0.9092,1.12676,0.0018284,0.0018284,0.0018284
15,172.944,1.10377,0.9834,1.19428,0.81406,0.64122,0.73086,0.51723,1.02448,0.84287,1.13198,0.0018152,0.0018152,0.0018152
16,184.137,1.08461,0.97787,1.19141,0.79156,0.66317,0.73732,0.51797,0.99724,0.84079,1.11545,0.001802,0.001802,0.001802
17,195.375,1.0806,0.95237,1.18077,0.80536,0.68225,0.76919,0.53817,0.99251,0.79658,1.1119,0.0017888,0.0017888,0.0017888
18,206.553,1.08193,0.94135,1.1797,0.79227,0.66635,0.75538,0.52033,1.0039,0.82309,1.10288,0.0017756,0.0017756,0.0017756
19,217.758,1.04179,0.90333,1.15618,0.84562,0.63417,0.75212,0.53677,0.97624,0.80412,1.09863,0.0017624,0.0017624,0.0017624
20,229.442,1.04541,0.90533,1.15468,0.7844,0.70165,0.77427,0.53508,0.9668,0.75968,1.08802,0.0017492,0.0017492,0.0017492
21,241.119,1.04125,0.88561,1.14405,0.82914,0.67017,0.77518,0.53756,0.98872,0.7687,1.09743,0.001736,0.001736,0.001736
22,252.368,1.04576,0.87822,1.14197,0.8385,0.68352,0.7917,0.55538,0.96533,0.74285,1.08793,0.0017228,0.0017228,0.0017228
23,263.611,1.02388,0.8854,1.13879,0.81859,0.66698,0.75843,0.53343,0.98444,0.75941,1.08707,0.0017096,0.0017096,0.0017096
24,274.906,1.01675,0.84805,1.13093,0.80527,0.67473,0.75765,0.55137,0.93609,0.76507,1.07574,0.0016964,0.0016964,0.0016964
25,286.104,0.99839,0.84736,1.12801,0.8275,0.67525,0.78464,0.54584,0.98,0.77575,1.09113,0.0016832,0.0016832,0.0016832
26,297.368,1.01166,0.85232,1.12618,0.84766,0.68607,0.79557,0.5704,0.93373,0.72054,1.07227,0.00167,0.00167,0.00167
27,308.579,0.99058,0.83193,1.12677,0.84575,0.68893,0.80468,0.56878,0.95005,0.72334,1.06862,0.0016568,0.0016568,0.0016568
28,319.779,0.99349,0.83384,1.12002,0.84769,0.70102,0.80661,0.58495,0.91159,0.6944,1.04986,0.0016436,0.0016436,0.0016436
29,330.982,0.99275,0.82599,1.12308,0.85856,0.68735,0.79697,0.57067,0.94623,0.71469,1.06328,0.0016304,0.0016304,0.0016304
30,342.159,0.98193,0.8037,1.11213,0.86412,0.68034,0.79484,0.56992,0.94865,0.72931,1.07253,0.0016172,0.0016172,0.0016172
31,353.413,0.98594,0.8072,1.11736,0.8494,0.7535,0.83973,0.59319,0.9019,0.68171,1.04245,0.001604,0.001604,0.001604
32,364.622,0.97473,0.80522,1.10785,0.82168,0.71279,0.80678,0.57759,0.91833,0.70633,1.04968,0.0015908,0.0015908,0.0015908
