epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0931,1.44187,2.97238,1.42758,0.23317,0.30193,0.25577,0.16125,1.27578,2.23182,1.28539,0.000413647,0.000413647,0.000413647
2,27.1585,1.3479,2.23971,1.35153,0.28465,0.34003,0.28601,0.17993,1.27596,1.91128,1.32897,0.000824834,0.000824834,0.000824834
3,39.0647,1.3266,1.95826,1.33207,0.35272,0.2513,0.27897,0.17136,1.32437,2.01934,1.3684,0.00123052,0.00123052,0.00123052
4,50.9771,1.31361,1.78804,1.32559,0.39255,0.36986,0.34414,0.21906,1.23201,1.70102,1.30619,0.00122525,0.00122525,0.00122525
5,62.5123,1.27631,1.64102,1.30738,0.35455,0.41109,0.35275,0.20733,1.23548,1.57083,1.27453,0.001217,0.001217,0.001217
6,73.7949,1.24544,1.57033,1.28367,0.35922,0.41871,0.35573,0.23271,1.15551,1.48135,1.2263,0.00120875,0.00120875,0.00120875
7,85.0899,1.21635,1.48217,1.27141,0.42033,0.41436,0.40482,0.2612,1.13354,1.34685,1.21262,0.0012005,0.0012005,0.0012005
8,96.7233,1.21164,1.44199,1.25097,0.38769,0.44926,0.40586,0.26807,1.08806,1.32792,1.18358,0.00119225,0.00119225,0.00119225
9,108.015,1.1457,1.38567,1.23297,0.43197,0.48336,0.41411,0.28342,1.06881,1.34288,1.17278,0.001184,0.001184,0.001184
10,119.266,1.15623,1.33984,1.2323,0.47537,0.49893,0.46174,0.29967,1.08611,1.22868,1.16804,0.00117575,0.00117575,0.00117575
11,130.567,1.16414,1.36328,1.23935,0.45232,0.50635,0.46359,0.29711,1.11686,1.31002,1.19516,0.0011675,0.0011675,0.0011675
12,141.816,1.12458,1.29291,1.21004,0.49723,0.4484,0.45765,0.30741,1.09349,1.19608,1.17304,0.00115925,0.00115925,0.00115925
13,153.047,1.11034,1.27671,1.21068,0.42586,0.52583,0.48692,0.32182,1.03634,1.15083,1.15204,0.001151,0.001151,0.001151
14,164.323,1.09162,1.23496,1.1965,0.52443,0.51713,0.50599,0.34869,1.03041,1.12894,1.13558,0.00114275,0.00114275,0.00114275
15,175.611,1.093,1.22968,1.1953,0.53766,0.52365,0.5254,0.35751,0.99057,1.08919,1.13011,0.0011345,0.0011345,0.0011345
16,186.909,1.08975,1.20522,1.18926,0.44192,0.56601,0.49798,0.3402,0.99411,1.14412,1.13048,0.00112625,0.00112625,0.00112625
17,198.44,1.06496,1.16105,1.17468,0.52456,0.53088,0.5273,0.36594,0.99637,1.08446,1.11837,0.001118,0.001118,0.001118
18,209.693,1.05665,1.16486,1.17167,0.52776,0.55759,0.53038,0.37637,0.98826,1.11201,1.10508,0.00110975,0.00110975,0.00110975
19,220.966,1.04482,1.1137,1.16343,0.60747,0.55921,0.57698,0.39546,0.94341,0.99469,1.08784,0.0011015,0.0011015,0.0011015
20,232.206,1.04993,1.13124,1.16437,0.53207,0.54567,0.55711,0.38766,0.95485,1.04183,1.09109,0.00109325,0.00109325,0.00109325
21,243.5,1.03673,1.10943,1.15468,0.56276,0.54808,0.53942,0.38515,0.95952,1.06396,1.09025,0.001085,0.001085,0.001085
22,254.758,1.03127,1.09018,1.15399,0.55888,0.58132,0.57455,0.40234,0.95432,1.00172,1.09293,0.00107675,0.00107675,0.00107675
23,266.04,1.01926,1.06404,1.13997,0.62564,0.55922,0.59358,0.4165,0.95487,1.00156,1.08965,0.0010685,0.0010685,0.0010685
24,277.381,1.0115,1.06809,1.14351,0.56417,0.5894,0.55103,0.39398,0.9606,1.03655,1.09376,0.00106025,0.00106025,0.00106025
25,288.626,0.98698,1.06087,1.14669,0.59383,0.58837,0.59585,0.43107,0.92807,0.97907,1.07471,0.001052,0.001052,0.001052
26,300.163,1.01222,1.04734,1.13979,0.55659,0.59129,0.58505,0.39885,0.97641,1.00955,1.09855,0.00104375,0.00104375,0.00104375
27,311.421,0.99576,1.02373,1.13521,0.62853,0.57607,0.6155,0.43497,0.94855,0.95936,1.08431,0.0010355,0.0010355,0.0010355
28,322.679,0.98552,1.01688,1.12689,0.64031,0.58557,0.62639,0.43964,0.92622,0.93533,1.07651,0.00102725,0.00102725,0.00102725
29,334,0.98742,1.00081,1.1271,0.62753,0.56225,0.60302,0.42967,0.94634,0.96455,1.07541,0.001019,0.001019,0.001019
30,345.407,0.97471,0.99621,1.11927,0.58103,0.61187,0.61853,0.43958,0.92599,0.91684,1.07012,0.00101075,0.00101075,0.00101075
31,356.966,0.97455,0.98219,1.11324,0.63129,0.59467,0.62621,0.45004,0.90494,0.93116,1.07,0.0010025,0.0010025,0.0010025
32,368.207,0.94843,0.97258,1.113,0.61846,0.59323,0.60524,0.43411,0.93216,0.93579,1.07515,0.00099425,0.00099425,0.00099425
33,379.464,0.95537,0.96234,1.11008,0.61764,0.62011,0.6254,0.43986,0.90532,0.90115,1.06004,0.000986,0.000986,0.000986
34,390.715,0.94444,0.95702,1.10742,0.6299,0.57507,0.61808,0.4399,0.92505,0.95025,1.06414,0.00097775,0.00097775,0.00097775
35,401.978,0.95021,0.94801,1.11111,0.62405,0.62231,0.63809,0.46151,0.90133,0.89101,1.06157,0.0009695,0.0009695,0.0009695
36,413.351,0.94646,0.9129,1.09056,0.67036,0.61851,0.65963,0.48275,0.86768,0.8513,1.04816,0.00096125,0.00096125,0.00096125
37,424.584,0.9446,0.94263,1.10787,0.63615,0.58928,0.62155,0.4547,0.89847,0.88785,1.05678,0.000953,0.000953,0.000953
38,435.828,0.94739,0.92433,1.09547,0.65626,0.60495,0.63979,0.46319,0.88092,0.87445,1.04134,0.00094475,0.00094475,0.00094475
39,447.345,0.94872,0.90637,1.09552,0.60834,0.639,0.64352,0.47072,0.8763,0.87295,1.05514,0.0009365,0.0009365,0.0009365
40,459.277,0.93909,0.90917,1.1008,0.65149,0.6279,0.65584,0.47804,0.86144,0.87082,1.03571,0.00092825,0.00092825,0.00092825
41,470.761,0.92979,0.88263,1.08891,0.65259,0.61306,0.64627,0.47813,0.868,0.84913,1.03485,0.00092,0.00092,0.00092
42,482.318,0.92337,0.88862,1.08603,0.66536,0.6281,0.6666,0.49534,0.85817,0.83271,1.02948,0.00091175,0.00091175,0.00091175
43,493.555,0.91116,0.87684,1.0906,0.69878,0.63557,0.68719,0.50861,0.85118,0.82589,1.03374,0.0009035,0.0009035,0.0009035
