epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6759,1.43715,3.00199,1.41679,0.21176,0.26194,0.23203,0.14533,1.30259,2.40261,1.30141,0.000413647,0.000413647,0.000413647
2,26.2566,1.32999,2.2002,1.33466,0.27795,0.38336,0.29967,0.18591,1.2561,2.004,1.32922,0.000824834,0.000824834,0.000824834
3,37.9079,1.33305,1.96927,1.34903,0.34428,0.34467,0.30021,0.17823,1.42315,2.06057,1.46775,0.00123052,0.00123052,0.00123052
4,50.082,1.32786,1.74443,1.32694,0.29788,0.37984,0.30692,0.18699,1.2591,1.70431,1.30382,0.00122525,0.00122525,0.00122525
5,61.68,1.28169,1.68388,1.31961,0.41407,0.42038,0.37801,0.23395,1.18694,1.51144,1.24161,0.001217,0.001217,0.001217
6,72.9351,1.2522,1.56065,1.28243,0.34643,0.40458,0.34952,0.23044,1.16729,1.48887,1.23083,0.00120875,0.00120875,0.00120875
7,84.0364,1.19731,1.48365,1.26046,0.45335,0.42693,0.42198,0.26901,1.12707,1.38959,1.20573,0.0012005,0.0012005,0.0012005
8,95.163,1.19881,1.43898,1.24902,0.42232,0.46925,0.4188,0.28031,1.09115,1.30299,1.18571,0.00119225,0.00119225,0.00119225
9,106.351,1.14512,1.35471,1.23251,0.4906,0.47702,0.45358,0.29522,1.07977,1.25735,1.16877,0.001184,0.001184,0.001184
10,117.512,1.14344,1.34343,1.21452,0.44886,0.51346,0.46793,0.30411,1.10248,1.2561,1.17731,0.00117575,0.00117575,0.00117575
11,128.638,1.14,1.31503,1.21908,0.43691,0.52544,0.4653,0.3061,1.05622,1.18999,1.15971,0.0011675,0.0011675,0.0011675
12,139.778,1.12951,1.32042,1.21883,0.48528,0.47126,0.45235,0.29956,1.0444,1.27624,1.15763,0.00115925,0.00115925,0.00115925
13,150.924,1.12306,1.30166,1.21419,0.6452,0.457,0.5,0.32412,1.02438,1.16729,1.13177,0.001151,0.001151,0.001151
14,161.985,1.08834,1.25016,1.19565,0.51252,0.54741,0.52117,0.35876,0.99981,1.11834,1.12481,0.00114275,0.00114275,0.00114275
15,173.108,1.09292,1.21542,1.19311,0.48262,0.53547,0.49877,0.32948,1.04469,1.13497,1.15589,0.0011345,0.0011345,0.0011345
16,184.173,1.08107,1.22289,1.19808,0.52251,0.53491,0.51814,0.35261,0.99068,1.10782,1.11997,0.00112625,0.00112625,0.00112625
17,195.286,1.066,1.197,1.18221,0.47359,0.52976,0.49105,0.33285,0.99167,1.15353,1.12131,0.001118,0.001118,0.001118
18,206.358,1.08167,1.19142,1.18529,0.52232,0.56037,0.54232,0.36778,1.00201,1.07962,1.11951,0.00110975,0.00110975,0.00110975
19,217.481,1.03301,1.11473,1.16208,0.50516,0.5474,0.55256,0.37281,0.97804,1.03744,1.09688,0.0011015,0.0011015,0.0011015
20,228.674,1.03547,1.12555,1.15805,0.56756,0.5266,0.53577,0.37297,0.97501,1.04947,1.10749,0.00109325,0.00109325,0.00109325
21,239.94,1.0437,1.11665,1.15098,0.56479,0.55795,0.57058,0.39514,0.96595,1.01611,1.09749,0.001085,0.001085,0.001085
22,251.116,1.03743,1.09415,1.14882,0.58923,0.56691,0.58288,0.40291,0.94614,0.98218,1.08137,0.00107675,0.00107675,0.00107675
23,262.237,1.01943,1.10214,1.14746,0.59871,0.55716,0.57982,0.39444,0.96881,0.9886,1.0897,0.0010685,0.0010685,0.0010685
24,273.375,1.01448,1.05918,1.13833,0.53936,0.57637,0.54865,0.36902,0.96664,1.00105,1.09839,0.00106025,0.00106025,0.00106025
25,284.478,0.99568,1.05424,1.13253,0.62406,0.56999,0.59506,0.42254,0.93822,0.96086,1.07741,0.001052,0.001052,0.001052
26,295.63,1.00341,1.05514,1.13115,0.60362,0.50409,0.55888,0.39137,0.94708,1.01785,1.0872,0.00104375,0.00104375,0.00104375
27,306.78,0.98326,1.03245,1.12572,0.60741,0.5672,0.59231,0.43131,0.91414,0.94706,1.06907,0.0010355,0.0010355,0.0010355
28,317.881,0.98984,1.03684,1.12703,0.58022,0.58378,0.58645,0.42164,0.92281,0.99246,1.08108,0.00102725,0.00102725,0.00102725
29,329.025,0.99134,1.02632,1.13374,0.64945,0.52915,0.60225,0.43712,0.90649,0.94097,1.05937,0.001019,0.001019,0.001019
30,340.085,0.97646,0.99388,1.11784,0.66088,0.58513,0.62554,0.45446,0.92167,0.95576,1.06686,0.00101075,0.00101075,0.00101075
31,351.7,0.98231,1.00053,1.12326,0.63163,0.5644,0.6005,0.41753,0.92214,0.97625,1.06678,0.0010025,0.0010025,0.0010025
32,362.792,0.97282,0.98751,1.11688,0.6122,0.6026,0.61594,0.43189,0.91232,0.94007,1.06705,0.00099425,0.00099425,0.00099425
33,373.88,0.96598,0.98779,1.11177,0.61632,0.58117,0.59423,0.43191,0.90104,0.94019,1.05686,0.000986,0.000986,0.000986
34,384.956,0.9441,0.94824,1.10655,0.6484,0.63667,0.6618,0.47119,0.90756,0.86753,1.05661,0.00097775,0.00097775,0.00097775
35,396.163,0.95469,0.96997,1.10687,0.68871,0.58467,0.64659,0.46608,0.8758,0.87025,1.04265,0.0009695,0.0009695,0.0009695
36,407.282,0.94146,0.93343,1.09251,0.63048,0.59252,0.63508,0.46023,0.89157,0.89556,1.04938,0.00096125,0.00096125,0.00096125
37,418.402,0.94774,0.95312,1.11416,0.60781,0.61521,0.6301,0.44678,0.89249,0.90052,1.04847,0.000953,0.000953,0.000953
38,429.552,0.94852,0.93197,1.10129,0.61195,0.62767,0.63922,0.46044,0.88332,0.87231,1.04962,0.00094475,0.00094475,0.00094475
39,440.66,0.93817,0.93012,1.10796,0.57325,0.59212,0.59728,0.4222,0.8963,0.96917,1.04795,0.0009365,0.0009365,0.0009365
40,451.743,0.91721,0.90931,1.09203,0.64066,0.62401,0.63647,0.46243,0.89243,0.86596,1.0557,0.00092825,0.00092825,0.00092825
41,462.938,0.9386,0.91046,1.0955,0.68539,0.61174,0.66966,0.4861,0.87733,0.851,1.03659,0.00092,0.00092,0.00092
42,474.009,0.92424,0.90513,1.09228,0.67011,0.60639,0.65091,0.46512,0.87301,0.88576,1.03474,0.00091175,0.00091175,0.00091175
43,485.12,0.91381,0.88968,1.08799,0.66982,0.61415,0.66664,0.48605,0.86409,0.84862,1.02796,0.0009035,0.0009035,0.0009035
44,496.269,0.904,0.8892,1.08235,0.68268,0.62971,0.66679,0.4901,0.85624,0.83025,1.02942,0.00089525,0.00089525,0.00089525
45,507.448,0.90932,0.86976,1.07689,0.6901,0.64107,0.67025,0.4813,0.89292,0.85042,1.04351,0.000887,0.000887,0.000887
46,518.525,0.90238,0.86505,1.08231,0.7104,0.63619,0.69659,0.50799,0.85906,0.78955,1.02525,0.00087875,0.00087875,0.00087875
47,529.696,0.91342,0.85878,1.08696,0.68324,0.62642,0.67098,0.49002,0.86174,0.85123,1.03146,0.0008705,0.0008705,0.0008705
48,540.775,0.89401,0.85293,1.0774,0.68724,0.62666,0.66807,0.49038,0.84886,0.85363,1.03294,0.00086225,0.00086225,0.00086225
49,551.95,0.88297,0.84057,1.07296,0.66966,0.64279,0.67414,0.50133,0.83597,0.82745,1.02131,0.000854,0.000854,0.000854
50,563.051,0.88254,0.83923,1.07094,0.66377,0.66885,0.69191,0.5123,0.84817,0.8064,1.02944,0.00084575,0.00084575,0.00084575
51,574.676,0.88298,0.83376,1.07904,0.70004,0.63709,0.67899,0.5009,0.84685,0.79942,1.02407,0.0008375,0.0008375,0.0008375
52,585.843,0.88921,0.8222,1.07326,0.70059,0.61801,0.66449,0.50052,0.84627,0.85483,1.02786,0.00082925,0.00082925,0.00082925
53,597.013,0.87877,0.82307,1.06051,0.68448,0.62382,0.66969,0.5019,0.84588,0.81857,1.01896,0.000821,0.000821,0.000821
54,608.115,0.87084,0.80983,1.06091,0.71587,0.60159,0.6638,0.48384,0.8482,0.82033,1.02488,0.00081275,0.00081275,0.00081275
55,619.246,0.88282,0.79993,1.0656,0.69985,0.63248,0.68437,0.51587,0.83983,0.82306,1.02068,0.0008045,0.0008045,0.0008045
56,630.353,0.86822,0.80923,1.06931,0.71228,0.61875,0.68521,0.51044,0.83735,0.80303,1.01277,0.00079625,0.00079625,0.00079625
57,641.485,0.87642,0.80912,1.07054,0.6831,0.66765,0.68649,0.51605,0.83553,0.80061,1.01408,0.000788,0.000788,0.000788
58,652.619,0.85448,0.79809,1.05666,0.71711,0.63097,0.6929,0.53064,0.82442,0.81117,1.01119,0.00077975,0.00077975,0.00077975
59,663.797,0.87446,0.78823,1.06215,0.73018,0.65899,0.71191,0.53424,0.82157,0.78303,1.01085,0.0007715,0.0007715,0.0007715
60,674.99,0.86563,0.78082,1.053,0.68693,0.63933,0.68137,0.51747,0.82875,0.8211,1.01212,0.00076325,0.00076325,0.00076325
61,686.123,0.8555,0.76826,1.05484,0.72215,0.6415,0.70081,0.52916,0.82397,0.78199,1.01252,0.000755,0.000755,0.000755
62,697.199,0.84993,0.76574,1.05541,0.73261,0.65738,0.70872,0.53533,0.81771,0.78198,1.00751,0.00074675,0.00074675,0.00074675
63,708.311,0.85192,0.76804,1.0569,0.67262,0.64907,0.68019,0.51017,0.83311,0.81953,1.01771,0.0007385,0.0007385,0.0007385
