epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9065,1.54568,2.49226,1.54049,0.55538,0.40172,0.42236,0.23915,1.54094,2.442,1.5332,0.000661836,0.000661836,0.000661836
2,26.9049,1.45183,1.83215,1.46257,0.57814,0.46509,0.48384,0.27669,1.46775,2.3788,1.52732,0.00131973,0.00131973,0.00131973
3,39.1772,1.4316,1.62255,1.45488,0.55278,0.46785,0.48637,0.28971,1.52279,2.53297,1.52703,0.00196883,0.00196883,0.00196883
4,50.8019,1.41049,1.45526,1.41874,0.62303,0.47742,0.51684,0.30967,1.48522,1.54272,1.51073,0.0019604,0.0019604,0.0019604
5,62.4017,1.37194,1.38995,1.40974,0.66369,0.53912,0.59237,0.35552,1.38888,1.48506,1.42725,0.0019472,0.0019472,0.0019472
6,73.9416,1.32226,1.30043,1.3699,0.71987,0.54845,0.61383,0.38559,1.30018,1.23379,1.36727,0.001934,0.001934,0.001934
7,85.4747,1.26329,1.23276,1.33439,0.70811,0.56711,0.63829,0.40292,1.26281,1.27242,1.32392,0.0019208,0.0019208,0.0019208
8,97.038,1.24283,1.17738,1.31481,0.75441,0.59542,0.66571,0.44678,1.16785,1.15421,1.26932,0.0019076,0.0019076,0.0019076
9,108.559,1.19391,1.12749,1.29194,0.76408,0.60178,0.67199,0.44515,1.18184,1.0636,1.29022,0.0018944,0.0018944,0.0018944
10,120.129,1.19737,1.10069,1.27654,0.7968,0.60687,0.70766,0.46744,1.14432,1.00045,1.25004,0.0018812,0.0018812,0.0018812
11,131.667,1.18151,1.0915,1.27021,0.75286,0.62109,0.6749,0.46351,1.11835,1.00451,1.23573,0.001868,0.001868,0.001868
12,143.179,1.16612,1.0722,1.26739,0.77657,0.63678,0.7049,0.47189,1.13817,0.96576,1.24428,0.0018548,0.0018548,0.0018548
13,154.679,1.16108,1.07104,1.27118,0.74769,0.62277,0.69266,0.4608,1.10992,0.94568,1.22087,0.0018416,0.0018416,0.0018416
14,166.182,1.12137,1.0086,1.24244,0.80342,0.64822,0.72406,0.49625,1.06013,0.91891,1.18989,0.0018284,0.0018284,0.0018284
15,177.794,1.13087,1.00492,1.24364,0.80831,0.63707,0.72402,0.48655,1.10927,0.9455,1.21615,0.0018152,0.0018152,0.0018152
16,189.26,1.10758,0.98575,1.23579,0.83854,0.64313,0.75676,0.52852,1.0309,0.84431,1.17387,0.001802,0.001802,0.001802
17,200.866,1.10158,0.98106,1.2287,0.8209,0.66635,0.75548,0.51931,1.04104,0.84126,1.17656,0.0017888,0.0017888,0.0017888
18,212.366,1.09577,0.95469,1.2203,0.80917,0.66508,0.73808,0.51987,1.02556,0.8461,1.16956,0.0017756,0.0017756,0.0017756
19,223.975,1.06639,0.92569,1.2062,0.81973,0.6465,0.74606,0.51041,1.06443,0.85584,1.18042,0.0017624,0.0017624,0.0017624
