epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7536,2.03882,2.72537,1.90055,0.52135,0.36064,0.38698,0.20091,1.7195,2.34284,1.61594,0.000661836,0.000661836,0.000661836
2,30.2901,1.52002,1.80507,1.50927,0.54131,0.40235,0.41036,0.23531,1.65517,2.10793,1.65679,0.00131973,0.00131973,0.00131973
3,43.8233,1.46618,1.5989,1.48035,0.65283,0.50604,0.54898,0.33092,1.40305,1.48442,1.45342,0.00196883,0.00196883,0.00196883
4,57.3896,1.43271,1.45407,1.43758,0.56591,0.4631,0.47851,0.28662,1.45553,1.56599,1.49701,0.0019604,0.0019604,0.0019604
5,70.6038,1.36635,1.40119,1.40392,0.69962,0.53561,0.60226,0.36364,1.34846,1.29352,1.40788,0.0019472,0.0019472,0.0019472
6,83.8777,1.32542,1.29263,1.36778,0.68567,0.5613,0.60143,0.36987,1.31232,1.48587,1.38305,0.001934,0.001934,0.001934
7,97.0926,1.26683,1.24385,1.34507,0.71082,0.6021,0.66785,0.41292,1.21638,1.22776,1.30626,0.0019208,0.0019208,0.0019208
8,110.269,1.24767,1.18967,1.32569,0.74865,0.55136,0.63896,0.42354,1.21812,1.11935,1.30576,0.0019076,0.0019076,0.0019076
9,123.484,1.20609,1.13788,1.30689,0.72302,0.55462,0.61249,0.39718,1.24499,1.24873,1.34681,0.0018944,0.0018944,0.0018944
10,136.694,1.20511,1.11901,1.29683,0.75286,0.61332,0.69529,0.46083,1.15629,1.03181,1.25616,0.0018812,0.0018812,0.0018812
11,149.921,1.18728,1.10123,1.28512,0.78269,0.62549,0.69767,0.48016,1.11422,0.96651,1.24689,0.001868,0.001868,0.001868
12,163.101,1.17137,1.08334,1.28005,0.797,0.60337,0.71446,0.47527,1.13806,0.97236,1.25675,0.0018548,0.0018548,0.0018548
13,176.276,1.1673,1.08072,1.2852,0.78254,0.68098,0.75153,0.50249,1.07986,0.91829,1.21565,0.0018416,0.0018416,0.0018416
14,189.445,1.12668,1.01959,1.26206,0.80459,0.6126,0.70374,0.48674,1.07624,0.94666,1.22437,0.0018284,0.0018284,0.0018284
15,202.714,1.13651,1.02677,1.26144,0.77361,0.64235,0.7139,0.49937,1.07888,0.89878,1.21517,0.0018152,0.0018152,0.0018152
16,215.886,1.12504,1.00749,1.26071,0.8122,0.64651,0.73777,0.51248,1.04874,0.8784,1.19159,0.001802,0.001802,0.001802
17,229.14,1.11037,0.99697,1.24219,0.80173,0.63963,0.72531,0.51219,1.03918,0.89104,1.19109,0.0017888,0.0017888,0.0017888
18,242.297,1.10481,0.97826,1.24431,0.78761,0.65235,0.72967,0.50781,1.052,0.8926,1.19529,0.0017756,0.0017756,0.0017756
19,255.551,1.07093,0.93421,1.22404,0.79032,0.633,0.72513,0.48765,1.10954,0.93549,1.22156,0.0017624,0.0017624,0.0017624
20,268.893,1.07443,0.93948,1.22062,0.77473,0.64429,0.72499,0.50684,1.02227,0.838,1.18099,0.0017492,0.0017492,0.0017492
21,282.189,1.07185,0.91377,1.20461,0.83418,0.65076,0.74224,0.52107,1.00972,0.82282,1.17034,0.001736,0.001736,0.001736
22,295.459,1.07851,0.91845,1.20598,0.77958,0.73155,0.79386,0.53919,1.03003,0.78409,1.1769,0.0017228,0.0017228,0.0017228
23,308.669,1.04357,0.91149,1.19973,0.82527,0.66031,0.7522,0.52104,1.03385,0.80188,1.17396,0.0017096,0.0017096,0.0017096
24,321.94,1.03763,0.8815,1.19524,0.80117,0.66539,0.7478,0.53288,0.989,0.80325,1.15497,0.0016964,0.0016964,0.0016964
25,335.089,1.02021,0.86789,1.18608,0.82872,0.6638,0.75826,0.53462,1.00507,0.81714,1.15945,0.0016832,0.0016832,0.0016832
26,348.328,1.02598,0.87151,1.183,0.82681,0.69092,0.77749,0.55016,0.98312,0.79683,1.16375,0.00167,0.00167,0.00167
27,361.578,1.00605,0.86068,1.18107,0.84561,0.65852,0.77514,0.56097,0.97071,0.80085,1.14007,0.0016568,0.0016568,0.0016568
28,374.796,1.01447,0.86296,1.17865,0.81999,0.68543,0.7804,0.5549,0.97342,0.77042,1.14119,0.0016436,0.0016436,0.0016436
29,387.976,1.01262,0.84044,1.18205,0.84715,0.67691,0.7815,0.55723,0.9708,0.749,1.13345,0.0016304,0.0016304,0.0016304
30,401.151,0.99661,0.82365,1.16589,0.84818,0.68055,0.78235,0.56529,0.95135,0.73919,1.12073,0.0016172,0.0016172,0.0016172
31,414.383,1.00967,0.83827,1.17622,0.8325,0.73632,0.81761,0.58141,0.94046,0.70739,1.12184,0.001604,0.001604,0.001604
32,427.564,0.99457,0.83805,1.16291,0.82316,0.67716,0.77037,0.55735,0.94959,0.7445,1.11733,0.0015908,0.0015908,0.0015908
33,440.767,0.99348,0.81932,1.16605,0.81967,0.71565,0.79484,0.56046,0.94354,0.73138,1.1244,0.0015776,0.0015776,0.0015776
34,453.914,0.95788,0.80078,1.1522,0.84697,0.69943,0.80479,0.57302,0.93947,0.72534,1.11433,0.0015644,0.0015644,0.0015644
35,467.151,0.98353,0.81093,1.16168,0.83377,0.70515,0.80738,0.5868,0.90398,0.68783,1.09938,0.0015512,0.0015512,0.0015512
36,480.679,0.97527,0.79911,1.14918,0.82386,0.73473,0.82207,0.58709,0.91894,0.70065,1.1038,0.001538,0.001538,0.001538
37,494.2,0.96941,0.79605,1.15971,0.82156,0.71406,0.81346,0.58161,0.92945,0.70686,1.11535,0.0015248,0.0015248,0.0015248
38,507.433,0.96004,0.77599,1.1435,0.80599,0.76111,0.82913,0.5875,0.92226,0.69117,1.10098,0.0015116,0.0015116,0.0015116
39,520.655,0.9596,0.78153,1.1567,0.86408,0.69116,0.78374,0.57559,0.89928,0.70975,1.09888,0.0014984,0.0014984,0.0014984
40,533.792,0.93364,0.77616,1.14252,0.86905,0.69625,0.81067,0.59425,0.89422,0.67719,1.093,0.0014852,0.0014852,0.0014852
41,547.06,0.96293,0.77251,1.14317,0.85392,0.69784,0.7902,0.57813,0.91446,0.7019,1.10449,0.001472,0.001472,0.001472
42,560.211,0.93504,0.75947,1.13642,0.86882,0.67971,0.78897,0.59131,0.89073,0.71881,1.08086,0.0014588,0.0014588,0.0014588
43,573.41,0.93541,0.76915,1.14057,0.83991,0.75191,0.83334,0.60407,0.88999,0.6681,1.0865,0.0014456,0.0014456,0.0014456
44,586.634,0.93735,0.75893,1.13718,0.84901,0.72433,0.82702,0.60181,0.89139,0.65,1.08867,0.0014324,0.0014324,0.0014324
45,599.896,0.933,0.74127,1.12658,0.83612,0.76622,0.84606,0.6149,0.88035,0.64745,1.07939,0.0014192,0.0014192,0.0014192
46,613.019,0.91515,0.73609,1.12687,0.84098,0.75188,0.83979,0.61545,0.88388,0.64283,1.08408,0.001406,0.001406,0.001406
47,626.279,0.9275,0.73938,1.13275,0.86348,0.74587,0.84257,0.61114,0.87926,0.64432,1.07984,0.0013928,0.0013928,0.0013928
48,639.425,0.92131,0.72502,1.1274,0.84555,0.73131,0.82806,0.60545,0.87714,0.64347,1.08067,0.0013796,0.0013796,0.0013796
49,652.687,0.90385,0.71795,1.11456,0.89228,0.69553,0.81581,0.60017,0.87426,0.63729,1.06656,0.0013664,0.0013664,0.0013664
50,665.845,0.90104,0.70641,1.11742,0.85157,0.77554,0.85223,0.62626,0.87163,0.63515,1.07592,0.0013532,0.0013532,0.0013532
51,679.051,0.89625,0.71267,1.12169,0.85199,0.75067,0.83752,0.60625,0.87759,0.64047,1.07443,0.00134,0.00134,0.00134
52,692.184,0.90327,0.70645,1.11711,0.82335,0.74396,0.83009,0.60841,0.87776,0.64318,1.07448,0.0013268,0.0013268,0.0013268
53,705.477,0.89744,0.69635,1.10237,0.85534,0.75732,0.84332,0.61947,0.85997,0.62727,1.05874,0.0013136,0.0013136,0.0013136
54,718.68,0.89035,0.69606,1.10173,0.85835,0.74491,0.83508,0.61379,0.87252,0.64028,1.05901,0.0013004,0.0013004,0.0013004
55,731.92,0.90263,0.70194,1.11126,0.86432,0.72933,0.82569,0.61516,0.85387,0.62064,1.05782,0.0012872,0.0012872,0.0012872
56,745.084,0.88686,0.69494,1.11379,0.87297,0.71501,0.82703,0.60983,0.87787,0.62836,1.06743,0.001274,0.001274,0.001274
57,758.289,0.89077,0.70163,1.11098,0.85955,0.75795,0.83926,0.62474,0.84357,0.62325,1.04949,0.0012608,0.0012608,0.0012608
58,771.473,0.8727,0.68743,1.10013,0.86945,0.7535,0.84486,0.61985,0.84316,0.62539,1.04942,0.0012476,0.0012476,0.0012476
59,784.717,0.89743,0.69547,1.10958,0.87302,0.76539,0.84393,0.6144,0.84915,0.60741,1.06066,0.0012344,0.0012344,0.0012344
60,798.013,0.87782,0.6771,1.09309,0.87054,0.74714,0.84021,0.61322,0.83883,0.58954,1.04917,0.0012212,0.0012212,0.0012212
61,811.248,0.87144,0.67453,1.09628,0.87666,0.76184,0.84885,0.62793,0.84788,0.60032,1.05238,0.001208,0.001208,0.001208
62,824.473,0.86708,0.6794,1.09697,0.87091,0.73982,0.83666,0.62629,0.83749,0.61354,1.04564,0.0011948,0.0011948,0.0011948
63,837.691,0.8677,0.66683,1.09729,0.87567,0.77545,0.85813,0.63147,0.83698,0.58333,1.04522,0.0011816,0.0011816,0.0011816
