epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4058,1.58331,3.19058,1.58924,0.22591,0.23367,0.17752,0.10079,1.48078,2.71909,1.48504,0.000413647,0.000413647,0.000413647
2,28.8705,1.43804,2.35209,1.45659,0.49031,0.25807,0.25545,0.14691,1.44399,2.84732,1.49201,0.000824834,0.000824834,0.000824834
3,41.5841,1.41417,2.11267,1.45984,0.62536,0.25722,0.2797,0.15983,1.40796,2.23915,1.4558,0.00123052,0.00123052,0.00123052
4,53.9411,1.39788,1.8672,1.41385,0.31306,0.29041,0.27847,0.16267,1.3772,1.88462,1.42718,0.00122525,0.00122525,0.00122525
5,66.1795,1.32995,1.76188,1.39902,0.41364,0.35192,0.35617,0.22296,1.28436,1.59427,1.38341,0.001217,0.001217,0.001217
6,78.3326,1.30312,1.63223,1.36111,0.34776,0.39996,0.35026,0.21579,1.3208,1.55637,1.40059,0.00120875,0.00120875,0.00120875
7,90.4892,1.25041,1.55898,1.33609,0.40401,0.42333,0.3924,0.24374,1.24169,1.45297,1.34754,0.0012005,0.0012005,0.0012005
8,102.652,1.24592,1.48801,1.32834,0.47214,0.45547,0.4269,0.27254,1.17414,1.37439,1.29006,0.00119225,0.00119225,0.00119225
9,114.805,1.18699,1.41938,1.29322,0.42838,0.43199,0.40051,0.25879,1.19106,1.37904,1.28812,0.001184,0.001184,0.001184
10,126.966,1.19246,1.37976,1.28293,0.48852,0.48505,0.46352,0.2984,1.12854,1.25069,1.23676,0.00117575,0.00117575,0.00117575
11,139.138,1.17337,1.35128,1.27931,0.44894,0.48791,0.44826,0.29509,1.11005,1.27312,1.24178,0.0011675,0.0011675,0.0011675
12,151.274,1.16127,1.35885,1.27025,0.48042,0.48724,0.46735,0.30122,1.09765,1.25021,1.22363,0.00115925,0.00115925,0.00115925
13,163.428,1.15511,1.34923,1.27736,0.47769,0.5366,0.49227,0.31646,1.08707,1.19365,1.22595,0.001151,0.001151,0.001151
14,175.558,1.11443,1.27935,1.24692,0.53743,0.5149,0.50653,0.33746,1.0655,1.19991,1.20171,0.00114275,0.00114275,0.00114275
15,187.744,1.12391,1.24519,1.24513,0.55223,0.50355,0.5077,0.33867,1.06557,1.18874,1.20144,0.0011345,0.0011345,0.0011345
16,199.804,1.10945,1.24458,1.2463,0.46789,0.5007,0.46849,0.31001,1.07134,1.2341,1.22528,0.00112625,0.00112625,0.00112625
17,211.938,1.09862,1.22751,1.23346,0.50022,0.5077,0.5023,0.33723,1.05,1.14118,1.18791,0.001118,0.001118,0.001118
18,224.093,1.09947,1.21123,1.23188,0.48605,0.50603,0.48676,0.32427,1.04233,1.16151,1.18607,0.00110975,0.00110975,0.00110975
19,236.261,1.07026,1.15633,1.22062,0.57611,0.54799,0.56112,0.37452,1.02929,1.08612,1.16839,0.0011015,0.0011015,0.0011015
20,248.522,1.05723,1.15824,1.20611,0.53302,0.5317,0.52949,0.35883,1.0072,1.09381,1.1548,0.00109325,0.00109325,0.00109325
21,260.722,1.06604,1.13777,1.19855,0.54191,0.54052,0.54518,0.36333,1.0494,1.09456,1.18639,0.001085,0.001085,0.001085
22,272.932,1.06834,1.13018,1.20014,0.55664,0.59997,0.58476,0.39544,0.98171,1.02376,1.14441,0.00107675,0.00107675,0.00107675
23,285.095,1.04542,1.11647,1.19715,0.59805,0.57727,0.58204,0.40246,0.98392,1.02906,1.14221,0.0010685,0.0010685,0.0010685
24,297.296,1.0432,1.07549,1.18669,0.56523,0.56256,0.55812,0.37942,1.02185,1.06027,1.16789,0.00106025,0.00106025,0.00106025
25,309.421,1.01611,1.08227,1.18268,0.5882,0.57487,0.5899,0.39719,0.9933,1.03428,1.15053,0.001052,0.001052,0.001052
26,321.591,1.02433,1.08323,1.17726,0.57607,0.56553,0.57214,0.40006,0.96165,1.03163,1.13368,0.00104375,0.00104375,0.00104375
27,333.732,1.00615,1.05808,1.17378,0.59218,0.5812,0.60292,0.42236,0.95699,0.98548,1.13208,0.0010355,0.0010355,0.0010355
28,345.87,1.01083,1.05588,1.17529,0.59025,0.5401,0.5637,0.38663,0.97129,1.00361,1.13604,0.00102725,0.00102725,0.00102725
29,357.955,1.01057,1.04547,1.17351,0.64148,0.57827,0.60799,0.43364,0.96446,0.99319,1.12107,0.001019,0.001019,0.001019
30,370.088,1.00078,1.01867,1.16359,0.60074,0.56299,0.58955,0.41634,0.95137,1.00162,1.12119,0.00101075,0.00101075,0.00101075
31,382.256,1.00114,1.01949,1.16583,0.61007,0.59533,0.61331,0.4294,0.95509,0.9747,1.12216,0.0010025,0.0010025,0.0010025
32,394.401,0.99416,1.00531,1.15908,0.60949,0.56819,0.58615,0.41105,0.95236,1.01177,1.12334,0.00099425,0.00099425,0.00099425
33,406.545,0.98869,1.01213,1.15532,0.60161,0.61883,0.62785,0.44733,0.93711,0.92128,1.10514,0.000986,0.000986,0.000986
34,418.654,0.95623,0.97842,1.14531,0.65788,0.55533,0.60829,0.43045,0.94439,0.982,1.11361,0.00097775,0.00097775,0.00097775
35,431.382,0.97286,0.98074,1.14696,0.60753,0.59374,0.62722,0.44724,0.9138,0.92084,1.09695,0.0009695,0.0009695,0.0009695
36,443.562,0.95766,0.94818,1.12994,0.64608,0.58905,0.63501,0.44965,0.93439,0.92614,1.10791,0.00096125,0.00096125,0.00096125
37,455.723,0.96527,0.96462,1.15219,0.65896,0.58555,0.63859,0.45842,0.90785,0.92343,1.09772,0.000953,0.000953,0.000953
38,467.954,0.96556,0.94281,1.13796,0.61933,0.62578,0.64441,0.45863,0.91408,0.93811,1.0884,0.00094475,0.00094475,0.00094475
39,480.124,0.9559,0.9468,1.14541,0.5801,0.61198,0.60685,0.43112,0.92306,1.01794,1.09718,0.0009365,0.0009365,0.0009365
40,492.215,0.93133,0.9286,1.12641,0.66144,0.58952,0.64252,0.4717,0.88195,0.91405,1.07587,0.00092825,0.00092825,0.00092825
41,504.445,0.95358,0.92474,1.13148,0.67861,0.60253,0.64299,0.46921,0.89035,0.93194,1.07311,0.00092,0.00092,0.00092
42,516.562,0.93763,0.92016,1.1268,0.65097,0.62918,0.6412,0.46936,0.88727,0.91556,1.07209,0.00091175,0.00091175,0.00091175
43,528.711,0.92564,0.91528,1.12526,0.71832,0.6044,0.66354,0.48398,0.89417,0.88586,1.08342,0.0009035,0.0009035,0.0009035
44,540.896,0.92531,0.90659,1.12272,0.68012,0.61415,0.66033,0.47651,0.89675,0.86669,1.0815,0.00089525,0.00089525,0.00089525
45,553.094,0.92172,0.88554,1.11176,0.67661,0.61639,0.6722,0.49124,0.88208,0.84748,1.0763,0.000887,0.000887,0.000887
46,565.181,0.91111,0.89106,1.11312,0.66737,0.63294,0.66922,0.49417,0.87683,0.8419,1.06927,0.00087875,0.00087875,0.00087875
47,577.414,0.92072,0.8796,1.11766,0.65797,0.64259,0.67637,0.48773,0.88125,0.85642,1.06421,0.0008705,0.0008705,0.0008705
48,589.521,0.90064,0.86191,1.10907,0.63707,0.63084,0.65615,0.48061,0.86556,0.88382,1.06554,0.00086225,0.00086225,0.00086225
49,601.686,0.90282,0.85023,1.10811,0.69387,0.58145,0.66009,0.48771,0.87237,0.8941,1.06362,0.000854,0.000854,0.000854
50,613.815,0.8926,0.85223,1.10491,0.70424,0.61578,0.67465,0.4982,0.87231,0.8686,1.07279,0.00084575,0.00084575,0.00084575
51,625.946,0.89543,0.85163,1.11218,0.71413,0.61809,0.67556,0.49627,0.87223,0.85122,1.06654,0.0008375,0.0008375,0.0008375
52,638.033,0.89982,0.83905,1.10529,0.69719,0.62157,0.67257,0.50479,0.87345,0.85981,1.05959,0.00082925,0.00082925,0.00082925
53,650.236,0.89107,0.83078,1.09435,0.72361,0.59278,0.66198,0.49438,0.86934,0.8822,1.06553,0.000821,0.000821,0.000821
54,662.342,0.88645,0.8258,1.0962,0.71701,0.64278,0.69309,0.5199,0.8581,0.84068,1.05106,0.00081275,0.00081275,0.00081275
55,674.504,0.89088,0.81189,1.09619,0.70292,0.63228,0.68623,0.50641,0.84986,0.82565,1.05117,0.0008045,0.0008045,0.0008045
56,686.625,0.87942,0.81561,1.10104,0.69918,0.66967,0.69563,0.51901,0.85317,0.83736,1.04476,0.00079625,0.00079625,0.00079625
57,698.772,0.88144,0.82174,1.10341,0.70854,0.63549,0.70157,0.52389,0.84665,0.80899,1.04718,0.000788,0.000788,0.000788
58,710.903,0.86569,0.81057,1.0882,0.72069,0.60145,0.6812,0.51404,0.8577,0.84387,1.04993,0.00077975,0.00077975,0.00077975
59,723.098,0.88796,0.80054,1.09621,0.7032,0.65448,0.69236,0.5124,0.85135,0.83039,1.04486,0.0007715,0.0007715,0.0007715
60,735.321,0.87269,0.78913,1.0838,0.67815,0.62927,0.66242,0.49975,0.86943,0.88027,1.0601,0.00076325,0.00076325,0.00076325
