epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4896,2.06016,2.76718,1.94485,0.51942,0.3098,0.3054,0.16092,1.80442,2.76864,1.80681,0.000661836,0.000661836,0.000661836
2,31.6295,1.53916,1.84591,1.517,0.57853,0.41062,0.43236,0.25335,1.5754,2.22008,1.60464,0.00131973,0.00131973,0.00131973
3,46.1519,1.47464,1.6138,1.4919,0.58235,0.43639,0.46733,0.27496,1.51474,2.57847,1.56059,0.00196883,0.00196883,0.00196883
4,59.987,1.45471,1.48578,1.45602,0.59664,0.51329,0.53485,0.32452,1.36349,1.47545,1.399,0.0019604,0.0019604,0.0019604
5,73.8064,1.37585,1.40739,1.41742,0.69274,0.55884,0.61596,0.37868,1.3367,1.26495,1.40944,0.0019472,0.0019472,0.0019472
6,87.579,1.3373,1.31076,1.38185,0.73515,0.5757,0.63704,0.40074,1.30555,1.20495,1.37464,0.001934,0.001934,0.001934
7,101.332,1.26466,1.25143,1.34807,0.72328,0.58556,0.63954,0.40572,1.20843,1.14047,1.32762,0.0019208,0.0019208,0.0019208
8,115.093,1.25758,1.20883,1.33834,0.76593,0.59351,0.66644,0.43308,1.21124,1.09449,1.31614,0.0019076,0.0019076,0.0019076
9,128.867,1.21125,1.14096,1.30963,0.76019,0.59478,0.66769,0.4467,1.18458,1.06882,1.29478,0.0018944,0.0018944,0.0018944
10,142.706,1.21441,1.11349,1.30577,0.7191,0.61557,0.6762,0.43573,1.16148,1.10602,1.26689,0.0018812,0.0018812,0.0018812
11,156.447,1.18382,1.10994,1.29652,0.75487,0.63772,0.69307,0.46878,1.12404,0.96962,1.25243,0.001868,0.001868,0.001868
12,170.235,1.17505,1.08975,1.29239,0.77143,0.62818,0.70888,0.47622,1.12242,0.97972,1.25628,0.0018548,0.0018548,0.0018548
13,184.008,1.16152,1.08281,1.29415,0.77694,0.61768,0.69201,0.46724,1.10241,0.96,1.24515,0.0018416,0.0018416,0.0018416
14,197.696,1.12781,1.02791,1.26793,0.80962,0.64599,0.73364,0.50649,1.06355,0.90644,1.21731,0.0018284,0.0018284,0.0018284
15,211.504,1.13268,1.0194,1.26441,0.79351,0.63682,0.72397,0.50543,1.05111,0.90457,1.20594,0.0018152,0.0018152,0.0018152
16,225.199,1.112,0.9891,1.25216,0.80217,0.64097,0.72961,0.50978,1.04722,0.88857,1.19285,0.001802,0.001802,0.001802
17,238.979,1.10222,0.98994,1.24685,0.81306,0.65204,0.73977,0.51488,1.06663,0.85899,1.20349,0.0017888,0.0017888,0.0017888
18,252.672,1.09621,0.97171,1.24198,0.79794,0.66062,0.73455,0.51278,1.02489,0.86306,1.17525,0.0017756,0.0017756,0.0017756
19,266.92,1.06082,0.91571,1.21648,0.81764,0.66253,0.75053,0.52093,1.04094,0.82744,1.18392,0.0017624,0.0017624,0.0017624
20,280.782,1.06393,0.92551,1.22321,0.75133,0.66212,0.73069,0.50308,1.02535,0.79672,1.17444,0.0017492,0.0017492,0.0017492
21,294.617,1.05198,0.91801,1.20411,0.84171,0.68289,0.78589,0.55139,0.98449,0.77588,1.15765,0.001736,0.001736,0.001736
22,308.463,1.07228,0.90511,1.20584,0.80952,0.71597,0.79769,0.54553,1.00257,0.78002,1.16312,0.0017228,0.0017228,0.0017228
23,322.221,1.03874,0.90899,1.20389,0.82062,0.66603,0.75844,0.52525,1.00915,0.80002,1.16963,0.0017096,0.0017096,0.0017096
24,336.044,1.03841,0.88394,1.20064,0.80656,0.65299,0.74378,0.53287,0.99008,0.80323,1.16168,0.0016964,0.0016964,0.0016964
25,349.757,1.0182,0.88336,1.19183,0.81312,0.6778,0.7754,0.54237,0.97566,0.77969,1.14302,0.0016832,0.0016832,0.0016832
26,363.563,1.02656,0.86611,1.18466,0.83385,0.6832,0.77569,0.55836,0.96543,0.766,1.14029,0.00167,0.00167,0.00167
27,377.326,1.00046,0.84773,1.1838,0.84095,0.67435,0.78203,0.55619,0.96255,0.75265,1.13379,0.0016568,0.0016568,0.0016568
28,391.055,1.00363,0.85313,1.1804,0.83257,0.72487,0.81192,0.57915,0.93811,0.72436,1.12116,0.0016436,0.0016436,0.0016436
29,404.807,1.00488,0.83837,1.18855,0.84905,0.67444,0.77736,0.56575,0.94281,0.75591,1.12728,0.0016304,0.0016304,0.0016304
30,418.559,0.99168,0.82513,1.16725,0.8238,0.68407,0.79674,0.56742,0.95225,0.73819,1.12142,0.0016172,0.0016172,0.0016172
31,432.35,1.00021,0.82592,1.17759,0.82542,0.71883,0.80551,0.57997,0.928,0.71329,1.10862,0.001604,0.001604,0.001604
32,446.137,0.99295,0.82473,1.16964,0.84489,0.68609,0.79146,0.57124,0.93454,0.74237,1.11012,0.0015908,0.0015908,0.0015908
33,459.895,0.98883,0.82048,1.17097,0.84948,0.69148,0.80117,0.58172,0.91896,0.68937,1.11881,0.0015776,0.0015776,0.0015776
34,473.646,0.95196,0.79597,1.15425,0.8444,0.74109,0.82731,0.58786,0.92255,0.68476,1.10094,0.0015644,0.0015644,0.0015644
35,487.963,0.96852,0.80823,1.15661,0.84731,0.70388,0.7984,0.58286,0.89411,0.69937,1.09627,0.0015512,0.0015512,0.0015512
36,501.704,0.97131,0.78932,1.15245,0.8475,0.69593,0.79442,0.57856,0.91097,0.69951,1.10938,0.001538,0.001538,0.001538
