epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3092,2.12938,3.46108,1.99453,0.4591,0.19203,0.17289,0.09689,1.60224,2.77888,1.57126,0.000413647,0.000413647,0.000413647
2,31.8334,1.54204,2.41147,1.51662,0.50825,0.21604,0.23561,0.13542,1.52835,2.45619,1.57157,0.000824834,0.000824834,0.000824834
3,46.2418,1.45677,2.10014,1.47494,0.45565,0.27828,0.24949,0.1436,1.46515,2.57966,1.49486,0.00123052,0.00123052,0.00123052
4,60.3058,1.42194,1.84955,1.42674,0.32457,0.27126,0.27402,0.16446,1.38648,1.95993,1.45,0.00122525,0.00122525,0.00122525
5,74.2431,1.34853,1.77458,1.40792,0.35361,0.34793,0.32395,0.20021,1.29387,1.75207,1.36922,0.001217,0.001217,0.001217
6,88.1334,1.30319,1.64565,1.369,0.35207,0.38886,0.34997,0.21295,1.29644,1.55652,1.37674,0.00120875,0.00120875,0.00120875
7,101.959,1.26404,1.57242,1.35091,0.37103,0.42837,0.37779,0.24009,1.20989,1.48357,1.3098,0.0012005,0.0012005,0.0012005
8,115.83,1.24463,1.50749,1.33523,0.40725,0.41073,0.40879,0.25884,1.21782,1.38139,1.31208,0.00119225,0.00119225,0.00119225
9,129.708,1.19744,1.44304,1.31148,0.40388,0.4328,0.4052,0.2531,1.17664,1.38849,1.30502,0.001184,0.001184,0.001184
10,143.57,1.20618,1.4086,1.30566,0.44784,0.44981,0.42884,0.28222,1.12529,1.32669,1.26304,0.00117575,0.00117575,0.00117575
11,157.82,1.18714,1.37456,1.29672,0.45037,0.48284,0.418,0.27384,1.12298,1.36828,1.26,0.0011675,0.0011675,0.0011675
12,171.664,1.16607,1.36835,1.28498,0.46314,0.46435,0.44343,0.28912,1.08854,1.24742,1.2374,0.00115925,0.00115925,0.00115925
13,185.538,1.16239,1.34527,1.29458,0.44296,0.51312,0.4572,0.30067,1.07428,1.20234,1.23394,0.001151,0.001151,0.001151
14,199.363,1.12684,1.31463,1.27086,0.52301,0.47954,0.48026,0.3186,1.07791,1.27132,1.23712,0.00114275,0.00114275,0.00114275
15,213.304,1.13413,1.26874,1.26617,0.52799,0.51803,0.50409,0.3401,1.04736,1.14428,1.20563,0.0011345,0.0011345,0.0011345
16,227.149,1.10882,1.25861,1.25838,0.51764,0.49459,0.48862,0.32158,1.04907,1.19029,1.21858,0.00112625,0.00112625,0.00112625
17,241.048,1.09404,1.24331,1.24685,0.4682,0.5029,0.47534,0.3207,1.03562,1.17037,1.19549,0.001118,0.001118,0.001118
18,254.857,1.104,1.23792,1.24836,0.56802,0.52715,0.5235,0.35541,1.01303,1.09647,1.19303,0.00110975,0.00110975,0.00110975
19,268.738,1.06305,1.15401,1.22459,0.53146,0.55858,0.5344,0.35247,1.05081,1.11671,1.20382,0.0011015,0.0011015,0.0011015
20,282.643,1.05873,1.17587,1.21987,0.50634,0.52621,0.5256,0.36023,1.00036,1.07085,1.16977,0.00109325,0.00109325,0.00109325
21,296.588,1.05847,1.13464,1.2081,0.56088,0.54683,0.55719,0.37035,1.01438,1.06168,1.18065,0.001085,0.001085,0.001085
22,310.498,1.06927,1.13387,1.21035,0.50228,0.56743,0.54417,0.3634,1.01786,1.04793,1.19496,0.00107675,0.00107675,0.00107675
23,324.356,1.04155,1.13114,1.21091,0.59126,0.55019,0.57008,0.39045,0.99572,1.00992,1.17153,0.0010685,0.0010685,0.0010685
24,338.3,1.03761,1.08473,1.20224,0.58781,0.57021,0.57518,0.39719,0.9879,1.00557,1.15685,0.00106025,0.00106025,0.00106025
25,352.174,1.01754,1.09873,1.19631,0.56971,0.54694,0.5657,0.39131,0.98558,1.05295,1.16583,0.001052,0.001052,0.001052
26,366.063,1.02781,1.09903,1.19341,0.61011,0.48474,0.5372,0.37896,0.94952,1.06237,1.14379,0.00104375,0.00104375,0.00104375
27,379.97,1.00355,1.06514,1.18645,0.58118,0.57679,0.57978,0.40505,0.95682,0.99787,1.14231,0.0010355,0.0010355,0.0010355
28,393.825,1.00921,1.06925,1.18604,0.59553,0.58554,0.58318,0.40129,0.96169,1.00664,1.15053,0.00102725,0.00102725,0.00102725
