epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.469,1.93529,2.68701,1.87667,0.51494,0.42112,0.4352,0.24597,1.47909,2.17947,1.50064,0.000661836,0.000661836,0.000661836
2,66.0122,1.47382,1.82302,1.48044,0.45183,0.36164,0.35575,0.20977,1.56529,2.01395,1.53357,0.00131973,0.00131973,0.00131973
3,98.6665,1.43786,1.60806,1.45717,0.55952,0.44434,0.48046,0.29112,1.40791,1.57095,1.44116,0.00196883,0.00196883,0.00196883
4,131.55,1.40701,1.4464,1.42393,0.61113,0.50486,0.53075,0.33112,1.3415,1.36319,1.38005,0.0019604,0.0019604,0.0019604
5,164.459,1.35659,1.39533,1.40359,0.67653,0.54549,0.59544,0.35497,1.32931,1.29562,1.37345,0.0019472,0.0019472,0.0019472
6,197.449,1.31306,1.29655,1.3722,0.67536,0.4736,0.5358,0.33995,1.32656,1.43127,1.38141,0.001934,0.001934,0.001934
7,230.609,1.24848,1.23672,1.33882,0.69758,0.57154,0.63832,0.41492,1.22212,1.19571,1.30286,0.0019208,0.0019208,0.0019208
8,263.843,1.22879,1.17184,1.32409,0.74263,0.56259,0.64005,0.43809,1.15155,1.05958,1.25534,0.0019076,0.0019076,0.0019076
9,296.997,1.18955,1.12431,1.30795,0.76569,0.61219,0.68748,0.4626,1.14046,0.99558,1.26669,0.0018944,0.0018944,0.0018944
10,330.234,1.18564,1.10286,1.2921,0.78935,0.63041,0.71821,0.47713,1.11297,0.93298,1.22681,0.0018812,0.0018812,0.0018812
11,363.502,1.15686,1.08302,1.27914,0.72633,0.59669,0.66346,0.45992,1.09391,1.00377,1.22482,0.001868,0.001868,0.001868
12,396.789,1.15367,1.07297,1.27955,0.77383,0.62309,0.69997,0.47145,1.08972,1.00847,1.22386,0.0018548,0.0018548,0.0018548
13,430.044,1.14771,1.06294,1.28907,0.78627,0.64599,0.73249,0.50438,1.04453,0.87803,1.20347,0.0018416,0.0018416,0.0018416
14,463.284,1.11061,1.0159,1.26002,0.80521,0.64885,0.73098,0.51886,1.01989,0.85927,1.17774,0.0018284,0.0018284,0.0018284
15,496.675,1.12191,1.00881,1.25559,0.80531,0.6394,0.7405,0.51347,1.01967,0.87852,1.18366,0.0018152,0.0018152,0.0018152
16,530.005,1.08413,0.98898,1.24818,0.81964,0.64177,0.7314,0.51713,0.99009,0.8624,1.16864,0.001802,0.001802,0.001802
17,563.406,1.08497,0.9725,1.24375,0.81719,0.69148,0.77242,0.54714,0.97578,0.77082,1.15731,0.0017888,0.0017888,0.0017888
18,596.749,1.07817,0.9409,1.23765,0.81524,0.71576,0.78419,0.54895,0.95418,0.77326,1.13958,0.0017756,0.0017756,0.0017756
19,630.117,1.05002,0.91521,1.22391,0.78894,0.66858,0.7584,0.51322,1.04032,0.83393,1.18942,0.0017624,0.0017624,0.0017624
20,663.534,1.05623,0.92081,1.22495,0.82226,0.64313,0.74804,0.51858,1.01631,0.79747,1.1694,0.0017492,0.0017492,0.0017492
21,697.095,1.04839,0.90589,1.20616,0.81639,0.67684,0.77205,0.5298,0.964,0.81033,1.15778,0.001736,0.001736,0.001736
22,730.511,1.0475,0.90483,1.20312,0.81487,0.71692,0.79346,0.56844,0.9473,0.7217,1.13847,0.0017228,0.0017228,0.0017228
23,764.005,1.02796,0.90041,1.20375,0.84543,0.67557,0.76458,0.53839,0.97405,0.75855,1.14623,0.0017096,0.0017096,0.0017096
24,797.384,1.02683,0.86854,1.19985,0.81366,0.6584,0.7563,0.55023,0.94917,0.77881,1.13697,0.0016964,0.0016964,0.0016964
25,830.686,1.00268,0.8543,1.19321,0.82021,0.71088,0.79155,0.56692,0.92203,0.70895,1.12215,0.0016832,0.0016832,0.0016832
26,864.087,1.01164,0.86447,1.18692,0.84552,0.67022,0.78381,0.56323,0.93019,0.75172,1.12773,0.00167,0.00167,0.00167
27,897.47,0.99614,0.83883,1.19453,0.84274,0.68575,0.78648,0.5635,0.94025,0.7225,1.13125,0.0016568,0.0016568,0.0016568
28,930.901,0.99812,0.84414,1.18978,0.84499,0.69181,0.7969,0.57931,0.92165,0.70865,1.12582,0.0016436,0.0016436,0.0016436
29,964.387,0.99184,0.82949,1.18755,0.83465,0.67716,0.76921,0.56034,0.92216,0.70876,1.12462,0.0016304,0.0016304,0.0016304
30,997.731,0.98821,0.81926,1.17922,0.82032,0.71024,0.79747,0.57527,0.92072,0.73056,1.11558,0.0016172,0.0016172,0.0016172
31,1031.1,0.98896,0.82286,1.17904,0.82023,0.72296,0.80748,0.58827,0.91146,0.70107,1.11646,0.001604,0.001604,0.001604
32,1064.5,0.98488,0.82432,1.17541,0.85737,0.69975,0.79652,0.58431,0.90234,0.69099,1.11632,0.0015908,0.0015908,0.0015908
33,1097.78,0.97849,0.8115,1.17383,0.85898,0.71682,0.81094,0.58865,0.89054,0.67203,1.09599,0.0015776,0.0015776,0.0015776
34,1131.1,0.95273,0.78948,1.16942,0.82928,0.73919,0.8237,0.59378,0.90543,0.66677,1.10194,0.0015644,0.0015644,0.0015644
35,1164.48,0.95759,0.79695,1.16262,0.8457,0.7131,0.82157,0.59441,0.88982,0.65841,1.09514,0.0015512,0.0015512,0.0015512
36,1197.88,0.96035,0.78529,1.1554,0.83982,0.72074,0.80728,0.59182,0.90151,0.68881,1.1111,0.001538,0.001538,0.001538
37,1231.23,0.94973,0.78048,1.16525,0.84487,0.73155,0.83759,0.61067,0.86977,0.63595,1.08381,0.0015248,0.0015248,0.0015248
38,1264.63,0.94608,0.7654,1.15156,0.83436,0.76586,0.83792,0.5985,0.8808,0.64435,1.0916,0.0015116,0.0015116,0.0015116
39,1297.94,0.94317,0.77829,1.16249,0.88581,0.68594,0.79281,0.59043,0.87912,0.67038,1.09993,0.0014984,0.0014984,0.0014984
40,1331.28,0.9212,0.75497,1.14541,0.86006,0.70293,0.79883,0.59868,0.8595,0.66621,1.08905,0.0014852,0.0014852,0.0014852
41,1364.77,0.94829,0.76002,1.1474,0.83994,0.74332,0.82293,0.59773,0.8842,0.64771,1.08858,0.001472,0.001472,0.001472
