epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8429,2.0655,3.5314,2.04202,0.4685,0.24471,0.18376,0.10365,1.47355,2.63349,1.49971,0.000413647,0.000413647,0.000413647
2,65.1608,1.4649,2.42911,1.49509,0.48582,0.23852,0.22362,0.13911,1.38688,2.37259,1.44847,0.000824834,0.000824834,0.000824834
3,97.4822,1.40274,2.12588,1.45197,0.52071,0.2983,0.26775,0.16046,1.37725,1.91585,1.41573,0.00123052,0.00123052,0.00123052
4,130.161,1.37581,1.86422,1.41862,0.25796,0.35794,0.28873,0.17535,1.31842,1.78233,1.38232,0.00122525,0.00122525,0.00122525
5,162.955,1.31681,1.78448,1.40144,0.38686,0.39401,0.34645,0.21984,1.23674,1.57144,1.33613,0.001217,0.001217,0.001217
6,195.825,1.27625,1.63215,1.36098,0.34319,0.38226,0.33491,0.20565,1.21869,1.54888,1.31996,0.00120875,0.00120875,0.00120875
7,228.678,1.23004,1.55294,1.3429,0.36997,0.47527,0.40175,0.25992,1.16393,1.40145,1.2841,0.0012005,0.0012005,0.0012005
8,261.687,1.22157,1.49023,1.33433,0.35562,0.44203,0.39362,0.25234,1.16165,1.32659,1.27436,0.00119225,0.00119225,0.00119225
9,294.759,1.16781,1.42697,1.3125,0.41061,0.40847,0.39294,0.24814,1.1495,1.47719,1.28761,0.001184,0.001184,0.001184
10,327.826,1.17447,1.39513,1.3028,0.47219,0.4843,0.46214,0.30232,1.09667,1.26032,1.2484,0.00117575,0.00117575,0.00117575
11,360.955,1.15654,1.36453,1.29478,0.5058,0.49131,0.47387,0.3229,1.07568,1.25518,1.23516,0.0011675,0.0011675,0.0011675
12,394.196,1.14648,1.37123,1.28889,0.69261,0.43715,0.45468,0.29437,1.08874,1.40003,1.23735,0.00115925,0.00115925,0.00115925
13,427.345,1.13429,1.35745,1.28577,0.43194,0.52591,0.46803,0.30508,1.05521,1.19812,1.21746,0.001151,0.001151,0.001151
14,460.551,1.08668,1.27972,1.26177,0.49446,0.52595,0.50836,0.33939,1.03892,1.14346,1.20718,0.00114275,0.00114275,0.00114275
15,493.856,1.111,1.25616,1.26228,0.49084,0.52517,0.49146,0.34407,1.01647,1.15421,1.19357,0.0011345,0.0011345,0.0011345
16,527.112,1.08491,1.25022,1.26126,0.45363,0.54485,0.48917,0.33008,0.99924,1.16144,1.18185,0.00112625,0.00112625,0.00112625
17,560.457,1.08296,1.22611,1.25283,0.48322,0.54636,0.53126,0.35976,1.01883,1.12734,1.18431,0.001118,0.001118,0.001118
18,593.803,1.07542,1.21436,1.24217,0.5252,0.52943,0.51201,0.35564,0.9802,1.06074,1.16022,0.00110975,0.00110975,0.00110975
19,627.259,1.04281,1.14865,1.22396,0.56875,0.57491,0.57674,0.39636,0.98693,1.02409,1.16162,0.0011015,0.0011015,0.0011015
20,660.968,1.04209,1.15501,1.22388,0.56046,0.5329,0.54134,0.37781,0.97091,1.0515,1.15761,0.00109325,0.00109325,0.00109325
21,694.773,1.04023,1.13338,1.21598,0.52145,0.58329,0.57571,0.40487,0.95784,1.00145,1.14965,0.001085,0.001085,0.001085
22,728.258,1.04496,1.12168,1.21124,0.55782,0.58183,0.56776,0.40161,0.95766,1.00771,1.15999,0.00107675,0.00107675,0.00107675
23,761.71,1.02051,1.12505,1.21504,0.54664,0.56394,0.55592,0.38552,0.97482,1.05797,1.16282,0.0010685,0.0010685,0.0010685
24,795.261,1.02015,1.08596,1.20548,0.58,0.59067,0.57993,0.40824,0.96455,1.03336,1.16757,0.00106025,0.00106025,0.00106025
25,828.776,0.98094,1.07312,1.1939,0.60191,0.55966,0.58542,0.40587,0.94035,0.99958,1.14418,0.001052,0.001052,0.001052
26,862.325,1.00521,1.07144,1.19619,0.56546,0.54855,0.56253,0.40307,0.94028,1.04759,1.14373,0.00104375,0.00104375,0.00104375
27,895.838,0.9851,1.04922,1.19292,0.57977,0.57445,0.58392,0.4144,0.92566,0.96027,1.1462,0.0010355,0.0010355,0.0010355
28,929.331,0.98329,1.04821,1.18652,0.61878,0.56911,0.60723,0.44201,0.91441,0.94323,1.11842,0.00102725,0.00102725,0.00102725
29,962.778,0.97874,1.02879,1.18503,0.62227,0.54986,0.5932,0.4286,0.92982,0.97227,1.14159,0.001019,0.001019,0.001019
30,996.392,0.97894,1.01567,1.18577,0.62356,0.58795,0.61768,0.44703,0.9061,0.97675,1.12005,0.00101075,0.00101075,0.00101075
31,1029.96,0.96837,1.01182,1.18043,0.6724,0.56217,0.60959,0.45516,0.89209,0.9422,1.12096,0.0010025,0.0010025,0.0010025
32,1063.42,0.9696,1.00078,1.17979,0.64821,0.59494,0.62675,0.4558,0.91299,0.93911,1.12758,0.00099425,0.00099425,0.00099425
33,1096.92,0.96069,1.00078,1.17537,0.68405,0.58287,0.63488,0.47785,0.8818,0.93485,1.11117,0.000986,0.000986,0.000986
34,1130.42,0.93606,0.9752,1.16464,0.66096,0.61846,0.65796,0.47509,0.88947,0.8577,1.10429,0.00097775,0.00097775,0.00097775
35,1164.02,0.95688,0.97912,1.17227,0.64776,0.61253,0.62924,0.46302,0.8827,0.90953,1.10358,0.0009695,0.0009695,0.0009695
36,1197.52,0.94613,0.95563,1.15613,0.61293,0.60342,0.63281,0.46727,0.87077,0.88118,1.10061,0.00096125,0.00096125,0.00096125
37,1231.06,0.93647,0.95569,1.16268,0.68039,0.61148,0.66689,0.48743,0.87426,0.87583,1.09962,0.000953,0.000953,0.000953
38,1264.56,0.93817,0.92626,1.15562,0.69675,0.57943,0.64375,0.47935,0.87745,0.93831,1.09193,0.00094475,0.00094475,0.00094475
39,1298.11,0.92951,0.93099,1.1629,0.67768,0.61113,0.64703,0.47924,0.87824,0.89578,1.09008,0.0009365,0.0009365,0.0009365
40,1331.65,0.91678,0.92194,1.15157,0.65033,0.60379,0.64412,0.49644,0.85826,0.921,1.09169,0.00092825,0.00092825,0.00092825
41,1365.29,0.92957,0.91769,1.145,0.62715,0.61466,0.64193,0.47785,0.86264,0.87593,1.08423,0.00092,0.00092,0.00092
