epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0263,1.44088,3.65032,1.40503,0.22744,0.28687,0.24527,0.15551,1.28565,2.80384,1.28431,0.000413647,0.000413647,0.000413647
2,27.8743,1.32814,2.55331,1.32525,0.25491,0.32076,0.26227,0.16008,1.35342,2.53236,1.37064,0.000824834,0.000824834,0.000824834
3,40.9016,1.31967,2.31664,1.33079,0.42187,0.36369,0.33366,0.19861,1.24434,2.87778,1.28727,0.00123052,0.00123052,0.00123052
4,52.9607,1.31869,2.09511,1.3142,0.32886,0.3506,0.30521,0.18883,1.23511,2.15615,1.30245,0.00122525,0.00122525,0.00122525
5,64.9031,1.27195,1.98847,1.30146,0.40298,0.43781,0.38947,0.24428,1.19445,1.77713,1.248,0.001217,0.001217,0.001217
6,76.8107,1.24326,1.85389,1.27288,0.38684,0.41046,0.36862,0.23693,1.19321,1.71809,1.23131,0.00120875,0.00120875,0.00120875
7,88.6121,1.1935,1.77121,1.25357,0.41768,0.45868,0.40152,0.2577,1.15851,1.67891,1.23855,0.0012005,0.0012005,0.0012005
8,100.484,1.17784,1.70885,1.24161,0.42089,0.48273,0.42637,0.28032,1.09436,1.57497,1.18675,0.00119225,0.00119225,0.00119225
9,112.32,1.1401,1.61881,1.22533,0.43202,0.45286,0.42764,0.27612,1.10853,1.55748,1.18592,0.001184,0.001184,0.001184
10,124.19,1.14504,1.6007,1.2166,0.48399,0.47781,0.46152,0.30918,1.07391,1.50353,1.15605,0.00117575,0.00117575,0.00117575
11,136.064,1.1262,1.5533,1.21094,0.43923,0.50211,0.45804,0.30705,1.03113,1.4876,1.14547,0.0011675,0.0011675,0.0011675
12,147.938,1.11852,1.55767,1.20906,0.45536,0.50229,0.46847,0.3038,1.03724,1.41837,1.14458,0.00115925,0.00115925,0.00115925
13,159.743,1.11821,1.54116,1.21119,0.47221,0.51527,0.46135,0.30467,1.05142,1.44426,1.15744,0.001151,0.001151,0.001151
14,171.524,1.08218,1.45893,1.18948,0.53212,0.53956,0.52666,0.35242,1.0082,1.36714,1.12879,0.00114275,0.00114275,0.00114275
15,183.406,1.08529,1.43856,1.18975,0.58385,0.48993,0.52436,0.35363,1.00709,1.35645,1.13283,0.0011345,0.0011345,0.0011345
16,195.2,1.07097,1.43663,1.19009,0.57368,0.54152,0.54728,0.37161,0.98807,1.27995,1.11398,0.00112625,0.00112625,0.00112625
17,207.064,1.05693,1.39706,1.17493,0.54193,0.53172,0.53132,0.36115,0.97833,1.28943,1.11043,0.001118,0.001118,0.001118
18,218.918,1.06679,1.40616,1.17373,0.54246,0.55548,0.53793,0.37255,0.97836,1.25718,1.09795,0.00110975,0.00110975,0.00110975
19,230.807,1.02768,1.32659,1.15667,0.55985,0.56525,0.56399,0.37813,0.98987,1.26468,1.11474,0.0011015,0.0011015,0.0011015
20,242.674,1.01958,1.33404,1.14864,0.60211,0.52735,0.55854,0.392,0.95714,1.27988,1.09143,0.00109325,0.00109325,0.00109325
