epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1346,1.41703,2.21038,1.36574,0.57137,0.42366,0.44573,0.26318,1.43792,2.25266,1.407,0.000661836,0.000661836,0.000661836
2,27.2507,1.36935,1.68922,1.34841,0.61706,0.45483,0.48848,0.30252,1.35961,2.22196,1.39264,0.00131973,0.00131973,0.00131973
3,39.5037,1.37978,1.51301,1.36972,0.55558,0.46247,0.48628,0.29934,1.37386,1.7333,1.36696,0.00196883,0.00196883,0.00196883
4,51.3254,1.37159,1.39539,1.34524,0.64544,0.47594,0.5374,0.34759,1.28559,1.39084,1.30374,0.0019604,0.0019604,0.0019604
5,63.2272,1.31707,1.34973,1.33385,0.66934,0.54534,0.59085,0.38121,1.24082,1.51799,1.28357,0.0019472,0.0019472,0.0019472
6,75.0525,1.27221,1.24084,1.28854,0.71127,0.5722,0.62675,0.40715,1.20783,1.1705,1.25238,0.001934,0.001934,0.001934
7,86.8196,1.22671,1.19486,1.26903,0.74238,0.57538,0.66411,0.42631,1.18121,1.1132,1.22495,0.0019208,0.0019208,0.0019208
8,98.6913,1.20108,1.13681,1.24625,0.79456,0.57697,0.6609,0.44521,1.14716,1.07053,1.22178,0.0019076,0.0019076,0.0019076
9,110.466,1.15853,1.07946,1.22905,0.78794,0.63263,0.71135,0.47997,1.09359,0.94863,1.17478,0.0018944,0.0018944,0.0018944
10,122.276,1.15788,1.05845,1.21681,0.82304,0.63804,0.72554,0.49584,1.05689,0.90279,1.14967,0.0018812,0.0018812,0.0018812
11,134.032,1.14488,1.04167,1.21693,0.77675,0.62691,0.69575,0.48101,1.08847,0.93264,1.14622,0.001868,0.001868,0.001868
12,145.798,1.13395,1.04519,1.20835,0.77981,0.60941,0.69607,0.46729,1.09274,0.97081,1.15985,0.0018548,0.0018548,0.0018548
13,157.575,1.1318,1.02892,1.21846,0.8043,0.65394,0.73932,0.5057,1.02527,0.84066,1.13341,0.0018416,0.0018416,0.0018416
14,169.325,1.10313,0.98267,1.19678,0.79848,0.64059,0.72641,0.5011,1.03658,0.87779,1.14192,0.0018284,0.0018284,0.0018284
15,181.183,1.10358,0.98357,1.19126,0.78603,0.64266,0.71288,0.50095,1.01766,0.93259,1.11529,0.0018152,0.0018152,0.0018152
16,192.947,1.08519,0.96861,1.19049,0.81611,0.6743,0.76886,0.53891,0.99861,0.804,1.11295,0.001802,0.001802,0.001802
17,204.779,1.08628,0.95331,1.18553,0.84256,0.64981,0.74316,0.52872,0.98444,0.81229,1.10179,0.0017888,0.0017888,0.0017888
18,216.514,1.07971,0.9434,1.17522,0.80268,0.63422,0.73057,0.51519,1.00756,0.85092,1.11596,0.0017756,0.0017756,0.0017756
19,228.315,1.03942,0.89811,1.15788,0.7879,0.6841,0.75552,0.52327,0.99674,0.80599,1.10617,0.0017624,0.0017624,0.0017624
20,240.397,1.04634,0.90223,1.1553,0.79342,0.67112,0.74657,0.53242,0.95805,0.8183,1.08734,0.0017492,0.0017492,0.0017492
21,252.616,1.03874,0.88584,1.14575,0.82582,0.6816,0.77864,0.54577,0.96258,0.76658,1.0891,0.001736,0.001736,0.001736
22,264.447,1.04857,0.87521,1.14561,0.83121,0.71215,0.79083,0.55321,0.93149,0.73978,1.07113,0.0017228,0.0017228,0.0017228
23,276.236,1.01742,0.88119,1.14076,0.79685,0.70738,0.77737,0.54167,0.96687,0.75974,1.09244,0.0017096,0.0017096,0.0017096
24,288.045,1.01193,0.85876,1.13568,0.834,0.65108,0.74475,0.54209,0.96252,0.78469,1.08319,0.0016964,0.0016964,0.0016964
25,299.792,1.00469,0.84646,1.13317,0.83958,0.66539,0.77004,0.54933,0.94694,0.77184,1.0763,0.0016832,0.0016832,0.0016832
26,311.601,1.00875,0.84717,1.12936,0.84459,0.67462,0.78688,0.55718,0.94658,0.73683,1.08554,0.00167,0.00167,0.00167
27,323.421,0.99652,0.838,1.13077,0.84129,0.67494,0.76751,0.55928,0.92431,0.73331,1.06412,0.0016568,0.0016568,0.0016568
28,335.194,0.98907,0.8405,1.12077,0.84612,0.6867,0.78878,0.57032,0.91405,0.70497,1.06577,0.0016436,0.0016436,0.0016436
29,346.987,0.99338,0.81659,1.12402,0.87151,0.65235,0.7443,0.55091,0.93129,0.80319,1.07375,0.0016304,0.0016304,0.0016304
30,358.73,0.98439,0.81445,1.11492,0.87002,0.68257,0.80064,0.57415,0.92622,0.69958,1.06008,0.0016172,0.0016172,0.0016172
31,370.548,0.99456,0.82076,1.12129,0.82673,0.68595,0.78087,0.56995,0.90571,0.72341,1.04988,0.001604,0.001604,0.001604
32,382.3,0.98026,0.81861,1.1149,0.84891,0.69698,0.7857,0.57868,0.91172,0.73225,1.04978,0.0015908,0.0015908,0.0015908
33,394.081,0.97944,0.81435,1.11318,0.83969,0.71088,0.81077,0.58737,0.90072,0.68154,1.04714,0.0015776,0.0015776,0.0015776
34,405.824,0.9418,0.7746,1.10316,0.85559,0.70992,0.81737,0.59155,0.89364,0.6779,1.04079,0.0015644,0.0015644,0.0015644
35,417.718,0.96447,0.7974,1.10443,0.85151,0.70403,0.80789,0.58952,0.88655,0.70883,1.0443,0.0015512,0.0015512,0.0015512
36,429.514,0.95903,0.77292,1.09605,0.86113,0.70213,0.80631,0.59755,0.87666,0.68949,1.03919,0.001538,0.001538,0.001538
37,441.317,0.94775,0.77308,1.10548,0.84381,0.73373,0.83616,0.6062,0.87863,0.65209,1.04011,0.0015248,0.0015248,0.0015248
38,453.144,0.94242,0.74743,1.09034,0.85664,0.71788,0.81855,0.5932,0.8861,0.6576,1.03942,0.0015116,0.0015116,0.0015116
39,464.9,0.94185,0.7588,1.10049,0.87188,0.69625,0.78914,0.58736,0.8781,0.69234,1.03117,0.0014984,0.0014984,0.0014984
40,476.627,0.91259,0.74724,1.08282,0.85583,0.70452,0.7951,0.59854,0.85974,0.68939,1.02676,0.0014852,0.0014852,0.0014852
41,488.447,0.95454,0.75127,1.09131,0.87878,0.6937,0.80158,0.59474,0.86368,0.66155,1.01931,0.001472,0.001472,0.001472
42,500.168,0.92466,0.73464,1.08985,0.83813,0.73251,0.82498,0.60488,0.86169,0.65314,1.02141,0.0014588,0.0014588,0.0014588
43,511.955,0.92209,0.75059,1.09129,0.87032,0.68734,0.80103,0.5938,0.8625,0.67686,1.02276,0.0014456,0.0014456,0.0014456
44,523.749,0.91406,0.73388,1.08072,0.87476,0.702,0.82441,0.61371,0.85493,0.63528,1.01988,0.0014324,0.0014324,0.0014324
45,535.593,0.91721,0.72368,1.07311,0.82823,0.74364,0.82961,0.60537,0.86332,0.62996,1.02379,0.0014192,0.0014192,0.0014192
46,547.307,0.90603,0.71858,1.07685,0.88001,0.70213,0.82239,0.61137,0.85017,0.63514,1.02212,0.001406,0.001406,0.001406
47,559.112,0.91253,0.71671,1.07991,0.85915,0.74309,0.84253,0.61279,0.86351,0.64219,1.02461,0.0013928,0.0013928,0.0013928
48,570.873,0.89691,0.69517,1.07323,0.86382,0.72632,0.8261,0.60681,0.85135,0.62921,1.02448,0.0013796,0.0013796,0.0013796
49,582.71,0.88878,0.70004,1.0648,0.8706,0.70897,0.81141,0.5998,0.85761,0.63748,1.02051,0.0013664,0.0013664,0.0013664
50,594.497,0.89108,0.69705,1.06521,0.87022,0.71448,0.82617,0.61926,0.83169,0.62716,1.00627,0.0013532,0.0013532,0.0013532
51,606.29,0.88724,0.69605,1.07812,0.87587,0.72266,0.82952,0.61523,0.843,0.61611,1.01433,0.00134,0.00134,0.00134
52,618.043,0.8923,0.69232,1.06709,0.87064,0.70642,0.8081,0.60202,0.85986,0.64449,1.02058,0.0013268,0.0013268,0.0013268
53,629.86,0.88639,0.68986,1.0566,0.85025,0.75667,0.84383,0.6296,0.84252,0.6063,1.01456,0.0013136,0.0013136,0.0013136
54,641.637,0.87346,0.68037,1.05592,0.86899,0.75891,0.84899,0.63054,0.83329,0.60289,1.00586,0.0013004,0.0013004,0.0013004
55,653.464,0.88943,0.68516,1.06222,0.86938,0.71343,0.82728,0.61787,0.83539,0.60182,1.00998,0.0012872,0.0012872,0.0012872
56,665.22,0.87722,0.68099,1.06534,0.86303,0.72746,0.83011,0.62052,0.8336,0.61838,0.99938,0.001274,0.001274,0.001274
57,677.052,0.88692,0.68107,1.06821,0.87154,0.74523,0.84772,0.62877,0.82607,0.58869,1.00841,0.0012608,0.0012608,0.0012608
