epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2971,1.42718,3.13741,1.42081,0.50016,0.24418,0.24159,0.16046,1.26256,2.3283,1.29031,0.000413647,0.000413647,0.000413647
2,28.4867,1.34397,2.18991,1.34581,0.36655,0.28319,0.24953,0.14536,1.34684,2.42598,1.37442,0.000824834,0.000824834,0.000824834
3,41.2071,1.34634,1.97075,1.3603,0.34827,0.36266,0.32086,0.19516,1.24903,1.85878,1.29043,0.00123052,0.00123052,0.00123052
4,53.2941,1.32243,1.74497,1.32468,0.29128,0.38,0.32479,0.19925,1.21761,1.66985,1.29277,0.00122525,0.00122525,0.00122525
5,65.1634,1.2883,1.6855,1.32344,0.3598,0.41424,0.35283,0.22155,1.19018,1.51873,1.24968,0.001217,0.001217,0.001217
6,77.0742,1.25192,1.57168,1.28681,0.36068,0.36595,0.34968,0.22036,1.20358,1.51341,1.25475,0.00120875,0.00120875,0.00120875
7,88.8906,1.20647,1.4908,1.26844,0.38964,0.43563,0.40311,0.258,1.13086,1.34643,1.21009,0.0012005,0.0012005,0.0012005
8,100.761,1.19712,1.43849,1.25221,0.39237,0.49963,0.38919,0.26239,1.09809,1.44537,1.1921,0.00119225,0.00119225,0.00119225
9,112.585,1.1554,1.37601,1.23791,0.43221,0.45175,0.42535,0.2694,1.12181,1.34039,1.21249,0.001184,0.001184,0.001184
10,124.423,1.15155,1.33526,1.22344,0.45533,0.49488,0.45313,0.29891,1.07445,1.21584,1.17464,0.00117575,0.00117575,0.00117575
11,136.297,1.13789,1.29526,1.21441,0.48064,0.46785,0.46934,0.30494,1.06563,1.21637,1.17533,0.0011675,0.0011675,0.0011675
12,148.103,1.13146,1.31434,1.21754,0.52483,0.46562,0.46915,0.30501,1.05529,1.23861,1.16239,0.00115925,0.00115925,0.00115925
13,159.915,1.12445,1.30616,1.21707,0.43793,0.56392,0.48251,0.31986,1.0309,1.15509,1.13489,0.001151,0.001151,0.001151
14,171.736,1.09035,1.2488,1.19577,0.49048,0.52839,0.51603,0.34362,1.01739,1.12855,1.13689,0.00114275,0.00114275,0.00114275
15,183.596,1.09448,1.221,1.19409,0.50289,0.5447,0.53141,0.35347,1.02146,1.11658,1.13984,0.0011345,0.0011345,0.0011345
16,195.342,1.07541,1.19799,1.19039,0.48907,0.55956,0.50878,0.34034,1.00715,1.08324,1.12357,0.00112625,0.00112625,0.00112625
17,207.179,1.06633,1.18942,1.18494,0.49561,0.52242,0.50796,0.34838,0.98947,1.05229,1.11993,0.001118,0.001118,0.001118
18,218.986,1.07002,1.17921,1.18135,0.49937,0.52969,0.51235,0.35692,0.98486,1.16114,1.11418,0.00110975,0.00110975,0.00110975
19,230.858,1.0442,1.11569,1.16786,0.56179,0.56082,0.55748,0.3883,0.96706,1.01042,1.10181,0.0011015,0.0011015,0.0011015
20,242.714,1.02079,1.11412,1.15399,0.54012,0.56636,0.55783,0.38871,0.94773,0.98109,1.08734,0.00109325,0.00109325,0.00109325
21,254.668,1.03031,1.09136,1.14476,0.55105,0.59956,0.5841,0.4042,0.94926,0.98918,1.09843,0.001085,0.001085,0.001085
22,266.536,1.03757,1.09217,1.14911,0.57471,0.54622,0.56059,0.38919,0.94247,0.99777,1.08593,0.00107675,0.00107675,0.00107675
23,278.355,1.0109,1.09113,1.14203,0.57161,0.5882,0.57419,0.40257,0.95986,0.99678,1.08565,0.0010685,0.0010685,0.0010685
24,290.228,1.01889,1.0553,1.14373,0.58302,0.56234,0.57054,0.39966,0.94559,1.02108,1.08296,0.00106025,0.00106025,0.00106025
25,302.511,0.99187,1.04776,1.1354,0.59426,0.56871,0.58571,0.40882,0.94555,1.00992,1.09045,0.001052,0.001052,0.001052
26,314.392,0.99653,1.0496,1.13087,0.5302,0.58166,0.57903,0.40898,0.91182,0.98522,1.07235,0.00104375,0.00104375,0.00104375
27,326.223,0.98381,1.02321,1.13136,0.62271,0.57972,0.61079,0.44038,0.91138,0.92925,1.07054,0.0010355,0.0010355,0.0010355
28,338.031,0.98639,1.02095,1.12809,0.64595,0.57673,0.6267,0.44881,0.92095,0.93468,1.06773,0.00102725,0.00102725,0.00102725
29,349.826,0.98684,1.00941,1.1314,0.6273,0.56495,0.60324,0.43851,0.91401,0.95474,1.06542,0.001019,0.001019,0.001019
30,361.643,0.97853,0.97571,1.11955,0.66285,0.54238,0.60144,0.43624,0.91649,0.93944,1.06011,0.00101075,0.00101075,0.00101075
31,373.45,0.9787,0.9824,1.1252,0.65647,0.58659,0.63753,0.46062,0.90697,0.90152,1.06215,0.0010025,0.0010025,0.0010025
32,385.256,0.96595,0.97614,1.11825,0.61943,0.5558,0.58764,0.42263,0.91064,0.96426,1.06595,0.00099425,0.00099425,0.00099425
33,397.087,0.96393,0.97601,1.11381,0.6208,0.61577,0.63361,0.45672,0.91093,0.879,1.05491,0.000986,0.000986,0.000986
34,408.868,0.9382,0.94309,1.10703,0.65354,0.60815,0.65778,0.47651,0.90048,0.88825,1.05979,0.00097775,0.00097775,0.00097775
35,420.743,0.95176,0.96033,1.1095,0.66775,0.59549,0.64071,0.45642,0.89876,0.87877,1.05269,0.0009695,0.0009695,0.0009695
36,432.548,0.94541,0.92899,1.09866,0.62854,0.63894,0.66201,0.47789,0.89789,0.86207,1.04884,0.00096125,0.00096125,0.00096125
37,444.395,0.94042,0.93537,1.10952,0.69677,0.5842,0.66624,0.48726,0.87068,0.87003,1.04047,0.000953,0.000953,0.000953
38,456.264,0.94488,0.91972,1.10041,0.68773,0.61783,0.66151,0.49838,0.86855,0.89585,1.04311,0.00094475,0.00094475,0.00094475
39,468.106,0.93142,0.91246,1.10619,0.63111,0.59629,0.6277,0.45996,0.88287,0.92527,1.04265,0.0009365,0.0009365,0.0009365
40,479.866,0.90319,0.89342,1.08484,0.67043,0.59991,0.6726,0.49083,0.86508,0.8451,1.04159,0.00092825,0.00092825,0.00092825
41,491.762,0.93182,0.89173,1.09374,0.73792,0.5953,0.67944,0.50484,0.86943,0.85707,1.03729,0.00092,0.00092,0.00092
42,503.517,0.91764,0.89373,1.09076,0.63326,0.64423,0.66778,0.49069,0.86154,0.83849,1.0321,0.00091175,0.00091175,0.00091175
43,515.343,0.91197,0.8904,1.09049,0.72594,0.5657,0.64826,0.47805,0.86629,0.87902,1.03516,0.0009035,0.0009035,0.0009035
44,527.203,0.90582,0.88077,1.08602,0.65323,0.66172,0.67973,0.4994,0.85781,0.83057,1.03581,0.00089525,0.00089525,0.00089525
45,539.055,0.90491,0.85733,1.07637,0.69433,0.63125,0.67461,0.50072,0.86174,0.82908,1.02748,0.000887,0.000887,0.000887
46,550.83,0.89222,0.85282,1.08178,0.69951,0.64571,0.69336,0.51742,0.85127,0.81391,1.02975,0.00087875,0.00087875,0.00087875
47,562.704,0.90351,0.86285,1.08506,0.68192,0.66673,0.69606,0.51408,0.85921,0.8103,1.02898,0.0008705,0.0008705,0.0008705
48,574.484,0.88562,0.84013,1.07536,0.66462,0.64021,0.67328,0.49471,0.84041,0.82721,1.02477,0.00086225,0.00086225,0.00086225
49,586.369,0.88286,0.83062,1.07422,0.70013,0.62006,0.67425,0.49752,0.85397,0.81074,1.03125,0.000854,0.000854,0.000854
50,598.193,0.88113,0.83593,1.07082,0.71307,0.61727,0.67661,0.50825,0.8313,0.82449,1.01718,0.00084575,0.00084575,0.00084575
51,610.009,0.87622,0.82345,1.07616,0.74824,0.61214,0.69384,0.52082,0.83377,0.81107,1.01969,0.0008375,0.0008375,0.0008375
52,621.783,0.88199,0.81372,1.07325,0.68858,0.61323,0.66245,0.50394,0.85013,0.84543,1.02682,0.00082925,0.00082925,0.00082925
53,634.009,0.87566,0.81498,1.06171,0.69049,0.64932,0.68863,0.5195,0.84209,0.81667,1.02213,0.000821,0.000821,0.000821
54,646.092,0.86698,0.80116,1.06174,0.68624,0.65971,0.70247,0.52929,0.84031,0.80853,1.01673,0.00081275,0.00081275,0.00081275
55,657.976,0.88092,0.79498,1.06781,0.7116,0.63539,0.68477,0.51695,0.84369,0.82234,1.03037,0.0008045,0.0008045,0.0008045
56,669.784,0.86372,0.79578,1.07157,0.70489,0.6324,0.6853,0.51429,0.85058,0.83618,1.02577,0.00079625,0.00079625,0.00079625
57,681.587,0.86236,0.79556,1.06691,0.75291,0.62707,0.69696,0.52947,0.82733,0.80311,1.01816,0.000788,0.000788,0.000788
58,693.38,0.84781,0.78124,1.05473,0.74583,0.62222,0.69692,0.53545,0.82204,0.81032,1.01285,0.00077975,0.00077975,0.00077975
59,705.264,0.87599,0.78368,1.06396,0.68652,0.64618,0.68993,0.5261,0.82042,0.80031,1.00635,0.0007715,0.0007715,0.0007715
60,717.203,0.85338,0.77265,1.05015,0.7021,0.65816,0.68964,0.53358,0.82061,0.81666,1.00984,0.00076325,0.00076325,0.00076325
61,729.032,0.84712,0.75382,1.04995,0.73043,0.64235,0.70567,0.53695,0.81702,0.78175,1.00745,0.000755,0.000755,0.000755
62,741.297,0.85134,0.75609,1.05808,0.69356,0.64309,0.69434,0.52547,0.81816,0.78098,1.01086,0.00074675,0.00074675,0.00074675
63,753.112,0.84616,0.75123,1.05624,0.72035,0.63959,0.69338,0.52667,0.82483,0.81053,1.01538,0.0007385,0.0007385,0.0007385
64,764.962,0.84385,0.75821,1.04638,0.71358,0.66441,0.70171,0.52933,0.8295,0.78493,1.01536,0.00073025,0.00073025,0.00073025
65,776.785,0.8307,0.73958,1.04794,0.71632,0.64234,0.69795,0.5299,0.82025,0.8153,1.01082,0.000722,0.000722,0.000722
66,788.638,0.84367,0.73725,1.05048,0.71225,0.63365,0.68917,0.52714,0.81663,0.79708,1.01048,0.00071375,0.00071375,0.00071375
67,800.53,0.84003,0.74128,1.04885,0.73989,0.63998,0.7016,0.5411,0.80446,0.78945,1.00096,0.0007055,0.0007055,0.0007055
68,812.275,0.82686,0.73648,1.05712,0.74314,0.60764,0.68915,0.53025,0.81712,0.79302,1.00912,0.00069725,0.00069725,0.00069725
69,824.107,0.83334,0.73499,1.04732,0.73008,0.65257,0.70397,0.54058,0.81971,0.79507,1.01109,0.000689,0.000689,0.000689
70,835.936,0.84133,0.72706,1.05029,0.76324,0.61668,0.69786,0.53777,0.81018,0.81032,1.01152,0.00068075,0.00068075,0.00068075
71,847.794,0.82482,0.71315,1.04341,0.74852,0.63354,0.71079,0.54106,0.81249,0.78413,1.00865,0.0006725,0.0006725,0.0006725
72,859.538,0.81357,0.70624,1.03702,0.72706,0.63993,0.70099,0.53557,0.80295,0.80335,1.00815,0.00066425,0.00066425,0.00066425
73,871.363,0.81306,0.71194,1.04221,0.76208,0.63047,0.69924,0.541,0.79637,0.82141,1.00278,0.000656,0.000656,0.000656
74,883.524,0.80948,0.70029,1.03439,0.71798,0.6529,0.69614,0.53413,0.794,0.78438,1.00049,0.00064775,0.00064775,0.00064775
75,895.621,0.81699,0.69844,1.0367,0.74825,0.62975,0.70835,0.54177,0.79604,0.76878,0.99707,0.0006395,0.0006395,0.0006395
76,907.389,0.79826,0.69237,1.03464,0.74978,0.65422,0.71107,0.54872,0.80075,0.7741,0.99421,0.00063125,0.00063125,0.00063125
77,919.236,0.80129,0.69207,1.02938,0.73811,0.64316,0.71466,0.55984,0.78268,0.76034,0.99245,0.000623,0.000623,0.000623
78,931.101,0.80187,0.68586,1.02829,0.74497,0.68004,0.72025,0.55409,0.79381,0.75415,0.99184,0.00061475,0.00061475,0.00061475
79,942.923,0.79772,0.67931,1.02927,0.77055,0.63337,0.71279,0.55344,0.78222,0.7521,0.99305,0.0006065,0.0006065,0.0006065
80,954.789,0.80937,0.68146,1.03155,0.73752,0.64873,0.71072,0.55866,0.79231,0.77484,0.99447,0.00059825,0.00059825,0.00059825
81,967.095,0.80412,0.67302,1.02699,0.73054,0.68551,0.7323,0.5673,0.78551,0.73676,0.99136,0.00059,0.00059,0.00059
82,978.912,0.78814,0.66915,1.03049,0.76911,0.64932,0.72264,0.55992,0.79934,0.76078,0.99612,0.00058175,0.00058175,0.00058175
83,990.738,0.79211,0.67335,1.037,0.7358,0.6803,0.72941,0.56768,0.79611,0.75714,0.98919,0.0005735,0.0005735,0.0005735
84,1003.45,0.78925,0.659,1.02173,0.70846,0.68941,0.71724,0.55972,0.7859,0.73512,0.99028,0.00056525,0.00056525,0.00056525
