epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6162,2.05909,3.93007,1.92003,0.19193,0.24057,0.18034,0.10494,1.51297,3.01377,1.46521,0.000413647,0.000413647,0.000413647
2,32.1676,1.46678,2.72441,1.42817,0.50731,0.21627,0.23182,0.14135,1.39749,3.12743,1.45799,0.000824834,0.000824834,0.000824834
3,46.5597,1.42528,2.44372,1.4098,0.28752,0.35229,0.28243,0.16392,1.35129,2.43512,1.3613,0.00123052,0.00123052,0.00123052
4,60.2892,1.37702,2.16462,1.36069,0.31968,0.37474,0.30702,0.19284,1.30163,2.15651,1.32549,0.00122525,0.00122525,0.00122525
5,73.939,1.31907,2.04786,1.34578,0.31841,0.39048,0.33122,0.20483,1.25185,2.03875,1.30457,0.001217,0.001217,0.001217
6,87.5093,1.27954,1.91518,1.31274,0.39532,0.42354,0.38485,0.23697,1.20055,1.75215,1.27913,0.00120875,0.00120875,0.00120875
7,101.113,1.22733,1.82356,1.29186,0.41201,0.41367,0.40581,0.26279,1.12349,1.7879,1.21817,0.0012005,0.0012005,0.0012005
8,114.727,1.21871,1.76383,1.28351,0.40968,0.44703,0.41151,0.26479,1.15699,1.69683,1.2322,0.00119225,0.00119225,0.00119225
9,128.292,1.16721,1.68275,1.26295,0.4241,0.46952,0.44314,0.2784,1.11093,1.54476,1.21081,0.001184,0.001184,0.001184
10,141.861,1.16832,1.64705,1.24878,0.46496,0.50903,0.4816,0.31756,1.07262,1.44992,1.19396,0.00117575,0.00117575,0.00117575
11,155.401,1.15358,1.59891,1.24798,0.49629,0.48744,0.46741,0.30407,1.07309,1.50917,1.18821,0.0011675,0.0011675,0.0011675
12,168.898,1.13542,1.60537,1.24187,0.46376,0.50258,0.45884,0.29846,1.06439,1.45246,1.18573,0.00115925,0.00115925,0.00115925
13,182.744,1.13447,1.6028,1.24637,0.72724,0.40593,0.4549,0.29495,1.05079,1.48223,1.18038,0.001151,0.001151,0.001151
14,196.224,1.09068,1.52464,1.21611,0.51945,0.49361,0.48771,0.333,1.02513,1.38884,1.16161,0.00114275,0.00114275,0.00114275
15,209.839,1.10555,1.48651,1.22,0.50402,0.49441,0.49527,0.33218,1.00904,1.3415,1.15887,0.0011345,0.0011345,0.0011345
16,223.289,1.08928,1.48449,1.22169,0.46277,0.532,0.4977,0.33243,0.99918,1.35673,1.15515,0.00112625,0.00112625,0.00112625
17,236.823,1.07328,1.45871,1.21031,0.51222,0.5145,0.50453,0.34644,1.01442,1.36029,1.14564,0.001118,0.001118,0.001118
18,250.344,1.08053,1.44393,1.20885,0.58071,0.52867,0.54788,0.37276,0.99147,1.26726,1.1432,0.00110975,0.00110975,0.00110975
19,263.876,1.04494,1.36391,1.19519,0.55607,0.56044,0.56165,0.38596,0.97374,1.23,1.11782,0.0011015,0.0011015,0.0011015
