epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4993,1.96334,2.61891,1.81555,0.56692,0.40299,0.41374,0.24076,1.57786,2.22898,1.48047,0.000661836,0.000661836,0.000661836
2,31.5303,1.46053,1.72264,1.41117,0.54541,0.41126,0.4147,0.2458,1.52421,2.81175,1.5376,0.00131973,0.00131973,0.00131973
3,45.757,1.44116,1.56758,1.42118,0.52954,0.46397,0.44691,0.24729,1.49615,3.15365,1.44171,0.00196883,0.00196883,0.00196883
4,59.3615,1.41556,1.43269,1.38709,0.62679,0.47137,0.5128,0.3099,1.41229,1.45691,1.40839,0.0019604,0.0019604,0.0019604
5,72.8651,1.34026,1.38323,1.36252,0.69508,0.50159,0.56867,0.3701,1.3067,1.45679,1.30138,0.0019472,0.0019472,0.0019472
6,86.3316,1.29958,1.27523,1.3235,0.70589,0.55407,0.60228,0.38699,1.21953,1.1861,1.27761,0.001934,0.001934,0.001934
7,99.7752,1.24892,1.22779,1.30552,0.7499,0.58842,0.66316,0.42979,1.18434,1.03459,1.23801,0.0019208,0.0019208,0.0019208
8,113.292,1.23297,1.16047,1.29181,0.76639,0.59987,0.67021,0.44632,1.15817,1.11835,1.23896,0.0019076,0.0019076,0.0019076
9,126.745,1.18013,1.11132,1.27397,0.76265,0.60274,0.66785,0.45328,1.1415,1.02103,1.22936,0.0018944,0.0018944,0.0018944
10,140.241,1.17991,1.09032,1.25443,0.75137,0.58715,0.66826,0.44829,1.1165,1.12686,1.21022,0.0018812,0.0018812,0.0018812
11,153.687,1.15888,1.06766,1.24755,0.77384,0.56838,0.65073,0.45706,1.09382,1.01776,1.21444,0.001868,0.001868,0.001868
12,167.15,1.14568,1.06246,1.24459,0.79249,0.60614,0.70683,0.47939,1.09992,0.95136,1.20384,0.0018548,0.0018548,0.0018548
13,180.605,1.14095,1.05176,1.25374,0.80201,0.64345,0.72736,0.49263,1.05179,0.89945,1.17057,0.0018416,0.0018416,0.0018416
14,194.029,1.11154,1.00238,1.23282,0.7956,0.60909,0.68819,0.49267,1.03791,0.91244,1.16167,0.0018284,0.0018284,0.0018284
15,207.577,1.10817,0.99218,1.22635,0.7966,0.62658,0.69909,0.49899,1.0207,0.8802,1.16759,0.0018152,0.0018152,0.0018152
16,220.981,1.09285,0.97917,1.2219,0.76909,0.6479,0.71843,0.50559,1.03626,0.8886,1.16607,0.001802,0.001802,0.001802
17,234.458,1.08612,0.96943,1.21708,0.81799,0.65172,0.73321,0.52622,1.00255,0.82583,1.14871,0.0017888,0.0017888,0.0017888
18,247.9,1.0882,0.95461,1.21729,0.82303,0.64495,0.73751,0.52068,1.01072,0.81551,1.14434,0.0017756,0.0017756,0.0017756
19,261.378,1.0465,0.90614,1.19497,0.83224,0.6514,0.74266,0.52682,0.98738,0.79153,1.1174,0.0017624,0.0017624,0.0017624
