epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0257,1.99171,3.34508,1.88086,0.47876,0.23994,0.19894,0.11779,1.44175,2.5637,1.41067,0.000413647,0.000413647,0.000413647
2,31.6594,1.42259,2.29229,1.41001,0.54321,0.21303,0.23577,0.1463,1.35064,2.8074,1.37288,0.000824834,0.000824834,0.000824834
3,45.6202,1.39226,2.03318,1.39314,0.3362,0.35135,0.29937,0.17908,1.3295,1.89413,1.38156,0.00123052,0.00123052,0.00123052
4,59.2724,1.37396,1.80746,1.3664,0.29651,0.31519,0.28758,0.17918,1.23474,1.82236,1.30198,0.00122525,0.00122525,0.00122525
5,72.9043,1.31487,1.7377,1.3512,0.33288,0.38786,0.3442,0.21731,1.20905,1.59785,1.27847,0.001217,0.001217,0.001217
6,86.4932,1.27004,1.59394,1.30981,0.38727,0.37525,0.36747,0.23415,1.1636,1.51303,1.24816,0.00120875,0.00120875,0.00120875
7,100.011,1.23039,1.52315,1.30055,0.40279,0.43134,0.40374,0.25709,1.12371,1.35436,1.21622,0.0012005,0.0012005,0.0012005
8,113.572,1.2144,1.46711,1.28068,0.44429,0.41631,0.40706,0.26143,1.15793,1.40252,1.23621,0.00119225,0.00119225,0.00119225
9,127.075,1.16055,1.38715,1.25537,0.3996,0.50549,0.42896,0.27979,1.09671,1.22208,1.19565,0.001184,0.001184,0.001184
10,140.626,1.16191,1.35229,1.24829,0.39619,0.47335,0.42204,0.2751,1.06221,1.23874,1.18316,0.00117575,0.00117575,0.00117575
11,154.154,1.1483,1.32195,1.24423,0.4546,0.49125,0.46053,0.30899,1.07698,1.22029,1.18494,0.0011675,0.0011675,0.0011675
12,167.687,1.13082,1.32653,1.23642,0.45405,0.47106,0.45449,0.29351,1.06807,1.18804,1.17994,0.00115925,0.00115925,0.00115925
13,181.185,1.12071,1.31196,1.23563,0.46901,0.5012,0.47363,0.31111,1.02761,1.16174,1.15925,0.001151,0.001151,0.001151
14,194.676,1.08884,1.26024,1.21979,0.49054,0.50614,0.47818,0.32523,1.0284,1.18695,1.16661,0.00114275,0.00114275,0.00114275
15,208.239,1.09888,1.23662,1.21864,0.50435,0.51468,0.50123,0.33886,1.01392,1.10578,1.14748,0.0011345,0.0011345,0.0011345
16,221.679,1.077,1.22078,1.21244,0.53375,0.52132,0.50693,0.34254,0.99503,1.09316,1.15016,0.00112625,0.00112625,0.00112625
17,235.227,1.06685,1.20445,1.20459,0.47743,0.50734,0.50134,0.34056,0.98499,1.06568,1.12935,0.001118,0.001118,0.001118
18,248.751,1.0766,1.20052,1.20796,0.55384,0.50868,0.52068,0.36545,0.98112,1.09167,1.13393,0.00110975,0.00110975,0.00110975
19,262.263,1.0374,1.1296,1.1898,0.56409,0.54254,0.54738,0.37733,0.97764,1.05247,1.11974,0.0011015,0.0011015,0.0011015
20,275.842,1.02865,1.13722,1.18085,0.5162,0.54962,0.51861,0.35886,0.98152,1.0301,1.12111,0.00109325,0.00109325,0.00109325
21,289.47,1.03152,1.11599,1.17159,0.52633,0.54853,0.51797,0.35743,0.96885,1.04091,1.12163,0.001085,0.001085,0.001085
22,303.028,1.0428,1.10114,1.17719,0.54709,0.58206,0.58215,0.40267,0.95026,0.99481,1.11717,0.00107675,0.00107675,0.00107675
23,316.547,1.01876,1.10856,1.17336,0.56407,0.54804,0.54927,0.38153,0.97045,1.00896,1.11804,0.0010685,0.0010685,0.0010685
24,330.082,1.0137,1.06277,1.16564,0.59582,0.57121,0.57742,0.40635,0.93593,0.99409,1.10424,0.00106025,0.00106025,0.00106025
25,343.591,0.99231,1.06588,1.16067,0.6014,0.55353,0.56863,0.404,0.95454,1.02056,1.11985,0.001052,0.001052,0.001052
26,357.154,1.00186,1.05985,1.15471,0.55922,0.57509,0.59341,0.42068,0.92669,0.96801,1.1074,0.00104375,0.00104375,0.00104375
27,370.696,0.98168,1.03072,1.15535,0.59428,0.58151,0.60436,0.43871,0.91186,0.93938,1.09399,0.0010355,0.0010355,0.0010355
28,384.221,0.97438,1.02953,1.1504,0.62234,0.5514,0.59099,0.4196,0.917,0.98412,1.08817,0.00102725,0.00102725,0.00102725
29,397.706,0.98132,1.02777,1.15869,0.6199,0.57419,0.60353,0.43534,0.90257,0.94306,1.0787,0.001019,0.001019,0.001019
30,411.183,0.97324,0.98806,1.14375,0.54692,0.58467,0.58031,0.41069,0.93136,1.00724,1.09471,0.00101075,0.00101075,0.00101075
31,424.735,0.97414,1.01136,1.15315,0.62879,0.58055,0.60501,0.43397,0.91698,0.91529,1.09613,0.0010025,0.0010025,0.0010025
32,438.225,0.96597,1.00067,1.14404,0.62656,0.57354,0.60226,0.43773,0.90024,0.93897,1.08307,0.00099425,0.00099425,0.00099425
33,451.743,0.96183,1.00116,1.14176,0.57123,0.6329,0.61339,0.43613,0.92418,0.91293,1.08743,0.000986,0.000986,0.000986
34,465.211,0.93222,0.95877,1.12803,0.66949,0.59562,0.6379,0.45922,0.91733,0.92916,1.09394,0.00097775,0.00097775,0.00097775
35,478.818,0.95219,0.9735,1.13119,0.6704,0.55342,0.62517,0.44106,0.90039,0.9464,1.08967,0.0009695,0.0009695,0.0009695
36,492.339,0.94354,0.94159,1.12457,0.64206,0.624,0.6433,0.45836,0.90735,0.90276,1.08744,0.00096125,0.00096125,0.00096125
37,505.874,0.93432,0.93794,1.13392,0.60444,0.60036,0.61565,0.44424,0.88234,0.9529,1.06986,0.000953,0.000953,0.000953
38,519.421,0.93394,0.92295,1.12222,0.66929,0.601,0.64165,0.4706,0.88412,0.92539,1.07383,0.00094475,0.00094475,0.00094475
39,532.936,0.93035,0.92909,1.13462,0.64546,0.60035,0.63034,0.4594,0.8742,0.90339,1.06464,0.0009365,0.0009365,0.0009365
40,546.854,0.90728,0.90756,1.11579,0.652,0.61052,0.64288,0.47027,0.86952,0.90012,1.06546,0.00092825,0.00092825,0.00092825
41,560.435,0.92616,0.903,1.11638,0.68659,0.59556,0.64722,0.47715,0.87923,0.88926,1.06658,0.00092,0.00092,0.00092
42,573.917,0.91785,0.91001,1.11657,0.6637,0.58831,0.63583,0.47762,0.86336,0.86774,1.0658,0.00091175,0.00091175,0.00091175
43,587.485,0.91411,0.90966,1.1188,0.62614,0.60792,0.62815,0.45507,0.86836,0.86204,1.06235,0.0009035,0.0009035,0.0009035
44,601.068,0.90175,0.89017,1.11127,0.63448,0.63108,0.63706,0.46951,0.87199,0.86404,1.06479,0.00089525,0.00089525,0.00089525
45,614.628,0.89909,0.86985,1.10068,0.65897,0.6383,0.6735,0.49739,0.84721,0.82757,1.05211,0.000887,0.000887,0.000887
46,628.073,0.88297,0.86546,1.10592,0.67325,0.62235,0.66499,0.49197,0.85546,0.84866,1.06454,0.00087875,0.00087875,0.00087875
47,641.633,0.8958,0.86273,1.10864,0.65634,0.60914,0.64822,0.47035,0.87128,0.86839,1.06243,0.0008705,0.0008705,0.0008705
48,655.071,0.88739,0.85175,1.10856,0.67942,0.60483,0.65358,0.48468,0.85883,0.84471,1.0632,0.00086225,0.00086225,0.00086225
49,668.617,0.87616,0.83639,1.09704,0.70154,0.62208,0.66101,0.49395,0.85057,0.83099,1.05763,0.000854,0.000854,0.000854
50,682.12,0.87677,0.83589,1.09787,0.72304,0.61185,0.67618,0.50366,0.83761,0.84157,1.04976,0.00084575,0.00084575,0.00084575
51,695.611,0.87256,0.82624,1.10341,0.69374,0.63573,0.67884,0.50598,0.84855,0.83192,1.0548,0.0008375,0.0008375,0.0008375
52,709.064,0.88019,0.82336,1.10095,0.68939,0.6209,0.66567,0.49724,0.84964,0.85173,1.05613,0.00082925,0.00082925,0.00082925
53,722.597,0.87082,0.82609,1.09024,0.69073,0.61396,0.67021,0.50585,0.83778,0.83842,1.05174,0.000821,0.000821,0.000821
54,736.048,0.86671,0.81567,1.08797,0.71073,0.61819,0.68026,0.50379,0.84296,0.80549,1.05362,0.00081275,0.00081275,0.00081275
55,749.556,0.86607,0.80512,1.08838,0.65768,0.66476,0.68115,0.50747,0.84269,0.83107,1.05385,0.0008045,0.0008045,0.0008045
56,763.023,0.85191,0.79876,1.09048,0.7026,0.6633,0.689,0.52246,0.82796,0.80992,1.0451,0.00079625,0.00079625,0.00079625
57,776.502,0.86062,0.80675,1.09754,0.69508,0.64483,0.6903,0.51623,0.84034,0.79633,1.05337,0.000788,0.000788,0.000788
58,789.979,0.84477,0.79224,1.08601,0.72834,0.63449,0.69287,0.52879,0.81743,0.80052,1.04555,0.00077975,0.00077975,0.00077975
59,803.523,0.86364,0.78758,1.08829,0.70924,0.64191,0.6847,0.51406,0.82825,0.79217,1.04456,0.0007715,0.0007715,0.0007715
60,817.08,0.84503,0.77912,1.07539,0.69454,0.63836,0.66684,0.50133,0.83465,0.82452,1.05532,0.00076325,0.00076325,0.00076325
61,831.07,0.84902,0.76096,1.07893,0.68735,0.649,0.67786,0.51189,0.83213,0.81817,1.0475,0.000755,0.000755,0.000755
62,844.64,0.84528,0.76581,1.08507,0.69976,0.65825,0.6942,0.52428,0.81947,0.78909,1.04061,0.00074675,0.00074675,0.00074675
63,858.142,0.84174,0.75554,1.08497,0.70087,0.63522,0.68703,0.51431,0.81483,0.78986,1.03373,0.0007385,0.0007385,0.0007385
64,871.644,0.83322,0.75465,1.07109,0.77176,0.62826,0.70935,0.54299,0.81932,0.79087,1.03762,0.00073025,0.00073025,0.00073025
65,885.125,0.82564,0.7374,1.07128,0.73445,0.64363,0.69809,0.52642,0.82471,0.79745,1.04064,0.000722,0.000722,0.000722
66,898.654,0.84029,0.74252,1.07335,0.71809,0.64092,0.68646,0.52418,0.81325,0.80185,1.04258,0.00071375,0.00071375,0.00071375
67,912.219,0.83762,0.74259,1.07491,0.72324,0.6392,0.70459,0.53648,0.80685,0.75681,1.03532,0.0007055,0.0007055,0.0007055
68,925.643,0.8205,0.73922,1.08137,0.74373,0.6402,0.70234,0.54134,0.81228,0.76743,1.03197,0.00069725,0.00069725,0.00069725
69,939.136,0.82309,0.73841,1.07186,0.71899,0.63731,0.69597,0.53309,0.81491,0.79654,1.03578,0.000689,0.000689,0.000689
70,952.652,0.82864,0.72408,1.0734,0.73977,0.61181,0.68592,0.52851,0.80554,0.81909,1.03703,0.00068075,0.00068075,0.00068075
71,966.122,0.82253,0.71917,1.06718,0.68871,0.65183,0.68281,0.52241,0.80553,0.78982,1.02765,0.0006725,0.0006725,0.0006725
