epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0245,1.95101,2.67797,1.90789,0.46103,0.3855,0.37072,0.21705,1.46636,2.1646,1.48686,0.000661836,0.000661836,0.000661836
2,66.8448,1.47553,1.77149,1.49007,0.59264,0.45674,0.47398,0.28774,1.41045,1.72615,1.45643,0.00131973,0.00131973,0.00131973
3,99.9791,1.45028,1.59117,1.47163,0.62972,0.4701,0.51472,0.32019,1.38597,1.48033,1.42744,0.00196883,0.00196883,0.00196883
4,133.31,1.41583,1.45785,1.43914,0.61688,0.51399,0.54268,0.32947,1.35076,1.39061,1.40785,0.0019604,0.0019604,0.0019604
5,168.53,1.34729,1.38555,1.40773,0.68264,0.55281,0.60063,0.38186,1.27616,1.22378,1.33877,0.0019472,0.0019472,0.0019472
6,202.305,1.31477,1.28179,1.3721,0.69373,0.54322,0.59199,0.3801,1.22847,1.27138,1.3255,0.001934,0.001934,0.001934
7,236.228,1.24512,1.22849,1.35477,0.66533,0.56277,0.59936,0.37523,1.20793,1.25044,1.29633,0.0019208,0.0019208,0.0019208
8,270.186,1.23455,1.17742,1.33889,0.77628,0.6004,0.67321,0.45872,1.14365,1.00679,1.27777,0.0019076,0.0019076,0.0019076
9,303.946,1.18448,1.12125,1.32085,0.77691,0.61696,0.6822,0.46869,1.09737,0.98051,1.25445,0.0018944,0.0018944,0.0018944
10,337.749,1.1801,1.09963,1.30231,0.80493,0.61101,0.69481,0.47254,1.1034,0.96571,1.23702,0.0018812,0.0018812,0.0018812
11,371.644,1.16684,1.06319,1.29659,0.8145,0.61355,0.69275,0.48824,1.07174,0.9351,1.24424,0.001868,0.001868,0.001868
12,405.6,1.1562,1.07239,1.30322,0.77911,0.625,0.69938,0.46161,1.10206,0.94267,1.23115,0.0018548,0.0018548,0.0018548
13,439.55,1.14441,1.05424,1.29312,0.79959,0.64758,0.74468,0.50798,1.05212,0.87488,1.21535,0.0018416,0.0018416,0.0018416
14,473.503,1.10423,0.99956,1.26618,0.82812,0.62055,0.71509,0.49637,1.03315,0.87817,1.20119,0.0018284,0.0018284,0.0018284
15,507.476,1.11038,0.99059,1.26244,0.80457,0.625,0.7108,0.50344,1.0363,0.87612,1.20437,0.0018152,0.0018152,0.0018152
