epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7036,1.55237,2.36547,1.53404,0.61989,0.4049,0.44633,0.26934,1.46895,2.20135,1.51201,0.000661836,0.000661836,0.000661836
2,28.3187,1.44145,1.77856,1.45571,0.57674,0.42494,0.44645,0.27237,1.49354,2.36408,1.54176,0.00131973,0.00131973,0.00131973
3,40.5237,1.44867,1.60583,1.45753,0.61512,0.44625,0.47903,0.2881,1.46469,1.71875,1.49167,0.00196883,0.00196883,0.00196883
4,53.1486,1.42249,1.46153,1.42063,0.58521,0.44023,0.47713,0.2811,1.49096,1.57933,1.51262,0.0019604,0.0019604,0.0019604
5,65.6649,1.34914,1.38887,1.39657,0.72756,0.53022,0.60719,0.38269,1.3028,1.28395,1.37997,0.0019472,0.0019472,0.0019472
6,77.7898,1.31774,1.28563,1.36404,0.70271,0.56087,0.60998,0.38237,1.24341,1.46259,1.33447,0.001934,0.001934,0.001934
7,89.8858,1.25566,1.22678,1.33247,0.72901,0.5881,0.66184,0.41746,1.24062,1.16667,1.29683,0.0019208,0.0019208,0.0019208
8,102.372,1.24011,1.18306,1.31389,0.73166,0.57316,0.65978,0.43242,1.22126,1.15249,1.30422,0.0019076,0.0019076,0.0019076
9,114.494,1.19673,1.12874,1.29413,0.7439,0.57697,0.63831,0.43326,1.19175,1.15497,1.29177,0.0018944,0.0018944,0.0018944
10,126.59,1.20073,1.10853,1.28147,0.75076,0.62627,0.70395,0.46266,1.15923,0.99627,1.26495,0.0018812,0.0018812,0.0018812
11,138.694,1.18547,1.08763,1.26965,0.7589,0.6027,0.68635,0.4593,1.16136,0.99189,1.24168,0.001868,0.001868,0.001868
12,150.738,1.17122,1.08153,1.27432,0.78403,0.63359,0.72571,0.4845,1.12655,0.95941,1.23188,0.0018548,0.0018548,0.0018548
13,162.799,1.16645,1.07572,1.27733,0.7586,0.64599,0.71779,0.47369,1.0859,0.94053,1.21168,0.0018416,0.0018416,0.0018416
14,174.857,1.11838,1.00892,1.24405,0.82443,0.63295,0.73322,0.49907,1.06028,0.8893,1.19725,0.0018284,0.0018284,0.0018284
15,186.967,1.12826,1.00415,1.24249,0.8161,0.64408,0.72465,0.50981,1.03986,0.89385,1.18672,0.0018152,0.0018152,0.0018152
16,198.987,1.11481,0.9991,1.24364,0.8384,0.65013,0.76079,0.52312,1.04415,0.84381,1.16693,0.001802,0.001802,0.001802
17,211.106,1.10838,0.98109,1.22834,0.81477,0.66285,0.74369,0.52566,1.03103,0.84383,1.16698,0.0017888,0.0017888,0.0017888
18,223.171,1.09443,0.9522,1.21784,0.76923,0.65744,0.73064,0.51859,1.01948,0.875,1.16941,0.0017756,0.0017756,0.0017756
19,235.248,1.06391,0.91159,1.20487,0.83233,0.6638,0.76034,0.53002,1.01735,0.81007,1.1514,0.0017624,0.0017624,0.0017624
20,247.406,1.05766,0.91228,1.19133,0.78882,0.65013,0.72748,0.51641,1.00847,0.84968,1.15057,0.0017492,0.0017492,0.0017492
21,260.067,1.06342,0.90241,1.1874,0.80637,0.67462,0.75294,0.51658,1.02513,0.80861,1.15806,0.001736,0.001736,0.001736
22,272.197,1.06403,0.89933,1.18604,0.84744,0.67716,0.78491,0.55226,1.00573,0.78201,1.15373,0.0017228,0.0017228,0.0017228
23,284.337,1.04352,0.90851,1.18547,0.83413,0.67271,0.74669,0.52816,1.00468,0.80827,1.13949,0.0017096,0.0017096,0.0017096
24,296.495,1.03492,0.8729,1.17828,0.81751,0.64981,0.74678,0.5321,0.99969,0.8108,1.15129,0.0016964,0.0016964,0.0016964
25,308.541,1.01897,0.86588,1.17172,0.8361,0.68471,0.78814,0.56269,0.96376,0.75139,1.12175,0.0016832,0.0016832,0.0016832
26,320.66,1.02372,0.866,1.16768,0.8491,0.65681,0.75577,0.5504,0.97537,0.81727,1.13219,0.00167,0.00167,0.00167
27,332.732,1.01113,0.85075,1.17097,0.8407,0.67141,0.77229,0.55971,0.96325,0.77166,1.12745,0.0016568,0.0016568,0.0016568
28,344.808,1.01084,0.85245,1.16254,0.84456,0.68956,0.78751,0.56313,0.96113,0.76693,1.121,0.0016436,0.0016436,0.0016436
29,356.909,1.00232,0.83278,1.15786,0.83895,0.66412,0.7528,0.54583,0.97962,0.82396,1.12378,0.0016304,0.0016304,0.0016304
30,368.954,1.01603,0.83316,1.15868,0.8628,0.67606,0.78632,0.57247,0.93979,0.75932,1.0974,0.0016172,0.0016172,0.0016172
31,381.079,1.00302,0.8322,1.15598,0.84563,0.67462,0.7746,0.55494,0.96302,0.74994,1.10695,0.001604,0.001604,0.001604
32,393.141,0.99756,0.83333,1.15213,0.87851,0.66826,0.77555,0.57076,0.93214,0.77244,1.08907,0.0015908,0.0015908,0.0015908
33,405.201,0.98981,0.81583,1.14751,0.84377,0.70706,0.80919,0.58471,0.92688,0.69817,1.09744,0.0015776,0.0015776,0.0015776
34,417.292,0.96716,0.79459,1.14185,0.85432,0.71342,0.80928,0.58437,0.92434,0.72217,1.09007,0.0015644,0.0015644,0.0015644
35,429.39,0.97004,0.79893,1.13515,0.83495,0.70474,0.8038,0.5862,0.90046,0.72311,1.08267,0.0015512,0.0015512,0.0015512
36,441.504,0.97221,0.78994,1.12951,0.86109,0.69007,0.79484,0.58797,0.90816,0.70378,1.08911,0.001538,0.001538,0.001538
37,453.686,0.96375,0.78842,1.13735,0.86519,0.7042,0.81825,0.5977,0.9117,0.68099,1.08251,0.0015248,0.0015248,0.0015248
38,465.803,0.962,0.77125,1.12798,0.86891,0.68925,0.79708,0.58626,0.91072,0.7241,1.08804,0.0015116,0.0015116,0.0015116
39,477.888,0.95943,0.78081,1.13886,0.86542,0.67875,0.77793,0.56943,0.93238,0.7608,1.09479,0.0014984,0.0014984,0.0014984
