epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7716,2.86346,4.09826,3.6848,0.12649,0.12087,0.04163,0.01345,2.29744,3.60038,2.92875,0.000413647,0.000413647,0.000413647
2,29.3632,2.03099,2.87174,2.65683,0.441,0.2367,0.16656,0.07441,1.86564,3.38599,2.41488,0.000824834,0.000824834,0.000824834
3,42.4491,1.78392,2.5033,2.2778,0.31576,0.27644,0.24638,0.12888,1.68937,2.16534,2.16702,0.00123052,0.00123052,0.00123052
4,55.3514,1.67544,2.17501,2.07449,0.28434,0.28959,0.27247,0.14632,1.61492,2.19897,2.00806,0.00122525,0.00122525,0.00122525
5,67.8708,1.58167,2.05473,1.97928,0.37987,0.34472,0.31475,0.17781,1.48752,1.75861,1.89848,0.001217,0.001217,0.001217
6,80.3731,1.5168,1.89069,1.87703,0.36178,0.29366,0.28722,0.16151,1.51086,1.79683,1.87428,0.00120875,0.00120875,0.00120875
7,92.8828,1.43238,1.77755,1.81569,0.39565,0.39213,0.36203,0.2205,1.34191,1.54273,1.69394,0.0012005,0.0012005,0.0012005
8,105.414,1.42343,1.69524,1.77034,0.38689,0.39264,0.37745,0.23069,1.29287,1.4788,1.63495,0.00119225,0.00119225,0.00119225
9,117.941,1.3745,1.61692,1.73633,0.36864,0.41052,0.37525,0.23102,1.3132,1.41871,1.67496,0.001184,0.001184,0.001184
10,130.49,1.36515,1.57153,1.70071,0.41482,0.41328,0.37643,0.23694,1.24495,1.48365,1.59368,0.00117575,0.00117575,0.00117575
11,143.285,1.34456,1.53099,1.6821,0.36323,0.45874,0.37872,0.23196,1.27642,1.45261,1.61422,0.0011675,0.0011675,0.0011675
12,155.794,1.321,1.53866,1.64928,0.40969,0.39203,0.39259,0.24118,1.24885,1.44638,1.57638,0.00115925,0.00115925,0.00115925
13,168.305,1.3023,1.49982,1.63823,0.40672,0.4657,0.4022,0.25575,1.19093,1.35513,1.50399,0.001151,0.001151,0.001151
14,180.769,1.27269,1.45018,1.61568,0.46475,0.48206,0.42588,0.27964,1.16107,1.25414,1.50943,0.00114275,0.00114275,0.00114275
15,193.296,1.26552,1.40429,1.5957,0.45789,0.46718,0.42463,0.27929,1.14484,1.24442,1.50244,0.0011345,0.0011345,0.0011345
16,205.767,1.24371,1.40115,1.5815,0.46575,0.47678,0.43629,0.28152,1.13584,1.2784,1.48421,0.00112625,0.00112625,0.00112625
17,218.306,1.23222,1.36809,1.56435,0.42746,0.48414,0.44952,0.28483,1.13561,1.25371,1.46472,0.001118,0.001118,0.001118
18,230.761,1.22529,1.37055,1.55365,0.46632,0.51457,0.46283,0.30835,1.11183,1.17028,1.46667,0.00110975,0.00110975,0.00110975
19,243.289,1.19731,1.29589,1.53286,0.50788,0.51923,0.48653,0.32408,1.10446,1.1695,1.44289,0.0011015,0.0011015,0.0011015
20,255.836,1.1861,1.30161,1.52288,0.48407,0.54307,0.49158,0.32374,1.09978,1.1152,1.41668,0.00109325,0.00109325,0.00109325
21,268.395,1.176,1.2696,1.48837,0.48246,0.53903,0.5055,0.33365,1.09725,1.13972,1.42933,0.001085,0.001085,0.001085
22,280.925,1.19183,1.25888,1.49333,0.51048,0.55284,0.51948,0.34543,1.07101,1.07854,1.3972,0.00107675,0.00107675,0.00107675
23,293.423,1.1544,1.26017,1.48287,0.49446,0.53106,0.50384,0.33975,1.05345,1.08849,1.37409,0.0010685,0.0010685,0.0010685
24,305.94,1.15832,1.2126,1.47868,0.52252,0.53419,0.51201,0.33165,1.05888,1.10451,1.39816,0.00106025,0.00106025,0.00106025
