epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1855,2.00847,3.41986,1.91782,0.18656,0.23174,0.1753,0.10555,1.45561,2.56785,1.44153,0.000413647,0.000413647,0.000413647
2,31.6855,1.45068,2.36942,1.43012,0.52073,0.24071,0.23136,0.13907,1.40062,2.87572,1.48102,0.000824443,0.000824443,0.000824443
3,45.5698,1.40378,2.09535,1.40364,0.27526,0.31802,0.26085,0.14933,1.34162,2.24051,1.37178,0.00122934,0.00122934,0.00122934
4,59.1506,1.36982,1.8307,1.36114,0.31029,0.35807,0.3118,0.19199,1.25661,1.73692,1.31702,0.00122348,0.00122348,0.00122348
5,72.1669,1.3191,1.77059,1.34973,0.34438,0.38083,0.32117,0.20196,1.25109,1.53188,1.30258,0.00121464,0.00121464,0.00121464
6,85.5347,1.27528,1.62899,1.31112,0.37472,0.38243,0.35629,0.21997,1.17629,1.533,1.27223,0.0012058,0.0012058,0.0012058
7,98.5679,1.22316,1.5261,1.29719,0.36641,0.41913,0.37738,0.23141,1.17694,1.44364,1.26793,0.00119696,0.00119696,0.00119696
8,111.634,1.20889,1.46674,1.28121,0.40172,0.44787,0.40958,0.27439,1.08551,1.25634,1.20285,0.00118812,0.00118812,0.00118812
9,124.663,1.16492,1.40741,1.26237,0.38198,0.45623,0.39291,0.25876,1.0969,1.34463,1.22559,0.00117929,0.00117929,0.00117929
10,137.978,1.15972,1.36227,1.24831,0.41244,0.46552,0.41745,0.27553,1.06795,1.282,1.1909,0.00117045,0.00117045,0.00117045
11,151.018,1.15234,1.34581,1.25259,0.44815,0.47274,0.43992,0.29098,1.05402,1.2947,1.18941,0.00116161,0.00116161,0.00116161
12,164.104,1.13744,1.34242,1.24673,0.39957,0.51725,0.44454,0.29754,1.02783,1.25947,1.17969,0.00115277,0.00115277,0.00115277
13,177.388,1.13003,1.32582,1.24793,0.52116,0.48376,0.47768,0.31696,1.01862,1.1627,1.17901,0.00114393,0.00114393,0.00114393
14,190.375,1.09929,1.28792,1.22846,0.51877,0.49686,0.48637,0.33123,1.00719,1.14639,1.16165,0.00113509,0.00113509,0.00113509
15,203.744,1.09649,1.24573,1.21917,0.4893,0.50808,0.48766,0.32871,1.01076,1.14357,1.16326,0.00112625,0.00112625,0.00112625
16,217.208,1.08559,1.24016,1.21999,0.44898,0.5281,0.48782,0.33196,0.976,1.11284,1.15284,0.00111741,0.00111741,0.00111741
17,230.286,1.07062,1.21466,1.20944,0.46508,0.54424,0.51237,0.34836,0.97003,1.05531,1.13589,0.00110857,0.00110857,0.00110857
18,243.51,1.06713,1.19683,1.20794,0.50007,0.50993,0.49725,0.34327,0.95479,1.05531,1.13053,0.00109973,0.00109973,0.00109973
19,256.839,1.04213,1.14075,1.19066,0.56883,0.53575,0.5297,0.37253,0.95751,1.07174,1.12998,0.00109089,0.00109089,0.00109089
20,270.088,1.03053,1.14028,1.18387,0.53837,0.54428,0.54904,0.38105,0.93274,1.00174,1.10772,0.00108205,0.00108205,0.00108205
21,283.997,1.03525,1.11375,1.17455,0.57637,0.5433,0.54717,0.38382,0.94053,1.02034,1.1183,0.00107321,0.00107321,0.00107321
