epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3213,2.02298,3.20108,1.90405,0.23984,0.23143,0.19446,0.12131,1.40069,2.46378,1.42211,0.000413647,0.000413647,0.000413647
2,29.9544,1.45003,2.27324,1.41968,0.24086,0.28692,0.229,0.14621,1.35916,2.10157,1.42462,0.000824443,0.000824443,0.000824443
3,43.4941,1.416,2.02729,1.40917,0.33646,0.31352,0.27925,0.16528,1.35097,1.99271,1.38751,0.00122934,0.00122934,0.00122934
4,56.7328,1.39121,1.80866,1.37343,0.315,0.33519,0.28819,0.17666,1.35164,1.81284,1.39363,0.00122348,0.00122348,0.00122348
5,69.8672,1.32897,1.74754,1.35721,0.3519,0.35465,0.30542,0.18823,1.28901,1.65681,1.34374,0.00121464,0.00121464,0.00121464
6,83.0714,1.28275,1.60647,1.32132,0.34704,0.41951,0.35251,0.22182,1.19139,1.52109,1.28221,0.0012058,0.0012058,0.0012058
7,96.2076,1.22793,1.5373,1.30186,0.33167,0.43289,0.36506,0.22881,1.13337,1.45095,1.22933,0.00119696,0.00119696,0.00119696
8,109.36,1.21594,1.47474,1.28594,0.42582,0.45553,0.41184,0.26459,1.1296,1.34476,1.22884,0.00118812,0.00118812,0.00118812
9,122.558,1.1713,1.41605,1.26957,0.40374,0.45813,0.41577,0.26784,1.09126,1.34732,1.20518,0.00117929,0.00117929,0.00117929
10,135.75,1.16736,1.37718,1.2543,0.44959,0.50084,0.45283,0.28686,1.07777,1.34763,1.21078,0.00117045,0.00117045,0.00117045
11,148.887,1.16297,1.35449,1.25371,0.43934,0.52567,0.44513,0.29996,1.04291,1.21792,1.18245,0.00116161,0.00116161,0.00116161
12,162.085,1.14423,1.34984,1.25031,0.48792,0.4589,0.45689,0.28734,1.05812,1.34001,1.19946,0.00115277,0.00115277,0.00115277
13,175.197,1.13665,1.34782,1.25334,0.44047,0.50777,0.46075,0.30111,1.01582,1.16347,1.17132,0.00114393,0.00114393,0.00114393
14,188.299,1.10462,1.29139,1.23309,0.50002,0.51629,0.49565,0.33702,0.98993,1.11226,1.15831,0.00113509,0.00113509,0.00113509
15,201.507,1.10183,1.24075,1.22509,0.47038,0.52891,0.48652,0.3253,1.00141,1.12288,1.16343,0.00112625,0.00112625,0.00112625
