epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7494,2.52616,4.02273,2.29963,0.1092,0.11925,0.04858,0.02416,2.02707,4.05335,1.95201,0.000413647,0.000413647,0.000413647
2,26.9593,1.7442,2.88609,1.62319,0.4558,0.1472,0.12849,0.07525,1.5711,3.63678,1.55282,0.000824834,0.000824834,0.000824834
3,38.34,1.60322,2.44949,1.51668,0.26572,0.21693,0.17692,0.10863,1.44213,2.44182,1.4465,0.00123052,0.00123052,0.00123052
4,50.1947,1.53892,2.17191,1.45626,0.18938,0.26971,0.19008,0.11688,1.42314,2.27046,1.42276,0.00122525,0.00122525,0.00122525
5,61.2875,1.48796,2.07289,1.42941,0.30974,0.32726,0.26801,0.1728,1.28992,1.77331,1.32649,0.001217,0.001217,0.001217
6,72.3849,1.42553,1.9362,1.38371,0.28276,0.32301,0.26447,0.17016,1.32124,1.73536,1.32723,0.00120875,0.00120875,0.00120875
7,83.5409,1.37073,1.81522,1.35389,0.30571,0.32551,0.28752,0.1783,1.26416,1.94036,1.2961,0.0012005,0.0012005,0.0012005
8,94.6803,1.34966,1.74698,1.32541,0.30554,0.37836,0.31945,0.20323,1.22385,1.62106,1.26515,0.00119225,0.00119225,0.00119225
9,105.729,1.30424,1.69566,1.31523,0.33473,0.36373,0.31547,0.20086,1.23801,1.61469,1.2804,0.001184,0.001184,0.001184
10,116.834,1.29613,1.65166,1.29748,0.31409,0.37813,0.33343,0.22457,1.16405,1.49201,1.23616,0.00117575,0.00117575,0.00117575
11,127.975,1.29077,1.63672,1.29396,0.43283,0.35506,0.36325,0.23004,1.1695,1.5083,1.23787,0.0011675,0.0011675,0.0011675
12,139.228,1.27739,1.62625,1.29089,0.3418,0.40916,0.33608,0.21886,1.15649,1.53169,1.22708,0.00115925,0.00115925,0.00115925
13,150.676,1.26724,1.59853,1.28593,0.39612,0.35663,0.35892,0.23302,1.11558,1.5314,1.19863,0.001151,0.001151,0.001151
14,161.734,1.22577,1.5379,1.26138,0.33025,0.42872,0.36898,0.24448,1.11812,1.42294,1.2017,0.00114275,0.00114275,0.00114275
15,172.828,1.23364,1.51503,1.25829,0.40241,0.40361,0.3891,0.25693,1.10911,1.37901,1.19506,0.0011345,0.0011345,0.0011345
16,183.928,1.22037,1.50886,1.26012,0.48012,0.37558,0.40689,0.26119,1.09966,1.39251,1.19419,0.00112625,0.00112625,0.00112625
17,195.047,1.20806,1.4745,1.24576,0.41251,0.46049,0.43269,0.28326,1.06951,1.27922,1.16813,0.001118,0.001118,0.001118
18,206.08,1.2018,1.45403,1.24172,0.40174,0.47961,0.4016,0.27398,1.05382,1.30649,1.15867,0.00110975,0.00110975,0.00110975
19,217.577,1.16896,1.39254,1.22674,0.45145,0.44853,0.43089,0.28759,1.06292,1.2746,1.16086,0.0011015,0.0011015,0.0011015
20,229.015,1.16571,1.39617,1.21778,0.42412,0.4532,0.41683,0.27898,1.04247,1.28324,1.14635,0.00109325,0.00109325,0.00109325
21,241.331,1.16587,1.3778,1.20865,0.42928,0.50602,0.45622,0.29717,1.0525,1.22565,1.15037,0.001085,0.001085,0.001085
