epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5938,2.36861,3.88578,2.16608,0.05517,0.11064,0.02848,0.01428,2.00069,5.47149,1.8555,0.000413647,0.000413647,0.000413647
2,24.422,1.7172,2.87338,1.61148,0.27369,0.18759,0.14291,0.08592,1.64547,2.95383,1.63053,0.000824834,0.000824834,0.000824834
3,34.7318,1.60338,2.44608,1.51141,0.22252,0.24907,0.1855,0.11063,1.46227,2.73522,1.44506,0.00123052,0.00123052,0.00123052
4,45.1022,1.54087,2.15586,1.44897,0.29634,0.23803,0.23365,0.14406,1.35928,2.08563,1.36912,0.00122525,0.00122525,0.00122525
5,55.2259,1.48408,2.04273,1.42525,0.31741,0.28194,0.2516,0.15697,1.34096,1.84979,1.34615,0.001217,0.001217,0.001217
6,65.1599,1.42417,1.89994,1.3804,0.28568,0.31743,0.26093,0.16601,1.32874,1.75533,1.33734,0.00120875,0.00120875,0.00120875
7,75.0293,1.37417,1.81251,1.35442,0.32003,0.32565,0.27987,0.17665,1.2904,1.80053,1.2991,0.0012005,0.0012005,0.0012005
8,84.8107,1.35115,1.74048,1.32665,0.30696,0.36524,0.31544,0.20851,1.22382,1.59829,1.26163,0.00119225,0.00119225,0.00119225
9,94.8059,1.30875,1.66756,1.30854,0.33806,0.38143,0.32481,0.21073,1.20815,1.57424,1.26248,0.001184,0.001184,0.001184
10,105.31,1.30403,1.62784,1.29307,0.35144,0.3828,0.34131,0.22366,1.19777,1.53657,1.25189,0.00117575,0.00117575,0.00117575
11,115.093,1.28791,1.5878,1.28793,0.42295,0.39068,0.37703,0.24639,1.15241,1.45249,1.21295,0.0011675,0.0011675,0.0011675
12,124.988,1.27026,1.60053,1.28085,0.35821,0.41678,0.35007,0.23055,1.14244,1.55788,1.20623,0.00115925,0.00115925,0.00115925
13,134.754,1.27392,1.57974,1.28677,0.3572,0.36596,0.35221,0.2239,1.1671,1.49449,1.23105,0.001151,0.001151,0.001151
