epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8287,3.37796,4.63791,3.9836,0.00643,0.01883,0.00339,0.00086,3.02129,4.47616,3.71296,0.000413647,0.000413647,0.000413647
2,36.0399,2.80471,3.96517,3.19892,0.03877,0.04594,0.01157,0.00343,2.58906,4.26138,2.98293,0.000824443,0.000824443,0.000824443
3,51.5642,2.45643,3.5456,2.82849,0.29916,0.06237,0.02837,0.01018,2.34899,3.55619,2.70042,0.00122934,0.00122934,0.00122934
4,66.8586,2.29179,3.20523,2.60157,0.12092,0.08262,0.0491,0.01872,2.2705,3.13202,2.59474,0.00122348,0.00122348,0.00122348
5,82.0215,2.16625,3.02187,2.47638,0.42849,0.11515,0.09626,0.04181,1.9953,2.75224,2.33874,0.00121464,0.00121464,0.00121464
6,97.0533,2.01705,2.78731,2.2932,0.2196,0.14393,0.1143,0.05235,1.94022,2.6192,2.26884,0.0012058,0.0012058,0.0012058
7,112.13,1.90766,2.60138,2.18855,0.15265,0.16754,0.13311,0.06646,1.85788,2.44617,2.1437,0.00119696,0.00119696,0.00119696
8,127.311,1.8126,2.43687,2.06837,0.25805,0.18544,0.16524,0.088,1.71967,2.49113,1.99686,0.00118812,0.00118812,0.00118812
9,142.589,1.73145,2.31251,1.99986,0.22263,0.21207,0.19051,0.10932,1.59963,2.06937,1.89314,0.00117929,0.00117929,0.00117929
10,157.685,1.69741,2.23429,1.93687,0.26965,0.25519,0.21321,0.12103,1.56415,2.01585,1.84038,0.00117045,0.00117045,0.00117045
11,172.788,1.64717,2.13105,1.87807,0.27502,0.25754,0.22637,0.12521,1.58229,1.99219,1.86354,0.00116161,0.00116161,0.00116161
12,187.842,1.62138,2.13612,1.85679,0.24498,0.27148,0.23287,0.14136,1.51086,1.93651,1.78128,0.00115277,0.00115277,0.00115277
13,202.876,1.575,2.06231,1.8162,0.26979,0.25625,0.24425,0.14541,1.45485,1.86173,1.71814,0.00114393,0.00114393,0.00114393
14,217.918,1.52492,1.97062,1.76836,0.2754,0.28244,0.25678,0.15379,1.44001,1.82445,1.70399,0.00113509,0.00113509,0.00113509
15,232.992,1.53114,1.93447,1.75194,0.30921,0.31397,0.28236,0.17551,1.3796,1.66698,1.64463,0.00112625,0.00112625,0.00112625
16,248.029,1.48884,1.90353,1.72684,0.27624,0.34566,0.27731,0.16796,1.34948,1.71613,1.61889,0.00111741,0.00111741,0.00111741
17,263.099,1.47559,1.87326,1.69697,0.28246,0.3645,0.27814,0.17504,1.31696,1.6853,1.58704,0.00110857,0.00110857,0.00110857
18,278.142,1.47195,1.84794,1.694,0.32053,0.34974,0.30509,0.19049,1.3233,1.56325,1.58108,0.00109973,0.00109973,0.00109973
19,293.241,1.41783,1.75139,1.65686,0.33513,0.36355,0.30646,0.18774,1.31411,1.64725,1.56497,0.00109089,0.00109089,0.00109089
20,308.488,1.41239,1.75345,1.63944,0.32769,0.35788,0.3164,0.1989,1.30253,1.53789,1.5488,0.00108205,0.00108205,0.00108205
21,323.635,1.41286,1.72604,1.61856,0.34435,0.38246,0.33135,0.20878,1.24508,1.50018,1.51033,0.00107321,0.00107321,0.00107321
22,338.744,1.40499,1.69964,1.6046,0.36145,0.40385,0.36249,0.22599,1.25822,1.4575,1.50734,0.00106437,0.00106437,0.00106437
23,353.754,1.36601,1.69313,1.59584,0.41679,0.4019,0.35087,0.21863,1.27011,1.48727,1.50592,0.00105554,0.00105554,0.00105554
24,369.027,1.36165,1.63479,1.57823,0.38175,0.39968,0.35664,0.22629,1.23209,1.49294,1.48703,0.0010467,0.0010467,0.0010467
25,384.03,1.32133,1.63341,1.56173,0.35267,0.40914,0.34973,0.22147,1.21875,1.41583,1.46051,0.00103786,0.00103786,0.00103786
26,399.1,1.34713,1.61687,1.56193,0.40348,0.42248,0.36886,0.23209,1.21127,1.42282,1.44889,0.00102902,0.00102902,0.00102902
27,414.169,1.31143,1.57965,1.54307,0.36986,0.41886,0.35608,0.23434,1.18488,1.39742,1.43912,0.00102018,0.00102018,0.00102018
28,429.535,1.3063,1.58485,1.53686,0.39024,0.42429,0.38267,0.24126,1.19055,1.44272,1.45412,0.00101134,0.00101134,0.00101134
29,444.568,1.309,1.57487,1.53704,0.39912,0.41857,0.37388,0.24595,1.16984,1.37358,1.44351,0.0010025,0.0010025,0.0010025
30,459.968,1.29137,1.53599,1.52102,0.3987,0.4352,0.37816,0.2416,1.18298,1.43733,1.43238,0.000993661,0.000993661,0.000993661
31,475.229,1.29674,1.53457,1.516,0.4302,0.41624,0.3889,0.25841,1.15549,1.39122,1.42083,0.000984821,0.000984821,0.000984821
32,490.224,1.28875,1.52723,1.50539,0.41101,0.42014,0.38988,0.25573,1.15035,1.33668,1.41251,0.000975982,0.000975982,0.000975982
