epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7791,3.41886,4.55765,4.03025,0.76202,0.01645,0.00495,0.00123,3.0379,5.04853,3.71652,0.000413647,0.000413647,0.000413647
2,35.728,2.83722,3.91962,3.20529,0.02724,0.05172,0.01352,0.00378,2.62618,3.89438,3.04062,0.000826204,0.000826204,0.000826204
3,53.5114,2.4579,3.47561,2.8325,0.06967,0.07458,0.01833,0.00574,2.48036,5.06237,2.82355,0.00123464,0.00123464,0.00123464
4,69.1722,2.27142,3.15723,2.59858,0.13301,0.10201,0.06461,0.02473,2.21686,3.00871,2.54092,0.00123144,0.00123144,0.00123144
5,84.4874,2.10449,2.92667,2.4444,0.1954,0.17199,0.11946,0.0528,1.95717,2.61765,2.33622,0.00122525,0.00122525,0.00122525
6,99.5998,1.98554,2.70233,2.28414,0.27395,0.15082,0.13873,0.0641,1.88934,2.47579,2.24285,0.00121906,0.00121906,0.00121906
7,115.136,1.85932,2.51179,2.16765,0.25921,0.18972,0.16569,0.0844,1.8192,2.39741,2.11645,0.00121287,0.00121287,0.00121287
8,130.243,1.77118,2.34073,2.06484,0.2327,0.22842,0.20034,0.10713,1.67458,2.23416,2.00788,0.00120669,0.00120669,0.00120669
9,145.265,1.69136,2.21486,1.99697,0.26672,0.26731,0.21707,0.11764,1.59917,2.06089,1.92858,0.0012005,0.0012005,0.0012005
10,160.79,1.65912,2.1363,1.92938,0.29812,0.25206,0.23544,0.13186,1.5446,1.93518,1.84502,0.00119431,0.00119431,0.00119431
11,176.699,1.63115,2.08931,1.8981,0.34804,0.26946,0.25827,0.15113,1.48813,1.89133,1.78898,0.00118812,0.00118812,0.00118812
12,192.477,1.59568,2.06352,1.85371,0.32127,0.30789,0.26568,0.1548,1.47702,1.85505,1.76514,0.00118194,0.00118194,0.00118194
13,207.568,1.54461,2.01868,1.82347,0.3688,0.25908,0.2579,0.14896,1.4203,1.93446,1.71271,0.00117575,0.00117575,0.00117575
14,222.578,1.50569,1.93143,1.78389,0.3224,0.35897,0.29515,0.17942,1.38263,1.67508,1.67514,0.00116956,0.00116956,0.00116956
15,237.923,1.50586,1.89553,1.76314,0.3607,0.36523,0.32243,0.1962,1.36492,1.63256,1.65154,0.00116337,0.00116337,0.00116337
16,252.899,1.47172,1.86735,1.74787,0.30069,0.33449,0.29044,0.17677,1.36585,1.70488,1.65523,0.00115719,0.00115719,0.00115719
17,268.671,1.47605,1.84974,1.73227,0.33487,0.35768,0.31674,0.19717,1.31831,1.58997,1.62299,0.001151,0.001151,0.001151
