epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5772,1.9159,2.52389,1.81148,0.57393,0.42178,0.44377,0.26858,1.4804,1.8364,1.4247,0.000661836,0.000661836,0.000661836
2,30.0313,1.44481,1.7291,1.4154,0.50667,0.41432,0.40825,0.24837,1.48069,2.59771,1.51058,0.00131973,0.00131973,0.00131973
3,43.3039,1.43153,1.56775,1.422,0.03593,0.41296,0.02605,0.01555,1.37209,inf,1.42298,0.00196883,0.00196883,0.00196883
4,56.2968,1.40641,1.42778,1.39239,0.59073,0.46827,0.51298,0.32381,1.31738,1.4155,1.36896,0.0019604,0.0019604,0.0019604
5,70.0431,1.34735,1.38807,1.37188,0.65483,0.5358,0.56446,0.35549,1.31708,1.277,1.36578,0.0019472,0.0019472,0.0019472
6,83.6981,1.30955,1.28665,1.3331,0.70648,0.54869,0.5887,0.39192,1.20486,1.27279,1.2877,0.001934,0.001934,0.001934
7,96.4812,1.2494,1.24783,1.31089,0.67979,0.55005,0.59236,0.38369,1.17942,1.17721,1.26259,0.0019208,0.0019208,0.0019208
8,109.282,1.2313,1.18653,1.29293,0.73765,0.56498,0.62454,0.42766,1.12367,1.18162,1.23656,0.0019076,0.0019076,0.0019076
9,122.1,1.18958,1.12946,1.28081,0.79571,0.604,0.67684,0.46465,1.09886,0.99211,1.21597,0.0018944,0.0018944,0.0018944
10,134.947,1.18426,1.10642,1.26018,0.74626,0.6447,0.68327,0.45715,1.06082,0.98267,1.18433,0.0018812,0.0018812,0.0018812
11,148.066,1.17021,1.08227,1.26059,0.7504,0.6169,0.67578,0.46797,1.09713,0.9845,1.20662,0.001868,0.001868,0.001868
12,160.918,1.15459,1.07521,1.25698,0.76608,0.61588,0.68038,0.46029,1.04924,1.08265,1.20228,0.0018548,0.0018548,0.0018548
13,173.726,1.1453,1.05683,1.26289,0.77183,0.65592,0.73136,0.4948,1.02573,0.91163,1.17235,0.0018416,0.0018416,0.0018416
14,186.518,1.11792,1.01562,1.23548,0.78559,0.62039,0.6896,0.49645,0.99303,0.89422,1.15162,0.0018284,0.0018284,0.0018284
15,199.899,1.10478,0.99482,1.22194,0.79927,0.64642,0.71104,0.50735,0.98924,0.87519,1.14356,0.0018152,0.0018152,0.0018152
16,213.002,1.09811,0.99034,1.22676,0.79255,0.61758,0.70467,0.48974,1.03547,0.9323,1.17995,0.001802,0.001802,0.001802
17,225.849,1.08458,0.9721,1.21303,0.81135,0.65083,0.73779,0.52622,0.96825,0.8261,1.14426,0.0017888,0.0017888,0.0017888
18,238.661,1.08113,0.96043,1.21328,0.79965,0.60299,0.67708,0.47986,1.02016,0.91754,1.16392,0.0017756,0.0017756,0.0017756
19,251.515,1.05829,0.92101,1.19804,0.80561,0.65816,0.75151,0.52633,0.96597,0.78936,1.12372,0.0017624,0.0017624,0.0017624
20,264.822,1.05442,0.91938,1.1919,0.79091,0.66101,0.72865,0.52315,0.96032,0.80766,1.11458,0.0017492,0.0017492,0.0017492
21,278.116,1.04991,0.89766,1.18084,0.78793,0.69121,0.76364,0.53628,0.95035,0.82789,1.12825,0.001736,0.001736,0.001736
22,291.032,1.06013,0.90122,1.18467,0.82514,0.68534,0.7791,0.55062,0.94698,0.75963,1.11431,0.0017228,0.0017228,0.0017228
23,303.885,1.02855,0.89485,1.17721,0.80364,0.66383,0.73697,0.53218,0.95962,0.75728,1.12106,0.0017096,0.0017096,0.0017096
24,316.803,1.02309,0.87631,1.17601,0.81139,0.62097,0.70458,0.51055,0.93963,0.84202,1.11922,0.0016964,0.0016964,0.0016964
25,329.61,1.00757,0.86087,1.17221,0.83357,0.66067,0.76176,0.53734,0.93945,0.74978,1.10556,0.0016832,0.0016832,0.0016832
26,342.471,1.01641,0.86458,1.1637,0.81078,0.68205,0.76538,0.55551,0.90993,0.76443,1.09514,0.00167,0.00167,0.00167
27,355.288,0.99115,0.84548,1.16409,0.83865,0.65456,0.76066,0.55482,0.89754,0.73979,1.08938,0.0016568,0.0016568,0.0016568
28,368.123,0.99634,0.84959,1.16347,0.81709,0.69123,0.77339,0.56386,0.90258,0.73441,1.10153,0.0016436,0.0016436,0.0016436
29,380.923,0.99053,0.8316,1.16164,0.85146,0.67051,0.76268,0.5611,0.90852,0.72791,1.10026,0.0016304,0.0016304,0.0016304
30,393.711,0.98691,0.81694,1.15379,0.84104,0.67628,0.76694,0.56583,0.89081,0.7475,1.08491,0.0016172,0.0016172,0.0016172
31,406.576,0.99466,0.81922,1.16039,0.82618,0.71564,0.79993,0.57997,0.89092,0.68838,1.08468,0.001604,0.001604,0.001604
32,419.382,0.98299,0.81718,1.15278,0.85624,0.6773,0.78498,0.57168,0.87709,0.70088,1.07878,0.0015908,0.0015908,0.0015908
33,432.183,0.97597,0.8171,1.15047,0.80928,0.71802,0.78982,0.5737,0.89266,0.70649,1.09462,0.0015776,0.0015776,0.0015776
34,444.98,0.94411,0.78575,1.14025,0.82906,0.69452,0.79872,0.57269,0.89897,0.72743,1.09085,0.0015644,0.0015644,0.0015644
35,457.843,0.96798,0.80302,1.14283,0.82741,0.70439,0.79247,0.58357,0.8652,0.69216,1.07048,0.0015512,0.0015512,0.0015512
36,470.675,0.95868,0.78233,1.13214,0.84975,0.69053,0.78686,0.58205,0.8771,0.70549,1.0704,0.001538,0.001538,0.001538
37,483.504,0.95214,0.78411,1.14281,0.8572,0.69087,0.79492,0.5934,0.85302,0.6804,1.06357,0.0015248,0.0015248,0.0015248
38,496.364,0.94683,0.76647,1.12842,0.80947,0.74992,0.81598,0.5884,0.85765,0.66937,1.0608,0.0015116,0.0015116,0.0015116
39,509.203,0.94386,0.76815,1.13689,0.86975,0.69019,0.78423,0.58526,0.85367,0.68991,1.06059,0.0014984,0.0014984,0.0014984
40,521.972,0.92021,0.75062,1.11886,0.83398,0.7092,0.79684,0.59283,0.84507,0.65803,1.05527,0.0014852,0.0014852,0.0014852
41,534.841,0.94168,0.74857,1.1257,0.85768,0.69325,0.79124,0.59074,0.84497,0.6741,1.05114,0.001472,0.001472,0.001472
42,547.593,0.92935,0.74936,1.12826,0.84035,0.72243,0.81162,0.60048,0.84463,0.64555,1.05061,0.0014588,0.0014588,0.0014588
43,560.431,0.92582,0.75649,1.13141,0.85711,0.70629,0.81159,0.59952,0.83682,0.65296,1.05211,0.0014456,0.0014456,0.0014456
44,573.303,0.92102,0.74631,1.11989,0.87648,0.68384,0.78647,0.59573,0.83853,0.66783,1.0488,0.0014324,0.0014324,0.0014324
45,586.138,0.91835,0.73557,1.11073,0.83666,0.71496,0.79563,0.59736,0.8339,0.67098,1.04923,0.0014192,0.0014192,0.0014192
46,598.89,0.90221,0.72527,1.11646,0.8843,0.69087,0.78425,0.59609,0.83366,0.66956,1.04953,0.001406,0.001406,0.001406
47,611.766,0.91323,0.72121,1.1185,0.84593,0.72209,0.82315,0.60685,0.83198,0.67716,1.04713,0.0013928,0.0013928,0.0013928
48,624.497,0.89754,0.70279,1.10927,0.83798,0.71429,0.80783,0.60348,0.82063,0.64521,1.04172,0.0013796,0.0013796,0.0013796
49,637.345,0.89544,0.70125,1.10812,0.86159,0.69918,0.78689,0.59618,0.82238,0.64529,1.0442,0.0013664,0.0013664,0.0013664
50,650.121,0.88991,0.70524,1.103,0.85398,0.71644,0.82521,0.62364,0.80333,0.61359,1.03393,0.0013532,0.0013532,0.0013532
51,662.935,0.88421,0.70147,1.10987,0.85601,0.72073,0.8145,0.60728,0.82068,0.62935,1.03662,0.00134,0.00134,0.00134
52,675.675,0.89618,0.69743,1.10789,0.86013,0.70682,0.79759,0.60391,0.82294,0.65464,1.04073,0.0013268,0.0013268,0.0013268
53,688.562,0.88402,0.68967,1.09114,0.87681,0.7058,0.81998,0.62123,0.80894,0.6117,1.03221,0.0013136,0.0013136,0.0013136
54,701.359,0.87444,0.68191,1.09338,0.85879,0.73263,0.82992,0.62077,0.80969,0.59806,1.03181,0.0013004,0.0013004,0.0013004
55,714.205,0.88912,0.69038,1.0998,0.85982,0.736,0.82674,0.61501,0.80986,0.61296,1.03084,0.0012872,0.0012872,0.0012872
56,727.005,0.87244,0.68652,1.09867,0.86273,0.71444,0.80536,0.61134,0.80955,0.63092,1.02864,0.001274,0.001274,0.001274
57,739.795,0.88732,0.69215,1.10449,0.86246,0.71395,0.81179,0.61764,0.80825,0.6223,1.03334,0.0012608,0.0012608,0.0012608
58,752.546,0.86053,0.67539,1.09126,0.87725,0.70566,0.80412,0.61565,0.79802,0.64032,1.03092,0.0012476,0.0012476,0.0012476
59,765.399,0.88408,0.6835,1.09899,0.84983,0.73354,0.82915,0.62409,0.78852,0.60315,1.02073,0.0012344,0.0012344,0.0012344
60,778.278,0.86624,0.66061,1.08078,0.83801,0.76012,0.83706,0.62869,0.79045,0.59698,1.02115,0.0012212,0.0012212,0.0012212
61,791.116,0.86329,0.65989,1.08931,0.8502,0.7434,0.83475,0.62822,0.79532,0.59779,1.02506,0.001208,0.001208,0.001208
62,803.925,0.86414,0.66442,1.09105,0.83282,0.75874,0.83729,0.62922,0.79852,0.59036,1.02489,0.0011948,0.0011948,0.0011948
63,816.737,0.85657,0.65853,1.08874,0.87353,0.71055,0.82933,0.62881,0.78564,0.60563,1.02202,0.0011816,0.0011816,0.0011816
64,829.551,0.85507,0.65259,1.07864,0.8565,0.75568,0.84936,0.63091,0.80667,0.59354,1.03168,0.0011684,0.0011684,0.0011684
65,842.407,0.84502,0.64198,1.07929,0.86113,0.72854,0.82184,0.62649,0.7876,0.60978,1.02192,0.0011552,0.0011552,0.0011552
66,855.256,0.8555,0.64513,1.08392,0.86976,0.71666,0.81593,0.62308,0.79206,0.60308,1.031,0.001142,0.001142,0.001142
67,868.147,0.85947,0.64506,1.08551,0.83763,0.75161,0.84324,0.63975,0.77878,0.59032,1.01567,0.0011288,0.0011288,0.0011288
68,880.889,0.84147,0.64015,1.09269,0.87181,0.72692,0.82234,0.62415,0.78465,0.5905,1.02206,0.0011156,0.0011156,0.0011156
69,893.741,0.84535,0.63941,1.08024,0.85893,0.73125,0.82167,0.62047,0.78985,0.59254,1.02207,0.0011024,0.0011024,0.0011024
70,906.598,0.85016,0.63958,1.08245,0.86758,0.74075,0.82408,0.63141,0.78314,0.5906,1.01954,0.0010892,0.0010892,0.0010892
