epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7442,1.91938,2.60867,1.80216,0.45953,0.41161,0.39014,0.22036,1.59954,2.35786,1.56961,0.000661836,0.000661836,0.000661836
2,30.2285,1.45623,1.76429,1.41985,0.57048,0.39667,0.41967,0.26802,1.3884,2.66554,1.42752,0.00131973,0.00131973,0.00131973
3,43.2572,1.43545,1.57888,1.42156,0.62728,0.50424,0.53595,0.32861,1.34838,1.67312,1.37454,0.00196883,0.00196883,0.00196883
4,56.2445,1.41576,1.43859,1.38785,0.59399,0.50594,0.52763,0.33493,1.28167,1.39575,1.33308,0.0019604,0.0019604,0.0019604
5,69.4862,1.34269,1.35316,1.35745,0.52785,0.48219,0.46949,0.27227,1.39388,2.75172,1.41956,0.0019472,0.0019472,0.0019472
6,82.6932,1.30553,1.28274,1.32621,0.72936,0.59625,0.6384,0.41824,1.18021,1.1739,1.27322,0.001934,0.001934,0.001934
7,95.5968,1.2441,1.20073,1.30219,0.67671,0.61582,0.63941,0.41684,1.131,1.22002,1.22908,0.0019208,0.0019208,0.0019208
8,108.459,1.23078,1.17276,1.28864,0.74316,0.5783,0.64802,0.42667,1.15208,1.10029,1.2358,0.0019076,0.0019076,0.0019076
9,121.324,1.17517,1.11272,1.26513,0.78455,0.59993,0.66098,0.44795,1.12269,1.03736,1.23528,0.0018944,0.0018944,0.0018944
10,134.195,1.18102,1.09539,1.25633,0.76836,0.60842,0.66293,0.44552,1.08565,0.99823,1.20719,0.0018812,0.0018812,0.0018812
11,147.053,1.16424,1.07343,1.25096,0.75477,0.62674,0.67382,0.4723,1.05747,1.00072,1.18524,0.001868,0.001868,0.001868
12,159.938,1.15394,1.0767,1.2516,0.77061,0.63624,0.70466,0.48908,1.03529,0.92602,1.17491,0.0018548,0.0018548,0.0018548
13,172.795,1.14204,1.0418,1.25005,0.7636,0.64438,0.71704,0.49103,1.02768,0.88687,1.16645,0.0018416,0.0018416,0.0018416
14,185.655,1.10989,1.00315,1.2273,0.77926,0.65015,0.72698,0.50217,1.02063,0.85904,1.15761,0.0018284,0.0018284,0.0018284
15,198.558,1.11564,0.98805,1.22465,0.77837,0.64235,0.7142,0.50257,1.00465,0.85723,1.13889,0.0018152,0.0018152,0.0018152
16,211.376,1.09374,0.97588,1.22123,0.7939,0.65728,0.7331,0.51406,0.98808,0.86467,1.14796,0.001802,0.001802,0.001802
17,224.285,1.08002,0.95789,1.21145,0.80419,0.6522,0.73582,0.51994,0.97186,0.82306,1.14198,0.0017888,0.0017888,0.0017888
18,237.141,1.08388,0.9472,1.21163,0.78701,0.67594,0.73242,0.51722,0.96726,0.83476,1.1342,0.0017756,0.0017756,0.0017756
19,250.018,1.0578,0.91274,1.20131,0.81089,0.64472,0.73799,0.51838,0.99488,0.81374,1.13681,0.0017624,0.0017624,0.0017624
20,262.986,1.05089,0.92003,1.18992,0.78898,0.65355,0.7283,0.52339,0.95709,0.78078,1.11731,0.0017492,0.0017492,0.0017492
21,275.913,1.0468,0.89056,1.17536,0.81056,0.65287,0.74043,0.52278,0.96614,0.81477,1.13252,0.001736,0.001736,0.001736
22,288.821,1.05322,0.89993,1.18421,0.81816,0.69008,0.77451,0.55637,0.91628,0.72715,1.10227,0.0017228,0.0017228,0.0017228
23,301.67,1.01996,0.88233,1.17551,0.78902,0.65226,0.72521,0.5271,0.94904,0.79801,1.119,0.0017096,0.0017096,0.0017096
24,314.59,1.02165,0.86723,1.16731,0.81937,0.65263,0.73368,0.53231,0.93661,0.76268,1.10602,0.0016964,0.0016964,0.0016964
25,327.395,1.0017,0.854,1.1581,0.79397,0.68918,0.76139,0.54666,0.91454,0.7699,1.10141,0.0016832,0.0016832,0.0016832
26,340.659,1.00352,0.85371,1.15395,0.82372,0.68171,0.75973,0.55366,0.91571,0.75543,1.10533,0.00167,0.00167,0.00167
27,353.507,0.98878,0.84106,1.16076,0.8398,0.66033,0.76326,0.55867,0.90503,0.7263,1.08829,0.0016568,0.0016568,0.0016568
28,366.351,0.99074,0.84149,1.15618,0.79408,0.68442,0.7624,0.5594,0.89969,0.7549,1.08767,0.0016436,0.0016436,0.0016436
29,379.256,0.99678,0.82371,1.1587,0.8449,0.68579,0.77612,0.56638,0.92799,0.70901,1.10278,0.0016304,0.0016304,0.0016304
30,392.082,0.98844,0.8093,1.1485,0.83321,0.67933,0.76549,0.56157,0.90531,0.74289,1.08911,0.0016172,0.0016172,0.0016172
31,404.961,0.99414,0.81568,1.15547,0.83665,0.70241,0.79789,0.57733,0.90164,0.70197,1.0966,0.001604,0.001604,0.001604
32,417.806,0.97977,0.81438,1.14891,0.85411,0.67344,0.76331,0.56712,0.87135,0.7092,1.06573,0.0015908,0.0015908,0.0015908
33,430.64,0.96958,0.81192,1.14425,0.85327,0.68869,0.78604,0.57586,0.87788,0.69074,1.08271,0.0015776,0.0015776,0.0015776
34,443.462,0.94883,0.78537,1.14107,0.84077,0.67546,0.77372,0.56953,0.89521,0.72134,1.09105,0.0015644,0.0015644,0.0015644
35,456.381,0.9758,0.80129,1.14345,0.82372,0.69494,0.78154,0.57818,0.86317,0.71644,1.06412,0.0015512,0.0015512,0.0015512
36,469.271,0.95806,0.77638,1.12911,0.8256,0.70521,0.79099,0.58196,0.87944,0.68809,1.08072,0.001538,0.001538,0.001538
37,482.162,0.9501,0.77817,1.13978,0.82854,0.72005,0.81286,0.59122,0.86006,0.65306,1.05744,0.0015248,0.0015248,0.0015248
38,495.084,0.94426,0.75905,1.12884,0.84829,0.69189,0.79402,0.57999,0.86556,0.67165,1.06852,0.0015116,0.0015116,0.0015116
39,507.95,0.93847,0.76506,1.13408,0.85279,0.70766,0.80008,0.59023,0.84677,0.65484,1.05373,0.0014984,0.0014984,0.0014984
40,520.733,0.91558,0.7532,1.1185,0.82111,0.70712,0.77914,0.58323,0.85079,0.69602,1.05932,0.0014852,0.0014852,0.0014852
41,533.643,0.94269,0.75336,1.12223,0.83825,0.71327,0.79931,0.59123,0.85174,0.65882,1.05497,0.001472,0.001472,0.001472
42,546.461,0.93298,0.74767,1.12231,0.83216,0.70886,0.79251,0.59595,0.84389,0.66025,1.04798,0.0014588,0.0014588,0.0014588
43,559.367,0.91784,0.75211,1.12116,0.83861,0.73363,0.82507,0.6055,0.83807,0.64983,1.05133,0.0014456,0.0014456,0.0014456
44,572.257,0.91289,0.73822,1.11262,0.8653,0.70037,0.79565,0.59688,0.83617,0.65671,1.04819,0.0014324,0.0014324,0.0014324
45,585.185,0.91214,0.72124,1.10269,0.84352,0.71395,0.80538,0.59499,0.8384,0.65799,1.04353,0.0014192,0.0014192,0.0014192
46,597.97,0.9027,0.71841,1.11048,0.86777,0.70377,0.81385,0.6097,0.82855,0.63206,1.04413,0.001406,0.001406,0.001406
47,610.845,0.91237,0.71999,1.11645,0.84497,0.71734,0.80829,0.5977,0.84281,0.64351,1.05227,0.0013928,0.0013928,0.0013928
48,623.661,0.90211,0.70135,1.11143,0.86011,0.70445,0.80485,0.6022,0.83614,0.63486,1.05229,0.0013796,0.0013796,0.0013796
49,637.022,0.89735,0.70142,1.1016,0.86348,0.69755,0.79407,0.59561,0.83034,0.65388,1.04657,0.0013664,0.0013664,0.0013664
50,649.908,0.88927,0.70073,1.10256,0.84848,0.74868,0.82722,0.61212,0.82261,0.61456,1.04222,0.0013532,0.0013532,0.0013532
51,662.775,0.88188,0.70031,1.10978,0.83999,0.73498,0.81463,0.60529,0.82098,0.62009,1.03976,0.00134,0.00134,0.00134
52,675.597,0.89323,0.69648,1.10401,0.85756,0.72175,0.81902,0.61171,0.82337,0.62601,1.04533,0.0013268,0.0013268,0.0013268
53,688.545,0.88466,0.68813,1.08975,0.84814,0.71089,0.80766,0.60933,0.82377,0.61858,1.04169,0.0013136,0.0013136,0.0013136
