epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2649,1.38996,2.23512,1.3723,0.63627,0.51476,0.55157,0.34431,1.30533,2.06921,1.3402,0.000661836,0.000661836,0.000661836
2,29.2822,1.36872,1.70805,1.35697,0.41708,0.31965,0.29067,0.15713,1.63977,2.7171,1.57688,0.00131973,0.00131973,0.00131973
3,43.2394,1.38466,1.51416,1.36783,0.55523,0.51272,0.48135,0.27386,1.34584,3.05068,1.41072,0.00196883,0.00196883,0.00196883
4,54.5883,1.38246,1.43695,1.3643,0.61305,0.43331,0.48668,0.31084,1.30308,1.65269,1.3802,0.0019604,0.0019604,0.0019604
5,66.0326,1.31552,1.31744,1.32941,0.6838,0.53919,0.59771,0.38333,1.2388,1.19497,1.29239,0.0019472,0.0019472,0.0019472
6,77.7466,1.27667,1.27353,1.29591,0.68099,0.56566,0.586,0.37015,1.17225,1.31365,1.25642,0.001934,0.001934,0.001934
7,89.0287,1.23898,1.18876,1.27937,0.70349,0.5643,0.61085,0.39384,1.13131,1.2479,1.22062,0.0019208,0.0019208,0.0019208
8,100.389,1.22535,1.15696,1.24892,0.74432,0.60949,0.6747,0.46466,1.06774,0.96858,1.16853,0.0019076,0.0019076,0.0019076
9,111.533,1.17501,1.11966,1.24675,0.75006,0.59688,0.67475,0.45229,1.08765,0.98864,1.19185,0.0018944,0.0018944,0.0018944
10,122.977,1.17602,1.08453,1.24137,0.7498,0.65151,0.71097,0.47468,1.09385,0.93868,1.18002,0.0018812,0.0018812,0.0018812
11,134.207,1.17557,1.1114,1.24069,0.74352,0.63153,0.67904,0.46765,1.06116,1.05533,1.17226,0.001868,0.001868,0.001868
12,145.381,1.13576,1.03302,1.20773,0.77462,0.64981,0.71592,0.49674,1.02938,0.91545,1.15297,0.0018548,0.0018548,0.0018548
13,156.521,1.12192,1.03516,1.21735,0.79946,0.63963,0.72014,0.49782,1.0172,0.8826,1.14569,0.0018416,0.0018416,0.0018416
14,167.658,1.09507,0.98924,1.19057,0.82406,0.62301,0.72429,0.51976,0.99062,0.85272,1.12233,0.0018284,0.0018284,0.0018284
15,178.863,1.09964,0.98947,1.19699,0.82382,0.6204,0.72113,0.50728,0.98845,0.84411,1.12002,0.0018152,0.0018152,0.0018152
16,190.088,1.09965,0.98318,1.19236,0.77959,0.65422,0.71062,0.50035,0.97276,0.85302,1.11579,0.001802,0.001802,0.001802
17,201.33,1.07417,0.94985,1.17374,0.78051,0.63954,0.70914,0.49729,1.00542,0.86345,1.12082,0.0017888,0.0017888,0.0017888
18,212.601,1.0698,0.93728,1.17316,0.79872,0.66113,0.73188,0.52872,0.96414,0.80934,1.09575,0.0017756,0.0017756,0.0017756
19,223.986,1.05357,0.90638,1.16234,0.81482,0.65864,0.72474,0.52543,0.9466,0.83112,1.08252,0.0017624,0.0017624,0.0017624
20,235.226,1.05065,0.91623,1.15399,0.80674,0.65898,0.72716,0.52467,0.94351,0.81958,1.08596,0.0017492,0.0017492,0.0017492
21,246.701,1.03683,0.88974,1.14655,0.81352,0.66712,0.75006,0.52915,0.96119,0.7779,1.09353,0.001736,0.001736,0.001736
22,257.882,1.0238,0.87749,1.14282,0.82785,0.66474,0.74704,0.53113,0.9472,0.79659,1.0887,0.0017228,0.0017228,0.0017228
23,269.717,1.02504,0.86892,1.13778,0.82858,0.66542,0.75183,0.54683,0.92149,0.76914,1.07277,0.0017096,0.0017096,0.0017096
24,280.937,1.02292,0.86058,1.14298,0.78657,0.65796,0.73501,0.53528,0.92029,0.79418,1.07797,0.0016964,0.0016964,0.0016964
25,292.392,1.0005,0.86364,1.14584,0.84541,0.66067,0.74472,0.54888,0.90219,0.78935,1.06517,0.0016832,0.0016832,0.0016832
26,303.943,1.02381,0.85367,1.14063,0.83488,0.6868,0.77791,0.56345,0.89968,0.72359,1.05743,0.00167,0.00167,0.00167
27,315.115,1.00471,0.83648,1.13526,0.83802,0.67051,0.77002,0.55273,0.92085,0.73567,1.06791,0.0016568,0.0016568,0.0016568
28,326.325,0.99434,0.84462,1.12731,0.83588,0.6965,0.78045,0.56377,0.89487,0.73006,1.04947,0.0016436,0.0016436,0.0016436
29,337.559,0.99189,0.82409,1.1204,0.8252,0.68442,0.77422,0.55708,0.91243,0.7311,1.05925,0.0016304,0.0016304,0.0016304
30,348.776,0.98908,0.83049,1.11755,0.82208,0.69302,0.78847,0.57014,0.89622,0.70051,1.04748,0.0016172,0.0016172,0.0016172
31,360.03,0.99366,0.81573,1.11673,0.85595,0.68239,0.77411,0.56996,0.88366,0.71007,1.04516,0.001604,0.001604,0.001604
32,371.17,0.95784,0.79813,1.10928,0.83273,0.70611,0.80403,0.56987,0.89966,0.70654,1.06175,0.0015908,0.0015908,0.0015908
33,382.365,0.96531,0.78864,1.10665,0.82261,0.74347,0.81829,0.5953,0.86441,0.69833,1.03768,0.0015776,0.0015776,0.0015776
34,393.905,0.94554,0.77434,1.10128,0.83339,0.74177,0.81314,0.58704,0.86534,0.68684,1.0368,0.0015644,0.0015644,0.0015644
35,405.142,0.95984,0.78218,1.10589,0.81168,0.73465,0.80828,0.56762,0.86833,0.71902,1.03567,0.0015512,0.0015512,0.0015512
36,416.42,0.95596,0.76334,1.08573,0.84849,0.73872,0.83001,0.60963,0.8399,0.63674,1.02241,0.001538,0.001538,0.001538
37,427.612,0.95129,0.77527,1.10037,0.83448,0.70173,0.78522,0.5833,0.84891,0.69102,1.02733,0.0015248,0.0015248,0.0015248
38,438.812,0.94842,0.77064,1.09227,0.83295,0.71737,0.80995,0.60005,0.83836,0.66224,1.02157,0.0015116,0.0015116,0.0015116
39,450.065,0.9552,0.74411,1.09133,0.85486,0.70411,0.80602,0.58942,0.88237,0.66818,1.06155,0.0014984,0.0014984,0.0014984
40,461.315,0.94772,0.76054,1.09934,0.8433,0.7049,0.7918,0.59164,0.84807,0.67854,1.03307,0.0014852,0.0014852,0.0014852
41,472.558,0.95102,0.74916,1.08849,0.83228,0.76043,0.83554,0.61333,0.83953,0.64382,1.02419,0.001472,0.001472,0.001472
42,484.077,0.93773,0.7497,1.08567,0.84358,0.75433,0.83016,0.59975,0.84169,0.64748,1.02108,0.0014588,0.0014588,0.0014588
43,495.263,0.92797,0.75794,1.09061,0.85644,0.72267,0.81731,0.60344,0.8419,0.65307,1.0224,0.0014456,0.0014456,0.0014456
44,506.441,0.92031,0.73189,1.0799,0.84384,0.71331,0.80107,0.59893,0.84438,0.65205,1.02037,0.0014324,0.0014324,0.0014324
45,517.619,0.92597,0.72807,1.09167,0.8536,0.72608,0.81142,0.60169,0.83839,0.65026,1.02091,0.0014192,0.0014192,0.0014192
46,528.81,0.91556,0.72199,1.07552,0.86523,0.71971,0.8162,0.60827,0.82905,0.63752,1.01874,0.001406,0.001406,0.001406
47,540.006,0.91523,0.71601,1.07674,0.87068,0.70241,0.80265,0.60036,0.82818,0.64299,1.0153,0.0013928,0.0013928,0.0013928
48,551.552,0.90812,0.71556,1.07132,0.86225,0.7282,0.82407,0.60209,0.81758,0.6292,1.00789,0.0013796,0.0013796,0.0013796
49,563.21,0.91679,0.70455,1.0721,0.84545,0.73324,0.81062,0.59742,0.83289,0.62893,1.01097,0.0013664,0.0013664,0.0013664
50,574.684,0.89988,0.7104,1.06719,0.85317,0.73125,0.81953,0.61242,0.81676,0.64335,1.00451,0.0013532,0.0013532,0.0013532
51,585.9,0.88055,0.70369,1.06065,0.8606,0.73091,0.82041,0.61997,0.80552,0.61637,1.00702,0.00134,0.00134,0.00134
52,597.105,0.88848,0.69744,1.06335,0.84435,0.7547,0.83326,0.61932,0.81774,0.62433,1.00569,0.0013268,0.0013268,0.0013268
53,608.317,0.8942,0.68406,1.05955,0.8576,0.73775,0.82597,0.61678,0.80604,0.6148,1.0039,0.0013136,0.0013136,0.0013136
54,619.472,0.87008,0.68339,1.06339,0.88039,0.72209,0.82431,0.61505,0.8149,0.61453,1.00627,0.0013004,0.0013004,0.0013004
55,630.73,0.89227,0.68185,1.05824,0.8485,0.72073,0.81282,0.61045,0.80501,0.62849,1.00379,0.0012872,0.0012872,0.0012872
56,641.895,0.87188,0.68247,1.066,0.86617,0.71259,0.8097,0.60963,0.80175,0.63078,1.00352,0.001274,0.001274,0.001274
