epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8468,1.44187,2.97238,1.42758,0.22895,0.30502,0.25256,0.1596,1.26176,2.25966,1.29237,0.000413647,0.000413647,0.000413647
2,27.0782,1.34236,2.23566,1.35193,0.32748,0.30653,0.2622,0.15936,1.29927,2.0723,1.35009,0.000824443,0.000824443,0.000824443
3,38.9056,1.3358,1.98731,1.3435,0.31017,0.37934,0.30936,0.1898,1.26247,1.90214,1.34314,0.00122934,0.00122934,0.00122934
4,50.7372,1.31788,1.80528,1.33058,0.32842,0.38623,0.32174,0.20532,1.237,1.67511,1.30248,0.00122348,0.00122348,0.00122348
5,62.2286,1.29158,1.66262,1.31771,0.36126,0.3807,0.31926,0.19766,1.18147,1.75402,1.27634,0.00121464,0.00121464,0.00121464
6,73.5714,1.25163,1.57396,1.2953,0.42599,0.38841,0.36644,0.23469,1.14721,1.46776,1.24845,0.0012058,0.0012058,0.0012058
7,84.8751,1.20683,1.47552,1.26829,0.34333,0.47205,0.39903,0.25418,1.09231,1.32179,1.20067,0.00119696,0.00119696,0.00119696
8,96.2962,1.20175,1.43292,1.24391,0.37214,0.46052,0.40257,0.26276,1.09535,1.33581,1.20704,0.00118812,0.00118812,0.00118812
9,107.971,1.15463,1.38482,1.24349,0.40045,0.44584,0.39997,0.26845,1.04215,1.32196,1.17534,0.00117929,0.00117929,0.00117929
10,119.434,1.15162,1.34904,1.23248,0.44889,0.52221,0.46837,0.30447,1.04777,1.19202,1.17195,0.00117045,0.00117045,0.00117045
11,130.734,1.15416,1.35038,1.23632,0.45154,0.50718,0.44891,0.29819,1.05716,1.17113,1.1643,0.00116161,0.00116161,0.00116161
12,142.021,1.12136,1.2796,1.20631,0.50564,0.5047,0.4917,0.33475,1.00083,1.11585,1.13957,0.00115277,0.00115277,0.00115277
13,153.274,1.11396,1.27775,1.215,0.44446,0.53055,0.49735,0.3259,1.01321,1.13025,1.14481,0.00114393,0.00114393,0.00114393
14,164.552,1.08062,1.21912,1.19255,0.53647,0.48342,0.48191,0.3272,1.01805,1.18182,1.14386,0.00113509,0.00113509,0.00113509
15,175.907,1.0982,1.23253,1.19769,0.56218,0.51688,0.54318,0.35796,0.98213,1.1161,1.12881,0.00112625,0.00112625,0.00112625
16,187.517,1.08353,1.2024,1.19091,0.44073,0.55761,0.48991,0.3316,0.96298,1.16265,1.1124,0.00111741,0.00111741,0.00111741
17,198.876,1.0667,1.17477,1.17487,0.50959,0.58363,0.53918,0.37672,0.9593,1.02839,1.10166,0.00110857,0.00110857,0.00110857
18,210.175,1.05549,1.15938,1.17217,0.53831,0.55542,0.52863,0.37545,0.9498,1.10032,1.10212,0.00109973,0.00109973,0.00109973
19,221.459,1.03839,1.12229,1.16315,0.55151,0.56525,0.54493,0.37728,0.93169,1.04337,1.09086,0.00109089,0.00109089,0.00109089
20,232.748,1.03776,1.12086,1.15981,0.52348,0.52669,0.53054,0.37102,0.93013,1.05405,1.09574,0.00108205,0.00108205,0.00108205
21,244.09,1.04239,1.11412,1.15696,0.59641,0.52708,0.53718,0.38104,0.92323,1.02372,1.09278,0.00107321,0.00107321,0.00107321
22,255.374,1.02776,1.09331,1.15145,0.56394,0.55049,0.56094,0.39117,0.92061,0.99322,1.08108,0.00106437,0.00106437,0.00106437
23,266.706,1.01203,1.0631,1.13989,0.56278,0.60423,0.58605,0.41092,0.90934,0.96964,1.07983,0.00105554,0.00105554,0.00105554
24,278.059,1.01282,1.06112,1.1425,0.48226,0.60203,0.5186,0.37281,0.91943,1.03465,1.09203,0.0010467,0.0010467,0.0010467
25,289.313,0.98485,1.06136,1.14495,0.60781,0.55647,0.59416,0.43225,0.9016,0.93057,1.0671,0.00103786,0.00103786,0.00103786
26,300.623,1.01058,1.04692,1.14026,0.58787,0.5911,0.59431,0.42668,0.90717,0.95006,1.07128,0.00102902,0.00102902,0.00102902
27,311.936,0.99725,1.03475,1.1387,0.61471,0.56823,0.59568,0.4202,0.9292,0.96948,1.07043,0.00102018,0.00102018,0.00102018
28,323.237,0.99132,1.02269,1.13254,0.61977,0.55466,0.58859,0.41916,0.88997,0.96971,1.06398,0.00101134,0.00101134,0.00101134
29,334.87,0.97572,0.99578,1.12224,0.62725,0.56317,0.58799,0.42499,0.90615,0.93666,1.06328,0.0010025,0.0010025,0.0010025
30,346.195,0.98229,1.01074,1.12512,0.56815,0.56407,0.55971,0.40353,0.88968,0.97497,1.06199,0.000993661,0.000993661,0.000993661
31,357.548,0.976,0.98894,1.11852,0.60328,0.57909,0.58374,0.42384,0.88334,0.98336,1.06218,0.000984821,0.000984821,0.000984821
32,368.79,0.94793,0.97084,1.11479,0.57534,0.61641,0.5799,0.41855,0.89867,0.9531,1.06502,0.000975982,0.000975982,0.000975982
33,380.125,0.95102,0.95291,1.10523,0.54981,0.61064,0.59091,0.42186,0.88552,0.9282,1.05469,0.000967143,0.000967143,0.000967143
34,391.419,0.9424,0.95316,1.1069,0.61977,0.5901,0.61475,0.44574,0.88486,0.92628,1.05711,0.000958304,0.000958304,0.000958304
35,402.723,0.95006,0.94702,1.11384,0.59349,0.60708,0.60558,0.44399,0.87148,0.91401,1.0531,0.000949464,0.000949464,0.000949464
36,414.391,0.94532,0.9171,1.09039,0.63462,0.61406,0.62474,0.46521,0.83723,0.87244,1.03643,0.000940625,0.000940625,0.000940625
37,425.675,0.94147,0.93513,1.10612,0.59963,0.62081,0.62321,0.45553,0.8518,0.87951,1.03681,0.000931786,0.000931786,0.000931786
38,437,0.93902,0.92047,1.09286,0.68416,0.58475,0.63925,0.47632,0.85285,0.86498,1.04114,0.000922946,0.000922946,0.000922946
39,448.443,0.94605,0.90097,1.09375,0.62025,0.62834,0.6425,0.47339,0.87028,0.86127,1.05159,0.000914107,0.000914107,0.000914107
40,460.075,0.93383,0.90782,1.09882,0.61495,0.57315,0.6075,0.44809,0.84615,0.89766,1.04486,0.000905268,0.000905268,0.000905268
41,471.383,0.93335,0.87754,1.09141,0.64679,0.60055,0.62445,0.45748,0.87478,0.8887,1.05315,0.000896429,0.000896429,0.000896429
