epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2118,1.44187,2.97238,1.42758,0.22895,0.30502,0.25256,0.1596,1.26176,2.25966,1.29237,0.000413647,0.000413647,0.000413647
2,26.2102,1.3479,2.23971,1.35153,0.27363,0.34508,0.28358,0.17822,1.2537,1.92929,1.32938,0.000824834,0.000824834,0.000824834
3,37.9535,1.3266,1.95826,1.33207,0.31713,0.25276,0.27547,0.16933,1.3097,2.05154,1.37439,0.00123052,0.00123052,0.00123052
4,49.4902,1.31361,1.78804,1.32559,0.37439,0.37612,0.33645,0.21436,1.20829,1.72023,1.30606,0.00122525,0.00122525,0.00122525
5,60.8955,1.27631,1.64102,1.30738,0.34929,0.4052,0.34428,0.20313,1.21027,1.5873,1.27053,0.001217,0.001217,0.001217
6,72.2662,1.24544,1.57033,1.28367,0.36785,0.40998,0.35206,0.23197,1.12895,1.48854,1.22335,0.00120875,0.00120875,0.00120875
7,83.6472,1.21635,1.48217,1.27141,0.4086,0.42301,0.4006,0.25852,1.10833,1.35944,1.20975,0.0012005,0.0012005,0.0012005
8,95.148,1.21164,1.44199,1.25097,0.37752,0.45442,0.40414,0.26789,1.06222,1.33031,1.18111,0.00119225,0.00119225,0.00119225
9,106.596,1.1457,1.38567,1.23297,0.41588,0.48298,0.40353,0.27782,1.04505,1.34412,1.17122,0.001184,0.001184,0.001184
10,118.002,1.15623,1.33984,1.2323,0.45774,0.50231,0.45386,0.29666,1.05961,1.23505,1.16723,0.00117575,0.00117575,0.00117575
11,129.485,1.16414,1.36328,1.23935,0.4395,0.50549,0.45615,0.29352,1.09292,1.33776,1.19365,0.0011675,0.0011675,0.0011675
12,140.844,1.12458,1.29291,1.21004,0.48684,0.45185,0.45139,0.30348,1.07081,1.17929,1.17216,0.00115925,0.00115925,0.00115925
13,152.213,1.11034,1.27671,1.21068,0.41339,0.52991,0.48243,0.32065,1.00744,1.14508,1.14898,0.001151,0.001151,0.001151
14,163.557,1.09162,1.23496,1.1965,0.50854,0.52532,0.49914,0.3457,1.00202,1.12313,1.13072,0.00114275,0.00114275,0.00114275
15,175.006,1.093,1.22968,1.1953,0.52359,0.52779,0.52073,0.35694,0.96672,1.09022,1.12875,0.0011345,0.0011345,0.0011345
16,186.388,1.08975,1.20522,1.18926,0.43336,0.56635,0.484,0.33356,0.97026,1.15129,1.12727,0.00112625,0.00112625,0.00112625
17,197.832,1.06496,1.16105,1.17468,0.54135,0.52062,0.5241,0.36652,0.97434,1.07492,1.1177,0.001118,0.001118,0.001118
18,209.204,1.05665,1.16486,1.17167,0.50968,0.56397,0.52235,0.3735,0.96197,1.09546,1.10215,0.00110975,0.00110975,0.00110975
19,220.628,1.04482,1.1137,1.16343,0.58551,0.56927,0.5687,0.39262,0.91709,0.99559,1.08446,0.0011015,0.0011015,0.0011015
20,232.025,1.04993,1.13124,1.16437,0.55225,0.53702,0.54375,0.38061,0.92928,1.05266,1.08592,0.00109325,0.00109325,0.00109325
21,243.46,1.03673,1.10943,1.15468,0.55475,0.54144,0.53097,0.38102,0.93591,1.0527,1.08807,0.001085,0.001085,0.001085
22,254.827,1.03127,1.09018,1.15399,0.55527,0.58001,0.56314,0.39696,0.92966,1.01829,1.08916,0.00107675,0.00107675,0.00107675
23,266.222,1.01926,1.06404,1.13997,0.61912,0.56285,0.58374,0.41284,0.92537,0.99988,1.08421,0.0010685,0.0010685,0.0010685
24,277.624,1.0115,1.06809,1.14351,0.53386,0.57599,0.52918,0.38281,0.93459,1.0446,1.09184,0.00106025,0.00106025,0.00106025
25,288.932,0.98698,1.06087,1.14669,0.57536,0.59685,0.58407,0.42564,0.90294,0.97951,1.07187,0.001052,0.001052,0.001052
26,300.342,1.01222,1.04734,1.13979,0.53752,0.59541,0.5727,0.39353,0.94886,1.01389,1.09553,0.00104375,0.00104375,0.00104375
27,311.721,0.99576,1.02373,1.13521,0.61286,0.57586,0.60237,0.42828,0.92662,0.95403,1.08002,0.0010355,0.0010355,0.0010355
28,323.151,0.98552,1.01688,1.12689,0.63346,0.58087,0.61566,0.43456,0.90608,0.94593,1.07619,0.00102725,0.00102725,0.00102725
29,334.544,0.98742,1.00081,1.1271,0.62608,0.55599,0.59006,0.42535,0.92323,0.95118,1.07347,0.001019,0.001019,0.001019
30,345.979,0.97471,0.99621,1.11927,0.65681,0.54175,0.60719,0.43504,0.90407,0.91549,1.06833,0.00101075,0.00101075,0.00101075
31,357.364,0.97455,0.98219,1.11324,0.63483,0.57834,0.61401,0.44515,0.87816,0.92547,1.06448,0.0010025,0.0010025,0.0010025
32,368.704,0.94843,0.97258,1.113,0.6039,0.57253,0.58755,0.42534,0.90716,0.94429,1.07137,0.00099425,0.00099425,0.00099425
33,380.078,0.95537,0.96234,1.11008,0.59579,0.62413,0.61201,0.43453,0.87695,0.90232,1.05578,0.000986,0.000986,0.000986
34,391.503,0.94444,0.95702,1.10742,0.62648,0.56985,0.60703,0.43653,0.89733,0.94582,1.05924,0.00097775,0.00097775,0.00097775
35,402.874,0.95021,0.94801,1.11111,0.58593,0.62261,0.6184,0.4512,0.88113,0.8966,1.05976,0.0009695,0.0009695,0.0009695
36,414.345,0.94646,0.9129,1.09056,0.63905,0.6187,0.64467,0.47658,0.84225,0.84953,1.04373,0.00096125,0.00096125,0.00096125
37,425.726,0.9446,0.94263,1.10787,0.61047,0.59337,0.60877,0.44908,0.87376,0.88613,1.05546,0.000953,0.000953,0.000953
38,437.126,0.94739,0.92433,1.09547,0.68718,0.57243,0.62201,0.4546,0.8581,0.8815,1.04007,0.00094475,0.00094475,0.00094475
39,448.605,0.94872,0.90637,1.09552,0.58244,0.63134,0.62831,0.46408,0.85276,0.88047,1.05069,0.0009365,0.0009365,0.0009365
40,460.062,0.93909,0.90917,1.1008,0.60959,0.62182,0.62872,0.46297,0.83565,0.87965,1.03053,0.00092825,0.00092825,0.00092825
41,471.472,0.92979,0.88263,1.08891,0.6289,0.60091,0.63078,0.47229,0.84726,0.84601,1.03168,0.00092,0.00092,0.00092
42,482.911,0.92337,0.88862,1.08603,0.62977,0.63569,0.65445,0.49063,0.83021,0.82283,1.02337,0.00091175,0.00091175,0.00091175
43,494.284,0.91116,0.87684,1.0906,0.66962,0.637,0.67777,0.50587,0.82609,0.82395,1.03034,0.0009035,0.0009035,0.0009035
44,505.703,0.9139,0.86407,1.08488,0.59557,0.60993,0.6229,0.4602,0.84525,0.8664,1.02954,0.00089525,0.00089525,0.00089525
