epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0602,2.05841,2.70665,1.90667,0.58738,0.40855,0.42772,0.2385,1.57164,2.37072,1.61407,0.000661836,0.000661836,0.000661836
2,30.865,1.53676,1.82168,1.49988,0.51102,0.40584,0.4185,0.23446,1.59368,2.14495,1.58247,0.00131973,0.00131973,0.00131973
3,44.349,1.48194,1.61369,1.47536,0.60893,0.46761,0.49753,0.30551,1.46214,1.57555,1.50538,0.00196883,0.00196883,0.00196883
4,57.7107,1.44293,1.45203,1.42862,0.66248,0.50351,0.55182,0.34295,1.38512,1.36647,1.44341,0.0019604,0.0019604,0.0019604
5,71.1113,1.36587,1.40224,1.39919,0.66987,0.5436,0.59334,0.363,1.28372,1.61846,1.35812,0.0019472,0.0019472,0.0019472
6,84.4284,1.33591,1.32391,1.3688,0.69091,0.56532,0.61354,0.37895,1.3174,1.24222,1.37936,0.001934,0.001934,0.001934
7,97.752,1.27849,1.27785,1.34837,0.64508,0.54598,0.58451,0.37356,1.22746,1.43321,1.33331,0.0019208,0.0019208,0.0019208
8,111.054,1.26542,1.22046,1.32836,0.68477,0.5531,0.59543,0.39041,1.26722,1.25576,1.38617,0.0019076,0.0019076,0.0019076
9,124.326,1.21088,1.14706,1.31351,0.76152,0.59055,0.65489,0.44585,1.15149,1.0645,1.28938,0.0018944,0.0018944,0.0018944
10,137.675,1.20591,1.12019,1.29389,0.72858,0.59662,0.64963,0.42691,1.14621,1.06183,1.27023,0.0018812,0.0018812,0.0018812
11,151.304,1.19346,1.10789,1.28789,0.74481,0.5979,0.65533,0.44316,1.12024,1.03964,1.25448,0.001868,0.001868,0.001868
12,164.589,1.17955,1.10498,1.28653,0.78958,0.62097,0.68852,0.47321,1.0722,0.98893,1.23187,0.0018548,0.0018548,0.0018548
13,177.946,1.16658,1.08587,1.28398,0.77526,0.63183,0.69213,0.4642,1.04984,1.02624,1.21298,0.0018416,0.0018416,0.0018416
14,191.196,1.13102,1.03929,1.25888,0.7726,0.61249,0.66852,0.45784,1.10364,0.99843,1.25686,0.0018284,0.0018284,0.0018284
15,204.635,1.14139,1.02638,1.26251,0.77718,0.63726,0.69672,0.48296,1.06564,0.96137,1.22662,0.0018152,0.0018152,0.0018152
16,217.917,1.11328,1.00997,1.24915,0.80203,0.65573,0.72365,0.50669,1.01773,0.883,1.18839,0.001802,0.001802,0.001802
17,231.239,1.11148,0.99796,1.24301,0.81439,0.64763,0.71225,0.51081,0.99024,0.86537,1.18109,0.0017888,0.0017888,0.0017888
18,244.535,1.1018,0.97535,1.23764,0.80481,0.65626,0.71889,0.50713,0.97833,0.8713,1.16563,0.0017756,0.0017756,0.0017756
19,257.888,1.07433,0.94171,1.22258,0.79232,0.64303,0.70934,0.49663,1.01767,0.90429,1.19098,0.0017624,0.0017624,0.0017624
20,271.295,1.074,0.94205,1.21666,0.78812,0.67085,0.74275,0.51324,0.9902,0.81709,1.15981,0.0017492,0.0017492,0.0017492
21,285.091,1.06968,0.91667,1.20383,0.80842,0.65865,0.74534,0.5117,0.99239,0.83066,1.17727,0.001736,0.001736,0.001736
22,298.48,1.0738,0.92028,1.2031,0.79768,0.66983,0.74858,0.51529,1.00354,0.85303,1.17735,0.0017228,0.0017228,0.0017228
23,311.831,1.04151,0.91131,1.19959,0.81399,0.6682,0.74031,0.51641,0.99989,0.77595,1.15972,0.0017096,0.0017096,0.0017096
24,325.209,1.03984,0.87277,1.18952,0.80482,0.67022,0.74499,0.53711,0.96303,0.78521,1.1519,0.0016964,0.0016964,0.0016964
25,338.543,1.02237,0.8751,1.18496,0.82228,0.66885,0.74936,0.54096,0.94459,0.77284,1.12954,0.0016832,0.0016832,0.0016832
26,351.887,1.0334,0.87803,1.18299,0.80693,0.68782,0.76485,0.53882,0.96461,0.78454,1.14243,0.00167,0.00167,0.00167
27,365.195,1.01561,0.85484,1.17987,0.82543,0.67594,0.77216,0.55547,0.93691,0.75842,1.13345,0.0016568,0.0016568,0.0016568
28,378.487,1.0149,0.86422,1.18242,0.80801,0.69121,0.7688,0.55619,0.93137,0.7782,1.12755,0.0016436,0.0016436,0.0016436
29,391.853,1.00873,0.85185,1.18321,0.84492,0.67696,0.77254,0.55261,0.95389,0.74942,1.14635,0.0016304,0.0016304,0.0016304
30,405.141,1.00223,0.82544,1.16803,0.8365,0.68171,0.76924,0.5567,0.92981,0.7557,1.11297,0.0016172,0.0016172,0.0016172
31,418.469,1.00857,0.8382,1.1762,0.84069,0.6894,0.78549,0.5655,0.92587,0.72758,1.1286,0.001604,0.001604,0.001604
32,431.784,0.99404,0.82584,1.16592,0.82747,0.68188,0.76021,0.55585,0.9139,0.75412,1.1093,0.0015908,0.0015908,0.0015908
33,445.094,0.98992,0.82515,1.16237,0.82954,0.67832,0.75868,0.54767,0.92975,0.73813,1.12794,0.0015776,0.0015776,0.0015776
34,458.37,0.96639,0.80455,1.15751,0.85839,0.68951,0.78173,0.56884,0.90643,0.7275,1.10795,0.0015644,0.0015644,0.0015644
35,471.702,0.98267,0.82285,1.15678,0.80485,0.72175,0.79422,0.58128,0.88059,0.7203,1.09599,0.0015512,0.0015512,0.0015512
36,485.032,0.97521,0.79602,1.14709,0.85598,0.68409,0.78066,0.5806,0.87539,0.71036,1.09329,0.001538,0.001538,0.001538
37,498.391,0.96886,0.79338,1.15756,0.83895,0.71944,0.81648,0.59278,0.87316,0.68592,1.08614,0.0015248,0.0015248,0.0015248
38,511.792,0.96339,0.77762,1.14367,0.84195,0.71429,0.80871,0.58174,0.90114,0.68937,1.10734,0.0015116,0.0015116,0.0015116
39,525.089,0.95855,0.79205,1.15345,0.83979,0.6937,0.77172,0.57378,0.88327,0.728,1.09688,0.0014984,0.0014984,0.0014984
40,538.327,0.93251,0.76936,1.1369,0.86212,0.68442,0.77598,0.57895,0.89206,0.72675,1.09549,0.0014852,0.0014852,0.0014852
41,551.769,0.96472,0.77054,1.13996,0.84576,0.69217,0.77556,0.57531,0.86681,0.69914,1.0763,0.001472,0.001472,0.001472
42,565.034,0.94407,0.75938,1.13787,0.84969,0.70591,0.79952,0.58705,0.87449,0.68213,1.07988,0.0014588,0.0014588,0.0014588
43,578.341,0.93243,0.76954,1.13809,0.82171,0.73193,0.81255,0.60294,0.84579,0.67678,1.0655,0.0014456,0.0014456,0.0014456
44,591.706,0.9296,0.75728,1.12902,0.85132,0.71503,0.79824,0.59528,0.85312,0.66765,1.07536,0.0014324,0.0014324,0.0014324
45,605.07,0.93185,0.74142,1.12197,0.79853,0.77978,0.82707,0.60233,0.86343,0.66663,1.07473,0.0014192,0.0014192,0.0014192
46,618.305,0.91679,0.73559,1.12859,0.85913,0.71259,0.81698,0.60919,0.84873,0.66935,1.07092,0.001406,0.001406,0.001406
47,631.682,0.92316,0.73657,1.12599,0.79817,0.76085,0.81541,0.5943,0.85993,0.68146,1.07497,0.0013928,0.0013928,0.0013928
48,644.94,0.92023,0.72506,1.12587,0.83915,0.70988,0.79643,0.59537,0.83717,0.66843,1.06321,0.0013796,0.0013796,0.0013796
49,658.311,0.90772,0.7254,1.1149,0.85722,0.70691,0.81123,0.60213,0.83868,0.6491,1.0617,0.0013664,0.0013664,0.0013664
50,671.593,0.90787,0.71725,1.11772,0.86873,0.68985,0.80708,0.59709,0.8549,0.66103,1.0675,0.0013532,0.0013532,0.0013532
51,684.871,0.89246,0.70372,1.1191,0.87566,0.70377,0.78979,0.59479,0.84304,0.65524,1.06912,0.00134,0.00134,0.00134
52,698.114,0.90367,0.71031,1.11916,0.87161,0.69087,0.78332,0.59494,0.83504,0.68098,1.06222,0.0013268,0.0013268,0.0013268
53,711.449,0.90283,0.70424,1.10437,0.85043,0.71259,0.80615,0.60411,0.84399,0.65546,1.06165,0.0013136,0.0013136,0.0013136
54,724.753,0.8888,0.6981,1.10241,0.85718,0.72503,0.8226,0.61548,0.82978,0.61948,1.0515,0.0013004,0.0013004,0.0013004
55,738.122,0.89288,0.70193,1.10345,0.84832,0.7248,0.8113,0.60952,0.82434,0.63482,1.05498,0.0012872,0.0012872,0.0012872
56,751.842,0.88457,0.69448,1.10869,0.86388,0.7394,0.83407,0.61688,0.83269,0.62118,1.04608,0.001274,0.001274,0.001274
57,765.159,0.89319,0.69882,1.11224,0.83634,0.75951,0.83966,0.62498,0.82028,0.61672,1.04794,0.0012608,0.0012608,0.0012608
58,778.456,0.87129,0.67953,1.09878,0.86382,0.71247,0.80539,0.61028,0.82117,0.64181,1.04873,0.0012476,0.0012476,0.0012476
59,791.797,0.89126,0.69072,1.10775,0.86263,0.71381,0.808,0.60671,0.82392,0.62466,1.05054,0.0012344,0.0012344,0.0012344
60,805.192,0.8776,0.67814,1.09286,0.85095,0.71971,0.80068,0.60373,0.81186,0.62191,1.04527,0.0012212,0.0012212,0.0012212
61,818.524,0.87308,0.66823,1.09177,0.83676,0.74269,0.82312,0.60813,0.83077,0.62023,1.05011,0.001208,0.001208,0.001208
62,831.83,0.86672,0.67865,1.09473,0.83044,0.75616,0.83047,0.62261,0.8132,0.60797,1.04453,0.0011948,0.0011948,0.0011948
63,845.1,0.86708,0.66687,1.09665,0.83141,0.76975,0.84112,0.61832,0.81901,0.62293,1.05053,0.0011816,0.0011816,0.0011816
64,858.408,0.86685,0.66747,1.08884,0.85498,0.74245,0.83067,0.62102,0.81297,0.60181,1.04083,0.0011684,0.0011684,0.0011684
65,871.714,0.85034,0.65444,1.08546,0.83773,0.7708,0.84193,0.63305,0.80138,0.59505,1.04209,0.0011552,0.0011552,0.0011552
66,885.048,0.86786,0.65464,1.08928,0.87071,0.71768,0.8166,0.61843,0.81184,0.6151,1.04584,0.001142,0.001142,0.001142
67,898.444,0.86514,0.65955,1.0862,0.84897,0.76145,0.83955,0.62598,0.80421,0.60307,1.03315,0.0011288,0.0011288,0.0011288
68,911.679,0.84678,0.6494,1.09806,0.84922,0.77367,0.84209,0.62722,0.80207,0.5954,1.03388,0.0011156,0.0011156,0.0011156
69,924.989,0.85603,0.64871,1.08864,0.84839,0.74812,0.83118,0.62506,0.80586,0.59449,1.03645,0.0011024,0.0011024,0.0011024
70,938.314,0.85266,0.64284,1.08376,0.85685,0.73872,0.81626,0.62623,0.79456,0.616,1.02984,0.0010892,0.0010892,0.0010892
71,951.632,0.85424,0.64687,1.08337,0.86412,0.73295,0.83006,0.63034,0.79237,0.59272,1.02713,0.001076,0.001076,0.001076
72,964.913,0.83335,0.63018,1.07017,0.86938,0.73177,0.83176,0.63133,0.79059,0.59593,1.03387,0.0010628,0.0010628,0.0010628
73,978.203,0.83802,0.6448,1.07904,0.85136,0.74652,0.83063,0.63495,0.78753,0.59922,1.02567,0.0010496,0.0010496,0.0010496
74,991.503,0.84414,0.62977,1.07638,0.86488,0.75582,0.83989,0.63878,0.79131,0.58081,1.02824,0.0010364,0.0010364,0.0010364
75,1004.84,0.84483,0.63135,1.07842,0.8359,0.77782,0.84352,0.62667,0.804,0.57771,1.03707,0.0010232,0.0010232,0.0010232
76,1018.13,0.82005,0.63095,1.07104,0.87086,0.74856,0.84575,0.64301,0.77628,0.58322,1.01672,0.00101,0.00101,0.00101
77,1031.46,0.82837,0.6327,1.07264,0.86441,0.75067,0.83581,0.63664,0.79117,0.5858,1.0247,0.0009968,0.0009968,0.0009968
78,1044.81,0.82789,0.62119,1.06463,0.84896,0.77243,0.84857,0.63774,0.78183,0.58141,1.02218,0.0009836,0.0009836,0.0009836
79,1058.09,0.82096,0.61487,1.06676,0.8713,0.73284,0.83575,0.6398,0.78085,0.58328,1.0238,0.0009704,0.0009704,0.0009704
80,1071.42,0.83443,0.61984,1.07261,0.88283,0.72102,0.81825,0.63315,0.773,0.60592,1.01543,0.0009572,0.0009572,0.0009572
81,1084.78,0.82973,0.61383,1.06271,0.85811,0.79063,0.8544,0.64597,0.7775,0.56848,1.02195,0.000944,0.000944,0.000944
82,1098.08,0.8248,0.61259,1.07497,0.88344,0.733,0.83323,0.63963,0.77479,0.58053,1.02209,0.0009308,0.0009308,0.0009308
83,1111.37,0.81124,0.61175,1.07594,0.8464,0.7584,0.83946,0.64359,0.77273,0.57828,1.0197,0.0009176,0.0009176,0.0009176
84,1124.62,0.8138,0.60821,1.05947,0.86574,0.7567,0.8393,0.64604,0.76265,0.56902,1.01054,0.0009044,0.0009044,0.0009044
85,1137.95,0.80893,0.60453,1.06101,0.84573,0.79991,0.85732,0.6489,0.77001,0.5592,1.01644,0.0008912,0.0008912,0.0008912
86,1151.77,0.81288,0.59631,1.05444,0.85801,0.78962,0.85525,0.64881,0.76729,0.55602,1.01463,0.000878,0.000878,0.000878
87,1165.07,0.80326,0.59269,1.05986,0.86358,0.79233,0.85733,0.64831,0.77632,0.55812,1.01676,0.0008648,0.0008648,0.0008648
88,1178.32,0.80256,0.59534,1.0583,0.85989,0.77676,0.85465,0.64959,0.76677,0.56308,1.01228,0.0008516,0.0008516,0.0008516
89,1191.68,0.80692,0.59554,1.05471,0.84737,0.7869,0.84347,0.64211,0.76865,0.54622,1.01236,0.0008384,0.0008384,0.0008384
90,1204.97,0.80503,0.58696,1.05463,0.86969,0.78826,0.85447,0.64859,0.76555,0.54774,1.01427,0.0008252,0.0008252,0.0008252
91,1218.29,0.78926,0.58512,1.05827,0.84779,0.80134,0.85825,0.65344,0.76175,0.5507,1.0137,0.000812,0.000812,0.000812
92,1231.63,0.79688,0.58764,1.05571,0.88071,0.73657,0.83739,0.64901,0.75543,0.57213,1.00727,0.0007988,0.0007988,0.0007988
93,1244.92,0.79398,0.59087,1.05664,0.86081,0.78063,0.85657,0.65566,0.75331,0.55475,1.00344,0.0007856,0.0007856,0.0007856
94,1258.21,0.78876,0.58532,1.05256,0.85062,0.82355,0.869,0.66295,0.7471,0.54625,1.0019,0.0007724,0.0007724,0.0007724
