epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8344,2.14381,3.46512,2.07066,0.428,0.22484,0.16781,0.08705,1.68571,2.78751,1.66297,0.000413647,0.000413647,0.000413647
2,30.9702,1.54807,2.45817,1.53116,0.48714,0.20621,0.2152,0.11938,1.52539,2.86149,1.60045,0.000824834,0.000824834,0.000824834
3,45.6678,1.48378,2.15159,1.5016,0.24167,0.29031,0.20476,0.11127,1.53357,3.92095,1.52251,0.00123052,0.00123052,0.00123052
4,59.0355,1.44873,1.88573,1.44785,0.24177,0.37632,0.2993,0.1758,1.35063,1.84618,1.43131,0.00122525,0.00122525,0.00122525
5,72.3124,1.3721,1.77908,1.42011,0.35145,0.38097,0.32797,0.19645,1.30868,1.68574,1.39134,0.001217,0.001217,0.001217
6,85.6729,1.32188,1.65233,1.37872,0.33485,0.3657,0.33462,0.2003,1.27779,1.69828,1.35944,0.00120875,0.00120875,0.00120875
7,98.8681,1.26881,1.58334,1.35497,0.42094,0.41191,0.39412,0.24707,1.20306,1.42591,1.32175,0.0012005,0.0012005,0.0012005
8,112.136,1.25358,1.50141,1.3392,0.38643,0.47043,0.39723,0.25216,1.18454,1.3567,1.31346,0.00119225,0.00119225,0.00119225
9,125.414,1.20363,1.44827,1.31095,0.39093,0.48061,0.4163,0.27213,1.13167,1.36532,1.27328,0.001184,0.001184,0.001184
10,138.68,1.19791,1.40696,1.29351,0.42438,0.47038,0.44503,0.29057,1.08789,1.2719,1.24227,0.00117575,0.00117575,0.00117575
11,151.927,1.19107,1.38719,1.29426,0.44491,0.4775,0.44843,0.29858,1.09726,1.2838,1.24067,0.0011675,0.0011675,0.0011675
12,165.203,1.17877,1.38647,1.28932,0.56354,0.42099,0.41892,0.28023,1.08161,1.31664,1.25324,0.00115925,0.00115925,0.00115925
13,178.522,1.15754,1.35883,1.28652,0.40461,0.41953,0.41378,0.26621,1.07794,1.35784,1.2289,0.001151,0.001151,0.001151
14,191.747,1.13502,1.30708,1.26943,0.47556,0.48432,0.46199,0.30388,1.07272,1.20584,1.24297,0.00114275,0.00114275,0.00114275
15,205.045,1.13942,1.28554,1.26394,0.47655,0.51797,0.48134,0.3172,1.05443,1.18054,1.2257,0.0011345,0.0011345,0.0011345
16,218.292,1.10959,1.2704,1.25714,0.50278,0.49525,0.48937,0.32382,1.02369,1.1625,1.20573,0.00112625,0.00112625,0.00112625
17,231.578,1.10678,1.24002,1.2463,0.46968,0.5135,0.50905,0.33315,1.03414,1.14741,1.20306,0.001118,0.001118,0.001118
18,244.81,1.11166,1.24258,1.25092,0.48826,0.5278,0.49296,0.32852,1.0129,1.17704,1.19394,0.00110975,0.00110975,0.00110975
19,258.066,1.07111,1.16639,1.23007,0.52943,0.5238,0.51747,0.34799,1.03874,1.12322,1.19949,0.0011015,0.0011015,0.0011015
20,271.596,1.06772,1.17855,1.22204,0.52251,0.53757,0.53021,0.35845,1.00017,1.12132,1.18031,0.00109325,0.00109325,0.00109325
21,285.294,1.06908,1.15659,1.21203,0.58187,0.5107,0.53126,0.35496,1.01244,1.09003,1.19122,0.001085,0.001085,0.001085
22,298.565,1.06263,1.1426,1.20355,0.55585,0.55822,0.54903,0.37306,1.00544,1.05514,1.19167,0.00107675,0.00107675,0.00107675
23,311.831,1.04913,1.14803,1.21092,0.58548,0.51861,0.53631,0.36653,0.99183,1.0592,1.17873,0.0010685,0.0010685,0.0010685
24,325.122,1.04673,1.10191,1.2037,0.55542,0.53106,0.52623,0.35546,0.97432,1.06874,1.16771,0.00106025,0.00106025,0.00106025
25,338.407,1.01832,1.10363,1.19256,0.58704,0.54162,0.55178,0.37377,0.97058,1.01143,1.15617,0.001052,0.001052,0.001052
26,351.703,1.03293,1.09773,1.19082,0.51255,0.5911,0.54851,0.38651,0.94617,1.05147,1.1446,0.00104375,0.00104375,0.00104375
27,364.973,1.0085,1.07231,1.18779,0.58259,0.55264,0.56379,0.39456,0.95729,1.0055,1.15244,0.0010355,0.0010355,0.0010355
28,378.213,1.01139,1.06432,1.18615,0.58591,0.57309,0.57889,0.41002,0.93562,1.00897,1.13699,0.00102725,0.00102725,0.00102725
29,391.493,1.0197,1.06164,1.18846,0.58039,0.57166,0.57496,0.40003,0.9549,0.99858,1.14662,0.001019,0.001019,0.001019
30,404.715,1.00237,1.03939,1.17419,0.59888,0.59047,0.60121,0.43177,0.92728,0.95411,1.12198,0.00101075,0.00101075,0.00101075
31,418.008,1.00161,1.04246,1.17848,0.58269,0.60051,0.58277,0.41511,0.92037,0.95589,1.12882,0.0010025,0.0010025,0.0010025
32,431.253,0.99555,1.02333,1.17329,0.59365,0.55349,0.57177,0.40289,0.93627,0.99987,1.12945,0.00099425,0.00099425,0.00099425
