epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.647,2.03258,2.67775,1.90947,0.51701,0.37394,0.35902,0.18982,1.69163,2.46137,1.68752,0.000661836,0.000661836,0.000661836
2,36.9951,1.51939,1.78963,1.51939,0.6149,0.38073,0.43397,0.25978,1.56547,2.26139,1.63157,0.00131973,0.00131973,0.00131973
3,51.1951,1.47748,1.59497,1.49128,0.54341,0.37055,0.39839,0.23695,1.6124,1.84587,1.62062,0.00196883,0.00196883,0.00196883
4,66.7355,1.44322,1.46005,1.44682,0.62731,0.47743,0.5066,0.31682,1.36792,1.4819,1.42549,0.0019604,0.0019604,0.0019604
5,81.5892,1.37269,1.40307,1.41851,0.63983,0.51815,0.55552,0.35643,1.27777,1.7476,1.38624,0.0019472,0.0019472,0.0019472
6,95.5143,1.34091,1.31458,1.38422,0.68824,0.55412,0.60827,0.39181,1.25533,1.29868,1.36488,0.001934,0.001934,0.001934
7,110.053,1.26772,1.25054,1.35194,0.65202,0.57245,0.60173,0.37319,1.20612,1.4145,1.32513,0.0019208,0.0019208,0.0019208
8,124.418,1.24257,1.20032,1.32433,0.73469,0.59213,0.6552,0.43177,1.1726,1.12747,1.29402,0.0019076,0.0019076,0.0019076
9,138.56,1.20595,1.14566,1.31159,0.73754,0.57279,0.63203,0.4183,1.19984,1.09325,1.32668,0.0018944,0.0018944,0.0018944
10,153.725,1.20487,1.12108,1.29533,0.7074,0.62431,0.65771,0.43314,1.11142,1.07652,1.25352,0.0018812,0.0018812,0.0018812
11,167.908,1.18741,1.10587,1.29299,0.75718,0.63285,0.69521,0.47618,1.10141,0.97026,1.25289,0.001868,0.001868,0.001868
12,183.347,1.1643,1.08291,1.28065,0.77366,0.61317,0.69276,0.47669,1.10158,1.01006,1.25975,0.0018548,0.0018548,0.0018548
13,197.295,1.16719,1.07212,1.29091,0.76119,0.64462,0.69347,0.46798,1.05573,1.01458,1.22396,0.0018416,0.0018416,0.0018416
14,211.179,1.13087,1.02298,1.26259,0.7605,0.63217,0.68399,0.4641,1.08688,1.02224,1.23556,0.0018284,0.0018284,0.0018284
15,226.219,1.12615,1.01194,1.25759,0.79308,0.63728,0.7069,0.50123,1.01787,0.92142,1.19265,0.0018152,0.0018152,0.0018152
16,242.001,1.12102,1.01241,1.26208,0.77875,0.66404,0.72754,0.5135,1.01918,0.89836,1.20209,0.001802,0.001802,0.001802
17,256.707,1.11427,0.98843,1.24883,0.81781,0.6471,0.73687,0.51849,1.02008,0.85246,1.18761,0.0017888,0.0017888,0.0017888
18,270.609,1.10236,0.97482,1.24297,0.78671,0.64608,0.71269,0.50143,1.03754,0.89493,1.21613,0.0017756,0.0017756,0.0017756
19,285.189,1.06947,0.92503,1.22787,0.79006,0.65252,0.72883,0.5046,1.01693,0.84695,1.18751,0.0017624,0.0017624,0.0017624
20,299.714,1.07002,0.93008,1.21916,0.78182,0.68409,0.74876,0.51731,0.99581,0.81432,1.17465,0.0017492,0.0017492,0.0017492
21,314.317,1.06144,0.91497,1.20339,0.80496,0.66949,0.75147,0.52787,0.98866,0.80915,1.16923,0.001736,0.001736,0.001736
22,328.307,1.07291,0.91272,1.20865,0.80362,0.71768,0.7951,0.55499,0.97176,0.77788,1.16538,0.0017228,0.0017228,0.0017228
23,342.278,1.03777,0.90175,1.20193,0.79773,0.68069,0.75562,0.52902,0.99548,0.80928,1.17147,0.0017096,0.0017096,0.0017096
24,356.251,1.03988,0.88604,1.20085,0.80239,0.64472,0.72252,0.52867,0.96379,0.82945,1.15703,0.0016964,0.0016964,0.0016964
25,370.197,1.01987,0.87277,1.19322,0.80898,0.68985,0.77219,0.54257,0.95351,0.76204,1.14901,0.0016832,0.0016832,0.0016832
26,384.204,1.0283,0.8662,1.18945,0.82507,0.669,0.75438,0.5483,0.95079,0.78085,1.14693,0.00167,0.00167,0.00167
27,398.156,1.00248,0.84456,1.18634,0.81123,0.68239,0.7743,0.55589,0.94579,0.77648,1.14227,0.0016568,0.0016568,0.0016568
28,412.085,1.01416,0.85712,1.18564,0.81274,0.71136,0.78978,0.56205,0.93012,0.75999,1.13014,0.0016436,0.0016436,0.0016436
29,425.99,1.00926,0.8392,1.18541,0.80541,0.70377,0.77618,0.55194,0.95631,0.76769,1.15104,0.0016304,0.0016304,0.0016304
30,440.401,1.00464,0.82506,1.17564,0.83635,0.67806,0.75697,0.55895,0.92844,0.76872,1.12134,0.0016172,0.0016172,0.0016172
31,454.379,1.00829,0.8349,1.1816,0.81959,0.71123,0.79964,0.58087,0.90721,0.70879,1.12608,0.001604,0.001604,0.001604
32,468.3,0.99189,0.83071,1.1687,0.81327,0.70987,0.78413,0.57431,0.89935,0.71556,1.10394,0.0015908,0.0015908,0.0015908
33,482.218,0.98969,0.81714,1.17092,0.82064,0.7328,0.80993,0.57789,0.91804,0.71722,1.11828,0.0015776,0.0015776,0.0015776
34,497.172,0.96139,0.79644,1.15896,0.8262,0.71621,0.79648,0.57813,0.89537,0.72285,1.10985,0.0015644,0.0015644,0.0015644
35,511.158,0.98296,0.81124,1.1687,0.78393,0.7282,0.79946,0.57894,0.88637,0.74709,1.09959,0.0015512,0.0015512,0.0015512
36,525.13,0.97393,0.79399,1.15472,0.83603,0.68816,0.77391,0.57102,0.90156,0.7192,1.12202,0.001538,0.001538,0.001538
37,539.672,0.96953,0.80112,1.16531,0.83253,0.698,0.81631,0.5928,0.87509,0.70238,1.08876,0.0015248,0.0015248,0.0015248
38,553.618,0.96092,0.77666,1.14814,0.84192,0.71566,0.81406,0.59265,0.89161,0.70237,1.10318,0.0015116,0.0015116,0.0015116
39,567.628,0.95822,0.78489,1.15638,0.8544,0.68816,0.79274,0.57797,0.89488,0.71935,1.10758,0.0014984,0.0014984,0.0014984
40,582.565,0.9339,0.76484,1.1436,0.84737,0.69087,0.77021,0.58543,0.86099,0.72326,1.09155,0.0014852,0.0014852,0.0014852
41,596.532,0.95861,0.76456,1.14327,0.85784,0.70029,0.79984,0.59162,0.86792,0.68414,1.08637,0.001472,0.001472,0.001472
42,610.768,0.94028,0.75397,1.14475,0.846,0.70465,0.79458,0.58383,0.88427,0.69138,1.09179,0.0014588,0.0014588,0.0014588
43,625.069,0.93539,0.76576,1.14978,0.85312,0.69596,0.79453,0.58772,0.88307,0.69266,1.09589,0.0014456,0.0014456,0.0014456
44,639.045,0.93148,0.75409,1.13695,0.87408,0.698,0.80686,0.59819,0.8665,0.6672,1.08747,0.0014324,0.0014324,0.0014324
45,654.523,0.92994,0.73736,1.13029,0.84172,0.71821,0.81008,0.59742,0.85824,0.67155,1.08894,0.0014192,0.0014192,0.0014192
46,668.419,0.92204,0.73843,1.13318,0.83143,0.74479,0.82183,0.61018,0.84635,0.64867,1.07065,0.001406,0.001406,0.001406
47,682.391,0.92302,0.73356,1.13497,0.83442,0.73016,0.8122,0.60362,0.84405,0.65005,1.07607,0.0013928,0.0013928,0.0013928
48,696.296,0.91108,0.71442,1.12611,0.85002,0.70954,0.8088,0.60208,0.83832,0.66673,1.06949,0.0013796,0.0013796,0.0013796
49,710.265,0.90437,0.71724,1.11961,0.86844,0.68782,0.78947,0.59094,0.85043,0.66141,1.07148,0.0013664,0.0013664,0.0013664
50,724.197,0.89782,0.70595,1.11932,0.84869,0.72514,0.81316,0.60862,0.83592,0.63753,1.06236,0.0013532,0.0013532,0.0013532
51,738.75,0.89573,0.70705,1.12639,0.85815,0.72258,0.79959,0.59663,0.8396,0.65856,1.0689,0.00134,0.00134,0.00134
52,753.165,0.90327,0.7078,1.12308,0.8592,0.69162,0.79168,0.59412,0.85079,0.68042,1.07532,0.0013268,0.0013268,0.0013268
53,767.174,0.89947,0.70061,1.10872,0.83556,0.7472,0.82962,0.61667,0.84643,0.63678,1.07376,0.0013136,0.0013136,0.0013136
54,781.816,0.88433,0.69079,1.10818,0.86314,0.70682,0.79505,0.60034,0.84663,0.65672,1.07505,0.0013004,0.0013004,0.0013004
55,796.298,0.89857,0.69508,1.11364,0.86289,0.71538,0.80462,0.60269,0.8322,0.63196,1.06089,0.0012872,0.0012872,0.0012872
56,810.236,0.88332,0.69,1.11365,0.88989,0.69111,0.80571,0.60641,0.84861,0.65175,1.06745,0.001274,0.001274,0.001274
57,824.796,0.89129,0.69382,1.11558,0.8561,0.7207,0.81649,0.60981,0.83022,0.6222,1.05732,0.0012608,0.0012608,0.0012608
58,838.734,0.87296,0.68288,1.10432,0.87747,0.71441,0.81198,0.61192,0.8263,0.63909,1.05954,0.0012476,0.0012476,0.0012476
59,852.68,0.8975,0.69266,1.11452,0.85043,0.77946,0.83296,0.62065,0.81798,0.6211,1.05528,0.0012344,0.0012344,0.0012344
60,867.284,0.87559,0.6736,1.09478,0.84471,0.71802,0.81951,0.60918,0.82374,0.61291,1.0492,0.0012212,0.0012212,0.0012212
61,881.235,0.86569,0.66476,1.09532,0.84226,0.7472,0.82489,0.61825,0.8185,0.61927,1.04801,0.001208,0.001208,0.001208
