epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.428,1.54529,2.38448,1.53278,0.54951,0.41873,0.43329,0.2477,1.49292,2.22753,1.55489,0.000661836,0.000661836,0.000661836
2,27.8894,1.44253,1.75707,1.45436,0.51945,0.4228,0.41591,0.25466,1.45892,2.8801,1.52694,0.00131973,0.00131973,0.00131973
3,40.2048,1.44296,1.58353,1.46294,0.61486,0.48185,0.51703,0.29444,1.51461,1.82476,1.57791,0.00196883,0.00196883,0.00196883
4,52.3534,1.42048,1.42476,1.42245,0.58246,0.47201,0.493,0.29772,1.4573,1.51363,1.52098,0.0019604,0.0019604,0.0019604
5,64.4846,1.36013,1.38553,1.39866,0.71416,0.55718,0.6079,0.38735,1.2714,1.29934,1.36049,0.0019472,0.0019472,0.0019472
6,76.6064,1.31958,1.28395,1.3641,0.67492,0.54055,0.5863,0.36739,1.34899,1.35113,1.41045,0.001934,0.001934,0.001934
7,88.723,1.2652,1.23309,1.33707,0.65432,0.58636,0.62046,0.40424,1.21656,1.2397,1.32595,0.0019208,0.0019208,0.0019208
8,100.803,1.24133,1.18451,1.31607,0.75696,0.58534,0.65467,0.44294,1.1309,1.08808,1.2696,0.0019076,0.0019076,0.0019076
9,112.921,1.20075,1.13584,1.3002,0.73729,0.60638,0.66331,0.43716,1.17834,1.0922,1.30469,0.0018944,0.0018944,0.0018944
10,125.003,1.20524,1.10939,1.29382,0.77686,0.61433,0.68782,0.46536,1.1318,1.00299,1.2555,0.0018812,0.0018812,0.0018812
11,137.089,1.17814,1.09436,1.27485,0.74112,0.62878,0.68427,0.46969,1.09348,0.98431,1.2328,0.001868,0.001868,0.001868
12,149.201,1.17061,1.07589,1.26886,0.75199,0.65694,0.71726,0.47714,1.09732,1.04499,1.22565,0.0018548,0.0018548,0.0018548
13,161.27,1.16072,1.0572,1.27017,0.77987,0.62752,0.70118,0.48383,1.0856,0.9928,1.22641,0.0018416,0.0018416,0.0018416
14,173.355,1.12318,1.00631,1.24621,0.79769,0.63152,0.72351,0.49612,1.0357,0.90512,1.19079,0.0018284,0.0018284,0.0018284
15,185.537,1.13322,0.99906,1.24209,0.76284,0.65898,0.70788,0.50895,1.01327,0.91041,1.16509,0.0018152,0.0018152,0.0018152
16,197.569,1.11146,0.98419,1.24141,0.8056,0.64438,0.723,0.50562,1.03122,0.90268,1.18671,0.001802,0.001802,0.001802
17,209.686,1.10276,0.97896,1.2308,0.7853,0.64065,0.70283,0.50424,1.01008,0.90492,1.1806,0.0017888,0.0017888,0.0017888
18,221.759,1.08817,0.9499,1.22004,0.80068,0.65702,0.72543,0.51535,0.98356,0.87053,1.15834,0.0017756,0.0017756,0.0017756
19,233.888,1.0644,0.91417,1.20914,0.81898,0.66169,0.7367,0.50761,1.02046,0.85054,1.16157,0.0017624,0.0017624,0.0017624
