epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.38,1.58122,3.14636,1.56568,0.27799,0.26141,0.21606,0.12061,1.48173,2.75764,1.55613,0.000413647,0.000413647,0.000413647
2,28.7128,1.41972,2.33158,1.44772,0.31369,0.303,0.26136,0.14658,1.44025,2.98719,1.51544,0.000824834,0.000824834,0.000824834
3,41.5835,1.38997,2.07819,1.44041,0.32331,0.26971,0.28337,0.16676,1.42446,2.01765,1.47845,0.00123052,0.00123052,0.00123052
4,54.2643,1.38797,1.84105,1.41183,0.34272,0.28651,0.27992,0.16268,1.40055,2.08652,1.45128,0.00122525,0.00122525,0.00122525
5,66.7502,1.3303,1.75642,1.39201,0.39002,0.39825,0.35602,0.2168,1.29786,1.56183,1.41503,0.001217,0.001217,0.001217
6,78.9047,1.29935,1.63201,1.3597,0.38592,0.3797,0.34695,0.20508,1.3062,1.63437,1.3963,0.00120875,0.00120875,0.00120875
7,91.0829,1.2512,1.56031,1.33484,0.42981,0.40442,0.38801,0.24089,1.22336,1.5507,1.33277,0.0012005,0.0012005,0.0012005
8,103.226,1.23189,1.49073,1.31578,0.43227,0.44387,0.41432,0.26098,1.1789,1.40458,1.29976,0.00119225,0.00119225,0.00119225
9,115.35,1.18965,1.42965,1.29549,0.39666,0.46264,0.40631,0.26984,1.13191,1.30796,1.27064,0.001184,0.001184,0.001184
10,127.529,1.18563,1.37427,1.28149,0.43908,0.5053,0.45233,0.29304,1.11619,1.25173,1.26113,0.00117575,0.00117575,0.00117575
11,139.696,1.17137,1.35543,1.27679,0.40047,0.49333,0.42496,0.27443,1.10892,1.32348,1.25347,0.0011675,0.0011675,0.0011675
12,151.811,1.17079,1.36176,1.28052,0.43415,0.4708,0.42115,0.27927,1.08579,1.2843,1.22762,0.00115925,0.00115925,0.00115925
13,163.956,1.15137,1.35084,1.27372,0.46599,0.50045,0.47109,0.29975,1.08632,1.18503,1.21813,0.001151,0.001151,0.001151
14,176.077,1.11731,1.28445,1.24932,0.50428,0.51495,0.4927,0.33039,1.01816,1.16055,1.19665,0.00114275,0.00114275,0.00114275
15,188.268,1.11962,1.256,1.24345,0.47977,0.52258,0.48452,0.31802,1.05536,1.18661,1.207,0.0011345,0.0011345,0.0011345
16,200.337,1.10885,1.25814,1.24521,0.47139,0.53268,0.4996,0.33573,1.00821,1.16801,1.18951,0.00112625,0.00112625,0.00112625
17,212.531,1.10422,1.21943,1.23379,0.49258,0.54091,0.52074,0.34851,1.03246,1.16613,1.19664,0.001118,0.001118,0.001118
18,224.652,1.1016,1.20871,1.23257,0.5465,0.51858,0.52221,0.35734,0.99224,1.12006,1.1681,0.00110975,0.00110975,0.00110975
19,236.81,1.06755,1.14057,1.2104,0.52241,0.54179,0.52638,0.33849,1.05989,1.13313,1.18746,0.0011015,0.0011015,0.0011015
20,249.004,1.05859,1.15467,1.20308,0.60819,0.52608,0.54019,0.36376,0.98785,1.0806,1.16398,0.00109325,0.00109325,0.00109325
21,261.773,1.06781,1.13952,1.19678,0.52494,0.54152,0.53268,0.36082,0.98927,1.04326,1.16083,0.001085,0.001085,0.001085
22,273.98,1.06875,1.12298,1.19209,0.58821,0.55523,0.56592,0.38923,0.96869,1.03488,1.15808,0.00107675,0.00107675,0.00107675
23,286.155,1.04506,1.12711,1.19594,0.60228,0.55874,0.56475,0.39192,0.98097,1.03152,1.14414,0.0010685,0.0010685,0.0010685
24,298.312,1.0342,1.08218,1.18501,0.5753,0.56167,0.57796,0.39036,0.95377,1.0024,1.1409,0.00106025,0.00106025,0.00106025
25,310.404,1.01898,1.08417,1.17809,0.56672,0.56573,0.57092,0.39356,0.95623,1.05487,1.12582,0.001052,0.001052,0.001052
26,322.606,1.02621,1.07402,1.1769,0.62243,0.48134,0.53776,0.36739,0.9597,1.09523,1.13783,0.00104375,0.00104375,0.00104375
27,334.736,1.01474,1.05708,1.17854,0.58046,0.58264,0.58045,0.40481,0.9265,0.97161,1.11908,0.0010355,0.0010355,0.0010355
28,346.913,1.01306,1.05416,1.1739,0.57454,0.59225,0.59043,0.41322,0.94523,1.02412,1.12359,0.00102725,0.00102725,0.00102725
29,359.03,1.00656,1.02694,1.17338,0.6098,0.5786,0.59444,0.42047,0.924,0.98392,1.1199,0.001019,0.001019,0.001019
30,371.14,0.99564,1.00959,1.15814,0.64113,0.55969,0.60001,0.42017,0.91287,0.98257,1.09838,0.00101075,0.00101075,0.00101075
31,383.298,0.99645,1.01972,1.16234,0.62098,0.59046,0.6113,0.42611,0.91707,0.94083,1.11297,0.0010025,0.0010025,0.0010025
32,395.42,0.9909,1.00093,1.15619,0.62244,0.55999,0.59206,0.41298,0.93021,0.97267,1.11266,0.00099425,0.00099425,0.00099425
33,407.547,0.99027,1.00375,1.15429,0.64255,0.57455,0.62378,0.44267,0.91953,0.92824,1.10525,0.000986,0.000986,0.000986
34,419.658,0.9579,0.97048,1.14342,0.57893,0.60548,0.60715,0.42961,0.9219,0.94495,1.10298,0.00097775,0.00097775,0.00097775
35,431.867,0.97879,0.9839,1.14858,0.6068,0.62239,0.63171,0.44357,0.90689,0.91906,1.09761,0.0009695,0.0009695,0.0009695
36,444.023,0.9712,0.95626,1.13807,0.63085,0.58368,0.61185,0.44227,0.90494,0.9316,1.10606,0.00096125,0.00096125,0.00096125
37,456.214,0.96812,0.96166,1.15,0.69605,0.53846,0.6108,0.438,0.87724,0.96193,1.08819,0.000953,0.000953,0.000953
38,468.93,0.9609,0.93991,1.13666,0.64513,0.59543,0.61985,0.44629,0.89165,0.94848,1.09124,0.00094475,0.00094475,0.00094475
39,481.106,0.94869,0.93134,1.14428,0.61722,0.603,0.62915,0.45069,0.88977,0.93099,1.09525,0.0009365,0.0009365,0.0009365
40,493.203,0.93256,0.92068,1.12616,0.56344,0.62847,0.60578,0.4417,0.88028,0.98264,1.08695,0.00092825,0.00092825,0.00092825
41,505.419,0.95434,0.92456,1.13224,0.69074,0.57532,0.64574,0.47351,0.87358,0.8893,1.08137,0.00092,0.00092,0.00092
42,517.549,0.93786,0.92628,1.12783,0.6146,0.59947,0.6152,0.44307,0.87823,0.93704,1.07889,0.00091175,0.00091175,0.00091175
43,529.692,0.92919,0.90724,1.12555,0.6549,0.59541,0.62241,0.45476,0.86771,0.89954,1.07348,0.0009035,0.0009035,0.0009035
44,541.916,0.91748,0.89777,1.11977,0.63936,0.6185,0.638,0.46595,0.8519,0.89519,1.07069,0.00089525,0.00089525,0.00089525
45,554.094,0.92641,0.88391,1.11427,0.62548,0.64267,0.65521,0.48389,0.85045,0.86726,1.06669,0.000887,0.000887,0.000887
46,566.162,0.91233,0.88493,1.11688,0.64995,0.62038,0.65318,0.48421,0.85973,0.86699,1.07066,0.00087875,0.00087875,0.00087875
47,578.337,0.92548,0.87933,1.12217,0.66691,0.613,0.65765,0.48001,0.85958,0.89156,1.06699,0.0008705,0.0008705,0.0008705
48,590.416,0.90526,0.85226,1.11275,0.65953,0.59634,0.62959,0.46722,0.84579,0.89741,1.06649,0.00086225,0.00086225,0.00086225
49,602.579,0.8939,0.84765,1.1043,0.70262,0.57454,0.64137,0.47447,0.84686,0.8752,1.06069,0.000854,0.000854,0.000854
50,614.711,0.89618,0.8512,1.10572,0.68263,0.64016,0.67896,0.50321,0.84193,0.8465,1.06471,0.00084575,0.00084575,0.00084575
51,626.856,0.89363,0.83439,1.1122,0.71007,0.57093,0.65258,0.484,0.85466,0.87104,1.06628,0.0008375,0.0008375,0.0008375
52,638.946,0.89725,0.82872,1.10729,0.6973,0.60438,0.65541,0.48809,0.84765,0.88773,1.05944,0.00082925,0.00082925,0.00082925
53,651.702,0.89074,0.8308,1.09479,0.647,0.61469,0.64207,0.48196,0.84032,0.87341,1.05335,0.000821,0.000821,0.000821
54,664.374,0.87957,0.82163,1.09231,0.71721,0.60133,0.65746,0.49387,0.83828,0.8538,1.05875,0.00081275,0.00081275,0.00081275
55,676.523,0.89082,0.81268,1.09863,0.68925,0.63053,0.67164,0.4938,0.83493,0.85263,1.05589,0.0008045,0.0008045,0.0008045
56,688.653,0.87882,0.82154,1.10115,0.67903,0.62824,0.6759,0.50245,0.82867,0.82452,1.0461,0.00079625,0.00079625,0.00079625
57,700.842,0.88687,0.82482,1.10446,0.66701,0.61649,0.66319,0.49163,0.84804,0.84651,1.05471,0.000788,0.000788,0.000788
58,712.947,0.86406,0.8025,1.0861,0.66015,0.65703,0.66392,0.49677,0.83664,0.83493,1.0523,0.00077975,0.00077975,0.00077975
59,725.12,0.88688,0.80082,1.09554,0.67222,0.64923,0.67363,0.50743,0.82801,0.81569,1.05007,0.0007715,0.0007715,0.0007715
60,737.3,0.87023,0.79022,1.08186,0.6452,0.64175,0.65826,0.49889,0.82723,0.85792,1.04856,0.00076325,0.00076325,0.00076325
61,749.469,0.87037,0.78133,1.08726,0.6945,0.64152,0.69048,0.51748,0.82428,0.8199,1.04468,0.000755,0.000755,0.000755
62,761.584,0.86097,0.77732,1.088,0.6876,0.62649,0.67498,0.50599,0.82865,0.83062,1.0461,0.00074675,0.00074675,0.00074675
63,773.679,0.85926,0.77316,1.08656,0.66962,0.62153,0.66753,0.49642,0.842,0.82064,1.05717,0.0007385,0.0007385,0.0007385
64,785.845,0.85516,0.77652,1.0773,0.69524,0.67401,0.6956,0.5255,0.82609,0.80626,1.04682,0.00073025,0.00073025,0.00073025
65,798.017,0.84831,0.75907,1.08053,0.70554,0.66154,0.6946,0.52237,0.81531,0.79426,1.0402,0.000722,0.000722,0.000722
66,810.197,0.85901,0.75983,1.08068,0.68408,0.65773,0.68184,0.51834,0.81446,0.81042,1.04402,0.00071375,0.00071375,0.00071375
67,822.855,0.85705,0.75279,1.07931,0.70256,0.63992,0.68892,0.52532,0.81159,0.80309,1.03917,0.0007055,0.0007055,0.0007055
68,834.902,0.84067,0.75477,1.08677,0.67235,0.6434,0.67909,0.51936,0.81285,0.82142,1.04312,0.00069725,0.00069725,0.00069725
