epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7397,1.5942,3.15979,1.58002,0.24071,0.25245,0.20791,0.11588,1.4511,2.68081,1.54267,0.000413647,0.000413647,0.000413647
2,31.4212,1.4345,2.35015,1.45763,0.2517,0.32719,0.24701,0.14829,1.43397,2.36249,1.51993,0.000824834,0.000824834,0.000824834
3,44.3714,1.4053,2.07728,1.44481,0.30974,0.3576,0.29317,0.1694,1.39306,2.06421,1.46837,0.00123052,0.00123052,0.00123052
4,56.9997,1.3861,1.83264,1.40639,0.33754,0.27852,0.27163,0.15248,1.39166,1.95859,1.46453,0.00122525,0.00122525,0.00122525
5,68.9149,1.33279,1.74178,1.39709,0.33801,0.36859,0.32196,0.20256,1.3043,1.79953,1.39669,0.001217,0.001217,0.001217
6,80.575,1.29803,1.60988,1.35769,0.37855,0.44408,0.36736,0.22617,1.2389,1.6127,1.3515,0.00120875,0.00120875,0.00120875
7,92.7484,1.25478,1.55699,1.34108,0.37664,0.42492,0.38044,0.24858,1.17875,1.43073,1.30302,0.0012005,0.0012005,0.0012005
8,104.343,1.23617,1.47966,1.32152,0.39842,0.43911,0.39132,0.24952,1.17451,1.48676,1.31934,0.00119225,0.00119225,0.00119225
9,115.896,1.19201,1.40523,1.29889,0.39716,0.4491,0.41406,0.26585,1.13201,1.39199,1.27125,0.001184,0.001184,0.001184
10,127.769,1.18356,1.37378,1.27963,0.40825,0.45365,0.41416,0.26549,1.11802,1.34664,1.25604,0.00117575,0.00117575,0.00117575
11,139.38,1.17485,1.35982,1.27583,0.47485,0.46959,0.43043,0.28372,1.10476,1.30405,1.24525,0.0011675,0.0011675,0.0011675
12,151.103,1.16548,1.35664,1.26993,0.40637,0.4382,0.42978,0.28245,1.07387,1.30442,1.21222,0.00115925,0.00115925,0.00115925
13,163.34,1.15202,1.34844,1.27068,0.67862,0.44666,0.46312,0.29467,1.06035,1.29609,1.2171,0.001151,0.001151,0.001151
14,174.911,1.12139,1.28425,1.25075,0.43055,0.5185,0.4602,0.3115,1.0219,1.1893,1.19941,0.00114275,0.00114275,0.00114275
15,186.507,1.12468,1.26309,1.249,0.4665,0.51518,0.46837,0.31236,1.0333,1.20133,1.19425,0.0011345,0.0011345,0.0011345
16,198.412,1.11395,1.24651,1.24963,0.47057,0.51814,0.49266,0.32622,1.02225,1.18872,1.20548,0.00112625,0.00112625,0.00112625
17,210.013,1.1001,1.21857,1.2329,0.47264,0.53411,0.50281,0.34037,0.99864,1.13904,1.17,0.001118,0.001118,0.001118
18,221.576,1.10107,1.21026,1.23227,0.50249,0.54197,0.51474,0.35134,0.9993,1.15453,1.16848,0.00110975,0.00110975,0.00110975
19,233.576,1.07183,1.16369,1.2166,0.50916,0.5755,0.53481,0.35953,0.99067,1.08496,1.16469,0.0011015,0.0011015,0.0011015
20,245.521,1.05843,1.15057,1.20027,0.51329,0.47896,0.49641,0.33938,0.98635,1.16036,1.15779,0.00109325,0.00109325,0.00109325
21,257.714,1.06593,1.13115,1.19176,0.52823,0.58166,0.55127,0.37862,0.97131,1.07481,1.14452,0.001085,0.001085,0.001085
22,269.363,1.06552,1.11767,1.19277,0.51458,0.56786,0.54122,0.37245,0.98985,1.06867,1.16579,0.00107675,0.00107675,0.00107675
23,281.054,1.05066,1.12556,1.19674,0.59631,0.55115,0.5551,0.38702,0.97817,1.05468,1.14799,0.0010685,0.0010685,0.0010685
24,292.95,1.04658,1.0819,1.18806,0.51988,0.55757,0.54771,0.38165,0.96517,1.03916,1.13655,0.00106025,0.00106025,0.00106025
25,304.536,1.01272,1.07257,1.1767,0.56105,0.54887,0.56477,0.39182,0.94363,1.05148,1.12794,0.001052,0.001052,0.001052
26,316.162,1.02514,1.07796,1.17364,0.53757,0.57279,0.57304,0.40218,0.93067,0.984,1.11927,0.00104375,0.00104375,0.00104375
27,328.04,1.01159,1.04848,1.17686,0.58051,0.59036,0.59606,0.42071,0.93718,0.98968,1.12267,0.0010355,0.0010355,0.0010355
28,339.618,1.01464,1.05025,1.17307,0.60057,0.55879,0.5742,0.40695,0.94788,0.99259,1.13157,0.00102725,0.00102725,0.00102725
29,351.17,1.008,1.03194,1.17206,0.60732,0.55314,0.58084,0.40928,0.9505,0.98867,1.13353,0.001019,0.001019,0.001019
30,363.044,0.99618,1.01202,1.15849,0.63062,0.53903,0.58055,0.41608,0.93574,1.00001,1.10933,0.00101075,0.00101075,0.00101075
31,374.652,0.99809,1.01077,1.16253,0.6449,0.58581,0.62817,0.45048,0.91293,0.95434,1.10745,0.0010025,0.0010025,0.0010025
32,386.253,0.99928,1.01495,1.16034,0.63481,0.57588,0.60705,0.43395,0.9013,0.94935,1.09773,0.00099425,0.00099425,0.00099425
33,399.22,0.9909,1.00825,1.15454,0.63413,0.60177,0.63021,0.44647,0.92703,0.9273,1.11292,0.000986,0.000986,0.000986
34,410.745,0.96122,0.96766,1.14344,0.64512,0.57064,0.62376,0.45017,0.91847,0.93142,1.09782,0.00097775,0.00097775,0.00097775
35,422.356,0.9762,0.98917,1.14655,0.60695,0.58271,0.61003,0.43836,0.90192,0.93607,1.08714,0.0009695,0.0009695,0.0009695
36,434.365,0.9653,0.94756,1.13336,0.6401,0.63003,0.64919,0.46595,0.89794,0.89505,1.09161,0.00096125,0.00096125,0.00096125
37,446.071,0.96681,0.96733,1.14965,0.6672,0.589,0.63844,0.46231,0.87282,0.92161,1.07892,0.000953,0.000953,0.000953
38,457.687,0.9675,0.95262,1.13854,0.65088,0.57749,0.62595,0.44911,0.88149,0.91916,1.083,0.00094475,0.00094475,0.00094475
39,469.623,0.95412,0.95013,1.14312,0.65565,0.54996,0.61621,0.45273,0.88117,0.94567,1.07842,0.0009365,0.0009365,0.0009365
40,481.322,0.93446,0.92523,1.12346,0.63862,0.59995,0.62074,0.45658,0.88295,0.93511,1.081,0.00092825,0.00092825,0.00092825
41,492.963,0.95849,0.92299,1.12723,0.66419,0.5983,0.63482,0.47074,0.88409,0.90389,1.0773,0.00092,0.00092,0.00092
42,504.852,0.93914,0.91453,1.12596,0.64515,0.59932,0.64403,0.47281,0.87455,0.89614,1.07578,0.00091175,0.00091175,0.00091175
43,516.595,0.9333,0.91879,1.12763,0.6111,0.6138,0.63204,0.45648,0.88263,0.90702,1.07862,0.0009035,0.0009035,0.0009035
44,528.167,0.92425,0.90213,1.12007,0.6805,0.61508,0.66334,0.48218,0.86321,0.87129,1.06395,0.00089525,0.00089525,0.00089525
45,540.135,0.91874,0.88251,1.10751,0.65028,0.64625,0.66007,0.48483,0.87263,0.87569,1.06992,0.000887,0.000887,0.000887
46,551.834,0.91312,0.88923,1.11459,0.67387,0.64072,0.67266,0.49199,0.86324,0.83635,1.06265,0.00087875,0.00087875,0.00087875
47,563.405,0.9221,0.8731,1.11756,0.6567,0.62538,0.67414,0.49861,0.84129,0.84912,1.05512,0.0008705,0.0008705,0.0008705
48,575.874,0.90583,0.8521,1.10897,0.66273,0.64292,0.66791,0.49365,0.84143,0.82789,1.06101,0.00086225,0.00086225,0.00086225
49,587.815,0.90106,0.84767,1.10557,0.66233,0.63758,0.66416,0.49374,0.84362,0.84272,1.05085,0.000854,0.000854,0.000854
50,599.436,0.89673,0.8576,1.10191,0.6673,0.64624,0.67684,0.49452,0.85053,0.83464,1.05684,0.00084575,0.00084575,0.00084575
51,611.32,0.89456,0.84354,1.10875,0.66905,0.64161,0.67172,0.49445,0.84992,0.84957,1.05904,0.0008375,0.0008375,0.0008375
52,622.97,0.89697,0.82928,1.10212,0.69472,0.61286,0.67086,0.49859,0.85659,0.84108,1.05973,0.00082925,0.00082925,0.00082925
53,634.613,0.89428,0.83794,1.0921,0.69284,0.62892,0.67943,0.50494,0.84207,0.82486,1.04843,0.000821,0.000821,0.000821
54,646.57,0.88735,0.82194,1.09207,0.65879,0.65924,0.67419,0.50299,0.84125,0.81584,1.05494,0.00081275,0.00081275,0.00081275
55,658.297,0.8946,0.81727,1.09428,0.66396,0.62984,0.65854,0.49477,0.83429,0.8567,1.04943,0.0008045,0.0008045,0.0008045
56,669.862,0.88095,0.82231,1.09949,0.65985,0.64519,0.67521,0.5043,0.82295,0.84638,1.03788,0.00079625,0.00079625,0.00079625
57,681.741,0.89106,0.82919,1.09943,0.70237,0.66008,0.69632,0.51945,0.83816,0.79983,1.03803,0.000788,0.000788,0.000788
58,693.457,0.86896,0.8146,1.08749,0.68622,0.63679,0.67799,0.51329,0.83322,0.82961,1.04718,0.00077975,0.00077975,0.00077975
59,705.075,0.88583,0.80251,1.08901,0.69122,0.64962,0.68396,0.51532,0.81773,0.81372,1.03302,0.0007715,0.0007715,0.0007715
60,717.147,0.87565,0.79388,1.08067,0.72589,0.62976,0.67512,0.52205,0.81267,0.84653,1.03271,0.00076325,0.00076325,0.00076325
61,728.853,0.86703,0.77886,1.08184,0.6812,0.63392,0.67701,0.50563,0.81907,0.80378,1.02838,0.000755,0.000755,0.000755
62,740.428,0.86253,0.7819,1.0845,0.67684,0.66469,0.68881,0.51874,0.81191,0.80946,1.02904,0.00074675,0.00074675,0.00074675
63,752.286,0.86733,0.7806,1.08441,0.68759,0.63957,0.68014,0.51605,0.81098,0.81197,1.03071,0.0007385,0.0007385,0.0007385
64,764.03,0.86152,0.77078,1.07694,0.6937,0.65987,0.69956,0.532,0.80867,0.79551,1.03051,0.00073025,0.00073025,0.00073025
65,775.732,0.84953,0.75996,1.07744,0.70487,0.63595,0.69193,0.52807,0.81,0.81299,1.03542,0.000722,0.000722,0.000722
66,787.563,0.86019,0.76177,1.0768,0.68186,0.69058,0.70658,0.54525,0.80088,0.79485,1.02467,0.00071375,0.00071375,0.00071375
67,799.412,0.86058,0.75758,1.0751,0.74163,0.6537,0.72109,0.55015,0.79267,0.75449,1.01803,0.0007055,0.0007055,0.0007055
68,810.935,0.8416,0.76077,1.08219,0.67953,0.68018,0.70731,0.54097,0.80205,0.77497,1.02263,0.00069725,0.00069725,0.00069725
69,822.686,0.83836,0.74495,1.07141,0.71551,0.65635,0.71086,0.54495,0.80161,0.77802,1.0233,0.000689,0.000689,0.000689
70,835.004,0.85625,0.74152,1.07343,0.70395,0.66329,0.70108,0.53941,0.79544,0.79075,1.02065,0.00068075,0.00068075,0.00068075
71,846.877,0.83968,0.73853,1.06657,0.71962,0.65263,0.69744,0.53617,0.79505,0.79316,1.01992,0.0006725,0.0006725,0.0006725
72,858.453,0.82451,0.72054,1.05991,0.71646,0.68318,0.71589,0.55058,0.78304,0.76128,1.01718,0.00066425,0.00066425,0.00066425
73,870.686,0.8263,0.73833,1.06465,0.72215,0.67163,0.71452,0.54464,0.79641,0.78132,1.01853,0.000656,0.000656,0.000656
74,882.24,0.82967,0.72015,1.06177,0.70582,0.67412,0.7128,0.54625,0.79096,0.77627,1.02268,0.00064775,0.00064775,0.00064775
75,893.847,0.82975,0.7166,1.0605,0.71873,0.66017,0.70852,0.54318,0.79104,0.77606,1.01395,0.0006395,0.0006395,0.0006395
76,905.757,0.8107,0.72064,1.05724,0.74305,0.65147,0.71558,0.54754,0.78459,0.7753,1.01104,0.00063125,0.00063125,0.00063125
77,917.332,0.82222,0.7211,1.05545,0.69376,0.66689,0.70402,0.54595,0.7733,0.78703,1.01038,0.000623,0.000623,0.000623
78,928.95,0.81855,0.70681,1.05271,0.69249,0.69095,0.72199,0.5517,0.78656,0.76379,1.01646,0.00061475,0.00061475,0.00061475
79,940.963,0.81043,0.69858,1.05156,0.75776,0.66357,0.71841,0.55836,0.78162,0.76749,1.01243,0.0006065,0.0006065,0.0006065
80,952.565,0.82675,0.70289,1.05927,0.69618,0.67371,0.71252,0.55605,0.78007,0.76916,1.01076,0.00059825,0.00059825,0.00059825
81,964.357,0.82153,0.69208,1.05066,0.71296,0.6764,0.70927,0.55118,0.77288,0.77833,1.00503,0.00059,0.00059,0.00059
82,976.621,0.81012,0.69741,1.05723,0.69636,0.63922,0.69517,0.5473,0.77774,0.78318,1.01008,0.00058175,0.00058175,0.00058175
83,988.521,0.81034,0.69955,1.0611,0.75065,0.63856,0.71078,0.55608,0.7736,0.76063,1.00244,0.0005735,0.0005735,0.0005735
84,1000.17,0.80201,0.67997,1.04532,0.74228,0.6336,0.70196,0.54552,0.77459,0.77906,1.01088,0.00056525,0.00056525,0.00056525
85,1012.39,0.80258,0.68214,1.04664,0.72654,0.68309,0.72257,0.55894,0.77183,0.76454,1.00429,0.000557,0.000557,0.000557
86,1024.33,0.80501,0.67896,1.04119,0.76025,0.64951,0.72227,0.56274,0.7689,0.76761,1.00584,0.00054875,0.00054875,0.00054875
87,1036.2,0.80012,0.67416,1.04644,0.72657,0.66143,0.71803,0.56014,0.77493,0.7625,1.00656,0.0005405,0.0005405,0.0005405
