epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3617,2.1348,3.45336,1.98944,0.45796,0.21483,0.165,0.0863,1.60929,2.80562,1.62106,0.000413647,0.000413647,0.000413647
2,31.829,1.51498,2.37731,1.53064,0.38573,0.29214,0.24158,0.14371,1.44962,2.50472,1.55181,0.000824834,0.000824834,0.000824834
3,46.0212,1.44484,2.0954,1.48073,0.37903,0.30213,0.24688,0.13501,1.4455,2.27091,1.49437,0.00123052,0.00123052,0.00123052
4,60.1577,1.40774,1.84064,1.42989,0.26013,0.34196,0.27709,0.17003,1.35342,1.8746,1.46171,0.00122525,0.00122525,0.00122525
5,74.3604,1.3532,1.76441,1.41629,0.40249,0.33915,0.34168,0.2118,1.25021,1.62552,1.37818,0.001217,0.001217,0.001217
6,88.2219,1.30713,1.61522,1.37168,0.31661,0.386,0.32569,0.20399,1.19591,1.5549,1.34333,0.00120875,0.00120875,0.00120875
7,102.054,1.25849,1.56347,1.35347,0.40697,0.41806,0.37752,0.23557,1.21257,1.53774,1.32993,0.0012005,0.0012005,0.0012005
8,115.905,1.2421,1.48971,1.33811,0.39585,0.41642,0.38786,0.24092,1.19965,1.51323,1.33,0.00119225,0.00119225,0.00119225
9,129.747,1.19166,1.42998,1.31284,0.3525,0.46691,0.39975,0.252,1.14834,1.38507,1.30798,0.001184,0.001184,0.001184
10,143.653,1.19843,1.39913,1.30422,0.37897,0.49315,0.41445,0.26531,1.10035,1.30247,1.25777,0.00117575,0.00117575,0.00117575
11,157.511,1.1791,1.36714,1.29548,0.42194,0.52397,0.44058,0.28799,1.08509,1.25106,1.24746,0.0011675,0.0011675,0.0011675
12,171.335,1.16963,1.35858,1.29596,0.43789,0.46806,0.43752,0.28917,1.10359,1.28407,1.27564,0.00115925,0.00115925,0.00115925
13,185.152,1.15357,1.35029,1.28976,0.43616,0.49965,0.44988,0.29555,1.05178,1.22292,1.23507,0.001151,0.001151,0.001151
14,198.993,1.11957,1.29428,1.26813,0.43071,0.51813,0.469,0.30991,1.07602,1.19293,1.24797,0.00114275,0.00114275,0.00114275
15,212.822,1.13231,1.26826,1.26629,0.50133,0.52001,0.47884,0.32173,1.04411,1.18226,1.22907,0.0011345,0.0011345,0.0011345
