epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8143,2.49606,3.36723,2.26155,0.14052,0.14863,0.05507,0.02518,2.28017,3.79938,2.14611,0.000661836,0.000661836,0.000661836
2,36.735,1.84291,2.34508,1.67713,0.29048,0.23719,0.1634,0.08313,2.04022,9.01129,1.96368,0.00131973,0.00131973,0.00131973
3,52.6722,1.66147,1.9234,1.53882,0.52692,0.37767,0.38364,0.22377,1.55718,2.36591,1.5232,0.00196883,0.00196883,0.00196883
4,68.5919,1.57377,1.70835,1.45391,0.49471,0.3943,0.39865,0.23907,1.47939,1.83334,1.41304,0.0019604,0.0019604,0.0019604
5,84.423,1.49976,1.63417,1.41278,0.59057,0.44418,0.46423,0.29558,1.32668,1.57757,1.33958,0.0019472,0.0019472,0.0019472
6,100.237,1.44634,1.50961,1.36521,0.59398,0.46081,0.48655,0.31249,1.33827,1.4414,1.32794,0.001934,0.001934,0.001934
7,116.014,1.38021,1.4314,1.33859,0.63071,0.47059,0.51068,0.31496,1.35087,1.43668,1.3173,0.0019208,0.0019208,0.0019208
8,131.821,1.34714,1.37741,1.30768,0.66288,0.51069,0.56787,0.37078,1.24472,1.23731,1.25248,0.0019076,0.0019076,0.0019076
9,147.595,1.2948,1.3161,1.2802,0.65798,0.49644,0.5554,0.36557,1.22802,1.22206,1.23859,0.0018944,0.0018944,0.0018944
10,163.399,1.2929,1.27717,1.26614,0.71171,0.53105,0.58588,0.40179,1.1662,1.16264,1.21423,0.0018812,0.0018812,0.0018812
11,179.207,1.27509,1.2633,1.26377,0.74158,0.53655,0.60575,0.41622,1.15232,1.1311,1.19719,0.001868,0.001868,0.001868
12,195.014,1.25032,1.24257,1.25339,0.71539,0.55185,0.61057,0.41365,1.14359,1.12702,1.19074,0.0018548,0.0018548,0.0018548
13,210.776,1.25762,1.23289,1.26327,0.71678,0.57414,0.63201,0.43206,1.0979,1.05536,1.17452,0.0018416,0.0018416,0.0018416
14,226.541,1.20256,1.15276,1.22642,0.72516,0.53546,0.60375,0.41963,1.12813,1.09059,1.19318,0.0018284,0.0018284,0.0018284
15,242.36,1.2139,1.17186,1.23292,0.74666,0.53919,0.622,0.43498,1.09761,1.0535,1.16019,0.0018152,0.0018152,0.0018152
16,258.133,1.19771,1.14411,1.22731,0.74757,0.58263,0.65134,0.44828,1.08129,1.00569,1.16962,0.001802,0.001802,0.001802
17,273.962,1.19209,1.13157,1.21704,0.74878,0.60684,0.66894,0.46843,1.04964,0.95486,1.13919,0.0017888,0.0017888,0.0017888
18,289.711,1.18871,1.10167,1.20971,0.72495,0.59043,0.6424,0.44953,1.06056,1.01384,1.13468,0.0017756,0.0017756,0.0017756
19,305.524,1.14953,1.07224,1.19611,0.75602,0.60774,0.67707,0.47343,1.05253,0.92488,1.13181,0.0017624,0.0017624,0.0017624
20,321.675,1.15195,1.07149,1.19558,0.74219,0.59009,0.65746,0.46387,1.05223,0.9748,1.13454,0.0017492,0.0017492,0.0017492
21,337.841,1.15038,1.05251,1.18038,0.78205,0.6234,0.69448,0.48643,1.01783,0.92081,1.12004,0.001736,0.001736,0.001736
22,353.632,1.14621,1.04404,1.17701,0.77772,0.61261,0.69549,0.4828,1.02255,0.90583,1.11649,0.0017228,0.0017228,0.0017228
23,369.426,1.12556,1.03221,1.17288,0.73667,0.6186,0.67373,0.46207,1.04386,0.94461,1.12102,0.0017096,0.0017096,0.0017096
24,385.285,1.11401,1.00352,1.16359,0.77703,0.60901,0.68234,0.48518,1.00975,0.9112,1.10518,0.0016964,0.0016964,0.0016964
25,401.03,1.10116,0.99697,1.15717,0.7957,0.61852,0.7015,0.4892,1.00792,0.8743,1.09556,0.0016832,0.0016832,0.0016832
26,416.842,1.1127,1.00163,1.16175,0.78418,0.6177,0.69454,0.4872,0.99923,0.90753,1.10395,0.00167,0.00167,0.00167
27,432.628,1.08681,0.98252,1.15546,0.80277,0.61622,0.70688,0.50504,0.99018,0.87418,1.09463,0.0016568,0.0016568,0.0016568
28,448.39,1.08528,0.98833,1.15176,0.79288,0.61758,0.69607,0.49409,1.01531,0.89808,1.10772,0.0016436,0.0016436,0.0016436
29,464.171,1.08757,0.96324,1.15505,0.79367,0.63047,0.70339,0.50432,0.981,0.865,1.09993,0.0016304,0.0016304,0.0016304
30,479.897,1.08447,0.95366,1.14313,0.78828,0.62708,0.71614,0.50669,0.97483,0.87203,1.09059,0.0016172,0.0016172,0.0016172
31,495.714,1.07884,0.9491,1.14458,0.79353,0.64816,0.72743,0.51558,0.95636,0.84012,1.08128,0.001604,0.001604,0.001604
32,511.49,1.07515,0.94399,1.14224,0.82191,0.63115,0.72917,0.52053,0.9701,0.81683,1.09485,0.0015908,0.0015908,0.0015908
33,527.279,1.06789,0.95666,1.13843,0.82082,0.64822,0.73204,0.51707,0.96839,0.82074,1.08658,0.0015776,0.0015776,0.0015776
34,543.033,1.04044,0.91662,1.1295,0.8011,0.64065,0.7226,0.51073,0.97966,0.85128,1.09461,0.0015644,0.0015644,0.0015644
35,558.841,1.04872,0.93935,1.12763,0.79533,0.65931,0.73293,0.52768,0.94026,0.84104,1.06926,0.0015512,0.0015512,0.0015512
36,574.64,1.04662,0.90519,1.1234,0.77599,0.70377,0.76746,0.54029,0.96052,0.81294,1.0773,0.001538,0.001538,0.001538
37,590.443,1.04482,0.91541,1.13506,0.7935,0.64151,0.7292,0.51722,0.95105,0.81436,1.07701,0.0015248,0.0015248,0.0015248
38,606.258,1.0424,0.89135,1.11884,0.80348,0.65015,0.72233,0.52194,0.94499,0.8218,1.06702,0.0015116,0.0015116,0.0015116
39,622.016,1.03822,0.90467,1.12995,0.84274,0.6186,0.73457,0.53251,0.93913,0.81305,1.06384,0.0014984,0.0014984,0.0014984
40,637.751,1.0106,0.88613,1.11214,0.83249,0.63047,0.72368,0.52226,0.93302,0.80654,1.06602,0.0014852,0.0014852,0.0014852
41,653.611,1.03689,0.88262,1.11681,0.82187,0.65592,0.74122,0.53343,0.92461,0.77957,1.05366,0.001472,0.001472,0.001472
42,669.352,1.0201,0.86974,1.11662,0.84767,0.63726,0.7427,0.53766,0.91925,0.78873,1.05358,0.0014588,0.0014588,0.0014588
43,685.132,1.01447,0.87249,1.11513,0.81047,0.6773,0.76851,0.54498,0.92157,0.76475,1.05063,0.0014456,0.0014456,0.0014456
44,700.957,1.00468,0.86051,1.10481,0.8136,0.67017,0.74565,0.54077,0.91754,0.77717,1.05116,0.0014324,0.0014324,0.0014324
45,716.981,1.00155,0.85212,1.09854,0.77967,0.70723,0.77944,0.55736,0.89981,0.76698,1.04266,0.0014192,0.0014192,0.0014192
46,732.65,0.99199,0.84997,1.10547,0.84121,0.66407,0.75235,0.54397,0.90745,0.77095,1.04984,0.001406,0.001406,0.001406
47,748.45,1.00667,0.8528,1.11309,0.81675,0.67904,0.7579,0.55009,0.91318,0.75401,1.05666,0.0013928,0.0013928,0.0013928
48,764.175,0.98741,0.82891,1.10295,0.83656,0.66203,0.7513,0.54803,0.90112,0.75541,1.04675,0.0013796,0.0013796,0.0013796
49,780.005,0.97658,0.82363,1.09434,0.84487,0.66305,0.76158,0.55641,0.88331,0.74246,1.03621,0.0013664,0.0013664,0.0013664
50,795.801,0.98053,0.83536,1.09564,0.82086,0.67325,0.77582,0.5558,0.89085,0.71815,1.03893,0.0013532,0.0013532,0.0013532
51,811.571,0.9742,0.82618,1.09879,0.83042,0.67255,0.76293,0.55067,0.89982,0.75378,1.04402,0.00134,0.00134,0.00134
52,827.301,0.97862,0.81883,1.09347,0.82152,0.68069,0.76385,0.54627,0.91398,0.73756,1.04709,0.0013268,0.0013268,0.0013268
53,843.133,0.97529,0.81017,1.0832,0.82151,0.67623,0.76226,0.56048,0.89294,0.73451,1.04814,0.0013136,0.0013136,0.0013136
54,858.923,0.96097,0.80958,1.08118,0.83761,0.67424,0.77929,0.56729,0.88244,0.7126,1.03435,0.0013004,0.0013004,0.0013004
55,874.742,0.97354,0.80733,1.08458,0.83704,0.6902,0.78511,0.57108,0.88128,0.70586,1.03176,0.0012872,0.0012872,0.0012872
56,890.791,0.95593,0.80298,1.08868,0.86558,0.65333,0.7743,0.56777,0.864,0.72129,1.02331,0.001274,0.001274,0.001274
57,906.681,0.96743,0.80634,1.09066,0.84159,0.68951,0.79675,0.58551,0.86053,0.69171,1.02452,0.0012608,0.0012608,0.0012608
58,922.431,0.94442,0.78549,1.07582,0.85436,0.6773,0.78961,0.58064,0.87019,0.699,1.02754,0.0012476,0.0012476,0.0012476
59,938.256,0.97355,0.80398,1.08968,0.83827,0.68242,0.77778,0.57353,0.86984,0.70594,1.02852,0.0012344,0.0012344,0.0012344
60,954.104,0.9528,0.78196,1.07358,0.84821,0.67526,0.77626,0.57484,0.86252,0.69734,1.0267,0.0012212,0.0012212,0.0012212
61,969.91,0.94791,0.77915,1.07484,0.8291,0.70071,0.80264,0.58715,0.84816,0.6907,1.01741,0.001208,0.001208,0.001208
62,985.664,0.94328,0.7773,1.07877,0.83006,0.68985,0.78813,0.58411,0.85011,0.69349,1.02319,0.0011948,0.0011948,0.0011948
63,1001.42,0.93887,0.76847,1.07694,0.85291,0.68668,0.77675,0.56504,0.87785,0.7005,1.0338,0.0011816,0.0011816,0.0011816
64,1017.41,0.94961,0.7762,1.07438,0.84595,0.67266,0.77516,0.56653,0.8674,0.698,1.02502,0.0011684,0.0011684,0.0011684
65,1033.14,0.93026,0.7591,1.0678,0.85232,0.68375,0.78795,0.58525,0.84775,0.69315,1.0149,0.0011552,0.0011552,0.0011552
66,1048.95,0.93987,0.76493,1.07186,0.82088,0.71055,0.7855,0.57947,0.85047,0.68007,1.01681,0.001142,0.001142,0.001142
67,1064.79,0.94021,0.76343,1.07032,0.84601,0.68103,0.77264,0.57796,0.85432,0.70291,1.02395,0.0011288,0.0011288,0.0011288
68,1080.5,0.92339,0.76559,1.07998,0.85256,0.70478,0.80738,0.59653,0.83717,0.66725,1.00972,0.0011156,0.0011156,0.0011156
69,1096.3,0.92531,0.75002,1.06478,0.85098,0.68748,0.79794,0.59031,0.85897,0.69948,1.0222,0.0011024,0.0011024,0.0011024
70,1112.11,0.93767,0.75765,1.07053,0.84123,0.71918,0.7992,0.5893,0.85953,0.68081,1.01764,0.0010892,0.0010892,0.0010892
