epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.27,2.01433,3.45604,1.97998,0.1964,0.22131,0.16255,0.09309,1.49243,2.66353,1.52413,0.000413647,0.000413647,0.000413647
2,67.6778,1.43605,2.36839,1.47399,0.47884,0.20832,0.20604,0.11928,1.43342,2.36555,1.52031,0.000824834,0.000824834,0.000824834
3,101.22,1.41491,2.09954,1.46406,0.26497,0.34583,0.26208,0.1641,1.32664,2.16152,1.41291,0.00123052,0.00123052,0.00123052
4,134.658,1.38772,1.85041,1.42735,0.2567,0.32387,0.26626,0.16278,1.35041,1.84392,1.435,0.00122525,0.00122525,0.00122525
5,168.549,1.31576,1.75688,1.40698,0.34347,0.41305,0.351,0.21721,1.20933,1.58967,1.35298,0.001217,0.001217,0.001217
6,202.534,1.29209,1.6233,1.36952,0.30283,0.39945,0.31206,0.19766,1.19599,1.5806,1.31967,0.00120875,0.00120875,0.00120875
7,236.399,1.22577,1.5627,1.34762,0.39854,0.41458,0.38044,0.2474,1.18003,1.40901,1.31762,0.0012005,0.0012005,0.0012005
8,270.371,1.20992,1.49458,1.33014,0.42516,0.46826,0.41607,0.28181,1.09577,1.31715,1.25849,0.00119225,0.00119225,0.00119225
9,304.551,1.17575,1.4189,1.31465,0.43132,0.48026,0.42547,0.2827,1.11071,1.28162,1.27222,0.001184,0.001184,0.001184
10,338.582,1.17435,1.36894,1.296,0.42318,0.46189,0.42408,0.27379,1.12843,1.33105,1.28218,0.00117575,0.00117575,0.00117575
11,372.771,1.16081,1.35912,1.2937,0.44479,0.48731,0.41659,0.28998,1.04238,1.30138,1.23403,0.0011675,0.0011675,0.0011675
12,406.795,1.14589,1.35783,1.28965,0.43925,0.48734,0.45114,0.30187,1.06489,1.23879,1.24558,0.00115925,0.00115925,0.00115925
13,440.85,1.13899,1.34992,1.29595,0.48085,0.4997,0.47178,0.3154,1.03365,1.1866,1.21512,0.001151,0.001151,0.001151
14,475.052,1.09695,1.28189,1.26706,0.51711,0.51587,0.49654,0.34328,1.00819,1.14964,1.20652,0.00114275,0.00114275,0.00114275
15,509.408,1.10868,1.25531,1.26555,0.55016,0.50791,0.51554,0.35713,1.00686,1.13181,1.21372,0.0011345,0.0011345,0.0011345
16,543.648,1.08867,1.24769,1.26493,0.47798,0.51034,0.47687,0.33154,0.97563,1.14468,1.18993,0.00112625,0.00112625,0.00112625
17,578.041,1.07545,1.22311,1.25427,0.45068,0.53209,0.49958,0.34034,0.97664,1.13531,1.18559,0.001118,0.001118,0.001118
18,612.292,1.07564,1.20617,1.25524,0.51959,0.52151,0.52234,0.36082,0.95169,1.03537,1.17408,0.00110975,0.00110975,0.00110975
19,646.664,1.04703,1.14461,1.2358,0.61832,0.52214,0.55524,0.38798,0.94392,1.0321,1.15705,0.0011015,0.0011015,0.0011015
20,681.17,1.04391,1.14678,1.22956,0.62108,0.51945,0.55073,0.38729,0.92465,1.03154,1.14816,0.00109325,0.00109325,0.00109325
21,715.662,1.04049,1.12293,1.2156,0.5439,0.57868,0.57684,0.39852,0.95528,1.01162,1.18007,0.001085,0.001085,0.001085
22,750.028,1.05243,1.12219,1.21959,0.55468,0.56764,0.56578,0.40572,0.93188,1.00114,1.16165,0.00107675,0.00107675,0.00107675
23,784.34,1.0218,1.10976,1.21851,0.57164,0.55787,0.56328,0.39566,0.93126,0.99776,1.15719,0.0010685,0.0010685,0.0010685
24,818.736,1.02129,1.07638,1.20941,0.55637,0.54366,0.55123,0.39276,0.91003,0.99563,1.13878,0.00106025,0.00106025,0.00106025
25,852.997,0.988,1.07192,1.19987,0.59728,0.57547,0.57586,0.40307,0.91857,0.96129,1.14355,0.001052,0.001052,0.001052
26,887.441,1.00699,1.06398,1.19742,0.58709,0.56098,0.56769,0.41171,0.92841,1.01632,1.1557,0.00104375,0.00104375,0.00104375
27,921.832,0.98759,1.04194,1.19658,0.58148,0.5753,0.59069,0.41288,0.89373,0.98428,1.12945,0.0010355,0.0010355,0.0010355
28,956.337,0.98702,1.03926,1.19067,0.60318,0.58415,0.5948,0.43088,0.89518,0.98701,1.13481,0.00102725,0.00102725,0.00102725
29,990.706,0.98433,1.02923,1.19389,0.5991,0.60486,0.60279,0.44062,0.89465,0.94371,1.13736,0.001019,0.001019,0.001019
30,1025.05,0.97328,1.00668,1.18142,0.61011,0.58347,0.60212,0.44314,0.87485,0.96496,1.12363,0.00101075,0.00101075,0.00101075
