epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2946,1.951,2.67789,1.84521,0.56246,0.41127,0.41902,0.24957,1.40999,2.29316,1.45061,0.000661836,0.000661836,0.000661836
2,31.4624,1.49194,1.83668,1.43114,0.50106,0.38853,0.36955,0.22314,1.46002,4.45008,1.56085,0.00131973,0.00131973,0.00131973
3,45.212,1.4703,1.6275,1.42433,0.56687,0.43739,0.45283,0.28053,1.41182,2.3065,1.41728,0.00196883,0.00196883,0.00196883
4,58.9192,1.44489,1.47912,1.38536,0.53524,0.47438,0.49247,0.30384,1.37303,1.56971,1.37483,0.0019604,0.0019604,0.0019604
5,72.5529,1.37064,1.40573,1.36292,0.69946,0.54598,0.59641,0.38793,1.23196,1.35675,1.29049,0.0019472,0.0019472,0.0019472
6,86.0853,1.3258,1.28553,1.32913,0.69788,0.55786,0.59617,0.38631,1.21449,1.18957,1.28542,0.001934,0.001934,0.001934
7,99.5923,1.26848,1.23792,1.2997,0.71712,0.6099,0.6594,0.41936,1.20133,1.18598,1.26844,0.0019208,0.0019208,0.0019208
8,113.162,1.24898,1.18642,1.28049,0.73223,0.57618,0.64063,0.43721,1.10992,1.0682,1.21762,0.0019076,0.0019076,0.0019076
9,127.021,1.19887,1.12377,1.26731,0.76886,0.59348,0.65916,0.44573,1.13466,1.02556,1.2232,0.0018944,0.0018944,0.0018944
10,140.59,1.20345,1.10797,1.25837,0.78179,0.61418,0.7009,0.46542,1.10058,0.95394,1.19983,0.0018812,0.0018812,0.0018812
11,154.112,1.17863,1.09011,1.24517,0.80077,0.61511,0.70736,0.48298,1.06507,0.91522,1.16678,0.001868,0.001868,0.001868
12,167.667,1.16249,1.06857,1.2409,0.75482,0.60366,0.67098,0.45532,1.12346,0.9999,1.22639,0.0018548,0.0018548,0.0018548
13,181.212,1.15564,1.06845,1.24955,0.77523,0.6273,0.69213,0.48055,1.0276,0.89993,1.16173,0.0018416,0.0018416,0.0018416
