epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8723,1.40392,2.22904,1.38054,0.51542,0.41296,0.42107,0.24425,1.44921,2.77667,1.43377,0.000661836,0.000661836,0.000661836
2,28.1925,1.37268,1.68091,1.35431,0.56432,0.43705,0.45411,0.28218,1.4048,2.05345,1.44625,0.00131973,0.00131973,0.00131973
3,40.3908,1.37918,1.51643,1.36987,0.64327,0.48015,0.50752,0.31492,1.32727,1.58316,1.36905,0.00196883,0.00196883,0.00196883
4,52.7095,1.3755,1.37946,1.34858,0.55767,0.415,0.43955,0.27091,1.42554,1.60777,1.43713,0.0019604,0.0019604,0.0019604
5,64.5974,1.3128,1.32829,1.32629,0.69507,0.54937,0.60107,0.38121,1.23106,1.22457,1.27507,0.0019472,0.0019472,0.0019472
6,76.4736,1.28029,1.23688,1.28902,0.70892,0.58839,0.63213,0.41712,1.16792,1.16747,1.24804,0.001934,0.001934,0.001934
7,88.3462,1.23354,1.18328,1.26805,0.71883,0.57602,0.63652,0.42625,1.12315,1.17757,1.20317,0.0019208,0.0019208,0.0019208
8,100.194,1.20599,1.12469,1.24444,0.73835,0.58873,0.65737,0.44703,1.09776,1.03012,1.19096,0.0019076,0.0019076,0.0019076
9,112.078,1.17265,1.09722,1.23985,0.77278,0.61396,0.6813,0.46549,1.08361,0.99841,1.18867,0.0018944,0.0018944,0.0018944
10,123.949,1.1728,1.06314,1.22392,0.7406,0.62606,0.68273,0.45804,1.05803,1.0178,1.15803,0.0018812,0.0018812,0.0018812
11,135.831,1.14889,1.04079,1.21294,0.73115,0.60905,0.65626,0.45121,1.07864,1.01032,1.17663,0.001868,0.001868,0.001868
12,147.69,1.14545,1.0532,1.21652,0.79404,0.64099,0.70121,0.4837,1.03878,0.93307,1.14458,0.0018548,0.0018548,0.0018548
