epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1798,1.43314,3.06219,1.40378,0.21438,0.27553,0.20057,0.12355,1.30965,2.62559,1.32423,0.000413647,0.000413647,0.000413647
2,29.9436,1.33913,2.2199,1.33852,0.27403,0.3456,0.26445,0.15973,1.2504,3.10251,1.34792,0.000824834,0.000824834,0.000824834
3,42.8355,1.33442,1.96999,1.34658,0.30631,0.3481,0.29128,0.16913,1.28048,1.9567,1.3187,0.00123052,0.00123052,0.00123052
4,55.1417,1.32481,1.74455,1.32169,0.30767,0.38956,0.31807,0.20107,1.20538,1.8573,1.2732,0.00122525,0.00122525,0.00122525
5,67.0196,1.28174,1.67628,1.31107,0.4054,0.44224,0.36522,0.22813,1.19133,1.48938,1.26036,0.001217,0.001217,0.001217
6,79.495,1.25498,1.55368,1.28369,0.35986,0.41538,0.36799,0.23436,1.13195,1.45652,1.22366,0.00120875,0.00120875,0.00120875
7,91.3253,1.2008,1.48132,1.26116,0.39018,0.46556,0.39677,0.25998,1.08334,1.36474,1.19399,0.0012005,0.0012005,0.0012005
8,103.136,1.18993,1.43216,1.24458,0.42305,0.44731,0.40137,0.26498,1.11034,1.30626,1.19877,0.00119225,0.00119225,0.00119225
9,114.971,1.14023,1.36518,1.22728,0.43479,0.49618,0.45299,0.29782,1.04478,1.24128,1.16111,0.001184,0.001184,0.001184
10,126.812,1.14783,1.32429,1.21809,0.4003,0.5183,0.4436,0.29646,1.04185,1.25174,1.16753,0.00117575,0.00117575,0.00117575
11,138.644,1.13035,1.31258,1.2172,0.45306,0.51318,0.46258,0.30959,1.04047,1.27513,1.15716,0.0011675,0.0011675,0.0011675
12,150.491,1.12875,1.3133,1.21544,0.46276,0.49799,0.45443,0.30388,1.01407,1.19194,1.14359,0.00115925,0.00115925,0.00115925
13,162.308,1.11892,1.29912,1.21128,0.61128,0.45836,0.48521,0.31744,0.98186,1.14729,1.13025,0.001151,0.001151,0.001151
14,174.081,1.08003,1.23369,1.19044,0.50491,0.50974,0.49507,0.33942,0.97252,1.12036,1.12373,0.00114275,0.00114275,0.00114275
15,185.942,1.08938,1.21624,1.19269,0.47535,0.52997,0.4768,0.31858,1.00052,1.16092,1.13613,0.0011345,0.0011345,0.0011345
16,197.72,1.07221,1.19493,1.18818,0.54981,0.52732,0.52466,0.36817,0.96738,1.11487,1.11503,0.00112625,0.00112625,0.00112625
17,209.9,1.06503,1.18051,1.17895,0.55169,0.48611,0.51256,0.35584,0.96105,1.05694,1.1201,0.001118,0.001118,0.001118
18,221.724,1.06398,1.1645,1.17282,0.57002,0.52806,0.52911,0.37282,0.92422,1.02556,1.08643,0.00110975,0.00110975,0.00110975
19,233.617,1.03646,1.10256,1.16208,0.58671,0.56044,0.55046,0.37883,0.95569,1.05893,1.10502,0.0011015,0.0011015,0.0011015
20,245.487,1.02734,1.1074,1.15402,0.55966,0.54209,0.54689,0.3782,0.93794,1.01291,1.09717,0.00109325,0.00109325,0.00109325
21,257.806,1.02987,1.08996,1.14266,0.58659,0.55154,0.56019,0.40305,0.93253,1.00958,1.0953,0.001085,0.001085,0.001085
22,269.663,1.04143,1.0794,1.14972,0.58935,0.59274,0.58378,0.4095,0.92272,1.00082,1.09031,0.00107675,0.00107675,0.00107675
23,281.488,1.0141,1.07482,1.14517,0.56437,0.56522,0.56098,0.40507,0.93131,0.98727,1.08275,0.0010685,0.0010685,0.0010685
