epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9345,2.0536,3.36907,1.90033,0.45745,0.25869,0.19803,0.11767,1.456,2.5356,1.4384,0.000413647,0.000413647,0.000413647
2,31.2456,1.43467,2.28068,1.41268,0.24165,0.28058,0.19294,0.10669,1.61093,2.42071,1.74401,0.000824834,0.000824834,0.000824834
3,45.2601,1.39258,2.02383,1.40178,0.37738,0.30532,0.27042,0.15934,1.31168,1.90439,1.37283,0.00123052,0.00123052,0.00123052
4,58.8358,1.3819,1.79659,1.37038,0.32894,0.34335,0.32867,0.20006,1.29285,1.61532,1.34044,0.00122525,0.00122525,0.00122525
5,72.3639,1.31571,1.71556,1.34245,0.3702,0.39455,0.34871,0.21295,1.25416,1.53729,1.32067,0.001217,0.001217,0.001217
6,85.9446,1.27615,1.60225,1.31729,0.3194,0.38274,0.32311,0.2036,1.20541,1.56485,1.26862,0.00120875,0.00120875,0.00120875
7,99.4544,1.22781,1.52859,1.29684,0.37679,0.46602,0.40833,0.26041,1.11128,1.3887,1.23086,0.0012005,0.0012005,0.0012005
8,112.972,1.21061,1.46491,1.2784,0.39582,0.45224,0.4101,0.26983,1.09451,1.28902,1.2172,0.00119225,0.00119225,0.00119225
9,126.499,1.16184,1.3922,1.26096,0.48155,0.42975,0.43567,0.28356,1.05105,1.28132,1.19648,0.001184,0.001184,0.001184
10,140.092,1.1681,1.35625,1.25027,0.41482,0.46064,0.42858,0.28373,1.05257,1.2479,1.18279,0.00117575,0.00117575,0.00117575
11,153.657,1.15092,1.32519,1.24555,0.46661,0.49428,0.44796,0.30677,1.02106,1.25283,1.18097,0.0011675,0.0011675,0.0011675
12,167.196,1.13557,1.33355,1.24118,0.42291,0.43132,0.43193,0.28536,1.02735,1.24326,1.17713,0.00115925,0.00115925,0.00115925
13,180.665,1.1214,1.32351,1.2424,0.42069,0.50651,0.46321,0.30508,1.00937,1.15218,1.1578,0.001151,0.001151,0.001151
14,194.134,1.09838,1.27438,1.22674,0.50975,0.52738,0.50373,0.3456,0.99342,1.11206,1.15772,0.00114275,0.00114275,0.00114275
15,207.708,1.09915,1.22898,1.22159,0.51958,0.50426,0.50262,0.33804,0.9934,1.1136,1.15512,0.0011345,0.0011345,0.0011345
16,221.176,1.08315,1.22946,1.21723,0.50999,0.51304,0.50176,0.33753,0.96872,1.18945,1.14523,0.00112625,0.00112625,0.00112625
17,234.697,1.06485,1.21331,1.20388,0.48059,0.57506,0.51202,0.34555,0.97727,1.06585,1.12921,0.001118,0.001118,0.001118
18,248.185,1.07485,1.19565,1.20709,0.52398,0.53309,0.52298,0.3529,0.96155,1.05418,1.13202,0.00110975,0.00110975,0.00110975
19,261.714,1.03933,1.14031,1.18825,0.53281,0.55754,0.54467,0.37186,0.97402,1.03531,1.1306,0.0011015,0.0011015,0.0011015
20,275.31,1.02514,1.13028,1.17808,0.53314,0.52418,0.52738,0.36692,0.9449,1.01325,1.11132,0.00109325,0.00109325,0.00109325
21,289.294,1.03426,1.1176,1.17144,0.52853,0.5599,0.5453,0.37812,0.95163,1.03079,1.12454,0.001085,0.001085,0.001085
22,302.88,1.03833,1.10245,1.17448,0.56334,0.56595,0.55,0.37015,0.9356,1.02129,1.11855,0.00107675,0.00107675,0.00107675
23,316.376,1.0162,1.11083,1.17232,0.55194,0.56077,0.53268,0.37758,0.9593,1.00844,1.12445,0.0010685,0.0010685,0.0010685
24,329.948,1.01301,1.06934,1.16726,0.59058,0.57552,0.57708,0.40399,0.9075,0.95705,1.10112,0.00106025,0.00106025,0.00106025
25,343.417,0.99151,1.07083,1.15749,0.5348,0.56246,0.52156,0.36625,0.91683,1.02154,1.09939,0.001052,0.001052,0.001052
26,356.966,1.00556,1.05699,1.15504,0.52392,0.56711,0.56197,0.39193,0.899,0.99602,1.09515,0.00104375,0.00104375,0.00104375
27,370.49,0.98536,1.03841,1.15638,0.61676,0.56609,0.57206,0.41652,0.89373,0.97869,1.09685,0.0010355,0.0010355,0.0010355
28,384.021,0.98291,1.03598,1.15116,0.59882,0.57875,0.57677,0.41012,0.89079,0.97675,1.08629,0.00102725,0.00102725,0.00102725
29,397.465,0.98047,1.01481,1.15555,0.61716,0.56952,0.60186,0.42637,0.90987,0.95622,1.10125,0.001019,0.001019,0.001019
30,410.922,0.9721,1.00041,1.14415,0.56402,0.58479,0.58485,0.41222,0.89989,0.97726,1.08986,0.00101075,0.00101075,0.00101075
31,424.456,0.96906,0.99953,1.15006,0.59488,0.62834,0.61579,0.4471,0.87652,0.92369,1.08738,0.0010025,0.0010025,0.0010025
32,437.933,0.96736,0.99935,1.14127,0.59241,0.57566,0.589,0.42007,0.88806,0.94059,1.08629,0.00099425,0.00099425,0.00099425
33,451.414,0.95731,0.99038,1.13546,0.60449,0.60032,0.61205,0.44678,0.86527,0.9071,1.0734,0.000986,0.000986,0.000986
34,464.9,0.93792,0.96503,1.12947,0.64696,0.60141,0.6246,0.45436,0.88929,0.92724,1.08706,0.00097775,0.00097775,0.00097775
35,478.445,0.9585,0.97791,1.14007,0.63126,0.61623,0.62551,0.44677,0.87979,0.87802,1.08331,0.0009695,0.0009695,0.0009695
36,491.975,0.94175,0.94794,1.12359,0.64339,0.58131,0.61479,0.44904,0.86047,0.92,1.07468,0.00096125,0.00096125,0.00096125
37,505.5,0.93946,0.95229,1.13517,0.62389,0.60002,0.62145,0.45631,0.86285,0.88487,1.0758,0.000953,0.000953,0.000953
38,519.386,0.93828,0.92096,1.12353,0.67996,0.58945,0.6433,0.47377,0.85722,0.86165,1.0707,0.00094475,0.00094475,0.00094475
39,533.559,0.93116,0.93083,1.13271,0.66978,0.58634,0.62923,0.47033,0.85152,0.90857,1.06755,0.0009365,0.0009365,0.0009365
40,547.037,0.90161,0.9054,1.11146,0.62581,0.60341,0.6308,0.4742,0.84032,0.8716,1.0621,0.00092825,0.00092825,0.00092825
41,560.621,0.93181,0.91089,1.11871,0.67761,0.59147,0.64136,0.47798,0.84944,0.85915,1.05738,0.00092,0.00092,0.00092
42,574.1,0.91571,0.9101,1.11679,0.67271,0.57647,0.62941,0.47199,0.84598,0.88706,1.06243,0.00091175,0.00091175,0.00091175
43,587.593,0.91008,0.90483,1.11858,0.63923,0.62194,0.63463,0.47485,0.83896,0.8547,1.0562,0.0009035,0.0009035,0.0009035
44,601.15,0.89864,0.89402,1.10644,0.70003,0.62892,0.67091,0.501,0.82951,0.82883,1.04716,0.00089525,0.00089525,0.00089525
45,614.696,0.89646,0.87198,1.09748,0.66701,0.64171,0.65846,0.4903,0.82814,0.83159,1.052,0.000887,0.000887,0.000887
46,628.143,0.88939,0.86485,1.10533,0.64105,0.63946,0.66236,0.49983,0.82469,0.82269,1.04468,0.00087875,0.00087875,0.00087875
47,641.695,0.90129,0.86439,1.11131,0.63139,0.66898,0.66837,0.49416,0.82814,0.83887,1.05833,0.0008705,0.0008705,0.0008705
48,655.156,0.89048,0.84368,1.10833,0.66555,0.5877,0.63488,0.47132,0.83467,0.83456,1.05723,0.00086225,0.00086225,0.00086225
49,668.701,0.87488,0.83884,1.09231,0.6632,0.64071,0.64937,0.48634,0.81718,0.81076,1.04448,0.000854,0.000854,0.000854
50,682.204,0.88096,0.83654,1.09891,0.68985,0.60571,0.65724,0.49183,0.81396,0.81523,1.04907,0.00084575,0.00084575,0.00084575
51,695.71,0.86801,0.82717,1.09998,0.63095,0.62633,0.64751,0.47977,0.82307,0.8502,1.0524,0.0008375,0.0008375,0.0008375
52,709.184,0.88391,0.82348,1.10001,0.65785,0.61789,0.64495,0.48369,0.84209,0.86656,1.05485,0.00082925,0.00082925,0.00082925
53,722.724,0.86878,0.82298,1.08288,0.6464,0.62594,0.64119,0.49335,0.81813,0.82687,1.04361,0.000821,0.000821,0.000821
54,736.251,0.86615,0.80692,1.08497,0.67689,0.63815,0.67097,0.51057,0.81626,0.80368,1.04761,0.00081275,0.00081275,0.00081275
55,749.81,0.87138,0.80255,1.08693,0.66533,0.62912,0.6634,0.49602,0.81631,0.81342,1.04901,0.0008045,0.0008045,0.0008045
56,763.294,0.85747,0.80614,1.09379,0.6789,0.59694,0.65142,0.49663,0.79776,0.84015,1.03677,0.00079625,0.00079625,0.00079625
57,776.798,0.86281,0.80518,1.09507,0.67563,0.61879,0.65748,0.50206,0.80632,0.82441,1.03655,0.000788,0.000788,0.000788
58,790.265,0.84512,0.78855,1.08217,0.68735,0.63377,0.67856,0.52031,0.80058,0.78742,1.03389,0.00077975,0.00077975,0.00077975
59,803.833,0.86346,0.78966,1.08813,0.68889,0.63611,0.67112,0.51621,0.79447,0.80056,1.03492,0.0007715,0.0007715,0.0007715
60,817.38,0.84741,0.77724,1.07338,0.65088,0.64682,0.65577,0.506,0.79983,0.80514,1.03679,0.00076325,0.00076325,0.00076325
61,830.897,0.84764,0.7719,1.07691,0.68238,0.62429,0.67272,0.51369,0.80491,0.79252,1.03627,0.000755,0.000755,0.000755
62,844.357,0.84357,0.77186,1.07782,0.67442,0.63991,0.66609,0.50631,0.79524,0.79464,1.03495,0.00074675,0.00074675,0.00074675
63,857.845,0.8431,0.76592,1.08084,0.64492,0.64447,0.65281,0.49616,0.80983,0.80566,1.0342,0.0007385,0.0007385,0.0007385
64,871.353,0.8357,0.76164,1.06973,0.69692,0.6333,0.6763,0.51779,0.78997,0.79024,1.03045,0.00073025,0.00073025,0.00073025
65,884.85,0.82718,0.74435,1.06749,0.67122,0.65035,0.67435,0.50927,0.79325,0.78268,1.03579,0.000722,0.000722,0.000722
66,898.389,0.84391,0.74233,1.07631,0.6598,0.67057,0.67175,0.51711,0.7953,0.80129,1.03438,0.00071375,0.00071375,0.00071375
67,911.939,0.84099,0.74454,1.07231,0.70188,0.65371,0.68048,0.53022,0.78324,0.77416,1.01977,0.0007055,0.0007055,0.0007055
68,925.814,0.82315,0.7373,1.08,0.74759,0.62459,0.68017,0.53002,0.78735,0.79913,1.02717,0.00069725,0.00069725,0.00069725
69,939.368,0.82796,0.73835,1.07156,0.72132,0.64061,0.68704,0.53068,0.78826,0.78222,1.02275,0.000689,0.000689,0.000689
70,952.884,0.82812,0.71794,1.06965,0.695,0.649,0.67567,0.52757,0.78949,0.80628,1.0359,0.00068075,0.00068075,0.00068075
71,966.36,0.8217,0.72843,1.06312,0.69274,0.64356,0.68041,0.52619,0.78805,0.78486,1.02752,0.0006725,0.0006725,0.0006725
72,979.779,0.80344,0.70713,1.05736,0.67073,0.63824,0.66476,0.51797,0.77365,0.80292,1.02505,0.00066425,0.00066425,0.00066425
73,993.254,0.81448,0.72449,1.06522,0.72294,0.63711,0.68317,0.52626,0.78165,0.77677,1.03309,0.000656,0.000656,0.000656
74,1006.72,0.80428,0.70438,1.05724,0.69728,0.63804,0.66647,0.52032,0.77903,0.77386,1.02723,0.00064775,0.00064775,0.00064775
75,1020.26,0.81803,0.71006,1.06217,0.68234,0.65171,0.67706,0.5252,0.77899,0.78124,1.02858,0.0006395,0.0006395,0.0006395
76,1033.7,0.7914,0.69374,1.05654,0.66143,0.66422,0.68581,0.53337,0.77086,0.75623,1.01837,0.00063125,0.00063125,0.00063125
77,1047.22,0.80251,0.6954,1.05638,0.6929,0.65253,0.6891,0.53864,0.76499,0.76905,1.01461,0.000623,0.000623,0.000623
78,1060.77,0.79492,0.68724,1.05123,0.70738,0.67017,0.69751,0.53811,0.77207,0.75944,1.02268,0.00061475,0.00061475,0.00061475
79,1074.23,0.7926,0.68246,1.05012,0.73398,0.62965,0.68805,0.54136,0.75553,0.75761,1.01128,0.0006065,0.0006065,0.0006065
80,1087.74,0.80458,0.68088,1.05457,0.72933,0.62381,0.68664,0.54168,0.76504,0.75828,1.01308,0.00059825,0.00059825,0.00059825
81,1101.32,0.79636,0.67009,1.04918,0.69105,0.67623,0.69667,0.54906,0.76354,0.75403,1.02023,0.00059,0.00059,0.00059
82,1114.81,0.78561,0.67489,1.05393,0.71341,0.61971,0.68286,0.5311,0.76852,0.76677,1.02132,0.00058175,0.00058175,0.00058175
83,1128.28,0.7855,0.68465,1.0599,0.68785,0.69093,0.70974,0.55162,0.76636,0.73976,1.01467,0.0005735,0.0005735,0.0005735
84,1141.76,0.77953,0.66504,1.04336,0.7133,0.64711,0.6815,0.53616,0.76373,0.77527,1.01715,0.00056525,0.00056525,0.00056525
85,1155.27,0.77859,0.66555,1.04474,0.72363,0.65148,0.69899,0.54813,0.75956,0.75814,1.01776,0.000557,0.000557,0.000557
86,1169.19,0.7806,0.66089,1.04207,0.73899,0.65391,0.70272,0.55422,0.76269,0.76101,1.01662,0.00054875,0.00054875,0.00054875
87,1182.67,0.7752,0.65151,1.04715,0.7255,0.66374,0.70919,0.55869,0.76175,0.74508,1.00839,0.0005405,0.0005405,0.0005405
88,1196.16,0.77232,0.64715,1.04383,0.74476,0.64707,0.71236,0.56046,0.76193,0.74555,1.01412,0.00053225,0.00053225,0.00053225
89,1209.7,0.77075,0.6521,1.03711,0.72234,0.66425,0.70646,0.55262,0.75947,0.74406,1.01229,0.000524,0.000524,0.000524
90,1223.17,0.77069,0.6398,1.03906,0.75489,0.64819,0.70995,0.55832,0.74989,0.73169,1.0102,0.00051575,0.00051575,0.00051575
91,1236.68,0.76107,0.63715,1.04236,0.73552,0.66515,0.70996,0.55668,0.75528,0.74533,1.01402,0.0005075,0.0005075,0.0005075
92,1250.19,0.76195,0.63058,1.03658,0.72195,0.64718,0.69532,0.54847,0.74998,0.76034,1.00773,0.00049925,0.00049925,0.00049925
93,1263.67,0.76167,0.63777,1.04612,0.7384,0.67581,0.71865,0.55944,0.75304,0.741,1.01078,0.000491,0.000491,0.000491
94,1277.14,0.75536,0.62958,1.03538,0.70174,0.69666,0.71916,0.56142,0.74485,0.73332,1.00513,0.00048275,0.00048275,0.00048275
95,1290.56,0.74779,0.62471,1.03644,0.7413,0.67518,0.71669,0.56427,0.7433,0.7207,1.00559,0.0004745,0.0004745,0.0004745
96,1304.11,0.75662,0.61543,1.02899,0.74709,0.6782,0.71841,0.56612,0.74715,0.72972,1.00731,0.00046625,0.00046625,0.00046625
97,1317.58,0.7402,0.61264,1.03007,0.68763,0.69699,0.70717,0.55796,0.74886,0.7352,1.008,0.000458,0.000458,0.000458
98,1331.08,0.75433,0.61621,1.03224,0.70549,0.68005,0.71304,0.56221,0.74406,0.73294,1.0105,0.00044975,0.00044975,0.00044975
99,1344.63,0.7507,0.6236,1.03505,0.7312,0.6857,0.71762,0.56032,0.74474,0.74006,1.00264,0.0004415,0.0004415,0.0004415
100,1358.08,0.74634,0.60737,1.03347,0.70235,0.66683,0.70482,0.557,0.74547,0.74442,1.00506,0.00043325,0.00043325,0.00043325
101,1371.55,0.7157,0.59838,1.02601,0.7153,0.69354,0.7184,0.56889,0.75219,0.73086,1.01498,0.000425,0.000425,0.000425
102,1385.02,0.73099,0.59553,1.0223,0.74246,0.67535,0.72173,0.57316,0.73884,0.74067,1.00231,0.00041675,0.00041675,0.00041675
