epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.788,2.6769,2.99239,3.40899,0.51613,0.28232,0.30017,0.14725,2.09141,2.87054,2.72984,0.000661836,0.000661836,0.000661836
2,41.7919,1.85004,1.9098,2.34161,0.52664,0.36817,0.37535,0.20402,1.67365,1.96297,2.22698,0.00131973,0.00131973,0.00131973
3,60.6964,1.68867,1.64396,2.07712,0.5451,0.44588,0.46926,0.27004,1.5014,1.78842,1.92695,0.00196883,0.00196883,0.00196883
4,79.1214,1.60495,1.4946,1.93334,0.64396,0.48728,0.53371,0.31197,1.49392,1.35865,1.91217,0.0019604,0.0019604,0.0019604
5,97.837,1.49556,1.40957,1.83419,0.65829,0.53546,0.58042,0.364,1.32294,1.36553,1.73289,0.0019472,0.0019472,0.0019472
6,116.407,1.43072,1.30136,1.75287,0.65176,0.54462,0.56182,0.34311,1.3025,1.36406,1.7296,0.001934,0.001934,0.001934
7,134.733,1.35286,1.25545,1.70175,0.66718,0.57007,0.5833,0.35117,1.2332,1.54585,1.62233,0.0019208,0.0019208,0.0019208
8,153.054,1.33175,1.20083,1.6522,0.69676,0.59077,0.63797,0.4156,1.19831,1.08778,1.59379,0.0019076,0.0019076,0.0019076
9,171.592,1.27289,1.13765,1.62873,0.76325,0.57991,0.64429,0.43714,1.18232,1.01146,1.56474,0.0018944,0.0018944,0.0018944
10,189.948,1.27987,1.12351,1.60595,0.77729,0.63522,0.70269,0.4754,1.1162,0.91689,1.49621,0.0018812,0.0018812,0.0018812
11,208.469,1.26058,1.10453,1.59237,0.75665,0.62461,0.68052,0.45382,1.15838,0.95112,1.54233,0.001868,0.001868,0.001868
12,226.813,1.23647,1.10514,1.5746,0.76688,0.62708,0.68801,0.46744,1.12164,0.92618,1.49882,0.0018548,0.0018548,0.0018548
13,245.178,1.21671,1.07851,1.569,0.7248,0.64913,0.68695,0.45579,1.09886,0.93253,1.48064,0.0018416,0.0018416,0.0018416
14,263.463,1.18394,1.03055,1.53681,0.80277,0.61147,0.69646,0.48307,1.08858,0.86737,1.46587,0.0018284,0.0018284,0.0018284
15,281.884,1.18396,1.01909,1.52042,0.76926,0.63579,0.69346,0.48613,1.05008,0.92463,1.42331,0.0018152,0.0018152,0.0018152
16,300.362,1.16469,1.00551,1.50547,0.80307,0.63285,0.7169,0.50156,1.04122,0.85641,1.41842,0.001802,0.001802,0.001802
17,318.738,1.15577,0.99473,1.48772,0.79402,0.62979,0.72267,0.51277,1.02032,0.82369,1.4063,0.0017888,0.0017888,0.0017888
18,337.064,1.14806,0.9842,1.49316,0.79343,0.65728,0.70733,0.50019,1.00716,0.85671,1.4078,0.0017756,0.0017756,0.0017756
19,355.613,1.11219,0.93722,1.46551,0.78805,0.64343,0.72845,0.51618,0.98285,0.82226,1.38182,0.0017624,0.0017624,0.0017624
20,374.483,1.11126,0.94243,1.45984,0.77637,0.63251,0.70039,0.49964,1.00634,0.8169,1.38948,0.0017492,0.0017492,0.0017492
21,393.582,1.09844,0.92173,1.42485,0.78974,0.67804,0.75378,0.52419,0.96495,0.79981,1.35808,0.001736,0.001736,0.001736
22,412.132,1.10666,0.91598,1.42336,0.7873,0.69868,0.77639,0.53921,0.98777,0.76072,1.38357,0.0017228,0.0017228,0.0017228
