epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5239,1.54428,2.41465,1.52258,0.50506,0.43536,0.43065,0.23907,1.51549,2.48025,1.53563,0.000661836,0.000661836,0.000661836
2,27.7098,1.43666,1.75909,1.45025,0.60439,0.43909,0.47386,0.28114,1.44497,2.25594,1.48259,0.00131973,0.00131973,0.00131973
3,39.466,1.44266,1.60413,1.46122,0.53891,0.4547,0.45248,0.25242,1.55384,1.8379,1.60477,0.00196883,0.00196883,0.00196883
4,51.2043,1.43053,1.47373,1.43275,0.6562,0.46725,0.51416,0.3105,1.37113,1.5522,1.44312,0.0019604,0.0019604,0.0019604
5,62.8686,1.36047,1.38175,1.40523,0.59361,0.55786,0.54542,0.31199,1.33996,1.60674,1.38969,0.0019472,0.0019472,0.0019472
6,74.5387,1.32013,1.29708,1.36257,0.68577,0.55989,0.60387,0.3762,1.2684,1.38274,1.36186,0.001934,0.001934,0.001934
7,86.1156,1.26984,1.23537,1.33552,0.73484,0.58806,0.63944,0.41401,1.16395,1.16704,1.29865,0.0019208,0.0019208,0.0019208
8,97.7416,1.24474,1.1808,1.313,0.73173,0.55989,0.62871,0.41872,1.16886,1.17126,1.27777,0.0019076,0.0019076,0.0019076
9,109.347,1.20302,1.12517,1.29462,0.7772,0.5867,0.64853,0.43841,1.16851,1.10816,1.30509,0.0018944,0.0018944,0.0018944
10,120.986,1.205,1.10816,1.28143,0.7436,0.59722,0.65558,0.42487,1.15446,1.06943,1.26615,0.0018812,0.0018812,0.0018812
11,132.599,1.18527,1.09067,1.2677,0.74382,0.61181,0.65672,0.44561,1.11315,1.02258,1.24533,0.001868,0.001868,0.001868
12,144.223,1.17284,1.07093,1.26636,0.75002,0.63047,0.69874,0.4633,1.10097,1.07843,1.22714,0.0018548,0.0018548,0.0018548
13,155.81,1.15701,1.06695,1.26609,0.79917,0.63869,0.72507,0.48465,1.0739,0.91105,1.19844,0.0018416,0.0018416,0.0018416
14,167.375,1.12585,1.01089,1.24173,0.78834,0.63488,0.69847,0.47393,1.06036,0.9222,1.20761,0.0018284,0.0018284,0.0018284
15,179.206,1.1249,1.00358,1.23836,0.7672,0.6553,0.71819,0.48335,1.04718,0.9345,1.19458,0.0018152,0.0018152,0.0018152
16,190.731,1.11579,0.99734,1.23976,0.81761,0.62674,0.71452,0.49504,1.04425,0.91345,1.18306,0.001802,0.001802,0.001802
17,202.775,1.09811,0.98393,1.22156,0.81586,0.64269,0.72431,0.51361,1.02079,0.86635,1.16881,0.0017888,0.0017888,0.0017888
18,214.329,1.10363,0.95775,1.22516,0.75857,0.64303,0.6965,0.48525,1.01622,0.9576,1.17563,0.0017756,0.0017756,0.0017756
19,225.941,1.06923,0.92511,1.20696,0.80477,0.63828,0.70314,0.49652,1.039,0.89389,1.1753,0.0017624,0.0017624,0.0017624
20,237.702,1.06298,0.91447,1.19662,0.79811,0.66669,0.72894,0.51099,0.99939,0.87477,1.16307,0.0017492,0.0017492,0.0017492
21,249.449,1.06173,0.89907,1.18352,0.82465,0.64469,0.71393,0.497,0.99427,0.87927,1.15392,0.001736,0.001736,0.001736
22,261.089,1.06764,0.89817,1.18744,0.79267,0.71352,0.78646,0.55421,0.97239,0.77307,1.13239,0.0017228,0.0017228,0.0017228
23,272.728,1.05246,0.91118,1.1861,0.8044,0.65726,0.7371,0.5133,1.02785,0.8166,1.17413,0.0017096,0.0017096,0.0017096
24,284.35,1.04092,0.87109,1.17711,0.80993,0.66203,0.72839,0.52297,0.9829,0.82053,1.15191,0.0016964,0.0016964,0.0016964
25,295.961,1.02091,0.8686,1.17075,0.83408,0.65931,0.73794,0.53583,0.95326,0.79424,1.11996,0.0016832,0.0016832,0.0016832
26,307.586,1.02618,0.87637,1.16782,0.84046,0.67032,0.77014,0.55125,0.946,0.78534,1.12416,0.00167,0.00167,0.00167
27,319.223,1.00349,0.84897,1.16365,0.84059,0.65848,0.75457,0.53625,0.97377,0.79286,1.1384,0.0016568,0.0016568,0.0016568
28,330.865,1.01492,0.85916,1.16306,0.83839,0.67628,0.77954,0.5557,0.94347,0.76031,1.10607,0.0016436,0.0016436,0.0016436
29,342.485,1.01067,0.84123,1.16764,0.87259,0.65538,0.74706,0.54251,0.95169,0.78235,1.12564,0.0016304,0.0016304,0.0016304
30,354.083,1.01153,0.83786,1.15534,0.86525,0.65389,0.75368,0.55232,0.93374,0.77925,1.10445,0.0016172,0.0016172,0.0016172
31,365.703,1.01133,0.83022,1.1579,0.83337,0.71956,0.80687,0.58077,0.90959,0.72264,1.0945,0.001604,0.001604,0.001604
32,377.294,1.00113,0.82736,1.14962,0.84914,0.6742,0.7701,0.56357,0.91197,0.75375,1.09298,0.0015908,0.0015908,0.0015908
33,388.953,0.98561,0.82027,1.14347,0.8506,0.66407,0.76712,0.55948,0.92971,0.7597,1.09565,0.0015776,0.0015776,0.0015776
34,400.525,0.96256,0.80356,1.13955,0.85478,0.67221,0.76205,0.56184,0.91638,0.76308,1.09964,0.0015644,0.0015644,0.0015644
35,412.235,0.97406,0.80077,1.13851,0.83632,0.70309,0.78542,0.57187,0.89083,0.7323,1.07823,0.0015512,0.0015512,0.0015512
36,424.069,0.97316,0.79339,1.12867,0.83716,0.73023,0.80731,0.58194,0.88819,0.71347,1.07361,0.001538,0.001538,0.001538
37,435.84,0.97197,0.80076,1.14387,0.84284,0.69519,0.78896,0.58803,0.88017,0.70139,1.06983,0.0015248,0.0015248,0.0015248
38,447.462,0.95787,0.77314,1.12485,0.87164,0.67832,0.78306,0.57898,0.88512,0.72084,1.07549,0.0015116,0.0015116,0.0015116
39,459.048,0.96144,0.77845,1.13584,0.85257,0.6773,0.75483,0.56107,0.88253,0.74793,1.07633,0.0014984,0.0014984,0.0014984
40,470.626,0.94473,0.76258,1.12494,0.85836,0.68646,0.78567,0.58616,0.87076,0.70884,1.05665,0.0014852,0.0014852,0.0014852
41,482.448,0.95887,0.75934,1.12084,0.83693,0.70071,0.78032,0.5732,0.88658,0.69818,1.06765,0.001472,0.001472,0.001472
42,494.113,0.94728,0.7602,1.1237,0.85971,0.70207,0.79679,0.58676,0.86858,0.68926,1.05692,0.0014588,0.0014588,0.0014588
43,505.755,0.93808,0.76629,1.12341,0.85477,0.69359,0.79597,0.58786,0.87103,0.69402,1.05919,0.0014456,0.0014456,0.0014456
44,517.405,0.93346,0.75325,1.11504,0.84695,0.71293,0.80306,0.60012,0.8511,0.66868,1.05205,0.0014324,0.0014324,0.0014324
45,529.078,0.93632,0.73434,1.10472,0.81571,0.76552,0.82462,0.60494,0.85884,0.67445,1.05549,0.0014192,0.0014192,0.0014192
46,540.616,0.91826,0.73184,1.112,0.85709,0.7001,0.80724,0.60156,0.85976,0.6679,1.05676,0.001406,0.001406,0.001406
47,552.236,0.93211,0.73344,1.1173,0.83532,0.75559,0.83317,0.60453,0.8599,0.6686,1.05186,0.0013928,0.0013928,0.0013928
48,563.789,0.9137,0.71568,1.10447,0.87385,0.70682,0.80435,0.59619,0.83948,0.66613,1.04053,0.0013796,0.0013796,0.0013796
49,575.42,0.90851,0.71402,1.09966,0.85709,0.69195,0.78277,0.57882,0.86014,0.68821,1.05124,0.0013664,0.0013664,0.0013664
50,587.032,0.90115,0.70857,1.09718,0.85306,0.76043,0.83208,0.61236,0.84128,0.63353,1.04868,0.0013532,0.0013532,0.0013532
51,598.656,0.89799,0.70855,1.10491,0.86441,0.70478,0.79223,0.59419,0.83348,0.67505,1.03178,0.00134,0.00134,0.00134
52,610.218,0.90558,0.70981,1.10057,0.8697,0.70207,0.80827,0.59591,0.84826,0.66167,1.04534,0.0013268,0.0013268,0.0013268
53,621.925,0.90141,0.70406,1.08681,0.86802,0.71639,0.81876,0.60924,0.83695,0.64303,1.03421,0.0013136,0.0013136,0.0013136
54,633.52,0.88985,0.69882,1.08446,0.86597,0.72175,0.82125,0.60948,0.84816,0.6277,1.04177,0.0013004,0.0013004,0.0013004
55,645.132,0.90621,0.70418,1.09463,0.88097,0.72327,0.82523,0.61693,0.8248,0.62822,1.03947,0.0012872,0.0012872,0.0012872
56,656.704,0.89095,0.70034,1.09657,0.8637,0.71496,0.8155,0.60888,0.8363,0.64489,1.03254,0.001274,0.001274,0.001274
