epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3216,2.67965,3.04497,3.45986,0.51595,0.30981,0.33456,0.16706,1.998,2.52664,2.76302,0.000661836,0.000661836,0.000661836
2,39.5584,1.87367,1.93127,2.38899,0.36454,0.25416,0.22349,0.11847,1.77739,3.41155,2.34726,0.00131973,0.00131973,0.00131973
3,57.8638,1.70071,1.671,2.12695,0.61717,0.46007,0.49741,0.28902,1.52601,1.55619,1.96548,0.00196883,0.00196883,0.00196883
4,75.7817,1.63006,1.50624,1.98279,0.59784,0.46013,0.50678,0.30333,1.43526,2.0206,1.85471,0.0019604,0.0019604,0.0019604
5,93.498,1.51399,1.43764,1.87216,0.6401,0.51058,0.54262,0.33048,1.40791,1.34671,1.83026,0.0019472,0.0019472,0.0019472
6,111.253,1.45439,1.32587,1.79394,0.70907,0.5341,0.58914,0.37096,1.31589,1.21289,1.71916,0.001934,0.001934,0.001934
7,129.012,1.37978,1.27955,1.73647,0.68446,0.56193,0.60264,0.37934,1.23833,1.41066,1.6287,0.0019208,0.0019208,0.0019208
8,146.771,1.35303,1.22587,1.68654,0.75378,0.55277,0.61997,0.41348,1.22838,1.09448,1.62814,0.0019076,0.0019076,0.0019076
9,164.538,1.30251,1.16255,1.66114,0.7268,0.54937,0.61544,0.40939,1.25618,1.07757,1.62519,0.0018944,0.0018944,0.0018944
10,182.301,1.30736,1.15275,1.64634,0.7621,0.63319,0.69362,0.45534,1.15818,0.97366,1.54447,0.0018812,0.0018812,0.0018812
11,200.107,1.27469,1.11376,1.61876,0.74646,0.65626,0.70089,0.46789,1.12687,0.96527,1.5093,0.001868,0.001868,0.001868
12,217.918,1.25119,1.11736,1.59713,0.7515,0.63183,0.68385,0.46507,1.11274,1.0016,1.49352,0.0018548,0.0018548,0.0018548
13,235.658,1.23194,1.10136,1.58874,0.75546,0.62165,0.6786,0.47059,1.08763,0.89268,1.47681,0.0018416,0.0018416,0.0018416
14,253.422,1.20683,1.0431,1.56931,0.73078,0.63963,0.68806,0.47654,1.07155,0.89502,1.48339,0.0018284,0.0018284,0.0018284
15,271.265,1.2125,1.04776,1.56068,0.77521,0.63776,0.70565,0.49603,1.05525,0.87775,1.46703,0.0018152,0.0018152,0.0018152
16,288.975,1.18009,1.02747,1.53752,0.81023,0.6302,0.70877,0.49344,1.07398,0.86188,1.45398,0.001802,0.001802,0.001802
17,306.724,1.1833,1.01777,1.52356,0.78994,0.63624,0.70382,0.49554,1.04629,0.86056,1.43069,0.0017888,0.0017888,0.0017888
18,324.419,1.16718,0.99175,1.51752,0.80171,0.63108,0.6986,0.49459,1.04067,0.8591,1.45843,0.0017756,0.0017756,0.0017756
19,342.183,1.1435,0.95748,1.50836,0.82703,0.63319,0.72179,0.49592,1.05928,0.82674,1.43192,0.0017624,0.0017624,0.0017624
20,360.044,1.13671,0.95558,1.49643,0.81783,0.63081,0.7029,0.50023,1.01516,0.82756,1.42698,0.0017492,0.0017492,0.0017492
21,378.584,1.11617,0.94075,1.45809,0.80272,0.6359,0.71172,0.49895,1.01963,0.86981,1.41115,0.001736,0.001736,0.001736
22,396.145,1.12521,0.93165,1.45106,0.82504,0.66305,0.76185,0.53362,0.98576,0.76447,1.38872,0.0017228,0.0017228,0.0017228
23,413.664,1.09865,0.9288,1.45456,0.82347,0.62878,0.72505,0.5094,1.00975,0.80225,1.38142,0.0017096,0.0017096,0.0017096
24,431.27,1.0972,0.89855,1.44684,0.82327,0.6402,0.71614,0.52814,0.96275,0.77775,1.35731,0.0016964,0.0016964,0.0016964
25,448.726,1.06817,0.89344,1.4388,0.821,0.66916,0.75465,0.53176,0.95723,0.75852,1.34735,0.0016832,0.0016832,0.0016832
26,466.254,1.07398,0.88298,1.42168,0.83152,0.69393,0.77496,0.55531,0.94164,0.73202,1.33469,0.00167,0.00167,0.00167
27,483.851,1.05113,0.86964,1.42298,0.82913,0.68003,0.75966,0.54415,0.94963,0.73894,1.34649,0.0016568,0.0016568,0.0016568
28,501.329,1.05644,0.87646,1.41938,0.82831,0.681,0.75024,0.54181,0.94063,0.76418,1.33663,0.0016436,0.0016436,0.0016436
29,518.849,1.06215,0.8661,1.42103,0.84497,0.67692,0.76766,0.56053,0.9311,0.72826,1.33415,0.0016304,0.0016304,0.0016304
30,536.347,1.04239,0.83862,1.40081,0.82847,0.68171,0.74949,0.5542,0.92796,0.7348,1.32658,0.0016172,0.0016172,0.0016172
31,553.963,1.04591,0.85227,1.40928,0.83351,0.69649,0.78557,0.55955,0.92533,0.69133,1.33673,0.001604,0.001604,0.001604
32,571.439,1.04284,0.85685,1.39973,0.85279,0.65459,0.75256,0.55099,0.92486,0.73255,1.31198,0.0015908,0.0015908,0.0015908
33,588.899,1.02687,0.84823,1.39156,0.83473,0.70096,0.79073,0.57518,0.91358,0.67696,1.30566,0.0015776,0.0015776,0.0015776
34,606.415,1.00474,0.82436,1.38481,0.82929,0.71225,0.7906,0.56733,0.91295,0.70308,1.29579,0.0015644,0.0015644,0.0015644
35,623.951,1.01092,0.83874,1.37654,0.81351,0.6963,0.78346,0.57497,0.88105,0.70077,1.28654,0.0015512,0.0015512,0.0015512
36,641.495,1.00231,0.81766,1.35971,0.83693,0.67798,0.77943,0.57311,0.89569,0.68356,1.29741,0.001538,0.001538,0.001538
37,659.004,1.00395,0.81431,1.37937,0.82961,0.74014,0.81208,0.59022,0.88422,0.63621,1.28616,0.0015248,0.0015248,0.0015248
38,676.574,0.99258,0.77478,1.35944,0.80511,0.72413,0.80533,0.58256,0.89649,0.70898,1.29673,0.0015116,0.0015116,0.0015116
39,694.127,0.98576,0.79439,1.36027,0.86214,0.66632,0.75484,0.56028,0.89598,0.69588,1.29262,0.0014984,0.0014984,0.0014984
40,711.541,0.96148,0.77561,1.34835,0.82638,0.70377,0.77657,0.57507,0.88295,0.67278,1.27717,0.0014852,0.0014852,0.0014852
41,729.177,0.98878,0.77778,1.34381,0.84969,0.69087,0.77908,0.57977,0.87254,0.67674,1.26802,0.001472,0.001472,0.001472
42,746.655,0.9828,0.76627,1.35683,0.84707,0.70667,0.79758,0.5917,0.86793,0.64831,1.26709,0.0014588,0.0014588,0.0014588
43,764.194,0.96633,0.7769,1.34984,0.84277,0.71802,0.80609,0.5894,0.86103,0.65004,1.25599,0.0014456,0.0014456,0.0014456
44,781.808,0.95896,0.77558,1.33753,0.83055,0.71123,0.7881,0.58678,0.86948,0.65701,1.27186,0.0014324,0.0014324,0.0014324
45,799.391,0.94881,0.75614,1.31959,0.85409,0.70314,0.79247,0.59077,0.85704,0.65141,1.25839,0.0014192,0.0014192,0.0014192
46,816.921,0.94272,0.75,1.32903,0.85552,0.70716,0.80326,0.59996,0.84479,0.63886,1.25264,0.001406,0.001406,0.001406
47,834.59,0.94867,0.74656,1.32528,0.83736,0.73373,0.80788,0.59415,0.85674,0.65163,1.25544,0.0013928,0.0013928,0.0013928
48,852.319,0.94034,0.73426,1.32891,0.87471,0.69155,0.79594,0.59754,0.83984,0.64907,1.25338,0.0013796,0.0013796,0.0013796
49,869.975,0.92979,0.72731,1.31676,0.86836,0.69766,0.7984,0.58823,0.84286,0.64827,1.24849,0.0013664,0.0013664,0.0013664
50,887.5,0.92636,0.72078,1.31221,0.83813,0.74144,0.81718,0.60482,0.84482,0.62638,1.24717,0.0013532,0.0013532,0.0013532
51,905.067,0.91999,0.72612,1.31601,0.86501,0.69223,0.80238,0.59585,0.84242,0.63357,1.2427,0.00134,0.00134,0.00134
