epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5514,2.78043,3.12154,3.49781,0.31728,0.19579,0.18803,0.08164,2.10167,3.02852,2.74241,0.000661836,0.000661836,0.000661836
2,33.9966,1.92893,2.03452,2.36555,0.4484,0.37631,0.35868,0.20267,1.67593,2.44013,2.08797,0.00131973,0.00131973,0.00131973
3,49.2261,1.72018,1.69605,2.00485,0.52499,0.43875,0.4204,0.2168,1.69167,2.14109,1.9485,0.00196883,0.00196883,0.00196883
4,64.4145,1.61902,1.52077,1.83476,0.6396,0.49746,0.54196,0.31016,1.4699,1.39297,1.6746,0.0019604,0.0019604,0.0019604
5,79.5052,1.51721,1.45125,1.72587,0.69861,0.53376,0.57016,0.34718,1.32446,1.35793,1.54842,0.0019472,0.0019472,0.0019472
6,94.5572,1.45,1.33656,1.63643,0.61623,0.48694,0.52268,0.32104,1.41993,1.39682,1.66142,0.001934,0.001934,0.001934
7,109.636,1.37594,1.28826,1.59348,0.68821,0.57448,0.60158,0.37191,1.23719,1.30271,1.48328,0.0019208,0.0019208,0.0019208
8,124.752,1.36327,1.22898,1.54941,0.72424,0.56634,0.62151,0.38942,1.28809,1.2071,1.50754,0.0019076,0.0019076,0.0019076
9,139.828,1.316,1.17858,1.52693,0.77812,0.57754,0.65179,0.42418,1.22106,1.05557,1.45702,0.0018944,0.0018944,0.0018944
10,154.902,1.31217,1.15792,1.49979,0.77167,0.61317,0.6878,0.45426,1.16738,0.97649,1.39508,0.0018812,0.0018812,0.0018812
11,170.016,1.28292,1.13634,1.48282,0.74229,0.61769,0.66767,0.44538,1.13417,1.01645,1.3802,0.001868,0.001868,0.001868
12,185.056,1.24762,1.11831,1.45015,0.75662,0.61452,0.68189,0.45697,1.11701,0.97417,1.35807,0.0018548,0.0018548,0.0018548
13,200.123,1.24476,1.11333,1.45366,0.78809,0.56362,0.64911,0.44226,1.11603,0.96189,1.33497,0.0018416,0.0018416,0.0018416
14,215.334,1.19834,1.04585,1.41281,0.77412,0.61249,0.67937,0.4746,1.08123,0.92213,1.32343,0.0018284,0.0018284,0.0018284
15,230.451,1.2146,1.04824,1.41521,0.76169,0.61279,0.6828,0.4702,1.10423,0.95227,1.34828,0.0018152,0.0018152,0.0018152
16,245.484,1.18679,1.03586,1.39929,0.78132,0.63047,0.71326,0.49227,1.08156,0.90825,1.30358,0.001802,0.001802,0.001802
17,260.6,1.17885,1.01545,1.38721,0.77116,0.69936,0.75241,0.5142,1.03473,0.81702,1.28437,0.0017888,0.0017888,0.0017888
18,275.635,1.16962,1.01244,1.3809,0.81802,0.63047,0.71553,0.50431,1.02658,0.85194,1.275,0.0017756,0.0017756,0.0017756
19,290.71,1.14551,0.96544,1.3649,0.79361,0.64201,0.71255,0.50071,1.02697,0.81828,1.26053,0.0017624,0.0017624,0.0017624
20,305.951,1.13363,0.97715,1.35336,0.78012,0.68103,0.76268,0.52494,1.00801,0.80636,1.23432,0.0017492,0.0017492,0.0017492
21,321.383,1.14076,0.94458,1.33743,0.82078,0.6247,0.70442,0.4929,1.00936,0.86486,1.25451,0.001736,0.001736,0.001736
22,336.5,1.13894,0.9413,1.32811,0.81415,0.68232,0.77006,0.53879,0.989,0.77083,1.2376,0.0017228,0.0017228,0.0017228
23,351.565,1.10289,0.93577,1.32418,0.78499,0.67153,0.7355,0.49933,1.0424,0.81187,1.24824,0.0017096,0.0017096,0.0017096
24,366.677,1.10595,0.90647,1.313,0.81276,0.62979,0.71274,0.51445,0.97678,0.83223,1.22358,0.0016964,0.0016964,0.0016964
25,381.671,1.07625,0.90221,1.30604,0.8115,0.67017,0.76195,0.53226,0.9879,0.81,1.22364,0.0016832,0.0016832,0.0016832
26,396.761,1.08671,0.90184,1.3027,0.78996,0.66617,0.7341,0.52259,0.98196,0.8204,1.22911,0.00167,0.00167,0.00167
27,411.837,1.0608,0.88621,1.2965,0.82935,0.66271,0.74666,0.54625,0.92683,0.76921,1.18605,0.0016568,0.0016568,0.0016568
28,426.92,1.0761,0.88834,1.29559,0.81545,0.67621,0.76668,0.54531,0.94318,0.77363,1.18642,0.0016436,0.0016436,0.0016436
29,441.938,1.06829,0.88231,1.2926,0.82881,0.67357,0.7548,0.54694,0.95771,0.75001,1.2124,0.0016304,0.0016304,0.0016304
30,456.954,1.05615,0.86513,1.28304,0.86235,0.66112,0.75209,0.5505,0.93138,0.75801,1.17048,0.0016172,0.0016172,0.0016172
