epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4801,1.22547,2.74178,1.86179,0.36262,0.51065,0.45292,0.29964,1.08059,1.57479,1.75024,0.000413647,0.000413647,0.000413647
2,26.7823,1.17176,1.58278,1.72414,0.4604,0.54017,0.50471,0.32269,1.14429,1.33427,1.74516,0.000824834,0.000824834,0.000824834
3,38.8062,1.1674,1.37348,1.76612,0.43337,0.62455,0.51632,0.33117,1.0938,1.27405,1.74373,0.00123052,0.00123052,0.00123052
4,50.8391,1.14416,1.29199,1.74162,0.50525,0.58852,0.5443,0.35479,1.07843,1.18903,1.73746,0.00122525,0.00122525,0.00122525
5,62.8212,1.11789,1.24125,1.75251,0.51354,0.62931,0.55105,0.3609,1.07757,1.16956,1.69435,0.001217,0.001217,0.001217
6,74.8351,1.08877,1.17653,1.7227,0.52255,0.55017,0.53532,0.35408,1.0398,1.18159,1.66955,0.00120875,0.00120875,0.00120875
7,86.858,1.0864,1.13408,1.71232,0.48159,0.61825,0.56771,0.38333,1.0076,1.10476,1.66286,0.0012005,0.0012005,0.0012005
8,98.9536,1.08693,1.11382,1.70241,0.58851,0.62282,0.60385,0.40773,1.00327,1.07299,1.72597,0.00119225,0.00119225,0.00119225
9,110.992,1.03845,1.09813,1.68826,0.57317,0.62314,0.61612,0.4264,0.99377,1.05573,1.62469,0.001184,0.001184,0.001184
10,122.985,1.03699,1.05909,1.65809,0.60602,0.61936,0.61372,0.42911,0.97426,1.04801,1.6309,0.00117575,0.00117575,0.00117575
11,135.024,1.04843,1.06593,1.68418,0.59889,0.62345,0.62101,0.43868,0.94602,1.0331,1.61077,0.0011675,0.0011675,0.0011675
12,147.022,1.01824,1.01442,1.64743,0.61181,0.61492,0.64361,0.4516,0.94091,1.02449,1.5848,0.00115925,0.00115925,0.00115925
13,158.972,1.01052,1.00963,1.67902,0.62472,0.60568,0.64667,0.44993,0.93892,1.05488,1.5883,0.001151,0.001151,0.001151
14,170.962,0.99847,0.9885,1.6488,0.63853,0.61518,0.64216,0.45361,0.93093,1.00338,1.55468,0.00114275,0.00114275,0.00114275
15,182.979,0.99346,0.98066,1.62162,0.60517,0.65395,0.65543,0.45309,0.92716,1.01656,1.55768,0.0011345,0.0011345,0.0011345
16,195.01,0.9873,0.96915,1.60074,0.61444,0.66566,0.65778,0.4593,0.93259,0.99128,1.53815,0.00112625,0.00112625,0.00112625
17,207.066,0.97469,0.92594,1.58197,0.62899,0.64981,0.64576,0.456,0.93302,0.98642,1.55178,0.001118,0.001118,0.001118
18,219.034,0.9759,0.93637,1.59593,0.65105,0.64327,0.66537,0.47282,0.93301,0.96717,1.57634,0.00110975,0.00110975,0.00110975
19,231.031,0.96088,0.90568,1.59767,0.64566,0.68081,0.68947,0.49304,0.90412,0.94887,1.55171,0.0011015,0.0011015,0.0011015
20,243.037,0.96253,0.90503,1.59265,0.73282,0.65349,0.71228,0.51171,0.89665,0.91174,1.50629,0.00109325,0.00109325,0.00109325
21,255.106,0.94345,0.89456,1.5714,0.72978,0.68221,0.73132,0.52052,0.89323,0.89923,1.48046,0.001085,0.001085,0.001085
22,267.159,0.95015,0.87408,1.5707,0.67846,0.67812,0.69915,0.50501,0.90586,0.92215,1.50568,0.00107675,0.00107675,0.00107675
23,279.247,0.94457,0.87396,1.55547,0.68144,0.66068,0.68246,0.48933,0.90658,0.94794,1.5061,0.0010685,0.0010685,0.0010685
24,291.35,0.93647,0.86124,1.54483,0.73109,0.62948,0.70397,0.50924,0.88459,0.91102,1.45613,0.00106025,0.00106025,0.00106025
25,303.412,0.92862,0.86522,1.56662,0.68208,0.68558,0.70016,0.5149,0.88125,0.90381,1.4621,0.001052,0.001052,0.001052
26,315.502,0.93768,0.84385,1.54983,0.72719,0.66745,0.72353,0.52152,0.8804,0.88182,1.50396,0.00104375,0.00104375,0.00104375
27,327.609,0.92389,0.8408,1.54907,0.72356,0.68151,0.71576,0.52671,0.88873,0.89343,1.49193,0.0010355,0.0010355,0.0010355
28,339.717,0.92335,0.84827,1.54646,0.72636,0.67772,0.71955,0.52155,0.86299,0.88094,1.49,0.00102725,0.00102725,0.00102725
29,351.817,0.92207,0.84115,1.52595,0.7179,0.69504,0.72203,0.53118,0.89145,0.88307,1.4916,0.001019,0.001019,0.001019
30,363.956,0.91858,0.83061,1.55075,0.71275,0.6919,0.72444,0.53231,0.89306,0.89142,1.46346,0.00101075,0.00101075,0.00101075
31,376.038,0.9022,0.81394,1.52723,0.70982,0.68833,0.71842,0.53271,0.85793,0.87059,1.4634,0.0010025,0.0010025,0.0010025
32,388.099,0.89298,0.81488,1.51165,0.73446,0.64648,0.71721,0.53523,0.84874,0.90435,1.46343,0.00099425,0.00099425,0.00099425
33,400.197,0.89864,0.79237,1.53042,0.73491,0.68619,0.71866,0.54109,0.84791,0.87893,1.45105,0.000986,0.000986,0.000986
34,412.342,0.88611,0.78396,1.51678,0.77068,0.66833,0.73676,0.53889,0.84375,0.86134,1.46332,0.00097775,0.00097775,0.00097775
35,424.406,0.89408,0.79347,1.51373,0.73159,0.66154,0.71661,0.52876,0.84204,0.87129,1.43495,0.0009695,0.0009695,0.0009695
36,436.547,0.88016,0.772,1.48845,0.69186,0.68732,0.71225,0.53369,0.83615,0.89415,1.45962,0.00096125,0.00096125,0.00096125
37,448.62,0.88221,0.78336,1.5035,0.73602,0.69589,0.7463,0.56297,0.84201,0.85121,1.42438,0.000953,0.000953,0.000953
38,460.826,0.88621,0.76938,1.51156,0.74886,0.6841,0.74298,0.56104,0.83271,0.84921,1.43786,0.00094475,0.00094475,0.00094475
39,472.962,0.87603,0.75969,1.48185,0.67729,0.70118,0.72611,0.55179,0.83573,0.88242,1.46219,0.0009365,0.0009365,0.0009365
40,485.089,0.87286,0.76666,1.50535,0.71513,0.72632,0.74896,0.55217,0.83629,0.84333,1.44574,0.00092825,0.00092825,0.00092825
41,497.263,0.86327,0.74534,1.47331,0.71504,0.70123,0.72808,0.54585,0.8193,0.85261,1.41655,0.00092,0.00092,0.00092
42,509.369,0.86635,0.74904,1.48514,0.71259,0.70226,0.7445,0.56618,0.83954,0.84781,1.42921,0.00091175,0.00091175,0.00091175
43,521.431,0.85562,0.73723,1.48276,0.72699,0.71337,0.74688,0.56325,0.82316,0.84471,1.42442,0.0009035,0.0009035,0.0009035
44,533.545,0.85181,0.74009,1.47626,0.72393,0.68332,0.73215,0.56199,0.81318,0.84692,1.42529,0.00089525,0.00089525,0.00089525
45,545.679,0.85649,0.73666,1.48822,0.70952,0.69596,0.73343,0.54982,0.83148,0.86449,1.45455,0.000887,0.000887,0.000887
46,557.833,0.85365,0.72228,1.45731,0.7371,0.70623,0.74458,0.56592,0.81407,0.82958,1.4368,0.00087875,0.00087875,0.00087875
47,569.931,0.84752,0.71128,1.4843,0.76195,0.70439,0.75401,0.57471,0.80813,0.80792,1.42899,0.0008705,0.0008705,0.0008705
48,582.068,0.84616,0.71476,1.47046,0.75056,0.69747,0.74399,0.56663,0.81606,0.84343,1.42971,0.00086225,0.00086225,0.00086225
49,594.29,0.85203,0.72172,1.46253,0.75335,0.71705,0.76141,0.58071,0.81692,0.83326,1.42827,0.000854,0.000854,0.000854
50,606.375,0.84704,0.71702,1.46051,0.73474,0.70174,0.75358,0.57007,0.80386,0.83677,1.44673,0.00084575,0.00084575,0.00084575
51,618.464,0.82729,0.69946,1.46405,0.77439,0.69151,0.7532,0.58158,0.79956,0.83109,1.41432,0.0008375,0.0008375,0.0008375
52,630.567,0.83016,0.69913,1.45214,0.75465,0.69837,0.75764,0.57754,0.79905,0.81343,1.41205,0.00082925,0.00082925,0.00082925
53,642.677,0.83796,0.69752,1.46138,0.75839,0.67662,0.73899,0.56881,0.79966,0.83946,1.43681,0.000821,0.000821,0.000821
54,654.721,0.82665,0.69815,1.44916,0.74111,0.68718,0.73097,0.55318,0.81679,0.84587,1.3997,0.00081275,0.00081275,0.00081275
55,666.875,0.83779,0.69447,1.43662,0.7694,0.69807,0.74828,0.57342,0.81321,0.8093,1.40473,0.0008045,0.0008045,0.0008045
56,678.942,0.82304,0.68584,1.45023,0.75567,0.7062,0.7604,0.58536,0.80346,0.81649,1.39853,0.00079625,0.00079625,0.00079625
57,691.035,0.82358,0.68982,1.4518,0.74352,0.71378,0.75628,0.58291,0.79712,0.82274,1.39832,0.000788,0.000788,0.000788
58,703.149,0.81617,0.67692,1.4364,0.76098,0.69304,0.76018,0.58972,0.77839,0.80924,1.39186,0.00077975,0.00077975,0.00077975
59,715.263,0.81396,0.68178,1.43867,0.77733,0.68494,0.7515,0.58026,0.80186,0.8287,1.39868,0.0007715,0.0007715,0.0007715
60,727.421,0.81974,0.67353,1.45235,0.7418,0.73514,0.76474,0.59802,0.7724,0.81119,1.38785,0.00076325,0.00076325,0.00076325
61,739.602,0.80229,0.66521,1.42939,0.78432,0.70373,0.76103,0.5861,0.80224,0.80612,1.39665,0.000755,0.000755,0.000755
62,751.682,0.80939,0.66937,1.43746,0.71844,0.71055,0.74588,0.57585,0.79367,0.82398,1.38267,0.00074675,0.00074675,0.00074675
63,763.808,0.80852,0.66402,1.43857,0.7342,0.72783,0.75454,0.58248,0.77734,0.80481,1.37819,0.0007385,0.0007385,0.0007385
64,776.011,0.81431,0.65964,1.42121,0.77646,0.69535,0.75925,0.59516,0.78082,0.81133,1.36838,0.00073025,0.00073025,0.00073025
65,788.085,0.80424,0.66863,1.43137,0.76414,0.72403,0.76493,0.59385,0.77853,0.79413,1.39347,0.000722,0.000722,0.000722
66,800.155,0.79387,0.65882,1.41777,0.76146,0.71297,0.75614,0.5864,0.77904,0.80549,1.3882,0.00071375,0.00071375,0.00071375
67,812.271,0.79453,0.6551,1.42375,0.74123,0.72593,0.75906,0.59251,0.77461,0.79682,1.38334,0.0007055,0.0007055,0.0007055
68,824.359,0.78876,0.64243,1.41622,0.77427,0.70772,0.75914,0.59638,0.76755,0.79084,1.3763,0.00069725,0.00069725,0.00069725
69,836.488,0.79281,0.64094,1.42024,0.76672,0.71749,0.76761,0.60226,0.76701,0.79006,1.37136,0.000689,0.000689,0.000689
70,848.671,0.80509,0.63718,1.43002,0.76182,0.70873,0.75118,0.58825,0.77295,0.81644,1.38041,0.00068075,0.00068075,0.00068075
71,860.761,0.7944,0.64075,1.43076,0.76568,0.70795,0.75165,0.58158,0.77059,0.83286,1.368,0.0006725,0.0006725,0.0006725
72,872.913,0.78408,0.63394,1.40478,0.76112,0.68582,0.75183,0.58961,0.77485,0.8072,1.3814,0.00066425,0.00066425,0.00066425
73,885.094,0.78286,0.63673,1.41495,0.7434,0.70849,0.75128,0.59242,0.76331,0.80696,1.38089,0.000656,0.000656,0.000656
74,897.212,0.78477,0.63047,1.40329,0.7698,0.72058,0.76505,0.60067,0.77149,0.8034,1.37263,0.00064775,0.00064775,0.00064775
75,909.323,0.76361,0.61912,1.39649,0.77037,0.71851,0.76982,0.61324,0.76123,0.79409,1.35883,0.0006395,0.0006395,0.0006395
76,921.488,0.76676,0.62135,1.39734,0.78237,0.71306,0.77329,0.60945,0.76505,0.79421,1.38181,0.00063125,0.00063125,0.00063125
77,933.637,0.77969,0.62907,1.41356,0.75568,0.72375,0.7685,0.60769,0.75889,0.79221,1.35376,0.000623,0.000623,0.000623
78,945.792,0.76688,0.61171,1.39482,0.74013,0.73993,0.76403,0.60102,0.75875,0.80303,1.37519,0.00061475,0.00061475,0.00061475
79,957.933,0.76355,0.61145,1.3891,0.78125,0.70536,0.76083,0.60248,0.7583,0.79126,1.36196,0.0006065,0.0006065,0.0006065
80,970.07,0.76103,0.61731,1.41023,0.7659,0.71502,0.7593,0.5993,0.75668,0.80682,1.37965,0.00059825,0.00059825,0.00059825
81,982.236,0.771,0.61144,1.40408,0.75879,0.71626,0.75098,0.59582,0.76279,0.82448,1.36965,0.00059,0.00059,0.00059
82,994.324,0.76524,0.61067,1.40015,0.78707,0.71833,0.76762,0.6083,0.75241,0.79151,1.36352,0.00058175,0.00058175,0.00058175
83,1006.48,0.76072,0.60842,1.39062,0.77774,0.72754,0.77258,0.60876,0.76228,0.78172,1.35763,0.0005735,0.0005735,0.0005735
84,1018.58,0.76298,0.60779,1.40381,0.7543,0.72793,0.7603,0.60375,0.75074,0.7967,1.381,0.00056525,0.00056525,0.00056525
85,1030.69,0.75615,0.60005,1.40295,0.79019,0.71392,0.7693,0.61177,0.75786,0.79043,1.35494,0.000557,0.000557,0.000557
86,1042.78,0.75483,0.59486,1.38097,0.7701,0.71075,0.75912,0.60346,0.75597,0.78634,1.35112,0.00054875,0.00054875,0.00054875
87,1055.07,0.75346,0.59458,1.37862,0.77976,0.73232,0.77249,0.60817,0.75533,0.77242,1.3793,0.0005405,0.0005405,0.0005405
88,1067.2,0.74555,0.58737,1.38152,0.76713,0.71182,0.76068,0.60542,0.7485,0.79832,1.37387,0.00053225,0.00053225,0.00053225
89,1079.31,0.73811,0.5897,1.37714,0.76386,0.73134,0.76049,0.60363,0.75401,0.77378,1.35466,0.000524,0.000524,0.000524
90,1091.43,0.75075,0.59217,1.37821,0.78676,0.73497,0.77915,0.61673,0.75049,0.78119,1.36697,0.00051575,0.00051575,0.00051575
91,1103.52,0.74096,0.58342,1.39043,0.7959,0.71372,0.76709,0.61463,0.7422,0.77946,1.34397,0.0005075,0.0005075,0.0005075
92,1115.6,0.73364,0.57877,1.37928,0.78387,0.73003,0.77044,0.60917,0.74271,0.79197,1.3566,0.00049925,0.00049925,0.00049925
93,1127.79,0.74262,0.58319,1.37559,0.7923,0.71579,0.76425,0.60525,0.74621,0.79612,1.34009,0.000491,0.000491,0.000491
94,1139.93,0.73954,0.57279,1.36227,0.79494,0.70877,0.76844,0.61107,0.74021,0.78057,1.35565,0.00048275,0.00048275,0.00048275
95,1152.04,0.72866,0.57257,1.3658,0.75768,0.74112,0.77394,0.61798,0.73986,0.79111,1.36073,0.0004745,0.0004745,0.0004745
96,1164.17,0.74058,0.56842,1.37948,0.75406,0.73535,0.75953,0.60598,0.73931,0.8046,1.34649,0.00046625,0.00046625,0.00046625
97,1176.31,0.72666,0.57014,1.37175,0.74515,0.73928,0.76496,0.61085,0.73527,0.78767,1.35616,0.000458,0.000458,0.000458
98,1188.47,0.73093,0.56717,1.3667,0.77273,0.73507,0.76557,0.60895,0.73809,0.79652,1.35229,0.00044975,0.00044975,0.00044975
99,1200.59,0.72274,0.56598,1.37315,0.76828,0.71603,0.76472,0.60815,0.73756,0.78817,1.33601,0.0004415,0.0004415,0.0004415
100,1212.79,0.72907,0.56407,1.34993,0.76005,0.72894,0.76562,0.61004,0.73916,0.79827,1.35211,0.00043325,0.00043325,0.00043325
101,1224.9,0.72393,0.56246,1.35179,0.78944,0.73403,0.77291,0.61515,0.73387,0.77693,1.34131,0.000425,0.000425,0.000425
102,1237.02,0.71858,0.557,1.37601,0.75473,0.74761,0.77329,0.61736,0.74281,0.78327,1.35748,0.00041675,0.00041675,0.00041675
103,1249.18,0.72025,0.55624,1.35727,0.75989,0.74383,0.77223,0.62134,0.73647,0.78229,1.34419,0.0004085,0.0004085,0.0004085
104,1261.29,0.72155,0.56155,1.35801,0.78749,0.71413,0.76672,0.61924,0.72896,0.78748,1.33649,0.00040025,0.00040025,0.00040025
105,1273.37,0.725,0.56093,1.34161,0.7713,0.7269,0.77083,0.61561,0.73079,0.79204,1.34813,0.000392,0.000392,0.000392
106,1285.52,0.7095,0.5442,1.34064,0.78581,0.72543,0.76395,0.61078,0.73622,0.79437,1.35956,0.00038375,0.00038375,0.00038375
107,1297.58,0.70956,0.54663,1.35808,0.78339,0.72224,0.76678,0.61266,0.72936,0.79714,1.34846,0.0003755,0.0003755,0.0003755
108,1309.68,0.71039,0.5502,1.34846,0.79624,0.72258,0.77816,0.62335,0.7338,0.79898,1.34574,0.00036725,0.00036725,0.00036725
109,1321.8,0.70444,0.54357,1.34018,0.77517,0.72432,0.77166,0.61725,0.72757,0.78951,1.34206,0.000359,0.000359,0.000359
110,1333.92,0.69818,0.53941,1.34316,0.75547,0.75496,0.77112,0.61777,0.72495,0.78522,1.3481,0.00035075,0.00035075,0.00035075
