epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8731,2.68511,3.60581,2.52004,0.4407,0.25195,0.17912,0.092,1.73347,2.76164,1.74514,0.000413647,0.000413647,0.000413647
2,57.7745,1.75011,2.36454,1.7318,0.30077,0.26308,0.26739,0.15646,1.43781,1.98809,1.52663,0.000824834,0.000824834,0.000824834
3,84.1564,1.59748,2.04816,1.6041,0.31758,0.35218,0.28352,0.16419,1.41562,1.91269,1.46322,0.00123052,0.00123052,0.00123052
4,110.448,1.53652,1.81705,1.53037,0.41198,0.28792,0.3008,0.1695,1.38594,1.73991,1.44638,0.00122525,0.00122525,0.00122525
5,136.526,1.45902,1.73845,1.49467,0.3906,0.39589,0.36418,0.22389,1.2291,1.45104,1.34779,0.001217,0.001217,0.001217
6,162.38,1.40399,1.59455,1.44635,0.30405,0.35683,0.31601,0.19344,1.22449,1.52972,1.34037,0.00120875,0.00120875,0.00120875
7,188.146,1.3363,1.54154,1.41698,0.41961,0.44415,0.40476,0.25953,1.12363,1.32384,1.2586,0.0012005,0.0012005,0.0012005
8,213.927,1.33063,1.49143,1.40844,0.43666,0.43725,0.40937,0.25375,1.18167,1.33635,1.31134,0.00119225,0.00119225,0.00119225
9,239.894,1.28502,1.43949,1.37889,0.42326,0.45804,0.41694,0.26582,1.15917,1.28257,1.28679,0.001184,0.001184,0.001184
10,265.714,1.27757,1.4093,1.36763,0.46474,0.49643,0.44216,0.28546,1.10818,1.24346,1.27728,0.00117575,0.00117575,0.00117575
11,291.547,1.25585,1.37369,1.35744,0.41451,0.4926,0.42767,0.28107,1.09381,1.29473,1.25939,0.0011675,0.0011675,0.0011675
12,317.334,1.23574,1.37158,1.34795,0.39995,0.49448,0.42524,0.27994,1.0814,1.26457,1.25892,0.00115925,0.00115925,0.00115925
13,343.352,1.23037,1.35528,1.34862,0.46501,0.54063,0.48267,0.31249,1.02896,1.20278,1.20559,0.001151,0.001151,0.001151
14,369.081,1.19884,1.31139,1.332,0.49745,0.49272,0.47922,0.31854,1.0556,1.18451,1.23103,0.00114275,0.00114275,0.00114275
15,394.933,1.19897,1.28152,1.32387,0.51316,0.49694,0.48229,0.32837,1.01614,1.16078,1.20251,0.0011345,0.0011345,0.0011345
16,420.676,1.17477,1.26678,1.31732,0.45877,0.51621,0.49431,0.33496,0.99094,1.09729,1.18427,0.00112625,0.00112625,0.00112625
17,446.526,1.16656,1.24994,1.30964,0.49186,0.52923,0.49793,0.33506,1.00742,1.15708,1.19605,0.001118,0.001118,0.001118
18,472.273,1.16835,1.23411,1.3012,0.61328,0.47231,0.53674,0.36742,0.9988,1.06538,1.18285,0.00110975,0.00110975,0.00110975
19,498.31,1.14273,1.19264,1.2922,0.56624,0.56535,0.55653,0.38756,0.9773,1.05208,1.16899,0.0011015,0.0011015,0.0011015
20,524.363,1.13286,1.19603,1.27994,0.54953,0.53596,0.54432,0.3689,0.99179,1.07032,1.17633,0.00109325,0.00109325,0.00109325
21,550.52,1.13039,1.17414,1.26838,0.5849,0.55719,0.55565,0.37963,0.99105,1.05766,1.17468,0.001085,0.001085,0.001085
22,576.404,1.13737,1.15219,1.2724,0.55519,0.58974,0.58367,0.41205,0.95701,1.00437,1.15246,0.00107675,0.00107675,0.00107675
23,602.248,1.1103,1.16433,1.27137,0.57668,0.58256,0.5747,0.40457,0.94117,0.99272,1.14939,0.0010685,0.0010685,0.0010685
24,628.521,1.10941,1.11856,1.26247,0.5743,0.5686,0.56064,0.38869,0.97526,0.99612,1.16842,0.00106025,0.00106025,0.00106025
25,654.348,1.07758,1.12029,1.2496,0.52523,0.57993,0.56037,0.38425,0.93709,0.9996,1.13722,0.001052,0.001052,0.001052
26,680.507,1.08997,1.11147,1.24699,0.5758,0.57602,0.59945,0.42534,0.92827,0.97264,1.14481,0.00104375,0.00104375,0.00104375
27,706.403,1.07496,1.08697,1.25194,0.64094,0.57157,0.60298,0.43224,0.91592,0.94992,1.14117,0.0010355,0.0010355,0.0010355
28,732.241,1.06584,1.07424,1.24213,0.60252,0.5802,0.58702,0.41506,0.9285,1.00546,1.14904,0.00102725,0.00102725,0.00102725
29,758.355,1.06807,1.07637,1.24431,0.61435,0.59213,0.60126,0.4294,0.91643,0.95392,1.131,0.001019,0.001019,0.001019
30,784.173,1.069,1.05965,1.24227,0.64214,0.57009,0.60903,0.44288,0.92449,0.96285,1.13246,0.00101075,0.00101075,0.00101075
31,810.1,1.05192,1.05631,1.23599,0.61065,0.61597,0.6183,0.44743,0.89577,0.94009,1.12338,0.0010025,0.0010025,0.0010025
32,835.945,1.0514,1.04877,1.2295,0.6389,0.56175,0.59709,0.42684,0.90663,0.98902,1.12925,0.00099425,0.00099425,0.00099425
33,861.772,1.0405,1.04093,1.22552,0.68054,0.59464,0.64428,0.47465,0.87976,0.90613,1.11166,0.000986,0.000986,0.000986
34,887.91,1.01879,1.00385,1.21534,0.64551,0.59526,0.62073,0.44806,0.90517,0.93526,1.12871,0.00097775,0.00097775,0.00097775
35,913.787,1.03384,1.00975,1.21655,0.68588,0.60159,0.6593,0.48497,0.87179,0.87435,1.10772,0.0009695,0.0009695,0.0009695
36,939.632,1.01817,0.98529,1.20493,0.63615,0.62054,0.64451,0.47566,0.88594,0.92137,1.11642,0.00096125,0.00096125,0.00096125
37,965.438,1.01654,0.99648,1.21315,0.6143,0.62105,0.63804,0.46302,0.88151,0.89227,1.10642,0.000953,0.000953,0.000953
38,991.507,1.01685,0.97189,1.20861,0.65541,0.61224,0.64439,0.46901,0.8802,0.90113,1.10826,0.00094475,0.00094475,0.00094475
39,1017.57,1.00766,0.98053,1.21742,0.63501,0.59087,0.61693,0.45694,0.87895,0.93554,1.11335,0.0009365,0.0009365,0.0009365
40,1043.3,0.9964,0.96587,1.20039,0.7207,0.6041,0.65723,0.48635,0.86295,0.86977,1.09761,0.00092825,0.00092825,0.00092825
41,1069.65,1.00588,0.95379,1.19828,0.65141,0.66856,0.677,0.50577,0.85117,0.85331,1.08652,0.00092,0.00092,0.00092
42,1096.4,1,0.9548,1.20302,0.6788,0.64042,0.66937,0.48988,0.85298,0.85713,1.08887,0.00091175,0.00091175,0.00091175
43,1122.43,0.99185,0.95199,1.1995,0.71134,0.59997,0.66096,0.49267,0.86431,0.86722,1.1003,0.0009035,0.0009035,0.0009035
44,1148.5,0.98083,0.94203,1.18853,0.64844,0.63239,0.6603,0.4839,0.87525,0.83432,1.10078,0.00089525,0.00089525,0.00089525
45,1175.48,0.97519,0.9206,1.18039,0.69102,0.64271,0.67556,0.50153,0.85337,0.84354,1.10344,0.000887,0.000887,0.000887
46,1201.2,0.96875,0.92116,1.18762,0.67818,0.65688,0.68687,0.50808,0.85116,0.82528,1.0915,0.00087875,0.00087875,0.00087875
47,1228.12,0.97655,0.91083,1.1895,0.68004,0.60668,0.6538,0.47591,0.85034,0.85709,1.09831,0.0008705,0.0008705,0.0008705
48,1253.84,0.96064,0.89768,1.17785,0.6531,0.64854,0.65271,0.49072,0.84318,0.84515,1.08864,0.00086225,0.00086225,0.00086225
49,1279.94,0.96041,0.89364,1.17846,0.71431,0.64425,0.69109,0.5181,0.83399,0.81081,1.0833,0.000854,0.000854,0.000854
50,1305.94,0.95504,0.89093,1.1753,0.68684,0.65613,0.68964,0.51702,0.82932,0.80998,1.07859,0.00084575,0.00084575,0.00084575
51,1331.99,0.94704,0.87659,1.17938,0.65907,0.63886,0.65733,0.48932,0.83244,0.85636,1.09124,0.0008375,0.0008375,0.0008375
52,1357.68,0.94886,0.8642,1.17278,0.69706,0.61069,0.66473,0.49749,0.84752,0.84724,1.08878,0.00082925,0.00082925,0.00082925
