epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0277,2.20426,2.93859,2.04258,0.44113,0.36546,0.3457,0.17476,1.68058,2.30365,1.6252,0.000661836,0.000661836,0.000661836
2,34.7759,1.53699,1.86169,1.49136,0.50296,0.3943,0.38922,0.22011,1.5534,2.70499,1.58069,0.00131973,0.00131973,0.00131973
3,49.8553,1.47882,1.62552,1.46086,0.58904,0.4754,0.50904,0.29839,1.43393,1.98157,1.48124,0.00196883,0.00196883,0.00196883
4,65.03,1.42872,1.4649,1.40938,0.56798,0.47472,0.5026,0.31181,1.32565,1.49001,1.36222,0.0019604,0.0019604,0.0019604
5,80.2921,1.38103,1.42459,1.39922,0.69092,0.55989,0.61369,0.37473,1.26465,1.57019,1.32714,0.0019472,0.0019472,0.0019472
6,95.1302,1.32495,1.30361,1.35025,0.72909,0.53953,0.59706,0.39696,1.19505,1.20689,1.28032,0.001934,0.001934,0.001934
7,109.983,1.26852,1.24704,1.32591,0.67449,0.58229,0.61192,0.39214,1.20509,1.3346,1.28916,0.0019208,0.0019208,0.0019208
8,124.817,1.24845,1.20161,1.31803,0.71787,0.57504,0.63404,0.41858,1.18268,1.09562,1.28182,0.0019076,0.0019076,0.0019076
9,139.649,1.19244,1.13936,1.28234,0.73567,0.60604,0.6706,0.45603,1.12608,1.10615,1.22887,0.0018944,0.0018944,0.0018944
10,154.485,1.19059,1.09397,1.26766,0.76667,0.62538,0.68041,0.45201,1.08335,0.98357,1.2072,0.0018812,0.0018812,0.0018812
11,169.309,1.17005,1.08137,1.26108,0.74104,0.61317,0.65891,0.45435,1.07482,1.03022,1.20204,0.001868,0.001868,0.001868
12,184.128,1.17291,1.09058,1.26744,0.76771,0.62131,0.69867,0.47655,1.06417,0.95789,1.19319,0.0018548,0.0018548,0.0018548
13,198.933,1.15875,1.08207,1.26786,0.7555,0.63015,0.70335,0.47475,1.03581,0.91597,1.16586,0.0018416,0.0018416,0.0018416
14,213.743,1.12623,1.00928,1.24331,0.81326,0.62807,0.7046,0.48704,1.05223,0.91888,1.18219,0.0018284,0.0018284,0.0018284
15,228.928,1.12739,1.01208,1.24028,0.80378,0.60434,0.67693,0.49298,1.01571,0.91758,1.17499,0.0018152,0.0018152,0.0018152
16,243.712,1.10693,0.99558,1.23153,0.80874,0.63963,0.71966,0.50884,0.99809,0.86546,1.16349,0.001802,0.001802,0.001802
17,258.572,1.09702,0.98039,1.22266,0.80157,0.67017,0.74111,0.52811,0.97968,0.82547,1.14894,0.0017888,0.0017888,0.0017888
18,273.332,1.09322,0.96284,1.21796,0.8178,0.66067,0.73142,0.52018,0.97393,0.84341,1.14385,0.0017756,0.0017756,0.0017756
19,288.147,1.06591,0.92805,1.20715,0.79902,0.6624,0.73585,0.52188,0.97328,0.81509,1.12979,0.0017624,0.0017624,0.0017624
20,303.354,1.05746,0.93019,1.19503,0.78647,0.64614,0.71373,0.50357,0.98786,0.82864,1.1364,0.0017492,0.0017492,0.0017492
21,318.892,1.05908,0.91153,1.18817,0.79582,0.6851,0.76612,0.53811,0.94376,0.76569,1.12095,0.001736,0.001736,0.001736
22,333.781,1.0731,0.90586,1.19012,0.80507,0.70716,0.78657,0.54512,0.97163,0.77347,1.14338,0.0017228,0.0017228,0.0017228
23,349.016,1.03825,0.90455,1.18877,0.80912,0.63963,0.71608,0.51873,0.97497,0.77904,1.12754,0.0017096,0.0017096,0.0017096
24,364.306,1.03399,0.87863,1.1808,0.79206,0.65558,0.71818,0.52029,0.94299,0.80493,1.12209,0.0016964,0.0016964,0.0016964
25,379.035,1.00833,0.86362,1.17235,0.84041,0.66644,0.75734,0.55001,0.91691,0.75704,1.09639,0.0016832,0.0016832,0.0016832
26,395.195,1.01388,0.87352,1.16849,0.82107,0.66487,0.75583,0.54736,0.92634,0.76322,1.11441,0.00167,0.00167,0.00167
27,410.204,1.00283,0.85345,1.17077,0.82423,0.66882,0.76122,0.55243,0.92002,0.76187,1.09771,0.0016568,0.0016568,0.0016568
28,425.021,1.00521,0.8779,1.17089,0.81463,0.69223,0.77265,0.56307,0.89939,0.75038,1.09419,0.0016436,0.0016436,0.0016436
29,440.133,1.0033,0.84289,1.16785,0.83381,0.67187,0.75282,0.54799,0.93102,0.75748,1.10472,0.0016304,0.0016304,0.0016304
30,454.889,0.99666,0.82259,1.15572,0.82111,0.68378,0.76039,0.56324,0.90337,0.74783,1.07971,0.0016172,0.0016172,0.0016172
31,470.268,1.0018,0.83453,1.16416,0.84328,0.71027,0.81257,0.5872,0.88023,0.70627,1.08011,0.001604,0.001604,0.001604
32,485.071,0.99087,0.82503,1.15413,0.8242,0.69766,0.77222,0.57079,0.88325,0.72615,1.08537,0.0015908,0.0015908,0.0015908
33,499.863,0.97945,0.81479,1.15068,0.83189,0.70954,0.80454,0.57956,0.88844,0.69409,1.08971,0.0015776,0.0015776,0.0015776
34,515.008,0.95864,0.79074,1.1445,0.83256,0.70411,0.78099,0.57346,0.89547,0.70769,1.08105,0.0015644,0.0015644,0.0015644
35,529.83,0.97978,0.8104,1.14554,0.79549,0.73872,0.80747,0.58513,0.87401,0.70339,1.07257,0.0015512,0.0015512,0.0015512
36,545.141,0.97169,0.79009,1.13876,0.84074,0.69257,0.78675,0.57826,0.88078,0.68758,1.07774,0.001538,0.001538,0.001538
37,559.927,0.96249,0.78935,1.14838,0.83289,0.71836,0.81277,0.59022,0.87809,0.65721,1.07784,0.0015248,0.0015248,0.0015248
38,574.769,0.95255,0.76653,1.13409,0.82927,0.73465,0.81379,0.59416,0.86742,0.67285,1.07821,0.0015116,0.0015116,0.0015116
39,589.918,0.95396,0.78344,1.14531,0.85101,0.69195,0.79177,0.58625,0.85957,0.68625,1.0662,0.0014984,0.0014984,0.0014984
40,604.664,0.92749,0.75971,1.12532,0.85014,0.69491,0.77567,0.58723,0.84897,0.69067,1.07011,0.0014852,0.0014852,0.0014852
41,620.532,0.95326,0.76306,1.12866,0.82891,0.70003,0.79146,0.58506,0.86307,0.69248,1.06572,0.001472,0.001472,0.001472
42,635.317,0.93095,0.75302,1.12945,0.83695,0.72635,0.81203,0.59453,0.84647,0.66405,1.0573,0.0014588,0.0014588,0.0014588
43,650.133,0.92924,0.7663,1.1302,0.85338,0.69325,0.79494,0.59568,0.84707,0.67245,1.05629,0.0014456,0.0014456,0.0014456
44,665.318,0.92724,0.75652,1.12191,0.82705,0.72039,0.80631,0.60371,0.83762,0.65713,1.05503,0.0014324,0.0014324,0.0014324
45,680.188,0.92243,0.73976,1.11089,0.82236,0.74007,0.82172,0.60441,0.83464,0.64807,1.04704,0.0014192,0.0014192,0.0014192
46,695.329,0.91301,0.7321,1.11809,0.85318,0.70377,0.80358,0.59831,0.85264,0.65851,1.06155,0.001406,0.001406,0.001406
47,710.15,0.92149,0.73011,1.12462,0.8392,0.76043,0.82487,0.60366,0.82765,0.64042,1.0468,0.0013928,0.0013928,0.0013928
48,724.916,0.90304,0.71117,1.11425,0.8603,0.70207,0.80272,0.60025,0.82276,0.67721,1.04806,0.0013796,0.0013796,0.0013796
49,740.09,0.90159,0.70993,1.10765,0.84508,0.72005,0.80549,0.60485,0.81775,0.63092,1.03552,0.0013664,0.0013664,0.0013664
50,754.911,0.89373,0.71631,1.107,0.86811,0.70207,0.81878,0.61613,0.82523,0.63258,1.04135,0.0013532,0.0013532,0.0013532
51,770.438,0.89243,0.70916,1.11576,0.84694,0.71913,0.80654,0.59876,0.84436,0.63833,1.05573,0.00134,0.00134,0.00134
52,785.656,0.90244,0.71522,1.11512,0.86127,0.69698,0.7971,0.60241,0.82429,0.6462,1.04593,0.0013268,0.0013268,0.0013268
53,800.517,0.89046,0.70034,1.09608,0.83084,0.72854,0.80628,0.60099,0.83168,0.63302,1.05495,0.0013136,0.0013136,0.0013136
54,815.635,0.881,0.69278,1.09485,0.86829,0.7092,0.81157,0.61234,0.81304,0.62187,1.03964,0.0013004,0.0013004,0.0013004
55,830.465,0.8997,0.69691,1.10129,0.85292,0.73634,0.83748,0.62127,0.81023,0.61464,1.03796,0.0012872,0.0012872,0.0012872
56,845.259,0.88678,0.69799,1.10694,0.84788,0.71904,0.80757,0.60634,0.8274,0.63593,1.04318,0.001274,0.001274,0.001274
57,860.406,0.88576,0.68993,1.10517,0.87453,0.71564,0.81261,0.616,0.80449,0.61686,1.03503,0.0012608,0.0012608,0.0012608
58,875.607,0.86895,0.68366,1.09442,0.87283,0.70003,0.80428,0.61603,0.80214,0.6338,1.03624,0.0012476,0.0012476,0.0012476
59,890.848,0.89334,0.68852,1.0999,0.8669,0.70941,0.79639,0.60806,0.80995,0.64433,1.03904,0.0012344,0.0012344,0.0012344
60,905.72,0.87234,0.66894,1.08275,0.87027,0.71463,0.81885,0.61735,0.80872,0.60656,1.03954,0.0012212,0.0012212,0.0012212
61,920.894,0.86579,0.66655,1.0873,0.8512,0.7473,0.84221,0.63027,0.80601,0.59605,1.02845,0.001208,0.001208,0.001208
62,935.688,0.86476,0.67137,1.08845,0.85137,0.74177,0.83377,0.62162,0.816,0.59833,1.04068,0.0011948,0.0011948,0.0011948
63,950.476,0.8595,0.65814,1.0868,0.85653,0.75157,0.83639,0.61858,0.81377,0.60182,1.03319,0.0011816,0.0011816,0.0011816
64,965.642,0.86645,0.66476,1.08188,0.85378,0.76926,0.84933,0.62808,0.80917,0.60542,1.03156,0.0011684,0.0011684,0.0011684
65,980.406,0.853,0.64817,1.07988,0.87416,0.71657,0.82363,0.62832,0.79488,0.61016,1.03267,0.0011552,0.0011552,0.0011552
66,995.565,0.8657,0.65561,1.08565,0.83594,0.75161,0.83325,0.62862,0.79108,0.6089,1.03111,0.001142,0.001142,0.001142
67,1010.4,0.86644,0.65592,1.08626,0.84967,0.74223,0.8312,0.62978,0.79322,0.58736,1.02642,0.0011288,0.0011288,0.0011288
68,1025.08,0.84226,0.64411,1.08963,0.84736,0.74245,0.82756,0.63168,0.79371,0.58221,1.02922,0.0011156,0.0011156,0.0011156
69,1040.26,0.84598,0.64631,1.07931,0.8288,0.76281,0.83738,0.63343,0.78317,0.58683,1.0201,0.0011024,0.0011024,0.0011024
70,1055.1,0.85824,0.64625,1.08093,0.86453,0.72582,0.82975,0.63538,0.7813,0.5858,1.02064,0.0010892,0.0010892,0.0010892
71,1070.28,0.84824,0.64207,1.07669,0.8751,0.72752,0.83734,0.63378,0.77877,0.57509,1.01648,0.001076,0.001076,0.001076
72,1085.05,0.83082,0.62939,1.06802,0.85976,0.73643,0.83649,0.6406,0.77009,0.58208,1.01274,0.0010628,0.0010628,0.0010628
73,1099.96,0.8295,0.64274,1.06774,0.87251,0.72447,0.825,0.63291,0.77997,0.58196,1.02114,0.0010496,0.0010496,0.0010496
74,1115.04,0.83839,0.62378,1.06836,0.85546,0.75913,0.84758,0.64114,0.77524,0.56761,1.01518,0.0010364,0.0010364,0.0010364
75,1129.84,0.84471,0.63094,1.071,0.8517,0.75093,0.83605,0.63482,0.77655,0.58256,1.02154,0.0010232,0.0010232,0.0010232
76,1144.94,0.81682,0.62436,1.06568,0.85317,0.77486,0.85176,0.64356,0.77929,0.57671,1.01505,0.00101,0.00101,0.00101
77,1159.71,0.83245,0.62941,1.06832,0.84827,0.76756,0.85059,0.64299,0.77963,0.56935,1.01645,0.0009968,0.0009968,0.0009968
