epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6705,1.97561,2.66861,1.8375,0.00724,0.40516,0.18719,0.10578,1.95084,3.48905,2.08952,0.000661836,0.000661836,0.000661836
2,64.6688,1.48502,1.80912,1.45736,0.51754,0.41364,0.40892,0.25043,1.46684,3.56711,1.53092,0.00131973,0.00131973,0.00131973
3,95.1964,1.4538,1.61009,1.44325,0.53393,0.43807,0.43513,0.25027,1.48575,1.95465,1.53337,0.00196883,0.00196883,0.00196883
4,125.698,1.4264,1.46722,1.41225,0.59751,0.43943,0.47976,0.30138,1.31767,1.70291,1.38628,0.0019604,0.0019604,0.0019604
5,156.097,1.36245,1.41515,1.38784,0.68531,0.5254,0.57364,0.35749,1.29868,1.58072,1.37622,0.0019472,0.0019472,0.0019472
6,186.551,1.31248,1.29392,1.3416,0.66709,0.54225,0.58133,0.36545,1.24817,1.31979,1.32711,0.001934,0.001934,0.001934
7,216.585,1.24986,1.23173,1.31799,0.69874,0.55039,0.58893,0.38054,1.15256,1.26036,1.25342,0.0019208,0.0019208,0.0019208
8,246.799,1.23181,1.18209,1.29928,0.76583,0.57957,0.64845,0.44515,1.09607,1.04055,1.22902,0.0019076,0.0019076,0.0019076
9,276.921,1.18096,1.12729,1.27783,0.74301,0.62199,0.67088,0.46069,1.09295,1.00452,1.22144,0.0018944,0.0018944,0.0018944
10,307.363,1.19359,1.10561,1.27122,0.73806,0.57652,0.63589,0.43105,1.12277,1.10136,1.24169,0.0018812,0.0018812,0.0018812
11,337.75,1.1698,1.08507,1.26006,0.74385,0.60333,0.6597,0.45509,1.07468,0.99379,1.20571,0.001868,0.001868,0.001868
12,368.128,1.15826,1.06589,1.25941,0.75525,0.63768,0.70204,0.48544,1.0398,0.91981,1.19124,0.0018548,0.0018548,0.0018548
13,398.493,1.1418,1.06782,1.25595,0.77129,0.63183,0.69781,0.48048,1.04496,0.9009,1.20096,0.0018416,0.0018416,0.0018416
14,428.824,1.11191,1.00474,1.23325,0.79822,0.6281,0.70467,0.49644,1.01706,0.8801,1.17161,0.0018284,0.0018284,0.0018284
15,459.22,1.11905,0.99786,1.2328,0.79108,0.62538,0.71834,0.49951,1.00538,0.87562,1.16434,0.0018152,0.0018152,0.0018152
16,489.596,1.10681,0.99382,1.2301,0.78013,0.65898,0.74019,0.52056,0.99007,0.84032,1.14879,0.001802,0.001802,0.001802
17,519.673,1.09737,0.9719,1.22208,0.80089,0.64913,0.72687,0.51684,0.97773,0.8559,1.15794,0.0017888,0.0017888,0.0017888
18,549.721,1.09239,0.95267,1.21994,0.76524,0.65704,0.72139,0.51867,0.94743,0.84509,1.1313,0.0017756,0.0017756,0.0017756
19,579.77,1.05188,0.91515,1.19804,0.77703,0.67017,0.74473,0.52167,0.96565,0.78936,1.13569,0.0017624,0.0017624,0.0017624
20,609.929,1.0535,0.92189,1.19338,0.78876,0.66014,0.73825,0.526,0.96544,0.78481,1.13381,0.0017492,0.0017492,0.0017492
21,640.128,1.05127,0.90042,1.18199,0.77752,0.69967,0.7661,0.54562,0.93243,0.75739,1.10684,0.001736,0.001736,0.001736
22,670.253,1.06264,0.89988,1.18508,0.75501,0.71055,0.76966,0.54179,0.94993,0.79288,1.12495,0.0017228,0.0017228,0.0017228
23,700.26,1.03283,0.89003,1.17776,0.78468,0.66135,0.73754,0.52141,0.96268,0.7949,1.12604,0.0017096,0.0017096,0.0017096
24,730.582,1.02433,0.85885,1.17412,0.80304,0.67517,0.75819,0.55261,0.91249,0.76263,1.09697,0.0016964,0.0016964,0.0016964
25,760.69,1.00497,0.86191,1.16842,0.8331,0.66228,0.7608,0.54049,0.94062,0.75704,1.11447,0.0016832,0.0016832,0.0016832
26,790.783,1.01374,0.86766,1.16577,0.81587,0.68612,0.76193,0.55188,0.92375,0.7562,1.10834,0.00167,0.00167,0.00167
27,820.811,0.98988,0.84475,1.16083,0.83378,0.67628,0.76458,0.54924,0.9206,0.74094,1.10674,0.0016568,0.0016568,0.0016568
28,850.822,0.9998,0.85139,1.16166,0.82295,0.69766,0.78836,0.57195,0.88941,0.71107,1.08143,0.0016436,0.0016436,0.0016436
29,880.898,1.0014,0.8366,1.16346,0.83526,0.68304,0.77326,0.56786,0.9074,0.71731,1.10179,0.0016304,0.0016304,0.0016304
30,910.894,0.99656,0.8168,1.15583,0.86517,0.67119,0.76339,0.56272,0.88748,0.73204,1.08316,0.0016172,0.0016172,0.0016172
31,941.014,0.98828,0.82029,1.15052,0.8372,0.71196,0.79507,0.57249,0.88225,0.67996,1.0803,0.001604,0.001604,0.001604
32,971.021,0.98518,0.82147,1.15449,0.81475,0.69548,0.77288,0.5609,0.90235,0.71584,1.09961,0.0015908,0.0015908,0.0015908
33,1001.03,0.98101,0.81544,1.15153,0.81309,0.70705,0.79605,0.56697,0.92059,0.69329,1.10051,0.0015776,0.0015776,0.0015776
34,1031.05,0.95295,0.78483,1.13758,0.81746,0.71971,0.79934,0.57812,0.89896,0.69667,1.08091,0.0015644,0.0015644,0.0015644
35,1061.11,0.97841,0.81157,1.14476,0.82662,0.70207,0.79141,0.58173,0.8738,0.68531,1.07043,0.0015512,0.0015512,0.0015512
36,1091.16,0.96617,0.78295,1.13103,0.8401,0.71191,0.80726,0.58834,0.88956,0.67665,1.08312,0.001538,0.001538,0.001538
37,1121.25,0.95547,0.78183,1.14258,0.8279,0.74143,0.81647,0.58775,0.86658,0.67685,1.07161,0.0015248,0.0015248,0.0015248
