epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6642,2.37045,3.26906,2.1148,0.34223,0.2338,0.18517,0.09352,1.91484,3.04164,1.77921,0.000661836,0.000661836,0.000661836
2,43.4145,1.73611,2.23502,1.61811,0.39809,0.30438,0.27658,0.14938,1.64516,4.71606,1.63808,0.00131973,0.00131973,0.00131973
3,61.7953,1.59282,1.85095,1.521,0.46345,0.37564,0.3535,0.20231,1.49878,3.11823,1.49062,0.00196883,0.00196883,0.00196883
4,80.7706,1.52392,1.6382,1.44948,0.59243,0.44113,0.47211,0.28979,1.36589,1.7699,1.38324,0.0019604,0.0019604,0.0019604
5,97.8556,1.44217,1.56981,1.40816,0.65609,0.49983,0.54681,0.34592,1.28869,1.31156,1.31672,0.0019472,0.0019472,0.0019472
6,115.443,1.38334,1.4342,1.35858,0.68415,0.48658,0.54998,0.35522,1.29966,1.40665,1.32763,0.001934,0.001934,0.001934
7,132.769,1.34388,1.376,1.33976,0.65776,0.51585,0.54924,0.35656,1.23474,1.39774,1.27431,0.0019208,0.0019208,0.0019208
8,150.502,1.30265,1.30049,1.30929,0.66813,0.54259,0.58652,0.39698,1.16929,1.22207,1.23622,0.0019076,0.0019076,0.0019076
9,168.424,1.25086,1.24327,1.28474,0.74315,0.55766,0.62513,0.4183,1.17925,1.10155,1.24379,0.0018944,0.0018944,0.0018944
10,185.56,1.2573,1.21966,1.27736,0.7257,0.55243,0.61933,0.4232,1.13367,1.08405,1.20399,0.0018812,0.0018812,0.0018812
11,202.856,1.22948,1.19317,1.26312,0.77633,0.55446,0.6315,0.44154,1.09921,1.05955,1.18894,0.001868,0.001868,0.001868
12,220.089,1.22063,1.17509,1.2665,0.7364,0.58229,0.64277,0.43472,1.12462,1.09164,1.20408,0.0018548,0.0018548,0.0018548
13,237.359,1.21724,1.17181,1.26599,0.74917,0.59586,0.65721,0.45378,1.06226,0.99042,1.16494,0.0018416,0.0018416,0.0018416
14,254.413,1.17594,1.10896,1.2344,0.76129,0.59009,0.65996,0.46424,1.05286,0.9847,1.14859,0.0018284,0.0018284,0.0018284
15,272.227,1.181,1.11105,1.23638,0.74397,0.59063,0.66247,0.47096,1.044,0.94731,1.14399,0.0018152,0.0018152,0.0018152
16,289.86,1.16428,1.09382,1.23263,0.75192,0.62326,0.66829,0.46748,1.03212,1.09283,1.1544,0.001802,0.001802,0.001802
17,307.556,1.15376,1.07756,1.22285,0.73603,0.61384,0.67029,0.46989,1.04049,0.96286,1.14957,0.0017888,0.0017888,0.0017888
18,324.592,1.15451,1.05839,1.22269,0.77376,0.60813,0.67121,0.47722,1.02072,0.96138,1.14132,0.0017756,0.0017756,0.0017756
19,342.293,1.11337,1.00968,1.19924,0.7555,0.63958,0.7047,0.48891,1.02883,0.94498,1.13697,0.0017624,0.0017624,0.0017624
20,359.899,1.11053,1.00501,1.19825,0.78376,0.61248,0.68756,0.49717,0.99445,0.91462,1.1247,0.0017492,0.0017492,0.0017492
21,378.309,1.11707,1.00654,1.18569,0.78729,0.6264,0.70858,0.49947,0.99403,0.8716,1.12454,0.001736,0.001736,0.001736
22,395.401,1.11124,1.00197,1.18167,0.8136,0.63047,0.72775,0.51533,0.98989,0.84378,1.1133,0.0017228,0.0017228,0.0017228
23,413.028,1.08473,0.98255,1.18059,0.75918,0.62538,0.71536,0.49203,1.02877,0.87313,1.12344,0.0017096,0.0017096,0.0017096
24,430.362,1.07801,0.95832,1.1685,0.78855,0.62097,0.69786,0.5093,0.96103,0.85638,1.09785,0.0016964,0.0016964,0.0016964
25,447.418,1.05769,0.94304,1.15848,0.80907,0.64744,0.73173,0.51413,0.99785,0.80129,1.11295,0.0016832,0.0016832,0.0016832
26,465.307,1.07333,0.95318,1.16591,0.79558,0.66373,0.73092,0.52351,0.96683,0.84547,1.10398,0.00167,0.00167,0.00167
27,482.758,1.05164,0.9263,1.1608,0.80716,0.65193,0.7367,0.52805,0.95201,0.81206,1.08974,0.0016568,0.0016568,0.0016568
28,500.146,1.04764,0.92928,1.15445,0.81909,0.66474,0.74348,0.52897,0.96534,0.80745,1.09483,0.0016436,0.0016436,0.0016436
29,517.6,1.05043,0.91312,1.15758,0.82123,0.65524,0.73448,0.53601,0.93689,0.8049,1.0948,0.0016304,0.0016304,0.0016304
30,534.651,1.04528,0.89388,1.15042,0.80784,0.65195,0.72495,0.53862,0.92938,0.82299,1.07653,0.0016172,0.0016172,0.0016172
31,551.947,1.05587,0.90786,1.15387,0.83207,0.6566,0.77029,0.55263,0.92066,0.77948,1.0785,0.001604,0.001604,0.001604
32,569.339,1.0298,0.88891,1.14489,0.81485,0.66644,0.7394,0.53978,0.93047,0.80404,1.07818,0.0015908,0.0015908,0.0015908
33,586.667,1.03299,0.8969,1.14172,0.81531,0.67866,0.76781,0.54601,0.95505,0.75719,1.0836,0.0015776,0.0015776,0.0015776
34,603.693,1.002,0.86165,1.13324,0.83635,0.65083,0.73794,0.538,0.9232,0.7836,1.07901,0.0015644,0.0015644,0.0015644
35,621.003,1.01271,0.87913,1.13373,0.79075,0.67579,0.74515,0.54763,0.904,0.78796,1.06168,0.0015512,0.0015512,0.0015512
36,638.092,1.00678,0.84301,1.12435,0.83641,0.68103,0.77142,0.56248,0.90414,0.73244,1.0659,0.001538,0.001538,0.001538
