epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3354,1.63965,2.5079,1.64783,0.4505,0.38669,0.36412,0.197,1.63974,2.50482,1.78457,0.000661836,0.000661836,0.000661836
2,29.7834,1.41706,1.73135,1.43199,0.55896,0.40007,0.41976,0.25202,1.44192,2.81569,1.51469,0.00131973,0.00131973,0.00131973
3,43.0171,1.40856,1.5396,1.42509,0.57305,0.47336,0.47829,0.29278,1.36433,1.65379,1.41156,0.00196883,0.00196883,0.00196883
4,56.1034,1.39069,1.41254,1.38682,0.64107,0.4452,0.50052,0.31204,1.35894,1.51021,1.40374,0.0019604,0.0019604,0.0019604
5,69.0701,1.33878,1.36195,1.36461,0.68608,0.53989,0.60445,0.38892,1.23045,1.26276,1.31187,0.0019472,0.0019472,0.0019472
6,82.065,1.29627,1.25685,1.32265,0.66907,0.58127,0.59972,0.38717,1.21586,1.26094,1.30148,0.001934,0.001934,0.001934
7,94.9838,1.23831,1.21223,1.29669,0.70824,0.55378,0.59845,0.38709,1.19341,1.24179,1.28466,0.0019208,0.0019208,0.0019208
8,108.15,1.21885,1.15008,1.27744,0.74173,0.57414,0.6488,0.44608,1.10589,1.04938,1.22444,0.0019076,0.0019076,0.0019076
9,121.1,1.17185,1.10522,1.25671,0.78891,0.60638,0.68729,0.46357,1.10177,1.01283,1.20552,0.0018944,0.0018944,0.0018944
10,134.064,1.17621,1.08311,1.24438,0.76913,0.64438,0.69245,0.46468,1.07525,1.0043,1.17757,0.0018812,0.0018812,0.0018812
11,147.02,1.16302,1.06702,1.24371,0.71489,0.61656,0.6762,0.45525,1.10222,0.97958,1.21482,0.001868,0.001868,0.001868
12,159.97,1.15565,1.06437,1.24178,0.77288,0.62702,0.69375,0.47177,1.07194,0.93878,1.18359,0.0018548,0.0018548,0.0018548
13,172.914,1.15013,1.05565,1.25002,0.78746,0.62986,0.71481,0.49218,1.03388,0.86787,1.15764,0.0018416,0.0018416,0.0018416
14,185.83,1.10837,0.98672,1.21212,0.77114,0.64144,0.69786,0.48572,1.02528,0.89781,1.14595,0.0018284,0.0018284,0.0018284
15,198.856,1.10914,0.98525,1.21184,0.77713,0.64957,0.70238,0.49742,1.00985,0.88004,1.14313,0.0018152,0.0018152,0.0018152
16,211.777,1.10339,0.97581,1.21807,0.8084,0.64947,0.72234,0.51551,0.96145,0.84265,1.11786,0.001802,0.001802,0.001802
17,224.748,1.09043,0.96748,1.20345,0.82107,0.64466,0.72099,0.5198,0.96991,0.84742,1.13277,0.0017888,0.0017888,0.0017888
18,237.705,1.08816,0.94956,1.19948,0.78949,0.65796,0.72089,0.50955,0.97215,0.84801,1.12798,0.0017756,0.0017756,0.0017756
19,250.67,1.0494,0.90365,1.17918,0.82547,0.64065,0.73574,0.50951,1.00111,0.80851,1.12608,0.0017624,0.0017624,0.0017624
20,263.807,1.05176,0.91823,1.17407,0.78574,0.65931,0.74623,0.53185,0.94281,0.77048,1.0906,0.0017492,0.0017492,0.0017492
21,277.586,1.04976,0.89265,1.16558,0.78398,0.70512,0.78154,0.54423,0.9566,0.7588,1.11036,0.001736,0.001736,0.001736
22,290.6,1.05506,0.8882,1.16529,0.79617,0.70546,0.78935,0.55857,0.93761,0.75039,1.09729,0.0017228,0.0017228,0.0017228
23,303.552,1.03075,0.88504,1.16276,0.77178,0.69359,0.76652,0.5437,0.96559,0.75159,1.10947,0.0017096,0.0017096,0.0017096
24,316.553,1.02758,0.86766,1.15671,0.82173,0.65592,0.73376,0.53202,0.93896,0.77572,1.0986,0.0016964,0.0016964,0.0016964
25,329.451,1.0027,0.85555,1.14454,0.8382,0.66624,0.77305,0.55047,0.94221,0.75509,1.09826,0.0016832,0.0016832,0.0016832
26,342.405,1.02013,0.86925,1.14468,0.81955,0.68579,0.78008,0.55768,0.92585,0.73716,1.08305,0.00167,0.00167,0.00167
27,355.325,0.99773,0.84845,1.14456,0.83866,0.67967,0.78903,0.5694,0.90136,0.72589,1.06524,0.0016568,0.0016568,0.0016568
28,368.261,0.99346,0.84302,1.13392,0.83157,0.68855,0.77386,0.56282,0.8958,0.73016,1.06122,0.0016436,0.0016436,0.0016436
29,381.208,0.99199,0.81499,1.13474,0.84559,0.65968,0.76556,0.57063,0.87927,0.71837,1.06298,0.0016304,0.0016304,0.0016304
30,394.107,0.98895,0.8221,1.13077,0.83577,0.68918,0.78335,0.57268,0.90083,0.72411,1.06524,0.0016172,0.0016172,0.0016172
31,407.114,1.00229,0.82614,1.13883,0.82638,0.70309,0.78889,0.57806,0.89304,0.69898,1.06559,0.001604,0.001604,0.001604
32,420.051,0.98464,0.81356,1.13143,0.84974,0.68375,0.78383,0.57123,0.88695,0.71989,1.05802,0.0015908,0.0015908,0.0015908
33,432.955,0.97139,0.80394,1.12329,0.84345,0.69528,0.79545,0.59288,0.8638,0.67662,1.05384,0.0015776,0.0015776,0.0015776
34,445.894,0.94826,0.77463,1.11535,0.8215,0.72413,0.79905,0.58075,0.88109,0.69925,1.05132,0.0015644,0.0015644,0.0015644
35,458.882,0.9628,0.80335,1.11732,0.82209,0.72005,0.80733,0.5958,0.85801,0.69381,1.04192,0.0015512,0.0015512,0.0015512
36,472.098,0.96276,0.77678,1.11038,0.8615,0.68951,0.78741,0.59143,0.85981,0.69072,1.04541,0.001538,0.001538,0.001538
37,485.088,0.95685,0.7835,1.12334,0.8597,0.68476,0.80705,0.5974,0.85768,0.66088,1.04277,0.0015248,0.0015248,0.0015248
38,498.086,0.94965,0.76096,1.10736,0.83717,0.71463,0.81437,0.59421,0.85996,0.66968,1.04672,0.0015116,0.0015116,0.0015116
39,511.043,0.94527,0.76608,1.11651,0.8576,0.70343,0.7967,0.59162,0.8644,0.673,1.05026,0.0014984,0.0014984,0.0014984
40,524.257,0.92438,0.74954,1.10074,0.85802,0.68612,0.77977,0.59328,0.8428,0.70263,1.03348,0.0014852,0.0014852,0.0014852
41,537.572,0.94946,0.75198,1.10207,0.81434,0.76077,0.823,0.59616,0.8605,0.64196,1.03702,0.001472,0.001472,0.001472
42,550.723,0.93256,0.74181,1.10342,0.85229,0.70487,0.81111,0.60336,0.84359,0.65341,1.02811,0.0014588,0.0014588,0.0014588
43,563.708,0.93005,0.76271,1.10878,0.87613,0.68544,0.79698,0.59525,0.8484,0.68274,1.03521,0.0014456,0.0014456,0.0014456
44,576.709,0.92617,0.74473,1.09835,0.86697,0.70241,0.80081,0.60139,0.83465,0.65161,1.02499,0.0014324,0.0014324,0.0014324
