epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0763,2.8314,3.9024,3.68274,0.44062,0.10608,0.10876,0.0457,2.1969,3.2939,2.99387,0.000413647,0.000413647,0.000413647
2,29.4247,2.02274,2.80346,2.6561,0.36267,0.20267,0.18674,0.07977,2.00638,2.7791,2.54095,0.000824834,0.000824834,0.000824834
3,42.7167,1.80522,2.45942,2.33,0.31566,0.2741,0.22355,0.10928,1.75802,2.35479,2.22348,0.00123052,0.00123052,0.00123052
4,55.7794,1.66775,2.14094,2.10374,0.33122,0.26173,0.28177,0.15321,1.5952,2.08737,2.01645,0.00122525,0.00122525,0.00122525
5,85.8274,1.58287,2.03561,2.01025,0.35059,0.36113,0.31443,0.17093,1.49875,1.73899,1.938,0.001217,0.001217,0.001217
6,98.549,1.51074,1.87238,1.89354,0.30368,0.34523,0.2896,0.16574,1.42738,1.74329,1.82195,0.00120875,0.00120875,0.00120875
7,111.283,1.43973,1.75316,1.84046,0.40345,0.34454,0.35434,0.2116,1.36029,1.55432,1.73115,0.0012005,0.0012005,0.0012005
8,124.167,1.41042,1.67251,1.77847,0.35381,0.4064,0.37326,0.23155,1.27966,1.5077,1.65175,0.00119225,0.00119225,0.00119225
9,137.018,1.35758,1.60292,1.74642,0.34871,0.37765,0.35365,0.2182,1.28702,1.51241,1.67342,0.001184,0.001184,0.001184
10,149.845,1.35372,1.55287,1.70574,0.37702,0.44449,0.38716,0.23993,1.2505,1.40937,1.62918,0.00117575,0.00117575,0.00117575
11,162.602,1.33892,1.51052,1.69028,0.37541,0.48465,0.41295,0.26006,1.2142,1.35857,1.58401,0.0011675,0.0011675,0.0011675
12,175.419,1.32618,1.52285,1.66752,0.39044,0.40978,0.38442,0.24087,1.23148,1.40737,1.60099,0.00115925,0.00115925,0.00115925
13,188.24,1.29133,1.49692,1.64948,0.43057,0.4199,0.3911,0.2461,1.1808,1.39075,1.55998,0.001151,0.001151,0.001151
14,200.962,1.25525,1.43795,1.61676,0.46785,0.46624,0.4409,0.27795,1.14688,1.26972,1.53305,0.00114275,0.00114275,0.00114275
15,213.83,1.24951,1.38637,1.59178,0.42851,0.47123,0.43264,0.28547,1.11509,1.2601,1.47979,0.0011345,0.0011345,0.0011345
16,226.627,1.22943,1.38933,1.58169,0.40167,0.481,0.43248,0.27842,1.13546,1.25012,1.4928,0.00112625,0.00112625,0.00112625
17,239.484,1.23006,1.36483,1.57391,0.41323,0.48346,0.43847,0.28932,1.08583,1.24711,1.44821,0.001118,0.001118,0.001118
18,252.266,1.2131,1.34459,1.55837,0.45633,0.53411,0.46573,0.3158,1.07793,1.18391,1.43679,0.00110975,0.00110975,0.00110975
19,265.092,1.19103,1.29662,1.54646,0.46613,0.53204,0.47757,0.30958,1.10773,1.16811,1.45648,0.0011015,0.0011015,0.0011015
20,278.066,1.17299,1.28633,1.52207,0.45148,0.52539,0.46849,0.29684,1.10871,1.13854,1.44104,0.00109325,0.00109325,0.00109325
21,290.986,1.17295,1.26484,1.50009,0.4505,0.54695,0.49041,0.32131,1.08633,1.0974,1.41575,0.001085,0.001085,0.001085
