epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2178,3.48253,3.89643,3.98049,0.00668,0.24533,0.00567,0.00163,3.10935,4.05922,3.62993,0.000661836,0.000661836,0.000661836
2,53.696,2.83711,3.33787,3.11157,0.05231,0.05497,0.01822,0.00517,2.71306,3.74143,2.92476,0.00131973,0.00131973,0.00131973
3,78.8788,2.56411,2.97637,2.73801,0.0635,0.11028,0.02406,0.0081,2.78054,4.15976,2.97813,0.00196883,0.00196883,0.00196883
4,103.808,2.35357,2.70083,2.49734,0.18639,0.16322,0.09191,0.03401,2.38289,2.89304,2.61319,0.0019604,0.0019604,0.0019604
5,128.588,2.17915,2.50671,2.32551,0.26383,0.14557,0.10744,0.04351,2.27716,3.07396,2.56996,0.0019472,0.0019472,0.0019472
6,153.419,2.01465,2.26168,2.17056,0.36291,0.24499,0.20688,0.08952,2.11865,2.36576,2.27872,0.001934,0.001934,0.001934
7,178.259,1.87451,2.08211,2.05726,0.48082,0.33123,0.32774,0.17631,1.78695,2.0488,2.00775,0.0019208,0.0019208,0.0019208
8,203.236,1.77489,1.90604,1.94065,0.52516,0.3641,0.3677,0.20299,1.67118,1.94264,1.88196,0.0019076,0.0019076,0.0019076
9,228.048,1.69133,1.79685,1.87247,0.55574,0.37665,0.39253,0.22209,1.65355,1.77332,1.88405,0.0018944,0.0018944,0.0018944
10,252.96,1.66557,1.74044,1.83099,0.5588,0.35697,0.38752,0.2208,1.6865,1.92885,1.90775,0.0018812,0.0018812,0.0018812
11,277.834,1.61386,1.6846,1.77489,0.61409,0.41578,0.44491,0.27451,1.50048,1.59649,1.7457,0.001868,0.001868,0.001868
12,302.736,1.56538,1.65815,1.7418,0.59613,0.41771,0.45661,0.2866,1.45978,1.70527,1.68796,0.0018548,0.0018548,0.0018548
13,327.972,1.52862,1.59712,1.70673,0.63613,0.4473,0.48194,0.29798,1.4282,1.50526,1.67093,0.0018416,0.0018416,0.0018416
14,352.918,1.48192,1.51426,1.67009,0.62708,0.43875,0.48204,0.31161,1.38129,1.42613,1.61307,0.0018284,0.0018284,0.0018284
15,377.85,1.48882,1.50964,1.65835,0.6651,0.48991,0.53694,0.34698,1.3387,1.32526,1.57101,0.0018152,0.0018152,0.0018152
