epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0828,3.52182,3.89074,3.97824,0.00399,0.22362,0.01049,0.00205,3.16379,4.04644,3.60659,0.000661836,0.000661836,0.000661836
2,57.0114,2.77386,3.33179,3.12076,0.02315,0.0397,0.00761,0.00219,3.03996,4.46249,3.41578,0.00131973,0.00131973,0.00131973
3,83.8858,2.50206,2.94206,2.77944,0.02769,0.04174,0.00877,0.00261,2.72651,6.31599,3.07037,0.00196883,0.00196883,0.00196883
4,110.119,2.35593,2.72512,2.60208,0.12968,0.12521,0.04973,0.01854,2.41176,3.21111,2.74802,0.0019604,0.0019604,0.0019604
5,136.377,2.19495,2.57144,2.45041,0.13376,0.11119,0.04113,0.01266,2.60444,4.03725,2.93195,0.0019472,0.0019472,0.0019472
6,162.566,2.08867,2.37918,2.31794,0.31471,0.25931,0.1769,0.0775,1.98583,2.60612,2.23822,0.001934,0.001934,0.001934
7,188.763,1.94116,2.20963,2.21339,0.30389,0.22973,0.16829,0.07407,2.17888,2.91334,2.41348,0.0019208,0.0019208,0.0019208
8,214.956,1.84906,2.06149,2.08971,0.43448,0.28504,0.27358,0.14426,1.80444,2.31005,2.07488,0.0019076,0.0019076,0.0019076
9,241.099,1.76165,1.93616,2.0174,0.50825,0.31999,0.3157,0.17184,1.74826,2.0374,2.03957,0.0018944,0.0018944,0.0018944
10,267.216,1.73743,1.85708,1.96925,0.51315,0.36647,0.37788,0.2065,1.67566,1.8036,1.9051,0.0018812,0.0018812,0.0018812
11,293.329,1.68823,1.79617,1.91231,0.56051,0.36274,0.38083,0.22046,1.60381,1.81015,1.86707,0.001868,0.001868,0.001868
12,319.479,1.64873,1.77033,1.87457,0.56673,0.38615,0.4047,0.23692,1.54993,1.94336,1.7977,0.0018548,0.0018548,0.0018548
13,345.591,1.59723,1.69544,1.8322,0.58298,0.40844,0.44179,0.2544,1.55561,1.65352,1.80153,0.0018416,0.0018416,0.0018416
14,371.699,1.54756,1.61016,1.78686,0.58705,0.42212,0.44753,0.28047,1.46481,1.56965,1.718,0.0018284,0.0018284,0.0018284
15,398.04,1.53876,1.59323,1.75712,0.57638,0.42993,0.46841,0.29173,1.42966,1.48741,1.68524,0.0018152,0.0018152,0.0018152
16,424.461,1.52144,1.57337,1.7567,0.59894,0.43834,0.46203,0.28431,1.45073,1.59577,1.69616,0.001802,0.001802,0.001802
17,450.633,1.49643,1.53679,1.71935,0.61944,0.45809,0.49293,0.30458,1.44575,1.45673,1.68654,0.0017888,0.0017888,0.0017888
18,476.736,1.48634,1.50491,1.71227,0.64119,0.43536,0.48604,0.31007,1.36388,1.46595,1.6251,0.0017756,0.0017756,0.0017756
19,502.885,1.43423,1.44457,1.67162,0.65167,0.4754,0.52308,0.33363,1.34749,1.38699,1.59954,0.0017624,0.0017624,0.0017624
20,529.147,1.42573,1.42833,1.65338,0.69635,0.46658,0.5112,0.33074,1.36292,1.3828,1.62259,0.0017492,0.0017492,0.0017492
21,555.393,1.42502,1.42353,1.62474,0.63549,0.49712,0.55115,0.34128,1.32346,1.35485,1.5653,0.001736,0.001736,0.001736
22,581.602,1.41366,1.39731,1.60882,0.64029,0.50899,0.54624,0.3507,1.3187,1.32802,1.57584,0.0017228,0.0017228,0.0017228
23,607.931,1.39395,1.38384,1.60787,0.64499,0.48456,0.53061,0.3323,1.36003,1.48449,1.59389,0.0017096,0.0017096,0.0017096
24,634.118,1.37307,1.33197,1.59206,0.6542,0.52392,0.55736,0.35797,1.28362,1.26578,1.55177,0.0016964,0.0016964,0.0016964
25,660.255,1.35148,1.33177,1.57348,0.69391,0.53716,0.58932,0.38972,1.24075,1.25869,1.4969,0.0016832,0.0016832,0.0016832
26,686.462,1.34796,1.32121,1.5596,0.65222,0.50221,0.54854,0.35556,1.28736,1.39286,1.54292,0.00167,0.00167,0.00167
27,712.59,1.32082,1.28803,1.54756,0.67282,0.53648,0.59125,0.38307,1.23706,1.19065,1.47406,0.0016568,0.0016568,0.0016568
28,738.698,1.323,1.29624,1.54489,0.70187,0.50424,0.57183,0.38739,1.21954,1.22471,1.47704,0.0016436,0.0016436,0.0016436
29,764.799,1.32005,1.26982,1.54413,0.69531,0.51882,0.58167,0.39327,1.19945,1.18505,1.47698,0.0016304,0.0016304,0.0016304
30,790.936,1.30532,1.25555,1.52858,0.66746,0.52087,0.57352,0.38283,1.21714,1.3779,1.46171,0.0016172,0.0016172,0.0016172
31,817.059,1.29932,1.23918,1.51191,0.67663,0.52596,0.58895,0.39133,1.20155,1.22976,1.44364,0.001604,0.001604,0.001604
32,843.156,1.29572,1.23416,1.50839,0.70444,0.51917,0.57491,0.39082,1.18794,1.19847,1.43509,0.0015908,0.0015908,0.0015908
33,869.261,1.2781,1.23604,1.49984,0.74072,0.53546,0.62118,0.40725,1.19386,1.0976,1.42055,0.0015776,0.0015776,0.0015776
34,895.346,1.24642,1.18615,1.48112,0.70622,0.54055,0.61041,0.40538,1.19429,1.13639,1.4346,0.0015644,0.0015644,0.0015644
35,921.9,1.26123,1.21502,1.47471,0.66035,0.54835,0.59693,0.4004,1.18002,1.41151,1.42801,0.0015512,0.0015512,0.0015512
36,948.164,1.24764,1.18602,1.45215,0.71532,0.59111,0.64977,0.43475,1.13583,1.07707,1.39537,0.001538,0.001538,0.001538
37,974.465,1.24691,1.18692,1.47808,0.6833,0.53716,0.61396,0.40553,1.22372,1.16665,1.45714,0.0015248,0.0015248,0.0015248
38,1000.38,1.23208,1.1497,1.45799,0.72569,0.57313,0.64162,0.43214,1.14194,1.03961,1.40638,0.0015116,0.0015116,0.0015116
39,1026.26,1.22945,1.16347,1.46609,0.75231,0.52358,0.60375,0.4178,1.13237,1.09312,1.38689,0.0014984,0.0014984,0.0014984
40,1052.16,1.20295,1.14842,1.44545,0.74509,0.57889,0.65268,0.44057,1.13491,1.03016,1.39848,0.0014852,0.0014852,0.0014852
41,1078.34,1.23826,1.14435,1.44481,0.74069,0.5677,0.63238,0.43139,1.12572,1.05242,1.38284,0.001472,0.001472,0.001472
42,1104.22,1.20519,1.12849,1.43324,0.72917,0.57465,0.64758,0.44084,1.1383,1.02657,1.38875,0.0014588,0.0014588,0.0014588
43,1130.13,1.19905,1.11925,1.43084,0.74579,0.59247,0.6647,0.45289,1.10699,1.01087,1.3682,0.0014456,0.0014456,0.0014456
44,1156.28,1.19883,1.12399,1.4247,0.74804,0.54402,0.62412,0.43324,1.11982,1.08986,1.37535,0.0014324,0.0014324,0.0014324
45,1182.2,1.18699,1.09235,1.40948,0.75729,0.59654,0.66371,0.4606,1.08708,0.98551,1.36735,0.0014192,0.0014192,0.0014192
46,1208.01,1.18517,1.09851,1.42098,0.72592,0.58507,0.65491,0.44924,1.11592,1.01972,1.36411,0.001406,0.001406,0.001406
47,1233.97,1.1811,1.09818,1.41216,0.74341,0.59416,0.6626,0.46031,1.07885,0.97693,1.34401,0.0013928,0.0013928,0.0013928
48,1259.8,1.16478,1.06147,1.40422,0.75452,0.59033,0.66299,0.4556,1.09821,1.00767,1.356,0.0013796,0.0013796,0.0013796
49,1285.71,1.15759,1.07006,1.39127,0.78467,0.57177,0.66417,0.47092,1.05807,0.95768,1.32724,0.0013664,0.0013664,0.0013664
50,1311.65,1.15277,1.06153,1.39411,0.77309,0.53885,0.62751,0.4389,1.09303,1.01324,1.35653,0.0013532,0.0013532,0.0013532
51,1337.5,1.14555,1.06109,1.3898,0.74049,0.61554,0.67788,0.47016,1.04759,0.98198,1.31523,0.00134,0.00134,0.00134
52,1363.32,1.13982,1.03718,1.37816,0.78101,0.58636,0.66177,0.46333,1.06615,0.9674,1.32862,0.0013268,0.0013268,0.0013268
53,1389.23,1.13984,1.03634,1.36151,0.74977,0.59043,0.67063,0.46744,1.07575,0.93883,1.32558,0.0013136,0.0013136,0.0013136
54,1415.09,1.1268,1.02571,1.36526,0.78249,0.57686,0.6655,0.47141,1.0543,0.93327,1.32018,0.0013004,0.0013004,0.0013004
55,1441.03,1.13865,1.03004,1.37083,0.77316,0.6074,0.6786,0.4785,1.04184,0.95657,1.31677,0.0012872,0.0012872,0.0012872
56,1467.08,1.12077,1.02244,1.36838,0.77631,0.59234,0.68341,0.47683,1.04166,0.93391,1.29979,0.001274,0.001274,0.001274
57,1493.02,1.13915,1.04089,1.37401,0.79497,0.59382,0.68432,0.48116,1.03954,0.91728,1.30728,0.0012608,0.0012608,0.0012608
58,1518.87,1.1017,1.00525,1.35249,0.81352,0.55989,0.65802,0.47037,1.03738,0.95027,1.31039,0.0012476,0.0012476,0.0012476
59,1544.83,1.13653,1.02835,1.37099,0.78427,0.59484,0.66748,0.47453,1.0326,0.9156,1.30688,0.0012344,0.0012344,0.0012344
60,1570.78,1.1123,0.99596,1.34399,0.74195,0.59221,0.65957,0.46904,1.03499,0.96763,1.30506,0.0012212,0.0012212,0.0012212
61,1596.67,1.10548,0.99714,1.34459,0.76562,0.62131,0.69078,0.48734,1.03266,0.88584,1.29213,0.001208,0.001208,0.001208
62,1622.6,1.09918,0.98728,1.34631,0.76431,0.6264,0.69606,0.4875,1.04447,0.92375,1.29181,0.0011948,0.0011948,0.0011948
63,1648.47,1.0943,0.98395,1.34243,0.77496,0.61465,0.69254,0.48826,1.03444,0.89398,1.29015,0.0011816,0.0011816,0.0011816
64,1674.41,1.10394,0.98945,1.33693,0.78884,0.60163,0.69786,0.48401,1.04507,0.89637,1.29772,0.0011684,0.0011684,0.0011684
