epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8309,3.51283,4.00477,4.00992,0.00418,0.23414,0.00503,0.00134,3.28924,3.87828,3.93716,0.000661836,0.000661836,0.000661836
2,57.35,2.78009,3.35778,3.10407,0.08971,0.10757,0.02984,0.00902,2.67246,3.58336,2.94407,0.00131973,0.00131973,0.00131973
3,84.2968,2.46507,2.97136,2.74565,0.10688,0.15304,0.04679,0.01419,2.45413,3.41178,2.76899,0.00196883,0.00196883,0.00196883
4,111.181,2.32163,2.67926,2.55184,0.24554,0.1907,0.12393,0.04582,2.28229,3.10439,2.5679,0.0019604,0.0019604,0.0019604
5,137.998,2.19205,2.48573,2.40778,0.32829,0.22769,0.18294,0.07443,2.17232,2.93614,2.41209,0.0019472,0.0019472,0.0019472
6,164.694,2.03917,2.26368,2.24512,0.40969,0.24398,0.22714,0.09854,2.10398,2.52134,2.37497,0.001934,0.001934,0.001934
7,191.408,1.90298,2.09678,2.13366,0.45637,0.34476,0.32264,0.16339,1.86614,2.31844,2.10975,0.0019208,0.0019208,0.0019208
8,218.162,1.81159,1.92765,2.0202,0.46693,0.34204,0.33152,0.17444,1.79401,2.10164,2.02047,0.0019076,0.0019076,0.0019076
9,244.778,1.72609,1.85031,1.95265,0.54641,0.3546,0.37085,0.20357,1.71919,1.89853,1.95751,0.0018944,0.0018944,0.0018944
10,271.606,1.70106,1.78055,1.89949,0.57961,0.38616,0.41597,0.2376,1.64372,1.70947,1.86453,0.0018812,0.0018812,0.0018812
11,298.288,1.65407,1.7278,1.85764,0.55793,0.39667,0.42082,0.24618,1.57868,1.79936,1.81402,0.001868,0.001868,0.001868
12,324.95,1.61491,1.70598,1.81759,0.59826,0.40991,0.43021,0.25816,1.58206,1.79864,1.83267,0.0018548,0.0018548,0.0018548
13,351.58,1.5834,1.65959,1.79598,0.58662,0.41228,0.44716,0.26786,1.53459,1.78856,1.77488,0.0018416,0.0018416,0.0018416
14,378.191,1.52467,1.56293,1.74523,0.62373,0.43481,0.46374,0.28989,1.43865,1.60137,1.69047,0.0018284,0.0018284,0.0018284
15,404.889,1.53398,1.56923,1.73063,0.62314,0.39498,0.4528,0.28531,1.42555,1.66032,1.66574,0.0018152,0.0018152,0.0018152
16,431.47,1.48449,1.51712,1.70063,0.66107,0.46658,0.51159,0.32236,1.40156,1.4463,1.63354,0.001802,0.001802,0.001802
17,458.146,1.46899,1.48651,1.66839,0.67137,0.46031,0.50975,0.32815,1.41812,1.43295,1.6534,0.0017888,0.0017888,0.0017888
18,484.734,1.47132,1.46217,1.66706,0.71233,0.45504,0.51871,0.33441,1.37121,1.38783,1.61324,0.0017756,0.0017756,0.0017756
19,511.384,1.40957,1.39698,1.63648,0.63083,0.46929,0.50379,0.32304,1.3871,1.46007,1.62439,0.0017624,0.0017624,0.0017624
20,538.119,1.4015,1.38865,1.61186,0.66844,0.47201,0.52655,0.33571,1.37067,1.34729,1.60258,0.0017492,0.0017492,0.0017492
21,564.827,1.4011,1.37197,1.5918,0.693,0.46556,0.53563,0.3496,1.30153,1.32117,1.54875,0.001736,0.001736,0.001736
22,591.538,1.40302,1.36099,1.58145,0.6616,0.48694,0.53646,0.34941,1.3344,1.42583,1.57551,0.0017228,0.0017228,0.0017228
23,618.178,1.35899,1.33471,1.56831,0.67762,0.46216,0.50571,0.31923,1.42071,1.57144,1.65931,0.0017096,0.0017096,0.0017096
24,644.834,1.35179,1.29428,1.56152,0.67952,0.51227,0.56207,0.37626,1.29326,1.26256,1.54449,0.0016964,0.0016964,0.0016964
25,671.417,1.33152,1.29217,1.54355,0.72389,0.51985,0.58947,0.39556,1.26124,1.19207,1.50294,0.0016832,0.0016832,0.0016832
26,698.079,1.34418,1.28786,1.543,0.72119,0.50424,0.57401,0.39093,1.23529,1.2362,1.5072,0.00167,0.00167,0.00167
27,724.688,1.28893,1.24275,1.51159,0.67675,0.52766,0.56941,0.37771,1.27763,1.31058,1.52871,0.0016568,0.0016568,0.0016568
28,751.323,1.30194,1.25441,1.51457,0.66012,0.51951,0.55441,0.37491,1.24545,1.27359,1.50997,0.0016436,0.0016436,0.0016436
29,777.942,1.30328,1.24097,1.5104,0.71686,0.5172,0.58228,0.38452,1.25043,1.28068,1.50802,0.0016304,0.0016304,0.0016304
30,804.782,1.2857,1.21211,1.49539,0.70168,0.54157,0.59818,0.4008,1.22952,1.15944,1.46009,0.0016172,0.0016172,0.0016172
31,831.595,1.29193,1.21235,1.49168,0.7121,0.55227,0.61398,0.41503,1.17201,1.11501,1.4344,0.001604,0.001604,0.001604
32,858.218,1.27948,1.20875,1.48657,0.722,0.55853,0.61803,0.42038,1.17988,1.12217,1.43344,0.0015908,0.0015908,0.0015908
33,884.83,1.26618,1.20224,1.48078,0.67404,0.5263,0.56768,0.38457,1.21967,1.15079,1.47071,0.0015776,0.0015776,0.0015776
