epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1146,3.44526,3.96706,3.99551,0.00302,0.16865,0.0018,0.00057,3.46529,3.89307,4.40516,0.000661836,0.000661836,0.000661836
2,63.0347,2.86991,3.46787,3.22345,0.00556,0.07906,0.00292,0.00093,2.97798,6.16944,3.24331,0.00131973,0.00131973,0.00131973
3,93.1385,2.65698,3.13149,2.82731,0.04917,0.07058,0.01821,0.00546,2.66546,3.93052,2.87672,0.00196883,0.00196883,0.00196883
4,122.743,2.47187,2.90802,2.5956,0.09918,0.1225,0.03792,0.01239,2.55111,3.19927,2.76957,0.0019604,0.0019604,0.0019604
5,152.015,2.3018,2.71929,2.40178,0.14292,0.08721,0.0496,0.01628,2.71289,3.46788,2.83159,0.0019472,0.0019472,0.0019472
6,181.283,2.134,2.44531,2.21689,0.27824,0.24601,0.16195,0.07131,2.04482,2.74744,2.22298,0.001934,0.001934,0.001934
7,210.28,1.94545,2.19174,2.05721,0.40819,0.28707,0.26385,0.13149,1.93188,2.27104,2.1026,0.0019208,0.0019208,0.0019208
8,239.686,1.82384,1.98216,1.91661,0.37976,0.28816,0.25017,0.12135,1.8664,2.72544,2.03905,0.0019076,0.0019076,0.0019076
9,268.87,1.72663,1.86362,1.84795,0.56804,0.35901,0.37369,0.20961,1.65285,1.77523,1.84336,0.0018944,0.0018944,0.0018944
10,298.108,1.65878,1.75412,1.76743,0.59776,0.40855,0.44081,0.258,1.59738,1.64437,1.74102,0.0018812,0.0018812,0.0018812
11,327.225,1.612,1.67803,1.71674,0.48646,0.40482,0.37346,0.21509,1.56833,1.87762,1.74968,0.001868,0.001868,0.001868
12,356.658,1.57048,1.65706,1.6889,0.56708,0.40315,0.42832,0.26252,1.5136,1.77275,1.6868,0.0018548,0.0018548,0.0018548
13,386.079,1.53345,1.61237,1.66381,0.5753,0.43162,0.4554,0.26892,1.47643,1.91419,1.64118,0.0018416,0.0018416,0.0018416
14,415.31,1.47941,1.50794,1.61643,0.57757,0.36206,0.38627,0.23994,1.55368,1.83856,1.73801,0.0018284,0.0018284,0.0018284
15,444.617,1.47787,1.48635,1.59809,0.63811,0.46216,0.50698,0.31572,1.40481,1.45552,1.56474,0.0018152,0.0018152,0.0018152
16,473.861,1.43851,1.46031,1.5703,0.64887,0.5056,0.55041,0.34397,1.34472,1.38404,1.5118,0.001802,0.001802,0.001802
17,503.073,1.40589,1.42602,1.54552,0.70371,0.4892,0.53872,0.35595,1.30842,1.3136,1.49224,0.0017888,0.0017888,0.0017888
18,532.211,1.40414,1.39833,1.53423,0.67163,0.47336,0.53392,0.34658,1.30856,1.33223,1.47068,0.0017756,0.0017756,0.0017756
19,561.586,1.36197,1.34813,1.50988,0.71316,0.50113,0.57356,0.36835,1.31284,1.25188,1.46077,0.0017624,0.0017624,0.0017624
20,590.909,1.36328,1.3344,1.50584,0.66828,0.51544,0.56014,0.37266,1.25755,1.25019,1.44325,0.0017492,0.0017492,0.0017492
21,620.674,1.35314,1.32085,1.47999,0.69094,0.54801,0.6077,0.39702,1.2422,1.21581,1.40277,0.001736,0.001736,0.001736
22,650.222,1.33974,1.287,1.461,0.71058,0.55209,0.61801,0.39199,1.28172,1.19594,1.4307,0.0017228,0.0017228,0.0017228
23,679.383,1.31622,1.2863,1.46185,0.63092,0.50492,0.54041,0.34154,1.37288,1.35172,1.51867,0.0017096,0.0017096,0.0017096
24,708.76,1.30482,1.252,1.45278,0.70023,0.5604,0.62079,0.41214,1.22193,1.11861,1.40182,0.0016964,0.0016964,0.0016964
25,737.972,1.27824,1.24162,1.43696,0.70727,0.58398,0.63414,0.41339,1.22188,1.13915,1.39451,0.0016832,0.0016832,0.0016832
26,767.198,1.28633,1.22646,1.43371,0.71044,0.56945,0.63201,0.4297,1.16465,1.10838,1.35169,0.00167,0.00167,0.00167
27,796.252,1.24657,1.18961,1.4133,0.72888,0.52935,0.59686,0.4105,1.17434,1.13532,1.35095,0.0016568,0.0016568,0.0016568
28,825.389,1.2485,1.20378,1.41341,0.72573,0.57313,0.64186,0.43742,1.1476,1.07851,1.34211,0.0016436,0.0016436,0.0016436
29,854.547,1.24305,1.18489,1.40338,0.74846,0.59572,0.65542,0.45403,1.1203,1.02994,1.316,0.0016304,0.0016304,0.0016304
30,883.7,1.23641,1.16189,1.39065,0.72321,0.61531,0.6822,0.45197,1.12076,1.02965,1.3137,0.0016172,0.0016172,0.0016172
31,913.133,1.24345,1.16019,1.39489,0.74636,0.58432,0.67524,0.46277,1.1032,0.9978,1.30466,0.001604,0.001604,0.001604
32,942.189,1.22216,1.15245,1.38299,0.73591,0.60027,0.65579,0.46303,1.07643,1.00168,1.28194,0.0015908,0.0015908,0.0015908
33,971.343,1.21648,1.1455,1.37739,0.75369,0.5939,0.67158,0.46282,1.10978,1.0256,1.30082,0.0015776,0.0015776,0.0015776
34,1001.02,1.19255,1.10577,1.36685,0.75071,0.59165,0.67114,0.45811,1.12983,1.00761,1.308,0.0015644,0.0015644,0.0015644
35,1030.27,1.19748,1.13063,1.35768,0.75972,0.63195,0.71427,0.49201,1.05502,0.92539,1.25271,0.0015512,0.0015512,0.0015512
36,1059.44,1.18707,1.09233,1.34167,0.74482,0.66882,0.72081,0.48746,1.06695,0.92907,1.26195,0.001538,0.001538,0.001538
37,1088.79,1.18267,1.08216,1.35914,0.75524,0.6607,0.72378,0.48322,1.09284,0.93921,1.28212,0.0015248,0.0015248,0.0015248
38,1118.3,1.17155,1.05725,1.33751,0.78806,0.62538,0.71145,0.49581,1.04741,0.91517,1.24888,0.0015116,0.0015116,0.0015116
39,1147.44,1.16975,1.07633,1.34336,0.76031,0.62967,0.69746,0.48526,1.0526,0.93191,1.24489,0.0014984,0.0014984,0.0014984
40,1176.68,1.14795,1.05907,1.32844,0.76101,0.61588,0.70452,0.48459,1.0666,0.91641,1.25317,0.0014852,0.0014852,0.0014852
41,1205.89,1.17452,1.05127,1.32708,0.78308,0.63624,0.70783,0.49525,1.03688,0.89723,1.22765,0.001472,0.001472,0.001472
42,1235.17,1.14059,1.03972,1.32506,0.7438,0.68172,0.73949,0.50869,1.05129,0.88037,1.242,0.0014588,0.0014588,0.0014588
43,1264.41,1.13674,1.03593,1.32026,0.79807,0.62897,0.72302,0.50578,1.05052,0.89298,1.24042,0.0014456,0.0014456,0.0014456
44,1293.78,1.12692,1.02528,1.30366,0.77467,0.63895,0.70524,0.50362,1.01438,0.88477,1.20457,0.0014324,0.0014324,0.0014324
45,1323.06,1.12624,1.01478,1.30211,0.75413,0.6505,0.72471,0.50254,1.03223,0.929,1.23499,0.0014192,0.0014192,0.0014192
46,1352.14,1.11582,1.01155,1.30642,0.80908,0.63862,0.73016,0.51898,0.9974,0.86211,1.20964,0.001406,0.001406,0.001406
47,1381.27,1.11768,1.01091,1.30243,0.78408,0.63794,0.73507,0.51331,1.01731,0.88007,1.22352,0.0013928,0.0013928,0.0013928
48,1410.44,1.09827,0.97649,1.28761,0.77894,0.63963,0.73137,0.52052,0.99972,0.85662,1.20169,0.0013796,0.0013796,0.0013796
49,1439.64,1.09455,0.97718,1.28071,0.80336,0.64778,0.72479,0.51475,0.97827,0.87431,1.19042,0.0013664,0.0013664,0.0013664
50,1468.81,1.0905,0.97448,1.27879,0.77151,0.67492,0.75728,0.53373,0.98129,0.81051,1.18658,0.0013532,0.0013532,0.0013532
51,1497.94,1.08887,0.97091,1.28449,0.80382,0.64931,0.72687,0.52189,0.96872,0.84751,1.18945,0.00134,0.00134,0.00134
52,1526.9,1.08112,0.95892,1.27551,0.80569,0.61064,0.70819,0.50358,1.02568,0.87531,1.22005,0.0013268,0.0013268,0.0013268
53,1556.14,1.08281,0.95329,1.26562,0.78789,0.65416,0.74079,0.53021,0.97222,0.82185,1.18116,0.0013136,0.0013136,0.0013136
54,1585.3,1.06766,0.95266,1.26396,0.77482,0.69005,0.76028,0.53388,0.99893,0.81025,1.19774,0.0013004,0.0013004,0.0013004
55,1614.9,1.08102,0.94283,1.26175,0.79374,0.67594,0.76273,0.53852,0.98393,0.809,1.17971,0.0012872,0.0012872,0.0012872
56,1644.06,1.06562,0.94579,1.26661,0.79137,0.70818,0.77546,0.55241,0.95529,0.7989,1.17044,0.001274,0.001274,0.001274
57,1673.21,1.08007,0.94943,1.26929,0.80809,0.65898,0.7607,0.54037,0.97089,0.8032,1.17502,0.0012608,0.0012608,0.0012608
58,1702.47,1.04857,0.92643,1.25205,0.77953,0.72005,0.78001,0.55934,0.95101,0.77555,1.16413,0.0012476,0.0012476,0.0012476
59,1732.1,1.08032,0.95002,1.26522,0.82634,0.65694,0.76428,0.54689,0.95046,0.77738,1.15859,0.0012344,0.0012344,0.0012344
60,1761.44,1.05548,0.90942,1.24316,0.80088,0.66057,0.75368,0.53709,0.96522,0.77676,1.16946,0.0012212,0.0012212,0.0012212
61,1790.85,1.05815,0.91808,1.25033,0.78342,0.70331,0.77748,0.54894,0.95761,0.76745,1.16913,0.001208,0.001208,0.001208
62,1820.23,1.04741,0.91154,1.24547,0.81486,0.67458,0.76374,0.54892,0.94143,0.77109,1.15111,0.0011948,0.0011948,0.0011948
